,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,x-tsne,y-tsne,x-bin,y-bin
0,-0.42927426,-0.5056317,1.0569364,0.7696862,-0.32228056,-2.6534743,0.06920151,0.0005879457,0.092743054,0.020442326,0.0032542108,-0.007990819,-1.7051777,0,-1
1,-0.43143097,-0.5021705,1.0573655,0.7695719,-0.31252065,-2.6235232,-0.0038336858,0.043143183,0.10121965,0.01633586,0.25654423,-0.053448133,-1.7336639,0,-1
2,-0.437955,-0.49271974,1.0582621,0.7692202,-0.28329742,-2.5941646,-0.0767992,0.07719545,0.1040965,0.014842483,0.5078983,-0.101900585,-1.762042,0,-1
3,-0.44884217,-0.47846514,1.0592716,0.76880187,-0.23476028,-2.5659046,-0.14966772,0.10436351,0.10415484,0.014686577,0.7573116,-0.1508434,-1.7870044,0,-1
4,-0.46408466,-0.46046114,1.0602229,0.7684012,-0.16705929,-2.5392342,-0.22233726,0.12482556,0.102948226,0.015152029,1.0047768,-0.20148276,-1.8126409,0,-1
5,-0.48366392,-0.43980533,1.0610462,0.76805454,-0.08034476,-2.514634,-0.2945886,0.13793513,0.10131078,0.015851,1.2502933,-0.25209716,-1.834956,0,-1
6,-0.50754404,-0.4178099,1.0617249,0.76774216,0.025234258,-2.480359,-0.35150835,0.16172852,0.09950539,0.01565549,1.4857762,-0.30604476,-1.8654594,0,-1
7,-0.5247469,-0.36081555,1.0621449,0.76711667,0.14187916,-2.203838,-0.08983674,0.539639,0.095991,0.0102483975,1.5495869,-0.5285351,-1.9193349,0,-1
8,-0.5271251,-0.26659057,1.0623848,0.76201177,0.2640595,-2.0254307,0.14269142,0.6514268,0.09500633,-0.082341306,1.6287979,-0.70794487,-1.9548997,0,-1
9,-0.5167733,-0.16220981,1.0625786,0.7489872,0.38978302,-1.9040585,0.3340861,0.6738723,0.09481565,-0.16801585,1.6417663,-0.84925437,-1.9725198,0,-1
10,-0.49623358,-0.04958,1.0627488,0.73152524,0.51554954,-1.7865652,0.48310578,0.75937706,0.09447363,-0.18261033,1.6295485,-0.99218667,-1.9814299,0,-1
11,-0.46803585,0.08014038,1.0628891,0.71494836,0.63965535,-1.6753422,0.59021634,0.8924969,0.09412867,-0.14863425,1.5983108,-1.1399287,-1.9880817,-1,-1
