,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
0,0.24854442,0.8013181,0.29309252,2.7967622,-0.16719437,-2.9245412,0.057699744,0.0040401705,0.088126674,0.07289007,-0.068297915,2.0,19.897346,-2.450662,19,-2
1,0.24548435,0.78021914,0.2759852,2.7966547,-0.15734845,-2.9238417,-0.021887653,-0.463576,-0.3599962,0.068200186,0.17849872,2.0,19.980692,-2.506853,19,-2
2,0.23618159,0.7316276,0.23536962,2.7962928,-0.12789986,-2.9029994,-0.10238462,-0.6087672,-0.52799064,0.06622111,0.42263064,2.0,19.996141,-2.533911,19,-2
3,0.22058178,0.68232006,0.19116533,2.7958384,-0.0790562,-2.8657475,-0.18333498,-0.4804964,-0.45420584,0.06571807,0.6642277,2.0,19.949139,-2.5502372,19,-2
4,0.19867112,0.6542302,0.16000769,2.7953787,-0.011013731,-2.816342,-0.26418722,-0.13758844,-0.18631738,0.065984875,0.9034449,2.0,19.813147,-2.546101,19,-2
5,0.17047116,0.6638162,0.15473562,2.7949572,0.07604396,-2.7592285,-0.34462112,0.35695308,0.22389533,0.066624306,1.1404436,2.0,19.480936,-2.5003138,19,-2
6,0.13601817,0.72190344,0.18424441,2.7945943,0.18194596,-2.6847794,-0.40837935,0.9653335,0.7161437,0.067003794,1.3674188,2.0,19.004402,-2.416836,19,-2
7,0.11118205,0.85524064,0.24696462,2.7920346,0.29886195,-2.351399,-0.11859216,1.9842292,1.109348,0.018374575,1.428113,2.0,18.518248,-2.3762066,18,-2
8,0.10743419,1.0016158,0.32420975,2.7664018,0.42281342,-2.351255,0.12982118,0.9307169,0.79292464,-0.5042512,1.5453844,2.0,18.932604,-2.5676079,18,-2
9,0.12141336,1.0324185,0.35829148,2.7042403,0.5569389,-2.3599372,0.33523622,-0.18752126,0.32614696,-0.91268474,1.6282845,2.0,19.837765,-3.516358,19,-3
10,0.14971428,0.9889159,0.36627123,2.6160843,0.7021898,-2.3040152,0.4973696,-0.73943764,0.08773535,-1.1583545,1.6282845,2.0,19.997738,-3.88207,19,-3
11,0.18897225,0.90940714,0.36160132,2.5110695,0.8592608,-2.2224324,0.616398,-1.0001757,-0.01845692,-1.3364613,1.6282845,2.0,20.019392,-4.03966,20,-4
12,0.23578894,0.8125171,0.3519399,2.392482,1.0290115,-2.1391928,0.6911524,-1.1335664,-0.051080517,-1.4992542,1.6282845,2.0,20.022167,-4.1301055,20,-4
13,0.28702572,0.7059361,0.34143254,2.2620468,1.2059088,-2.1567183,0.75126547,-1.2880491,-0.043688245,-1.581875,1.6282845,2.0,20.022179,-4.193348,20,-4
14,0.3441704,0.57941073,0.33224216,2.1353896,1.301975,-2.331664,0.8166474,-1.5108691,-0.02132775,-1.4683759,0.6211367,2.0,19.82015,-4.3043046,19,-4
15,0.4043233,0.47253743,0.32372785,2.0326197,1.3306483,-2.2692838,0.8336268,-0.83940333,-0.022981398,-0.9798691,0.029767351,2.0,19.315449,-4.2512074,19,-4
16,0.46438825,0.4308057,0.3156333,1.9668562,1.3258861,-2.151571,0.81720316,-0.07062738,-0.012006942,-0.534638,-0.24686295,2.0,18.566761,-4.134707,18,-4
17,0.5226021,0.45915285,0.30884135,1.9357073,1.3066053,-2.0166032,0.78898424,0.7055368,0.009449558,-0.106590524,-0.35175085,2.0,17.535202,-3.9868014,17,-3
18,0.5782633,0.55375856,0.30388272,1.9367816,1.2828978,-1.8890754,0.7516914,1.4039189,0.03487507,0.27577507,-0.36801663,2.0,16.892824,-3.953587,16,-3
19,0.6303113,0.6945136,0.30086067,1.9599136,1.2597839,-1.828231,0.69675076,1.732737,0.059612434,0.4482578,-0.3426082,2.0,16.673279,-3.9785836,16,-3
20,0.6777079,0.8554996,0.29937524,1.9923033,1.2394556,-1.8042644,0.63284063,1.8551695,0.07574454,0.5086692,-0.30129403,2.0,16.556051,-4.026794,16,-4
21,0.71997243,1.0226407,0.2987638,2.0272903,1.2225909,-1.7993373,0.56543237,1.8707975,0.08334251,0.51364106,-0.25735497,2.0,16.47443,-4.1064067,16,-4
22,0.7569479,1.1888824,0.29847538,2.0616791,1.2091168,-1.803542,0.49731624,1.8360068,0.084897116,0.49367997,-0.21702828,2.0,16.395767,-4.2036695,16,-4
23,0.78862906,1.3510455,0.29815573,2.094096,1.1986307,-1.8117315,0.42969406,1.7806039,0.08299486,0.46410075,-0.18271516,2.0,16.328638,-4.331528,16,-4
24,0.815072,1.5079406,0.2976224,2.1240556,1.1906267,-1.8214267,0.36296713,1.7191064,0.07957402,0.43193272,-0.15483625,2.0,16.249355,-4.4731646,16,-4
