,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
0,0.097818725,-1.9927992,1.7162485,0.17840429,-0.20328924,-2.6542697,0.1393874,-0.03762537,0.30601284,0.044536684,-0.0074176416,2.0,-1.8246033,4.5461674,-1,4
1,0.09517756,-1.9886346,1.71665,0.1757966,-0.19454226,-2.6251304,0.056155175,0.024638666,0.32312378,0.0002961371,0.21255079,2.0,-1.7948481,4.535049,-1,4
2,0.08714038,-1.9771558,1.7174882,0.16765152,-0.16777839,-2.5946605,-0.028385203,0.07657126,0.32890078,-0.016186308,0.44510067,2.0,-1.7710506,4.5170965,-1,4
3,0.07363671,-1.9595344,1.7184305,0.15788719,-0.12217228,-2.5639613,-0.113785736,0.12010482,0.3289861,-0.018284393,0.68580294,2.0,-1.7493126,4.49719,-1,4
4,0.05463168,-1.9368913,1.7193176,0.14847045,-0.0573055,-2.5343385,-0.1993908,0.15434277,0.32653216,-0.013506285,0.9288707,2.0,-1.7266665,4.47485,-1,4
5,0.030132119,-1.9105386,1.7200847,0.14028041,0.02683982,-2.5068843,-0.2845586,0.17737788,0.32322532,-0.005996578,1.1700277,2.0,-1.7036862,4.4547377,-1,4
6,0.00019182939,-1.8820703,1.7207164,0.13361049,0.12993762,-2.4695625,-0.3520633,0.21732502,0.3196051,-0.0013788883,1.3972808,2.0,-1.6795146,4.4295278,-1,4
7,-0.021851487,-1.8094642,1.7211125,0.12253343,0.24380545,-2.1797082,-0.05955659,0.79507506,0.31274098,-0.039187737,1.4520551,2.0,-1.5203868,4.2240553,-1,4
8,-0.026001565,-1.6754885,1.7213241,0.1084898,0.36190224,-1.9486676,0.20274079,1.1876006,0.30992216,-0.038056638,1.5031489,2.0,-1.3463686,3.9980204,-1,3
9,-0.0144736525,-1.4984218,1.721464,0.09636526,0.48361957,-1.759675,0.42678362,1.4728291,0.30892736,-0.021880502,1.5429022,2.0,-1.1980395,3.8018239,-1,3
10,0.010102455,-1.2890581,1.7215812,0.08779661,0.6080932,-1.6033974,0.6077782,1.6933175,0.30868492,-0.0021554164,1.5722659,2.0,-1.0860895,3.6601102,-1,3
11,0.04488703,-1.0539978,1.7216946,0.08288687,0.7346874,-1.4736105,0.7440518,1.8738544,0.30868462,0.015856864,1.5959342,2.0,-0.9978062,3.5463567,0,3
12,0.08702367,-0.79728067,1.7218084,0.08106777,0.8631889,-1.3651698,0.83657515,2.0305495,0.30869135,0.030032108,1.6198233,1.0,-0.9208035,3.4572582,0,3
13,0.13320504,-0.63511044,1.7016408,0.08150169,0.98210686,-1.4980912,0.86744636,0.4047863,-0.6938645,0.040278338,1.3570898,1.0,-1.3055589,2.9495034,-1,2
14,0.17950465,-0.5345751,1.6726931,0.07635773,1.0805091,-1.4993923,0.84413403,1.0830138,-0.13133544,-0.019317823,1.1019593,1.0,-1.0823321,3.0348556,-1,3
15,0.22426276,-0.45358422,1.6434714,0.0682575,1.1574655,-1.6252345,0.83655345,0.08246596,-0.69880384,0.0033275771,0.72432923,1.0,-1.3533757,2.511702,-1,2
