#{"t_start": 1532908877.480335, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,1.758782
0.0,129,21.199658
0.0,129,39.698653
2.0,206,76.923167
0.0,129,96.016334
2.0,190,115.730894
0.0,129,134.881333
3.0,236,172.800681
0.0,129,174.169067
1.0,157,211.190719
2.0,225,231.467275
3.0,272,269.866813
0.0,129,288.91008
4.0,298,327.02889
0.0,129,345.62303
0.0,129,364.365345
0.0,129,383.158172
0.0,129,402.038776
0.0,129,420.979741
0.0,129,439.950824
1.0,175,459.215177
1.0,157,478.359828
0.0,129,497.231796
0.0,129,516.144515
0.0,129,535.121724
0.0,129,553.97951
4.0,322,592.695639
4.0,306,631.318792
0.0,129,650.025768
2.0,206,687.205694
0.0,129,706.007242
1.0,176,725.686856
0.0,129,744.593745
0.0,129,763.638654
