#{"t_start": 1531941599.7959113, "env_id": "CartPole-v1"}
r,l,t
22.0,22,0.023637
21.0,21,0.039085
24.0,24,0.056734
39.0,39,0.085439
30.0,30,0.107418
13.0,13,0.116991
22.0,22,0.133099
29.0,29,0.154299
12.0,12,0.163076
15.0,15,0.174134
12.0,12,0.182924
17.0,17,0.195481
43.0,43,0.227181
40.0,40,0.256587
11.0,11,0.264728
12.0,12,0.273616
14.0,14,0.283882
14.0,14,0.294231
44.0,44,0.326425
12.0,12,0.335274
20.0,20,0.349932
32.0,32,0.373367
29.0,29,0.394711
10.0,10,0.402072
12.0,12,0.410914
12.0,12,0.419755
15.0,15,0.4308
19.0,19,0.444715
11.0,11,0.452847
15.0,15,0.463842
45.0,45,0.496805
21.0,21,0.512314
33.0,33,0.538709
10.0,10,0.546096
25.0,25,0.564766
11.0,11,0.572927
18.0,18,0.586202
20.0,20,0.601154
17.0,17,0.613813
17.0,17,0.626266
28.0,28,0.646785
15.0,15,0.657851
30.0,30,0.67984
19.0,19,0.693869
24.0,24,0.711799
18.0,18,0.725096
10.0,10,0.732464
21.0,21,0.74788
12.0,12,0.756778
20.0,20,0.77148
15.0,15,0.782516
15.0,15,0.793553
25.0,25,0.81199
13.0,13,0.821567
30.0,30,0.84354
18.0,18,0.856776
17.0,17,0.869228
24.0,24,0.886826
19.0,19,0.900805
19.0,19,0.914785
14.0,14,0.925059
21.0,21,0.940472
34.0,34,0.965367
13.0,13,0.974934
17.0,17,0.987358
17.0,17,1.00011
28.0,28,1.020701
29.0,29,1.041946
18.0,18,1.055133
40.0,40,1.084428
21.0,21,1.099834
20.0,20,1.114475
19.0,19,1.12837
12.0,12,1.137253
10.0,10,1.144578
23.0,23,1.161445
17.0,17,1.173923
23.0,23,1.190756
13.0,13,1.20055
11.0,11,1.208665
17.0,17,1.221302
13.0,13,1.230852
10.0,10,1.238274
11.0,11,1.24636
24.0,24,1.264916
12.0,12,1.27379
12.0,12,1.282629
33.0,33,1.306762
16.0,16,1.318555
21.0,21,1.333943
24.0,24,1.351509
15.0,15,1.362701
42.0,42,1.393441
15.0,15,1.404467
12.0,12,1.413316
16.0,16,1.425056
11.0,11,1.433171
40.0,40,1.462477
20.0,20,1.477185
37.0,37,1.504333
13.0,13,1.513973
57.0,57,3.830786
22.0,22,3.847235
17.0,17,3.859879
15.0,15,3.871079
28.0,28,3.891813
49.0,49,3.927974
12.0,12,3.93692
27.0,27,3.956842
21.0,21,3.972389
28.0,28,3.993083
25.0,25,4.011532
18.0,18,4.024958
27.0,27,4.044921
20.0,20,4.05974
8.0,8,4.065736
52.0,52,4.104157
15.0,15,4.115264
61.0,61,4.160245
45.0,45,4.193455
29.0,29,4.214909
20.0,20,4.229689
17.0,17,4.242259
10.0,10,4.249677
17.0,17,4.262254
123.0,123,4.353405
37.0,37,4.380701
17.0,17,4.394804
25.0,25,4.416231
14.0,14,4.427921
17.0,17,4.442414
128.0,128,4.539722
27.0,27,4.559741
26.0,26,4.578955
32.0,32,4.602703
23.0,23,4.620013
15.0,15,4.631104
11.0,11,4.639262
16.0,16,4.651107
20.0,20,4.665911
22.0,22,4.682165
16.0,16,4.694014
23.0,23,4.712319
19.0,19,4.731482
15.0,15,4.752559
13.0,13,4.765278
11.0,11,4.779247
52.0,52,4.848327
17.0,17,4.86993
23.0,23,4.896182
11.0,11,4.904756
27.0,27,4.924891
26.0,26,4.944095
20.0,20,4.959373
30.0,30,4.981746
15.0,15,4.992877
17.0,17,5.00546
27.0,27,5.025439
24.0,24,5.043193
30.0,30,5.065763
21.0,21,5.081452
30.0,30,5.103917
16.0,16,5.115842
28.0,28,5.136608
49.0,49,5.173378
22.0,22,5.190023
46.0,46,5.224374
16.0,16,5.236315
18.0,18,5.249848
73.0,73,5.304625
11.0,11,5.312809
23.0,23,5.329937
14.0,14,5.340319
25.0,25,5.35881
16.0,16,5.370631
33.0,33,5.394974
53.0,53,7.678479
15.0,15,7.6896
31.0,31,7.71356
20.0,20,7.729084
16.0,16,7.741588
27.0,27,7.761647
13.0,13,7.771321
20.0,20,7.786086
26.0,26,7.805329
11.0,11,7.813566
16.0,16,7.82537
29.0,29,7.846887
22.0,22,7.863118
37.0,37,7.890407
24.0,24,7.908072
30.0,30,7.930196
24.0,24,7.948034
19.0,19,7.962074
42.0,42,7.993332
60.0,60,8.038186
12.0,12,8.04707
26.0,26,8.066315
87.0,87,8.130413
17.0,17,8.143086
23.0,23,8.160056
48.0,48,8.195463
25.0,25,8.214258
24.0,24,8.231957
85.0,85,8.294601
17.0,17,8.307152
42.0,42,8.338221
81.0,81,8.398059
18.0,18,8.411329
17.0,17,8.423852
128.0,128,8.517967
35.0,35,8.54376
35.0,35,8.569528
16.0,16,8.581497
24.0,24,8.599485
40.0,40,8.628929
10.0,10,8.636384
58.0,58,8.679078
40.0,40,8.708773
51.0,51,8.746477
31.0,31,8.769331
15.0,15,8.780457
28.0,28,8.80108
23.0,23,8.818058
35.0,35,8.843812
19.0,19,8.857904
31.0,31,8.880821
21.0,21,8.896328
64.0,64,8.943511
14.0,14,8.953871
52.0,52,8.992084
56.0,56,9.033457
54.0,54,9.073229
21.0,21,9.088684
92.0,92,9.156348
20.0,20,11.426835
148.0,148,11.53682
58.0,58,11.579243
72.0,72,11.631903
21.0,21,11.647325
152.0,152,11.759113
31.0,31,11.781972
163.0,163,11.901261
57.0,57,11.943003
46.0,46,11.976685
18.0,18,11.989927
129.0,129,12.084392
83.0,83,12.145128
23.0,23,12.162022
133.0,133,12.26074
157.0,157,12.375679
