#{"t_start": 1532219734.7789302, "env_id": "HalfCheetah-v2"}
r,l,t
-711.988518,1000,1.612166
-817.598556,1000,3.199772
-712.59313,1000,6.967461
-646.630398,1000,8.460887
-813.748129,1000,12.044471
-641.525831,1000,13.258272
-686.918347,1000,16.76961
-799.806404,1000,18.313505
-653.166763,1000,21.891663
-695.452222,1000,23.446409
-711.998665,1000,27.37657
-544.027314,1000,28.670992
-561.728693,1000,31.671762
-593.266062,1000,33.034272
-656.700264,1000,36.546001
-713.890307,1000,38.040921
-688.266714,1000,41.450672
-583.877221,1000,42.761513
-597.839931,1000,46.214685
-651.506781,1000,47.570445
-588.764664,1000,51.361274
-587.517211,1000,52.783382
-548.218551,1000,56.450905
-591.256616,1000,58.160984
-502.245096,1000,61.982228
-520.666518,1000,63.459121
-509.124513,1000,67.142622
-462.409006,1000,68.542974
-484.571342,1000,72.065977
-430.338981,1000,73.820823
-431.996749,1000,77.69669
-372.32033,1000,79.380682
-483.380442,1000,83.398431
-480.467499,1000,85.104808
-470.405192,1000,89.012891
-354.285082,1000,90.331331
-361.510473,1000,93.971412
-342.551565,1000,95.789645
-376.894366,1000,99.459572
-477.977365,1000,101.3381
-534.091404,1000,104.917536
-370.710823,1000,106.706353
-323.526285,1000,108.830978
-293.289769,1000,113.356375
-440.172748,1000,115.238282
-338.523359,1000,118.648271
-264.995704,1000,120.308172
-395.256879,1000,123.869307
-274.83748,1000,125.623218
-304.481724,1000,129.212249
-314.832062,1000,130.787881
-270.74244,1000,134.560464
-220.399583,1000,136.198054
-414.084032,1000,140.171174
-314.26391,1000,141.745693
-283.263707,1000,145.72271
-229.996287,1000,147.394316
-207.437981,1000,150.900461
-206.281696,1000,152.456942
-242.335961,1000,156.507617
-174.377185,1000,158.041822
-133.63331,1000,161.475944
-166.549251,1000,163.147048
-71.8143,1000,166.966661
-159.231965,1000,168.402178
-157.283889,1000,172.023095
-169.34911,1000,173.537449
-85.499484,1000,177.610801
-144.041133,1000,179.24052
-63.053257,1000,183.021092
-133.764136,1000,184.623549
-95.130069,1000,188.67817
-36.232218,1000,190.335525
-92.288449,1000,194.100901
-43.135755,1000,195.68053
-116.958876,1000,199.326771
49.269845,1000,200.910216
5.808711,1000,204.899056
-59.758231,1000,206.428644
6.861085,1000,209.96223
