#{"t_start": 1533175583.1021442, "env_id": "HalfCheetah-v2"}
r,l,t
-760.697598,1000,0.791903
-744.231381,1000,1.578568
-793.003094,1000,3.082511
-843.041882,1000,3.89156
-771.990977,1000,5.432693
-769.943244,1000,6.072428
-733.679607,1000,7.62675
-726.973461,1000,8.309764
-731.815511,1000,9.590015
-692.010353,1000,10.19892
-707.057493,1000,11.488203
-708.054288,1000,12.237661
-668.272854,1000,13.797914
-645.703347,1000,14.426729
-805.996096,1000,15.707581
-610.698829,1000,16.447426
-661.056009,1000,17.990618
-744.474117,1000,18.682787
-692.947204,1000,20.07244
-530.930577,1000,20.904415
-531.721487,1000,22.468356
-638.472508,1000,23.18662
-595.486049,1000,24.72387
-629.105475,1000,25.559416
-623.820871,1000,27.127336
-530.37602,1000,27.870403
-549.157107,1000,29.433594
-518.590291,1000,30.132128
-536.686694,1000,31.554878
-572.221203,1000,32.228596
-571.233466,1000,33.552222
-464.592313,1000,34.246113
-501.957802,1000,35.659047
-472.146906,1000,36.286942
-568.858378,1000,37.591301
-465.860606,1000,38.194179
-581.985113,1000,39.648265
-373.21862,1000,40.396219
-439.750478,1000,41.782631
-402.127947,1000,42.576363
-400.808408,1000,44.00685
-396.027963,1000,44.641968
-519.57214,1000,45.431031
-467.226283,1000,46.925984
-424.499282,1000,47.722326
-389.671689,1000,49.305438
-319.662004,1000,50.049565
-343.135963,1000,51.575505
-341.596266,1000,52.342778
-260.357573,1000,53.765852
-384.325929,1000,54.495889
-214.757437,1000,56.049865
-293.856564,1000,56.778453
-257.214838,1000,58.251646
-223.900043,1000,58.85271
-189.078929,1000,60.350905
-246.025599,1000,61.164927
-242.700135,1000,62.359533
-176.609783,1000,63.11843
-204.143814,1000,64.683768
-180.860025,1000,65.398043
-246.039489,1000,66.941786
-156.077359,1000,67.667358
-178.312483,1000,69.216275
-123.205455,1000,70.031558
-62.828433,1000,71.6065
-155.308734,1000,72.423069
-52.173074,1000,73.956774
-4.676084,1000,74.781468
-39.423293,1000,76.283058
-3.841898,1000,77.040386
-160.614239,1000,78.604698
-94.557131,1000,79.438115
70.214986,1000,81.018405
-50.381498,1000,81.822973
65.144974,1000,83.411692
18.115771,1000,84.153434
-3.375437,1000,85.770935
79.632754,1000,86.459127
-71.21527,1000,87.882705
144.45496,1000,88.683348
93.324599,1000,90.112531
105.157949,1000,90.907367
29.211578,1000,92.343921
180.181151,1000,93.147331
33.016103,1000,93.772769
187.215152,1000,95.357311
160.275848,1000,96.024483
194.445768,1000,97.377549
111.099089,1000,98.082864
220.779134,1000,99.587662
141.690057,1000,100.399436
203.739808,1000,101.935011
195.989807,1000,102.705443
180.691286,1000,104.102171
195.672186,1000,104.781324
305.179256,1000,106.319307
173.248512,1000,107.088613
287.505065,1000,108.672468
332.296317,1000,109.367103
373.965941,1000,110.788555
392.632068,1000,111.591522
287.64099,1000,113.093196
218.846352,1000,113.915272
367.787817,1000,115.420958
333.350024,1000,116.25447
357.834792,1000,117.852056
266.661259,1000,118.657839
419.407133,1000,120.171019
295.723096,1000,121.000917
372.22882,1000,122.500813
385.806044,1000,123.123707
378.838431,1000,124.381496
439.845722,1000,125.187403
365.083699,1000,126.763649
372.041055,1000,127.579863
374.204782,1000,128.996391
383.13583,1000,129.789629
486.654606,1000,131.304051
333.193735,1000,132.086793
405.928282,1000,133.620858
408.044602,1000,134.45241
412.146685,1000,136.068275
457.064778,1000,136.890205
485.785475,1000,138.247663
397.799717,1000,138.924029
424.155917,1000,140.355716
535.402272,1000,140.880515
444.902147,1000,141.492311
489.651309,1000,142.837359
457.283612,1000,143.534119
492.380876,1000,144.845735
414.376336,1000,145.545772
510.900827,1000,146.932581
460.428462,1000,147.505395
425.972114,1000,149.000959
371.32942,1000,149.808117
481.882487,1000,151.363519
434.639565,1000,152.191149
532.180627,1000,153.654939
505.045656,1000,154.456601
567.579657,1000,155.83346
486.097992,1000,156.383714
640.178296,1000,157.75431
563.087764,1000,158.557673
566.570175,1000,160.154285
547.578291,1000,160.988635
554.584276,1000,162.364849
501.731183,1000,163.054505
522.995052,1000,164.609275
448.205982,1000,165.365854
583.445073,1000,166.823824
552.752591,1000,167.590611
545.571105,1000,169.094493
570.087517,1000,169.920815
459.247563,1000,171.464444
646.438432,1000,172.289329
578.992829,1000,173.756162
627.9578,1000,174.548387
583.633086,1000,176.103423
604.335597,1000,176.76386
644.184872,1000,178.131055
585.169768,1000,178.779764
518.077363,1000,180.037099
600.211273,1000,180.733294
597.644098,1000,182.165294
548.552225,1000,182.94039
648.036071,1000,184.491592
611.174679,1000,185.156023
660.515721,1000,186.58951
582.91315,1000,187.394061
661.094165,1000,188.092006
642.457925,1000,189.403086
654.763648,1000,190.057611
554.948551,1000,191.525349
616.967619,1000,192.354269
698.253058,1000,193.744878
665.708475,1000,194.305312
672.764875,1000,195.775498
624.279632,1000,196.560517
739.082803,1000,198.034147
693.469602,1000,198.765908
643.790413,1000,200.369735
742.786406,1000,201.143431
701.452146,1000,202.596246
713.256525,1000,203.398811
763.405545,1000,204.838164
734.76489,1000,205.619051
636.98442,1000,207.171185
763.044424,1000,207.885365
719.421254,1000,209.43194
686.476944,1000,210.236852
708.137744,1000,211.756251
661.180263,1000,212.549931
634.655372,1000,214.081688
681.213809,1000,214.771382
697.198903,1000,216.0799
715.11753,1000,216.76864
673.021837,1000,218.339335
683.081312,1000,219.106755
771.614187,1000,220.514996
810.415157,1000,221.215358
817.453549,1000,222.771859
701.847678,1000,223.565303
642.106176,1000,225.113802
759.844524,1000,225.882098
735.820317,1000,227.436253
716.321916,1000,228.271331
703.131059,1000,229.701426
750.961472,1000,230.526214
753.266619,1000,232.057927
825.826559,1000,232.88206
710.167345,1000,234.431733
735.240921,1000,235.195123
724.871432,1000,235.994313
719.850867,1000,237.61566
779.068966,1000,238.39047
762.438958,1000,239.772019
651.273403,1000,240.557115
761.917575,1000,242.18814
827.342332,1000,243.016655
796.166149,1000,244.406433
752.341845,1000,245.030159
681.984446,1000,246.440137
637.816393,1000,247.241316
750.213273,1000,248.78534
763.575779,1000,249.588044
789.596367,1000,251.067363
808.913276,1000,251.88441
714.725225,1000,253.325884
611.304802,1000,254.017664
765.985917,1000,255.506279
674.183722,1000,256.23179
823.361357,1000,257.449571
783.865365,1000,258.218365
835.211809,1000,259.756662
718.708593,1000,260.423195
721.14267,1000,261.804443
781.208442,1000,262.496512
897.158294,1000,263.97937
793.306289,1000,264.728782
806.081299,1000,266.290071
785.341013,1000,267.008609
771.376665,1000,268.443549
845.904853,1000,269.250165
834.547658,1000,270.534655
825.375322,1000,271.352668
868.562645,1000,272.915036
853.547853,1000,273.606379
839.92493,1000,275.175204
831.101293,1000,275.991784
858.089745,1000,277.351414
808.950767,1000,278.175916
802.075595,1000,279.526366
848.485232,1000,280.183612
823.313929,1000,280.99219
847.219643,1000,282.538274
811.670651,1000,283.251848
884.156085,1000,284.836442
866.833253,1000,285.66684
708.915879,1000,287.131113
853.826185,1000,287.765193
858.221203,1000,289.232222
810.871751,1000,290.057047
909.695916,1000,291.592227
867.576781,1000,292.395359
812.732237,1000,293.866509
814.423323,1000,294.687122
835.526858,1000,296.1991
777.411342,1000,297.012959
859.740348,1000,298.484942
871.53902,1000,299.022471
810.03689,1000,300.333339
853.176029,1000,301.146733
852.668977,1000,302.63463
810.614823,1000,303.459465
865.129144,1000,305.013189
787.162666,1000,305.707673
809.356115,1000,307.007717
858.063827,1000,307.694313
803.581343,1000,309.213304
894.980856,1000,309.967907
856.693041,1000,311.501171
656.469144,1000,312.237449
898.185641,1000,313.492061
885.997084,1000,314.113819
814.324039,1000,315.540534
885.661005,1000,316.352115
892.943586,1000,317.744241
898.798945,1000,318.483571
912.502178,1000,320.01229
876.348016,1000,320.705424
933.082893,1000,322.036315
832.372584,1000,322.865708
894.116209,1000,324.210865
859.891761,1000,324.923856
864.809785,1000,326.530978
888.465731,1000,327.211319
877.572041,1000,327.970683
975.485687,1000,329.386039
924.2297,1000,330.1343
939.129754,1000,331.609248
884.170666,1000,332.414144
979.068368,1000,333.758312
889.475721,1000,334.491259
864.063938,1000,336.08581
747.017142,1000,336.909331
933.102943,1000,338.452474
980.896045,1000,339.253814
879.125869,1000,340.667571
949.363039,1000,341.448147
927.947811,1000,343.054041
928.449734,1000,343.843317
898.254347,1000,345.266602
910.852874,1000,346.095076
993.26482,1000,347.561901
876.062605,1000,348.116826
981.821952,1000,349.685895
938.103513,1000,350.498755
