#{"t_start": 1532216463.3906035, "env_id": "HalfCheetah-v2"}
r,l,t
-1100.977078,1000,0.670551
-1349.244197,1000,1.266062
-1055.370444,1000,3.905336
-1093.936434,1000,4.815379
-1219.807532,1000,7.549446
-1330.8964,1000,8.17614
-948.927945,1000,10.824055
-1224.399514,1000,11.45615
-1301.805469,1000,14.381027
-1029.171787,1000,15.1892
-1179.415987,1000,17.893179
-1160.470962,1000,18.54008
-935.143434,1000,21.460377
-1042.534153,1000,22.126953
-931.4179,1000,24.662963
-938.201549,1000,25.451579
-816.256973,1000,28.145488
-933.24555,1000,28.851546
-1055.117188,1000,31.492085
-1075.766823,1000,32.218694
-936.265331,1000,35.056135
-1024.459252,1000,35.788528
-879.841387,1000,38.599169
-884.161949,1000,39.344046
-784.563013,1000,42.082253
-901.596863,1000,42.80187
-807.433992,1000,45.5461
-986.343427,1000,46.266097
-778.841695,1000,48.952215
-739.608939,1000,49.595226
-828.288645,1000,52.27882
-663.366636,1000,52.985756
-742.191024,1000,55.773604
-605.349479,1000,56.41611
-690.739538,1000,59.132407
-796.99291,1000,59.896832
-718.659514,1000,62.843201
-822.579125,1000,63.549849
-739.315333,1000,66.411293
-796.614212,1000,67.082467
-548.623648,1000,69.745929
-442.910408,1000,70.49283
-672.823987,1000,71.246912
-591.29664,1000,74.143
-660.49547,1000,74.886336
-477.933422,1000,77.544186
-646.106944,1000,78.314352
-632.784125,1000,81.294921
-429.700182,1000,82.102148
-602.36173,1000,85.055448
-603.955749,1000,85.859727
-669.12544,1000,88.904018
-682.552877,1000,89.674664
-616.675965,1000,92.530366
-496.869275,1000,93.352423
-674.674867,1000,96.063919
-640.37282,1000,96.9215
-442.72581,1000,99.828393
-549.600201,1000,100.559955
-663.421584,1000,103.340725
-298.04311,1000,104.072942
-575.025263,1000,106.903961
-587.193784,1000,107.637222
-479.767751,1000,110.555071
-429.680208,1000,111.270336
-497.371576,1000,114.066689
-318.029714,1000,114.815275
-367.996754,1000,117.485857
-551.861006,1000,118.211903
-546.977711,1000,121.150861
-453.743283,1000,121.903402
-512.105279,1000,124.490489
-396.80139,1000,125.167205
-415.274427,1000,127.846589
-575.044023,1000,128.578113
-365.420556,1000,131.444133
-312.370284,1000,132.153975
-292.239032,1000,135.023665
-447.524649,1000,135.702579
-635.443328,1000,138.440413
-340.73595,1000,139.104278
-471.680001,1000,141.832114
-525.103223,1000,142.510097
-406.388794,1000,145.451247
-709.301401,1000,146.196654
-324.856728,1000,147.00878
-244.635596,1000,150.24829
-348.50106,1000,151.008281
-352.275319,1000,154.0804
-298.87968,1000,154.823746
-265.203521,1000,157.596625
-324.091289,1000,158.397657
-242.27428,1000,161.313409
-283.015127,1000,162.076093
-719.629466,1000,164.764863
-304.009484,1000,165.464032
-186.888354,1000,168.368469
-251.356279,1000,169.076125
-123.554165,1000,171.900319
-243.754871,1000,172.635531
-594.447347,1000,175.372892
-241.289883,1000,176.045833
-457.974032,1000,178.796461
-244.146592,1000,179.520873
-235.796677,1000,182.331253
-367.662282,1000,182.988583
-400.209258,1000,185.699696
-201.257243,1000,186.408216
-187.257034,1000,189.091075
-151.390638,1000,189.856727
-175.299583,1000,192.56697
-261.413249,1000,193.275481
-106.756209,1000,195.982847
-167.658969,1000,196.81212
-509.165434,1000,199.538431
-324.379606,1000,200.24841
-562.742018,1000,202.989085
-345.818501,1000,203.80168
-143.244784,1000,206.649014
-267.027187,1000,207.360855
-119.273255,1000,210.149118
-318.64438,1000,210.851741
-261.453284,1000,213.551376
-121.420737,1000,214.193059
-290.380029,1000,217.025908
-779.948991,1000,217.798815
-145.747276,1000,220.469919
-98.909289,1000,221.199522
-58.184654,1000,221.911586
-169.86605,1000,224.537048
-86.297681,1000,225.302108
-12.966451,1000,228.048465
45.57337,1000,228.743564
-106.422783,1000,231.514819
-583.590015,1000,232.192769
-141.377992,1000,234.871055
-281.361749,1000,235.568602
-80.121864,1000,238.259764
-384.838272,1000,239.125467
-78.502909,1000,241.872624
-10.636098,1000,242.672465
-224.238432,1000,245.279191
-61.169536,1000,246.008132
-145.758194,1000,248.773918
-9.19586,1000,249.43537
-14.122531,1000,252.271003
-54.120482,1000,252.929876
-1.266095,1000,255.699626
22.998205,1000,256.499976
-453.554763,1000,259.372758
-613.038787,1000,260.134917
70.6366,1000,263.084318
4.516996,1000,263.823344
17.354356,1000,266.561606
71.796137,1000,267.304175
142.929308,1000,270.155636
-63.56326,1000,270.906457
74.175615,1000,273.780986
84.607347,1000,274.547263
-18.257039,1000,277.27213
111.846767,1000,278.055551
155.540093,1000,280.773417
-83.160134,1000,281.527219
161.809987,1000,284.456516
6.3804,1000,285.22153
-18.475003,1000,288.104052
158.690346,1000,288.844894
115.550072,1000,291.559044
34.128738,1000,292.349875
181.271149,1000,295.247664
106.403042,1000,296.014056
133.567704,1000,296.801776
168.509071,1000,299.662351
207.691437,1000,300.427648
307.409767,1000,303.368342
108.501549,1000,304.136764
144.586117,1000,306.782602
208.318238,1000,307.508031
73.167294,1000,310.308454
224.113698,1000,311.065201
234.919905,1000,314.0141
95.582266,1000,314.798591
188.836071,1000,317.858648
165.939536,1000,318.675657
224.846256,1000,321.522307
303.559859,1000,322.288804
145.291956,1000,324.879837
264.261073,1000,325.634732
115.943027,1000,328.406914
274.024644,1000,329.109768
175.208229,1000,331.819668
317.465342,1000,332.547449
309.990668,1000,335.353794
213.361452,1000,336.031354
286.108149,1000,338.858916
344.063553,1000,339.578018
223.13045,1000,342.425827
452.384661,1000,343.112189
264.962909,1000,345.857153
411.927486,1000,346.578528
292.533005,1000,349.161651
59.542891,1000,349.826047
313.81946,1000,352.590164
448.355594,1000,353.322151
-323.722865,1000,356.163248
474.107915,1000,356.8609
516.231594,1000,359.675295
365.207351,1000,360.441995
445.003784,1000,363.543734
470.473241,1000,364.273354
199.990211,1000,367.245242
460.558212,1000,368.00826
463.116566,1000,371.012684
338.285814,1000,371.8118
531.633828,1000,372.641181
474.370268,1000,375.644622
325.456409,1000,376.451878
338.102598,1000,379.257032
368.441909,1000,380.076651
429.393667,1000,383.131911
486.406298,1000,383.911419
572.762818,1000,386.725592
477.795376,1000,387.52286
526.687495,1000,390.527393
394.080544,1000,391.329624
527.853495,1000,394.372136
625.700801,1000,395.073567
573.849789,1000,397.863839
420.17836,1000,398.647883
618.820132,1000,401.505787
608.57936,1000,402.224974
583.905007,1000,404.975954
689.609729,1000,405.78087
374.273059,1000,408.713314
666.639065,1000,409.404008
475.997596,1000,412.030855
676.657031,1000,412.667753
694.496055,1000,415.353248
487.107619,1000,416.175769
-123.820419,1000,418.907129
748.180563,1000,419.637273
762.553042,1000,422.341587
570.328658,1000,423.087045
675.626747,1000,425.885859
559.319966,1000,426.581385
892.99351,1000,429.328851
308.312925,1000,429.974044
852.151851,1000,432.805671
746.843851,1000,433.443918
855.589409,1000,436.295256
715.81865,1000,436.98625
767.692105,1000,439.830931
752.560547,1000,440.704252
774.525718,1000,443.602197
778.252994,1000,444.306516
781.624146,1000,445.060542
847.366987,1000,447.915941
887.387541,1000,448.713658
752.007384,1000,451.462832
692.998794,1000,452.266231
779.049247,1000,455.225846
778.533693,1000,455.961165
920.545454,1000,458.996776
651.505426,1000,459.779036
640.976348,1000,462.538059
852.50827,1000,463.318616
751.412751,1000,466.342229
916.151561,1000,467.130605
876.694838,1000,470.268883
975.778644,1000,471.061752
919.218889,1000,474.054627
858.428146,1000,474.835536
1026.565023,1000,477.847592
802.739532,1000,478.632172
992.686203,1000,481.465608
860.691267,1000,482.20923
889.898714,1000,485.139231
1129.597488,1000,485.871171
1156.685467,1000,488.91442
802.135393,1000,489.676554
1131.436839,1000,492.59078
881.299859,1000,493.383114
983.111677,1000,496.364375
969.350314,1000,497.138367
893.336002,1000,499.800233
831.248326,1000,500.584299
1060.149512,1000,503.531112
1011.815506,1000,504.313403
1022.84587,1000,507.037159
1024.785513,1000,507.809075
786.023062,1000,512.451865
967.308737,1000,513.770859
953.759054,1000,518.913359
1012.553711,1000,519.906661
1208.426697,1000,522.583363
969.707145,1000,523.300539
915.651268,1000,526.184892
1168.668778,1000,526.998159
1070.287866,1000,527.726301
1074.160504,1000,530.623798
1068.582329,1000,531.376428
1032.847368,1000,534.144945
681.945044,1000,534.898523
1067.813563,1000,537.828144
1026.570206,1000,538.729084
1028.185535,1000,541.724869
1009.391904,1000,542.477941
1040.651704,1000,545.322443
1033.374246,1000,546.092731
1342.399998,1000,548.822952
1046.333694,1000,549.539443
998.48563,1000,552.318487
1132.363671,1000,553.073159
1030.6772,1000,556.128555
1011.991232,1000,556.846432
1250.469562,1000,559.728858
1103.897226,1000,560.486718
851.61485,1000,563.157015
1217.015405,1000,563.98616
921.748177,1000,566.812007
1282.733609,1000,567.518768
1255.964963,1000,570.208829
858.45681,1000,570.938265
1086.274851,1000,573.789946
1209.698711,1000,574.510332
1144.619437,1000,577.367967
987.829751,1000,578.087373
984.731158,1000,581.055647
1053.038333,1000,581.822949
1072.112173,1000,584.715168
1256.146104,1000,585.493414
1126.814122,1000,588.388441
1003.274988,1000,589.211923
1263.550541,1000,592.35653
1113.397331,1000,593.168831
994.795584,1000,596.13518
1067.944519,1000,596.929629
1045.700604,1000,599.909929
1257.192278,1000,600.759327
1369.343655,1000,603.452481
1216.364939,1000,604.250219
1047.148129,1000,605.033513
975.563318,1000,607.970483
1166.111974,1000,608.770737
1112.065961,1000,611.617829
1083.469445,1000,612.457025
994.260462,1000,615.495794
1108.557938,1000,616.276805
1055.500874,1000,618.996469
1045.586321,1000,619.760954
1071.775417,1000,622.625974
1140.675243,1000,623.368281
1140.786981,1000,626.141947
1154.276742,1000,626.801694
1258.651168,1000,629.509514
1121.177224,1000,630.217007
1183.790227,1000,633.26401
1320.162569,1000,633.996795
1157.326008,1000,636.884743
1227.313895,1000,637.651798
1193.830679,1000,640.322071
1244.696772,1000,641.130273
1025.096682,1000,643.985539
1173.878474,1000,644.698208
1281.530415,1000,647.356276
1311.872712,1000,648.156372
1146.297738,1000,650.872676
1104.639785,1000,651.506537
1098.540395,1000,654.218293
1222.491966,1000,654.936808
1186.508036,1000,657.586544
1131.493379,1000,658.307635
1067.817859,1000,661.145029
1052.199442,1000,661.968091
1158.851008,1000,664.935602
1254.716842,1000,665.658606
1095.73144,1000,668.564521
1313.997125,1000,669.377856
1210.092887,1000,672.675549
1252.972125,1000,673.416338
953.294562,1000,676.561465
1315.161148,1000,677.349918
1279.651642,1000,680.163262
1331.515156,1000,680.959469
1298.184403,1000,681.747254
1165.715627,1000,684.583496
1352.525911,1000,685.293491
966.667426,1000,688.083808
1342.280884,1000,688.942215
1366.538914,1000,691.72729
1291.627889,1000,692.54137
1296.085314,1000,695.398015
1364.359759,1000,696.196864
1300.616001,1000,699.161759
1115.449978,1000,699.931914
1389.724825,1000,702.633638
1198.31041,1000,703.433235
1173.613053,1000,706.15737
1308.006479,1000,706.922453
1288.653979,1000,709.680553
1490.593743,1000,710.406913
1499.157921,1000,713.139781
1421.188447,1000,714.007816
1459.475122,1000,717.069
1163.49792,1000,717.860922
1256.308118,1000,720.881297
1570.443697,1000,721.70673
1290.817029,1000,724.542819
1410.741413,1000,725.286216
