#{"t_start": 1533058783.5157804, "env_id": "HalfCheetah-v2"}
r,l,t
-1297.321589,1000,3.568287
-1230.90314,1000,6.921611
-1271.270312,1000,22.100356
-1267.282571,1000,25.487304
-1344.702973,1000,40.241289
-1177.618946,1000,43.656332
-1245.90086,1000,58.413571
-1351.361774,1000,62.551649
-1232.310895,1000,76.124409
-1244.440754,1000,80.225942
-1114.683823,1000,94.58544
-1219.786824,1000,98.094647
-1117.823091,1000,111.868476
-1132.464811,1000,116.049555
-1183.109934,1000,131.102677
-1108.568853,1000,135.184261
-1123.204261,1000,149.63349
-1141.383768,1000,153.764071
-979.580786,1000,168.151035
-1047.445138,1000,172.299688
-1000.242653,1000,186.639381
-1043.295994,1000,190.47073
-994.53693,1000,205.08033
-903.395234,1000,208.933843
-1113.181184,1000,223.152232
-1030.870658,1000,226.621739
-1015.928024,1000,240.950825
-1076.758636,1000,244.718641
-935.490514,1000,259.452197
-1037.207711,1000,263.153538
-942.352768,1000,278.352605
-945.217587,1000,282.347246
-881.862267,1000,296.663899
-901.14692,1000,300.571152
-887.257413,1000,314.198432
-882.092291,1000,317.590693
-865.700903,1000,332.150929
-894.502163,1000,336.132051
-851.347576,1000,351.143341
-822.906704,1000,355.048015
-1162.163579,1000,369.350698
-795.910158,1000,372.900859
-821.969263,1000,376.730247
-956.365569,1000,391.272981
-840.910084,1000,394.729
-799.757663,1000,408.672165
-918.644074,1000,412.077859
-723.137067,1000,425.723122
-887.320147,1000,429.514359
-766.692227,1000,444.116952
-658.900222,1000,447.869117
-725.138351,1000,461.867522
-938.10667,1000,465.683289
-678.943194,1000,480.194547
-627.988572,1000,484.130332
-653.592434,1000,498.641055
-695.201569,1000,502.260349
-747.114466,1000,516.812241
-680.378958,1000,521.007701
-612.279169,1000,534.918052
-670.707695,1000,538.347121
-653.03375,1000,552.789944
-601.614718,1000,556.654495
-729.014993,1000,571.223419
-613.66471,1000,574.900093
-585.943356,1000,589.667077
-681.012823,1000,593.414308
-708.970717,1000,607.788561
-615.753563,1000,611.74141
-583.995731,1000,625.921479
-595.443195,1000,629.467466
-548.784807,1000,644.091023
-610.564976,1000,647.945703
-567.334024,1000,662.23103
-534.83196,1000,665.695562
-549.673915,1000,680.405343
-580.56314,1000,684.309587
-568.641501,1000,698.61357
-522.61491,1000,702.006691
-465.905007,1000,716.151257
-481.511319,1000,719.722839
-494.803082,1000,734.277132
-547.086376,1000,738.352613
-617.088849,1000,752.217205
-542.756632,1000,756.154788
-445.88706,1000,760.200792
-439.517853,1000,774.369651
-467.159958,1000,777.967691
-478.691613,1000,791.905873
-429.616085,1000,796.033593
-667.556987,1000,810.156925
-470.076264,1000,814.187652
-447.724479,1000,828.446017
-489.855975,1000,832.077027
-471.544089,1000,847.031777
-456.783963,1000,850.926657
-450.581608,1000,864.834845
-456.074984,1000,868.357847
-544.584664,1000,882.36922
-721.781077,1000,885.786661
-378.816539,1000,899.891541
-472.75074,1000,903.317858
-326.341617,1000,918.065774
-409.496728,1000,921.866264
-350.071607,1000,935.649355
-315.886013,1000,939.528812
-368.812893,1000,953.793301
-361.032815,1000,957.245756
-355.53529,1000,971.466675
-367.697896,1000,974.981668
-440.454901,1000,988.787034
-324.613683,1000,992.487145
-300.897113,1000,1006.903015
-359.838919,1000,1011.105057
-379.90329,1000,1025.165709
-316.309492,1000,1028.83227
-287.981782,1000,1043.757735
-341.330493,1000,1047.22928
-249.718909,1000,1061.365547
-284.873652,1000,1064.818255
-326.329089,1000,1078.881734
-263.733986,1000,1082.664011
-230.690272,1000,1097.05596
-279.863186,1000,1100.701936
-249.441859,1000,1115.650495
-222.592184,1000,1119.189919
-271.99404,1000,1133.827988
-270.915518,1000,1137.092266
-251.432209,1000,1140.339331
-251.063559,1000,1154.548179
-241.229614,1000,1158.044318
-235.386978,1000,1172.807251
-206.78956,1000,1176.418564
