#{"t_start": 1533085372.6973286, "env_id": "HalfCheetah-v2"}
r,l,t
-1170.537849,1000,1.84444
-1340.120827,1000,3.250522
-1550.77368,1000,8.368561
-1193.659132,1000,9.618201
-1183.851972,1000,14.708949
-1430.955856,1000,15.87595
-1083.091581,1000,20.890971
-1147.223146,1000,22.482556
-960.341464,1000,28.029105
-1213.87053,1000,29.190599
-1002.565333,1000,34.309034
-1013.081752,1000,35.894894
-1110.681548,1000,41.995944
-1047.026793,1000,43.206068
-1101.652322,1000,48.945429
-998.276323,1000,50.103671
-1264.418814,1000,55.082892
-1000.039928,1000,56.430984
-1258.722017,1000,62.019999
-1046.16242,1000,63.150392
-976.824565,1000,68.275889
-1154.553738,1000,69.874568
-903.354917,1000,75.475597
-978.520348,1000,76.593277
-907.319273,1000,82.031171
-904.182425,1000,83.200523
-917.656218,1000,88.991907
-920.646866,1000,90.171909
-834.555975,1000,95.651499
-860.638397,1000,96.774346
-882.205141,1000,101.917047
-857.512821,1000,103.259788
-786.944268,1000,108.384635
-836.847404,1000,109.845934
-1025.53043,1000,114.643306
-1006.942873,1000,116.028867
-918.457632,1000,121.132518
-725.741201,1000,122.251634
-893.804175,1000,127.979498
-897.891378,1000,129.092547
-813.592317,1000,133.933577
-832.616771,1000,135.303528
-792.969217,1000,136.433449
-730.486447,1000,142.296447
-705.998932,1000,143.594499
-754.970529,1000,148.658063
-720.168895,1000,149.812299
-817.437992,1000,155.569651
-722.74236,1000,156.741366
-710.14508,1000,162.078774
-792.336146,1000,163.222102
-677.313162,1000,168.816288
-824.66964,1000,169.948513
-593.436532,1000,175.634593
-691.852136,1000,177.158291
-699.808949,1000,183.11068
-802.100435,1000,184.430244
-707.863356,1000,189.846678
-697.534052,1000,190.985445
-722.98789,1000,196.668341
-622.303343,1000,197.91941
-599.300229,1000,203.487874
-629.737388,1000,204.754082
-614.182822,1000,210.329735
-563.682804,1000,211.477662
-456.152372,1000,216.686622
-662.478495,1000,218.135898
-640.626261,1000,223.412626
-554.168085,1000,224.669155
-568.545857,1000,230.308836
-538.526875,1000,231.540275
-525.350899,1000,236.748247
-598.14589,1000,237.979268
-640.31061,1000,243.356419
-678.148962,1000,244.654019
-338.738069,1000,250.183292
-677.151684,1000,251.298385
-483.425255,1000,256.123007
-519.086185,1000,257.440044
-501.885388,1000,262.46166
-549.124815,1000,263.659734
-511.320881,1000,269.149411
-526.236418,1000,270.442353
-464.683133,1000,276.284869
-539.570411,1000,277.651248
-490.333711,1000,278.894422
-481.515304,1000,283.928533
-547.924087,1000,285.06575
-377.609858,1000,290.729949
-434.16883,1000,291.901477
-418.637102,1000,297.335209
-755.606268,1000,298.457026
-462.453275,1000,303.907433
-344.433823,1000,305.135423
-483.609693,1000,310.694284
-377.983222,1000,311.859907
-396.836738,1000,317.413842
-453.308993,1000,318.570019
-512.168292,1000,323.935014
-415.696846,1000,325.378759
-364.377482,1000,330.941799
-418.834646,1000,332.06915
-374.687606,1000,337.216083
-374.668501,1000,338.454057
-530.959409,1000,343.459449
-550.309926,1000,344.839718
-296.755892,1000,350.105053
-264.692324,1000,351.226345
-372.930526,1000,356.454179
-429.940829,1000,357.732282
-335.981992,1000,363.194316
-380.585413,1000,364.459461
-283.793456,1000,369.861379
-381.013755,1000,370.988113
-329.623134,1000,376.659981
-324.265043,1000,377.789037
-367.640481,1000,382.89106
-560.794079,1000,384.160697
-258.049058,1000,389.015935
-259.765936,1000,390.227779
-485.462649,1000,395.766095
-362.619287,1000,397.08072
-271.867909,1000,402.38173
-273.502167,1000,403.580092
-286.91151,1000,408.883836
-290.574121,1000,410.039428
-336.497559,1000,415.207721
-208.822161,1000,416.406403
-269.334389,1000,417.486262
-218.912521,1000,422.937129
-291.71553,1000,424.064867
-242.408762,1000,429.568041
-226.928745,1000,430.757216
-207.949581,1000,436.224561
-257.696918,1000,437.383655
-266.364565,1000,442.389511
-223.07922,1000,443.504629
-167.372968,1000,448.922589
-180.734494,1000,450.051976
-183.222042,1000,455.283363
-171.687543,1000,456.432482
-185.16098,1000,461.858489
-222.386013,1000,463.253603
-271.051537,1000,468.812476
-201.100113,1000,470.093348
-213.10141,1000,476.224566
-187.95305,1000,477.402552
-214.316502,1000,482.62467
-126.748336,1000,483.741297
-171.355736,1000,489.163666
-312.044104,1000,490.252331
-121.712003,1000,495.940268
-70.966004,1000,497.295187
-151.275006,1000,502.406868
-159.750307,1000,503.534847
-188.09105,1000,508.776897
-157.659535,1000,510.179022
-165.741575,1000,515.495614
-246.198244,1000,516.632787
-156.838382,1000,521.810175
-277.278654,1000,522.917031
-70.373432,1000,528.199015
-149.735007,1000,529.333736
-269.194983,1000,535.080246
-200.168609,1000,536.208713
-62.348643,1000,541.465374
-256.506182,1000,542.88409
-247.963746,1000,548.24823
-95.78567,1000,549.607169
-171.834831,1000,555.088549
-145.248871,1000,556.246962
-84.945777,1000,557.65366
-78.502164,1000,563.358489
-63.313007,1000,564.533212
-52.916107,1000,570.393806
-46.569804,1000,571.502045
-76.328609,1000,577.162107
-67.930084,1000,578.379838
0.621669,1000,583.551103
-103.25622,1000,584.776912
-91.722578,1000,590.085439
-87.224975,1000,591.236111
-5.841476,1000,595.837794
33.208347,1000,596.964198
-119.879808,1000,602.127667
-19.763407,1000,603.543921
-49.86207,1000,609.282849
32.321271,1000,610.815515
-54.227229,1000,615.957465
-9.559258,1000,617.447383
18.357214,1000,622.766597
51.404188,1000,623.913367
-50.913391,1000,629.291471
11.974848,1000,630.824531
-1.611709,1000,636.394098
-4.417317,1000,637.609312
73.255446,1000,643.300111
56.559729,1000,644.615629
75.941213,1000,649.813453
87.893118,1000,651.07533
5.235314,1000,656.722601
67.634961,1000,657.934917
225.915249,1000,662.931756
-1.063791,1000,664.032421
199.963973,1000,669.480698
57.532464,1000,670.74838
141.610723,1000,676.817606
159.019328,1000,677.979296
88.344689,1000,683.961857
176.144355,1000,685.102834
222.237872,1000,690.698977
297.083253,1000,691.851584
222.212475,1000,697.234036
287.459643,1000,698.466007
143.475708,1000,699.956347
217.383867,1000,705.25914
121.991704,1000,706.370083
264.429115,1000,711.774366
249.830346,1000,712.87991
306.701334,1000,717.947153
349.144289,1000,719.083314
369.464609,1000,724.726331
297.741114,1000,726.0265
317.888245,1000,731.377584
407.720829,1000,732.983425
336.330716,1000,738.009706
269.314529,1000,739.135638
372.198156,1000,744.257212
390.219487,1000,745.769767
350.800692,1000,751.012665
273.120051,1000,752.604363
480.477952,1000,757.841649
258.286378,1000,759.107185
341.755855,1000,764.428547
465.141656,1000,765.606511
464.823516,1000,771.238154
416.652435,1000,772.488045
373.298846,1000,777.632563
506.171971,1000,778.949965
461.009392,1000,784.381837
456.404793,1000,785.694077
312.455128,1000,790.744592
274.475673,1000,791.99206
495.957138,1000,797.173222
519.042433,1000,798.70569
456.826072,1000,803.337974
394.43756,1000,804.61854
551.195913,1000,809.581693
585.323708,1000,810.724485
498.560914,1000,816.247144
514.65119,1000,817.466226
458.04243,1000,822.869249
511.026106,1000,824.099516
556.875489,1000,829.537503
557.079244,1000,830.720018
496.504462,1000,832.143861
555.634343,1000,837.087298
492.69644,1000,838.19216
505.683866,1000,843.22878
527.186642,1000,844.638061
621.373815,1000,849.947742
635.678343,1000,851.193602
573.440322,1000,857.287724
587.149683,1000,858.405322
550.346556,1000,863.629265
548.243487,1000,864.750967
596.423775,1000,870.656363
621.376134,1000,872.099291
668.135664,1000,877.397246
495.201714,1000,878.718587
602.588769,1000,883.71109
576.871162,1000,885.094631
623.945001,1000,890.649917
694.948838,1000,892.008523
616.651447,1000,897.527056
746.112998,1000,898.928086
630.505464,1000,904.189961
675.432226,1000,905.319668
666.180196,1000,910.727276
631.755196,1000,912.138117
640.13121,1000,917.665642
693.320311,1000,918.832203
635.721079,1000,924.286112
708.266217,1000,925.531635
710.758581,1000,930.953026
735.786506,1000,932.199586
737.235149,1000,937.155594
720.506271,1000,938.589833
791.472983,1000,943.387104
715.738605,1000,944.582432
625.862072,1000,950.014427
615.283083,1000,951.204539
704.471261,1000,956.028122
693.207823,1000,957.28614
756.775459,1000,962.400719
659.203552,1000,963.709015
758.856895,1000,968.828406
753.461933,1000,969.989166
599.113046,1000,971.323486
656.330857,1000,976.717557
646.417383,1000,977.966905
640.794836,1000,983.25517
709.078272,1000,984.383983
743.189978,1000,990.105994
773.058124,1000,991.264508
695.165246,1000,996.779588
738.752156,1000,997.894931
741.463769,1000,1003.435123
705.937748,1000,1004.587046
725.008176,1000,1010.335122
670.045766,1000,1011.510195
781.117584,1000,1017.007139
763.170614,1000,1018.17156
693.33698,1000,1023.398333
717.767588,1000,1024.849106
821.305069,1000,1030.393333
783.092455,1000,1031.610315
735.259107,1000,1036.841448
843.488371,1000,1038.03632
768.256236,1000,1043.270386
816.601855,1000,1044.411707
806.261469,1000,1049.294826
831.855717,1000,1050.384406
811.29342,1000,1055.5119
814.740293,1000,1056.894001
840.274734,1000,1062.310212
840.78725,1000,1063.412895
878.214578,1000,1069.215349
889.945065,1000,1070.411352
849.810181,1000,1075.905409
857.706034,1000,1077.183192
896.75999,1000,1082.754355
846.928403,1000,1084.144258
916.784451,1000,1089.386138
836.598733,1000,1090.51602
