#{"t_start": 1534275590.0080757, "env_id": "HalfCheetah-v2"}
r,l,t
-817.876638,1000,1.020502
-838.137667,1000,1.996254
-674.012562,1000,8.487723
-902.303836,1000,9.768667
-816.920927,1000,16.135697
-756.338312,1000,17.148418
-699.50673,1000,24.188655
-835.925933,1000,25.547068
-776.389825,1000,31.91755
-785.260684,1000,32.885333
-574.761005,1000,38.848463
-864.080543,1000,40.07097
-732.575792,1000,46.470525
-800.125398,1000,47.557315
-687.922624,1000,54.202643
-625.511834,1000,55.334036
-651.109123,1000,62.019211
-695.216346,1000,63.299798
-805.107231,1000,69.538167
-450.011153,1000,70.768394
-516.506475,1000,76.98903
-633.947563,1000,78.261798
-649.313152,1000,84.477769
-622.219716,1000,85.663891
-565.495946,1000,91.724795
-519.879145,1000,92.875392
-523.603981,1000,99.255911
-526.206205,1000,100.352385
-473.432785,1000,107.033353
-639.010066,1000,108.166646
-418.212356,1000,114.022899
-429.509858,1000,115.066785
-548.188275,1000,121.213306
-483.042102,1000,122.357272
-528.256825,1000,128.295901
-521.797051,1000,129.26547
-675.424912,1000,135.442518
-475.434599,1000,136.645524
-492.653244,1000,142.868628
-413.870039,1000,144.046641
-505.778124,1000,150.865672
-397.388363,1000,151.962294
-382.260459,1000,152.936828
-467.063601,1000,159.307967
-385.464977,1000,160.281986
-511.872597,1000,166.740819
-441.363333,1000,167.708656
-453.009585,1000,174.00029
-610.54933,1000,175.036999
-419.889311,1000,181.296769
-391.144491,1000,182.295897
-352.38705,1000,188.059372
-373.46818,1000,189.099845
-422.755099,1000,195.272349
-316.102541,1000,196.408766
-372.348355,1000,203.064208
-406.428885,1000,204.370384
-371.227792,1000,210.791312
-350.743123,1000,212.050418
-374.177215,1000,218.962944
-187.770708,1000,220.088429
-290.687138,1000,226.620079
-332.071835,1000,227.735124
-332.531868,1000,233.869738
-299.059629,1000,234.835824
-340.011653,1000,241.6276
-387.263355,1000,242.608297
-270.732268,1000,249.188338
-342.110943,1000,250.812902
-385.702264,1000,256.928365
-368.635036,1000,257.953213
-199.876503,1000,264.648679
-219.999608,1000,265.721525
-325.972079,1000,271.859343
-333.107414,1000,272.865507
-210.652728,1000,278.282685
-335.628622,1000,279.290629
-268.709488,1000,285.334717
-268.013805,1000,286.439428
-105.841572,1000,293.011564
22.777696,1000,294.086922
-255.316038,1000,300.256796
-221.253594,1000,301.338113
-235.388543,1000,307.043702
-41.326157,1000,308.023724
-270.654993,1000,309.132821
-310.771862,1000,315.713145
-238.7672,1000,316.91993
-186.590249,1000,323.445866
-133.044664,1000,324.418845
-270.761795,1000,330.691874
-196.480828,1000,331.8325
-202.605675,1000,337.397053
-213.889449,1000,338.376529
-112.326678,1000,344.227805
-114.431986,1000,345.191538
-174.378003,1000,351.166855
-220.903396,1000,352.141335
-226.966687,1000,358.87514
-240.340619,1000,359.848232
-208.518797,1000,365.531472
-173.689952,1000,366.504488
-195.386961,1000,373.423452
-135.40448,1000,374.719714
-177.8362,1000,380.995962
-125.687447,1000,381.970247
-149.269814,1000,388.191197
-136.112966,1000,389.157902
-154.834781,1000,395.491841
-144.870404,1000,396.602744
117.514752,1000,402.882825
14.165748,1000,403.84254
-149.228388,1000,410.50939
-184.81692,1000,411.58856
-182.941149,1000,417.655271
-70.716582,1000,418.623457
-118.197241,1000,424.755365
-128.344378,1000,425.894376
-56.34264,1000,432.082874
-35.693054,1000,433.115863
-56.922221,1000,439.400202
15.636097,1000,440.384094
-86.625027,1000,446.518488
-37.06519,1000,447.888937
-24.614227,1000,454.436438
-33.822225,1000,455.776078
1.83332,1000,461.997087
-6.422876,1000,463.293012
-77.572327,1000,464.462664
-2.246813,1000,471.253312
1.658951,1000,472.218961
-30.155854,1000,478.142695
63.285745,1000,479.112937
54.256107,1000,485.829128
20.994078,1000,486.803344
77.420783,1000,493.647169
78.495765,1000,494.797026
76.222647,1000,500.689011
71.026939,1000,501.863789
89.821054,1000,508.120034
56.702636,1000,509.279032
111.550031,1000,516.333017
121.621045,1000,517.303326
87.877431,1000,523.591595
42.294485,1000,524.58023
108.967542,1000,530.653967
58.484882,1000,531.621914
104.420249,1000,538.024243
139.277405,1000,539.101352
54.464789,1000,545.784564
146.133772,1000,546.757706
104.640514,1000,552.949202
90.723628,1000,554.148424
109.654877,1000,560.377915
152.668952,1000,561.512311
135.331341,1000,567.665549
154.771159,1000,568.831674
242.918875,1000,575.372611
168.16153,1000,576.56749
193.269321,1000,582.980144
217.173298,1000,583.94055
173.044976,1000,589.897018
188.352981,1000,590.873974
163.047398,1000,596.828661
298.115451,1000,597.799733
193.657611,1000,603.88545
219.207331,1000,604.876794
206.951541,1000,610.687438
224.183478,1000,611.91177
256.533707,1000,618.051403
239.261466,1000,619.067701
250.692729,1000,620.183434
245.025089,1000,626.783945
283.702772,1000,627.737324
220.840568,1000,633.990775
252.364238,1000,635.285743
249.078027,1000,641.395085
319.778671,1000,642.347165
280.642069,1000,648.937595
335.719695,1000,649.925826
355.025742,1000,655.639505
337.938634,1000,656.627611
332.719525,1000,662.892313
292.736885,1000,664.143871
337.75854,1000,670.270266
229.426393,1000,671.436231
284.070546,1000,677.56985
345.312458,1000,678.887884
395.175596,1000,685.230014
325.523716,1000,686.203106
398.014558,1000,691.946512
377.821337,1000,693.047897
371.389335,1000,699.846258
487.343849,1000,700.937108
396.601145,1000,707.397455
416.565727,1000,708.544981
398.056456,1000,715.582374
464.917494,1000,716.557002
452.427604,1000,722.913845
494.541965,1000,724.093493
463.049139,1000,730.810422
470.357218,1000,731.813416
