#{"env_id": "HalfCheetah-v2", "t_start": 1534275590.2480075}
r,l,t
-808.876053,1000,1.680036
-675.303888,1000,2.738461
-697.990473,1000,9.08137
-876.101275,1000,10.197072
-610.509877,1000,16.637828
-527.361734,1000,17.737949
-547.285444,1000,23.676212
-494.197515,1000,24.664766
-638.327937,1000,30.618863
-581.517194,1000,31.60479
-424.568325,1000,37.956283
-749.171219,1000,38.981627
-478.54624,1000,44.928478
-525.547253,1000,45.918335
-529.835328,1000,52.179768
-486.631232,1000,53.224989
-657.068961,1000,60.020609
-672.364739,1000,61.149715
-606.978346,1000,67.655821
-562.585974,1000,68.631536
-341.380613,1000,74.254358
-424.368539,1000,75.472209
-433.250667,1000,81.847915
-530.032808,1000,82.824152
-536.043584,1000,88.899999
-375.330353,1000,89.906952
-452.660677,1000,96.134623
-389.537957,1000,97.105862
-315.107907,1000,103.686254
-445.900582,1000,104.676941
-365.226883,1000,110.525635
-349.436197,1000,111.506117
-537.686325,1000,118.263985
-543.070513,1000,119.408329
-353.676147,1000,125.356431
-310.225028,1000,126.515791
-441.457011,1000,133.131473
-412.553679,1000,134.095941
-323.423949,1000,139.911521
-171.423109,1000,140.971982
-357.040366,1000,147.141128
-420.449466,1000,148.443398
-392.566769,1000,149.420995
-389.839043,1000,155.981547
-223.830169,1000,157.026853
-180.17383,1000,162.590615
-351.127379,1000,163.588532
-194.579684,1000,169.494764
-138.683275,1000,170.599853
-358.983261,1000,177.253844
-183.714877,1000,178.58354
-276.451407,1000,185.269927
-384.17845,1000,186.237986
-228.227755,1000,192.182035
-217.878037,1000,193.244864
-343.642338,1000,200.075843
-277.465293,1000,201.121473
-292.845212,1000,207.025554
-262.274869,1000,208.296865
-246.799032,1000,214.75495
-195.771139,1000,215.73752
-360.877501,1000,221.498712
-217.528677,1000,222.472578
-109.755681,1000,229.269549
-167.395851,1000,230.405936
-137.583361,1000,236.946894
-203.933265,1000,238.015363
-139.82036,1000,244.591683
-156.189103,1000,245.574346
-104.671223,1000,250.763286
-179.408769,1000,251.736606
-75.940214,1000,257.649905
-131.885364,1000,258.839997
-130.859787,1000,265.392644
-62.099226,1000,266.58264
-74.939519,1000,273.535515
-76.742477,1000,274.830901
-64.057646,1000,280.932093
-113.158184,1000,281.917411
-55.872303,1000,288.517859
-47.478585,1000,289.506156
51.372647,1000,295.390855
-50.203711,1000,296.477352
12.182307,1000,302.944591
43.226954,1000,304.175943
4.245926,1000,305.176549
50.899172,1000,311.713823
22.127687,1000,312.780797
-78.32455,1000,318.352986
34.49544,1000,319.369219
21.191931,1000,325.690911
18.780946,1000,326.668023
-170.962659,1000,333.152014
15.651642,1000,334.166545
78.953209,1000,340.023431
16.871675,1000,341.020776
90.870163,1000,347.047389
86.869879,1000,348.191206
149.500344,1000,354.400067
110.180245,1000,355.372187
179.565163,1000,361.268169
63.044243,1000,362.279346
162.620457,1000,368.363545
148.404216,1000,369.338994
44.795201,1000,375.646063
-190.802691,1000,376.627522
-306.03592,1000,382.802269
254.224178,1000,383.968919
173.429676,1000,390.267382
98.740185,1000,391.432976
62.079626,1000,397.78753
188.511201,1000,398.837719
275.410838,1000,405.062865
268.733347,1000,406.034926
