#{"t_start": 1532096926.4384842, "env_id": "Hopper-v2"}
r,l,t
6.344954,9,0.024642
2.709541,17,0.079792
9.856397,13,0.116226
4.974127,8,0.137813
7.400409,10,0.162521
18.273114,40,0.349598
9.464638,13,0.390572
15.330186,15,0.440315
5.884232,9,0.470045
19.843347,26,0.535266
57.680482,36,0.601607
8.383696,12,0.63008
5.023258,24,0.68878
11.337119,23,0.724758
9.906441,12,0.743918
14.517225,16,0.769046
6.896895,10,0.78458
7.316709,10,0.799988
5.016009,22,0.856946
18.770687,45,0.999162
8.122571,11,1.037852
11.057371,12,1.077782
13.097714,31,1.182431
12.334255,15,1.233033
13.305507,15,1.282796
10.625857,12,1.322881
7.839774,27,1.413311
5.935217,9,1.437914
8.943632,15,1.472663
27.701489,47,1.547861
11.238279,17,1.574248
29.533533,36,1.78213
15.578988,17,1.85919
6.022962,10,1.905067
8.560104,13,1.965805
18.130934,20,2.02097
11.132727,20,2.122983
8.711131,13,2.162807
11.795371,19,2.191443
16.534847,34,2.255476
5.997491,27,2.333684
7.533809,11,2.366009
9.426014,11,2.400136
6.687765,9,2.429408
4.757805,8,2.457598
13.584508,16,2.500215
17.339444,18,2.589212
32.799713,29,2.766991
7.005358,23,2.864313
6.90067,29,2.958763
9.41848,12,2.997863
6.700403,29,3.060821
7.990175,10,3.076522
11.467433,32,3.12795
8.5181,11,3.14488
8.170455,12,3.164159
41.830623,35,3.220428
16.44661,22,3.256069
10.494931,31,3.306142
6.565727,10,3.327304
13.383197,19,3.356885
12.059693,25,3.41794
5.717934,18,3.460334
12.718024,22,3.522339
10.022016,35,3.612238
112.551567,78,3.791099
6.133447,9,3.815032
6.928034,10,3.870404
10.559157,13,3.921253
9.153814,12,3.949696
12.939526,15,3.973028
6.736933,34,4.035216
7.323242,35,4.169063
6.57707,9,4.198676
7.644268,11,4.232042
3.718943,7,4.25906
10.496255,25,4.341206
11.337303,30,4.448978
24.563902,23,4.512632
7.065031,11,4.54154
