#{"env_id": "Hopper-v2", "t_start": 1532096926.2930202}
r,l,t
7.282141,10,0.01968
15.47317,16,0.039071
32.157012,40,0.089491
7.834995,11,0.104501
7.479325,10,0.117778
7.129677,10,0.130109
7.9606,10,0.143263
50.707111,45,0.26393
5.17387,9,0.285152
5.042234,10,0.316833
9.549195,12,0.337351
8.497481,12,0.390227
6.047739,9,0.403672
4.680785,9,0.43231
27.600264,24,0.494087
6.559175,12,0.524713
10.985981,26,0.601579
26.282725,38,0.773525
6.8578,20,0.874173
6.75827,11,0.906625
12.566248,14,0.936075
10.937076,15,0.990478
9.467047,11,1.02333
7.87709,11,1.056101
12.401304,28,1.097445
8.071391,12,1.146003
7.709515,11,1.174417
7.339292,11,1.197333
8.244363,26,1.276265
5.464596,9,1.309638
12.249573,16,1.341676
74.648044,53,1.504698
5.120445,10,1.53568
5.418006,10,1.566851
7.855877,10,1.597822
8.989485,12,1.627491
6.278637,9,1.640594
6.799871,11,1.656661
7.058949,10,1.671089
6.564315,9,1.684118
4.50825,10,1.699155
5.532969,18,1.725734
4.164109,8,1.737647
14.103969,18,1.809503
9.419615,13,1.847207
8.101496,11,1.88025
5.129993,8,1.933042
3.402741,8,1.967946
5.903356,11,2.021097
6.613535,13,2.086624
12.545282,19,2.173578
15.25084,16,2.221329
15.662114,27,2.316454
9.680023,14,2.355143
7.957516,10,2.382425
25.033608,22,2.487935
9.407173,11,2.526387
5.11883,11,2.565733
8.23121,14,2.609626
13.01198,24,2.690479
6.648997,9,2.720486
51.049029,68,2.969506
10.47649,13,3.019512
7.662154,12,3.052161
7.369379,14,3.100245
10.725259,14,3.149379
30.34709,34,3.269115
5.183858,11,3.313913
5.929729,9,3.344182
3.82338,8,3.373537
7.079859,10,3.395046
10.825256,25,3.513717
4.054652,7,3.548717
7.041944,10,3.58609
6.546122,10,3.618316
11.644949,23,3.687339
33.530592,58,3.884568
9.020302,13,3.920719
11.969041,31,4.103114
4.383497,8,4.140439
5.71548,11,4.179847
9.15561,24,4.266981
5.662897,9,4.280247
9.878519,24,4.356395
6.50698,9,4.390781
4.512511,8,4.402588
8.672404,13,4.442894
6.454225,10,4.457774
54.94271,33,4.506171
23.315813,32,4.572624
7.309898,10,4.609381
3.714778,9,4.622774
9.933048,21,4.687147
54.417003,51,4.762444
6.618033,10,4.777317
8.678104,11,4.793332
6.52889,18,4.820504
10.191554,13,4.839496
6.141614,10,4.854002
5.299413,8,4.880534
11.165306,27,4.969017
9.78157,16,5.015124
8.38098,16,5.05004
7.369844,10,5.073389
6.38942,10,5.088162
10.783283,13,5.107296
12.410159,15,5.151868
44.701699,41,5.321192
6.200333,11,5.386477
2.287446,19,5.479442
28.031712,41,5.617937
34.984362,54,5.778806
5.468445,10,5.823238
5.023529,9,5.851347
12.447288,18,5.8975
4.571822,8,5.942318
7.299386,12,5.97917
4.298685,9,6.013177
13.435832,22,6.09072
76.772641,59,9.108453
21.042018,51,9.214538
14.242997,37,9.27244
8.56895,12,9.290616
22.317658,37,9.371575
9.844462,12,9.409779
6.036012,9,9.43917
22.604652,33,9.528431
17.466687,42,9.593327
8.379088,12,9.612149
20.151072,43,9.677565
6.134386,9,9.690727
8.324221,15,9.71352
4.318053,8,9.725296
18.036347,17,9.750906
10.403826,29,9.815464
10.905833,25,9.87073
47.843414,54,10.032687
8.121334,26,10.073701
5.146667,9,10.087402
10.508156,13,10.11793
5.41234,9,10.144246
10.761213,19,10.194587
11.664126,13,10.243631
7.561809,16,10.311926
6.31637,9,10.341796
29.034524,48,10.534669
7.615006,11,10.551432
6.979162,10,10.566813
19.926266,27,10.609777
61.010586,91,10.840278
22.078045,35,10.899114
6.105494,9,10.913169
11.853141,18,10.941223
16.373619,19,10.970777
6.72599,11,10.988277
7.365646,12,11.007221
4.881389,19,11.037559
10.079435,12,11.056091
9.69659,18,11.084355
10.041408,13,11.104694
8.041998,21,11.158772
13.903424,16,11.195865
14.009894,16,11.237497
7.238413,12,11.259226
11.786564,14,11.297145
8.618284,18,11.325639
9.799847,15,11.348953
7.12761,27,11.390952
21.860117,34,11.44445
6.914338,12,11.463224
12.007576,14,11.485127
19.282529,28,11.566221
13.74816,41,11.654011
6.098227,12,11.672895
6.563509,20,11.716706
16.99196,24,11.782447
10.431083,17,11.836725
6.814675,16,11.886178
7.666163,11,11.935192
7.503962,10,11.966946
8.663442,23,12.045154
45.126979,48,12.270562
7.545767,22,12.394447
8.227068,10,12.438414
20.422797,28,12.543096
5.629128,11,12.609505
12.196922,19,12.671424
8.483965,12,12.70674
9.069031,15,12.77283
5.126385,19,12.874167
16.981663,24,12.967983
7.978986,12,13.011577
6.382204,11,13.090158
11.622865,15,13.134346
5.99643,9,13.186136
48.96682,40,13.329177
14.748267,17,13.355487
4.333556,15,13.391353
5.785583,22,13.454626
38.253139,43,13.640179
9.320175,12,13.696059
12.616986,16,13.73938
9.866281,14,13.775071
12.059684,14,13.810369
10.4991,24,13.8831
9.726638,14,13.93347
8.193117,11,13.974411
5.267193,17,14.045056
4.427679,21,14.123909
13.662293,20,14.177133
10.565068,13,14.215084
6.687354,10,14.244579
14.971711,23,14.308501
6.560166,9,14.335578
8.155773,11,14.36677
10.816822,14,14.401961
59.10731,55,14.562768
3.273414,7,14.578626
8.842897,14,14.599449
9.838385,12,17.47455
8.4323,13,17.51932
29.802827,26,17.592559
45.493897,49,17.669938
38.643244,44,17.746426
10.807817,16,17.773458
35.127436,32,17.830046
76.009841,49,17.959552
22.649686,23,18.094582
8.320279,12,18.158954
9.985693,14,18.20618
79.026032,60,18.497003
38.614906,66,18.698897
36.810642,41,18.848187
6.617223,11,18.882262
17.296092,17,18.929163
15.253726,25,18.99826
11.561242,14,19.020849
138.442716,73,19.207947
6.664436,10,19.223426
8.879675,23,19.259498
68.473432,49,19.355885
8.515577,11,19.393113
20.015863,45,19.464894
8.824285,12,19.483238
85.080343,50,19.598913
11.691591,18,19.670648
11.455241,15,19.727635
22.929948,22,19.822269
7.849295,11,19.886626
9.233595,12,19.949254
7.83915,10,19.979879
14.54787,16,20.017527
7.573738,11,20.051305
8.383608,11,20.100643
102.064087,70,20.328506
63.80323,43,20.450168
47.377728,52,20.616886
52.317596,50,20.791277
11.692101,21,20.846264
9.758824,14,20.900457
120.749701,64,21.084439
60.17747,43,21.151181
8.88938,11,21.168849
53.939574,48,21.243363
7.880861,33,21.356364
37.933337,72,21.550668
41.460088,37,21.609147
17.79433,20,21.661202
7.228023,12,21.700088
45.881995,41,21.764687
10.730816,13,21.785003
9.599612,15,21.809227
5.425439,24,21.867654
12.903384,15,21.931875
5.487343,9,21.964352
17.075333,21,22.057636
6.197438,9,22.071427
39.047107,32,22.170789
78.159434,59,22.358343
19.749384,21,22.442049
21.652779,20,22.511833
15.307652,16,22.578971
47.229698,39,22.722512
112.434925,62,23.004726
138.109406,87,23.281882
26.449118,29,23.357389
114.002357,89,26.659504
29.37478,36,26.712474
125.910255,80,26.944757
117.540825,61,27.067433
10.05934,13,27.098445
137.830675,113,27.505474
29.249369,50,27.682558
12.968004,26,27.787525
44.200981,63,28.016688
58.354664,55,28.228744
10.4794,16,28.293613
68.51574,50,28.496757
14.954039,16,28.520213
35.45822,67,28.62086
97.227964,64,28.715127
13.580237,15,28.746111
106.494771,63,28.9017
98.155213,55,29.006341
93.513662,64,29.230351
70.337989,71,29.451023
114.74288,74,29.795447
10.36985,13,29.830449
6.986558,10,29.845017
133.857052,78,30.018213
93.506583,55,30.113501
5.945799,9,30.136397
69.853101,49,30.246654
111.093844,65,30.405049
86.153578,71,30.590362
110.368506,59,30.789066
42.268867,31,30.955297
170.016512,114,31.293215
93.106752,62,31.534876
99.609891,58,31.717285
52.603035,32,31.869029
7.871828,25,31.948164
127.111391,81,32.284484
110.12776,67,32.519181
69.053739,54,32.70303
125.590043,78,36.012241
68.924748,51,36.188074
79.159219,69,36.42673
72.351757,46,36.602806
157.719261,81,36.805472
19.803773,35,36.929257
126.174462,69,37.044902
75.411226,57,37.159319
144.88328,89,37.324636
91.227349,52,37.511097
104.719322,65,37.744029
107.858102,58,37.958368
6.049064,9,37.990094
56.179775,66,38.224669
110.174427,77,38.596955
17.146671,19,38.671662
90.791681,51,38.828012
10.970397,13,38.874858
121.810654,97,39.362099
36.654231,64,39.559228
212.089893,110,39.912326
88.178681,55,40.017151
237.080032,154,40.335931
66.685816,39,40.39768
66.574328,39,40.468191
98.746582,55,40.644513
68.089284,41,40.768774
73.065993,43,40.832222
104.729533,58,41.017679
149.429626,79,41.266995
137.576991,82,41.550408
8.719893,10,41.585301
87.29029,57,41.690149
136.995548,72,41.795408
120.239701,79,44.714495
67.532871,42,44.81542
92.106585,53,44.912055
209.613912,105,45.179811
139.430303,70,45.319603
88.184807,62,45.502717
194.005812,87,45.779147
223.774448,116,46.039747
178.616897,94,46.378787
166.239315,87,46.665039
108.459632,74,46.865569
133.051888,89,47.200937
97.577083,55,47.333628
133.181658,80,47.564826
116.899131,64,47.696167
123.649961,82,47.890778
100.40485,64,48.014159
169.031414,93,48.250514
234.885302,116,48.792548
70.092377,47,48.9933
111.649058,65,49.135741
204.323567,104,49.534749
158.460624,90,49.740418
8.575091,11,49.77665
176.103016,117,50.110685
69.381791,44,50.218085
229.311803,118,53.57765
198.190865,95,53.875393
190.716106,125,54.243385
174.346043,86,54.516526
229.340049,107,54.887077
81.679256,48,55.081247
216.347111,122,55.418005
139.990617,78,55.621987
131.774189,67,55.802942
193.300628,103,56.144786
133.525112,70,56.31972
200.813685,105,56.601378
71.767155,47,56.680984
224.878493,103,57.003322
346.107114,245,57.537699
192.606452,122,57.856219
86.054521,57,58.065831
142.620744,114,58.495221
146.611291,74,58.794052
101.084307,63,59.038469
190.342765,98,59.396091
213.597601,103,63.293394
117.89355,79,63.713529
83.934293,50,63.902352
201.197473,102,64.092949
239.121643,118,64.280933
165.425808,92,64.480785
97.449132,55,64.566926
206.839473,105,64.753612
162.280798,98,65.140151
241.369122,112,65.518343
135.587709,70,65.758599
131.263837,68,65.966501
178.577842,94,66.172134
205.030986,102,66.475631
220.552621,115,66.843313
135.342416,69,67.112792
155.051956,84,67.437918
240.584873,124,67.876184
221.250551,108,68.083741
154.885267,79,68.327237
251.747117,115,68.814528
164.626959,81,69.058362
211.332364,113,72.072547
205.714831,107,72.433279
218.450326,114,72.770259
210.319155,117,73.093368
183.343212,97,73.468917
219.734033,107,73.822523
70.277375,42,73.891958
127.464969,67,74.041203
238.309818,115,74.430373
210.461962,112,74.900549
207.107033,104,75.327195
143.398723,74,75.632879
212.233001,104,75.869096
210.622984,104,76.234955
209.924615,107,76.601907
212.574442,110,76.896009
178.320078,100,77.110176
232.493854,109,77.405289
162.393361,85,77.695672
210.172592,106,78.079082
200.99218,104,78.534174
195.111066,105,82.321445
125.609268,74,82.549642
219.662711,109,82.858681
198.05885,105,83.097193
199.435017,101,83.332249
212.663877,110,83.51208
230.933091,109,83.738873
134.723053,76,84.015505
212.588452,108,84.256253
216.258218,111,84.499865
237.569897,115,84.777946
224.937048,112,84.996622
196.218589,99,85.165227
208.795422,111,85.427324
231.029362,113,85.811871
194.561143,101,86.192261
181.013961,93,86.487715
226.522048,121,86.721719
188.858039,99,86.87829
217.916308,113,87.238373
204.493444,104,90.295557
186.24502,98,90.463447
201.663511,106,90.722697
207.59666,110,91.018247
199.959971,107,91.295238
205.319192,104,91.698304
203.479358,103,91.928811
194.130776,105,92.155328
214.500488,117,92.434626
197.964932,102,92.720952
223.26954,123,93.126729
224.422091,122,93.37103
201.779874,104,93.588268
211.436273,109,93.909586
206.636843,109,94.202718
212.775351,111,94.528464
243.410478,120,94.845292
204.853121,106,95.202482
248.627954,127,99.363705
210.665325,109,99.678827
108.46976,65,99.905967
233.28624,121,100.183407
179.580873,92,100.446138
208.634941,109,100.909817
222.533456,113,101.271511
248.981703,138,101.715983
200.463063,102,101.980904
206.1852,104,102.201662
227.112208,128,102.430691
209.620467,107,102.677481
212.062581,111,103.135826
233.280091,115,103.503517
221.819988,129,103.745227
207.758316,105,103.977895
218.769005,107,104.306524
210.243856,114,104.491845
201.675466,104,104.660677
235.710138,116,107.625458
226.076915,113,107.887466
257.23353,130,108.397622
221.71591,110,108.762014
203.462604,103,109.072217
222.353417,119,109.400612
217.74599,118,109.777325
211.89061,107,110.041111
234.707231,122,110.382305
209.867341,105,110.770358
201.018697,112,111.075529
214.375448,112,111.593482
234.928241,127,112.179064
210.207991,106,112.63138
213.267312,112,113.112662
232.32808,128,113.537808
223.869759,120,113.793339
215.863306,110,113.985595
249.102199,134,117.042125
232.927854,117,117.244774
253.312717,137,117.592849
228.195779,117,117.917625
221.848408,112,118.258613
216.555095,111,118.617152
247.662987,126,118.831221
205.301416,117,119.233794
210.598159,109,119.670608
227.046358,115,120.107635
223.310819,116,120.44545
227.086083,120,120.830908
220.669574,117,121.069296
219.802249,112,121.379423
224.091613,115,121.766924
164.942209,89,122.009042
203.648465,106,122.257151
258.236013,140,125.922604
237.548407,128,126.222934
229.065565,117,126.538498
228.44842,115,126.921974
239.301175,126,127.492704
256.65101,139,127.953449
251.796045,136,128.404398
206.874219,103,128.638564
245.87626,132,128.89902
231.84959,119,129.162021
250.641943,148,129.569231
272.15576,148,130.020676
232.250162,124,130.611556
203.136626,103,130.853979
253.452552,136,131.282156
253.197454,134,131.804674
242.411452,128,135.449873
249.566387,133,136.042175
252.257049,132,136.600812
236.256598,119,136.951195
232.281608,119,137.367596
279.541553,158,137.922116
250.097501,129,138.346396
241.885046,125,138.722799
236.618334,124,139.047282
228.344609,118,139.310076
234.373681,127,139.58242
242.233608,123,139.916675
231.609373,121,140.425808
221.379675,108,140.839166
229.864796,116,141.135412
