#{"t_start": 1533184549.8417044, "env_id": "Hopper-v2"}
r,l,t
10.179509,14,0.010326
7.247059,12,0.016746
10.092286,13,0.02355
17.170507,19,0.033648
6.351927,8,0.037948
10.059163,17,0.047184
4.1017,7,0.050992
9.895942,17,0.060011
14.690548,19,0.071671
6.46795,9,0.076588
9.756214,14,0.083891
6.824453,10,0.089085
22.072582,20,0.099654
17.70351,24,0.114128
6.386139,12,0.120637
18.15994,21,0.131539
7.822308,10,0.13664
5.214435,8,0.140733
18.092247,19,0.150645
15.26256,18,0.160277
5.27464,9,0.165094
13.001701,15,0.172948
11.956989,24,0.185529
16.340654,16,0.193985
7.700483,11,0.199782
11.165436,19,0.209641
12.02711,19,0.219617
3.847419,7,0.223334
10.405622,15,0.231196
6.428881,8,0.235378
4.859893,7,0.239062
6.771932,9,0.243755
6.295444,9,0.248407
5.259928,8,0.252635
10.361912,11,0.258419
7.080533,13,0.265327
7.033129,9,0.270096
11.594782,14,0.2775
22.99894,22,0.289003
6.804783,9,0.293711
6.610445,12,0.300096
7.384152,16,0.308926
4.350105,7,0.312865
5.434952,8,0.317295
7.886566,10,0.322834
7.022953,16,0.331899
13.899411,17,0.341578
15.137332,18,0.351745
6.224296,8,0.356196
10.873048,16,0.365271
13.084958,13,0.372555
4.543889,13,0.379916
7.50686,10,0.385452
10.10339,11,0.391641
3.585594,6,0.395055
13.237619,19,0.405102
9.720539,17,0.414035
6.661307,9,0.418767
5.927908,8,0.422989
10.582976,21,0.434053
11.99359,14,0.441438
5.85601,8,0.445652
6.301439,8,0.449842
7.213731,10,0.455023
11.036491,20,0.465495
10.154669,12,0.471849
5.288496,8,0.476033
14.969301,16,0.48454
9.729974,11,0.490378
4.940292,7,0.494081
7.588316,17,0.503111
10.996559,16,0.51149
5.201521,11,0.51739
7.503231,9,0.522109
4.406276,8,0.526383
8.574644,11,0.532111
4.853618,7,0.53583
7.88687,13,0.542647
6.452017,9,0.547584
8.423178,10,0.552802
5.724047,8,0.55701
11.360346,13,0.563859
6.912645,9,0.568565
6.297026,8,0.572697
5.976721,10,0.578084
9.413425,16,0.590771
13.321549,18,0.600359
12.851014,24,0.613051
4.877251,8,0.617335
8.655063,10,0.622555
7.80502,10,0.627745
6.810632,13,0.634617
17.080381,19,0.644546
6.100309,19,0.654606
8.320944,10,0.660021
8.341576,11,0.665721
6.756129,9,0.670414
11.701491,17,0.679371
20.846518,20,0.68994
6.574378,8,0.694168
9.983283,16,0.702676
7.962808,10,0.707879
4.782467,7,0.711642
11.041119,19,0.721761
9.469232,11,0.727551
17.834704,18,0.737054
14.863282,17,0.746171
4.980355,9,0.751145
7.903231,15,0.759159
17.226082,20,0.769717
9.235339,14,0.777124
9.330143,10,0.7824
9.853942,11,0.788167
6.590489,8,0.792373
10.160931,14,0.799678
6.745153,10,0.805023
13.366576,19,0.815051
10.767994,17,0.823896
7.154711,9,0.828667
11.270295,19,0.838661
48.909922,37,0.857704
6.774975,11,0.863486
12.50185,14,0.870811
6.09047,8,0.87499
34.486208,28,0.889548
7.078807,13,0.896525
11.617882,14,0.903824
10.671276,17,0.912768
14.011456,17,0.921758
4.882458,7,0.925453
5.313593,11,0.931223
6.595986,8,0.935455
10.384964,18,0.944875
18.659051,27,0.959221
9.990096,12,0.965585
8.845119,13,0.972488
8.961834,14,0.979755
12.702463,25,0.992823
8.393802,11,0.99852
9.193245,17,1.007457
11.745121,25,1.020673
13.345981,13,1.02751
10.622066,16,1.035922
9.940641,12,1.042089
8.937319,11,1.047746
10.031733,11,1.053461
9.534512,12,1.059669
12.869902,15,1.067603
10.550219,16,1.076036
4.568937,7,1.079721
7.655956,10,1.085014
25.984757,28,1.554372
5.466325,9,1.559483
19.054649,25,1.57369
6.68329,9,1.578586
8.749674,11,1.584574
5.788344,8,1.589123
8.546598,10,1.59468
11.70399,27,1.609822
12.817987,17,1.619266
6.736528,9,1.624307
8.76006,11,1.630301
6.468484,8,1.634781
11.490256,18,1.644791
10.509794,12,1.6513
21.214634,26,1.665845
8.699914,13,1.673095
12.700081,19,1.68389
9.871454,17,1.693436
19.417266,20,1.704955
7.161608,14,1.712754
8.308421,16,1.721521
19.772746,30,1.738225
13.458583,20,1.749197
14.208588,19,1.759523
10.987612,21,1.770859
16.054786,17,1.779876
6.766947,9,1.784751
6.765441,14,1.792398
25.856561,24,1.805218
9.849009,12,1.811563
49.651247,47,1.836742
12.88985,16,1.845429
15.989288,16,1.854032
8.783452,17,1.863201
17.291368,19,1.873367
33.030861,28,1.888459
7.335792,9,1.893223
6.649224,10,1.898567
14.006168,19,1.90884
9.996658,24,1.921761
6.469725,9,1.926618
18.286616,16,1.935184
7.493306,17,1.944438
8.447986,11,1.95021
43.613774,33,1.967732
5.855453,9,1.972709
13.073826,16,1.981286
10.484829,17,1.990361
17.114398,18,2.000087
11.293958,19,2.010242
11.206452,15,2.018234
39.493563,37,2.038069
5.857961,15,2.046084
18.091582,18,2.055809
19.651952,20,2.066519
9.516312,17,2.075634
4.808205,9,2.080533
10.978983,16,2.088997
14.494474,15,2.096986
8.316384,11,2.102882
19.213208,29,2.118539
4.537091,7,2.122298
18.479226,25,2.135736
8.503094,22,2.147578
6.761955,9,2.152496
11.965164,15,2.160586
12.101881,18,2.170208
8.354152,10,2.175532
6.762049,9,2.18034
15.442545,21,2.191545
10.050538,14,2.199107
6.050418,8,2.203495
7.163631,9,2.208231
11.3783,17,2.217433
8.208517,11,2.223242
11.339572,16,2.23178
8.9138,17,2.240918
5.534685,15,2.249039
6.062141,14,2.256617
7.935733,10,2.261831
9.667931,13,2.268864
10.364024,18,2.278485
9.546152,22,2.29027
6.557256,21,2.301599
10.157875,21,2.312658
7.671235,13,2.319639
7.550923,10,2.324973
10.187925,14,2.332537
9.20739,12,2.338915
17.948526,15,2.346957
11.680763,15,2.354982
15.875297,21,2.366309
10.855845,15,2.374434
19.596895,20,2.385084
6.133129,8,2.389333
6.312008,8,2.39357
7.870833,11,2.399348
4.52923,14,2.406996
5.228677,8,2.41134
8.653032,15,2.419435
12.398776,21,2.430742
4.279196,8,2.43513
62.341827,40,2.456194
17.574891,15,2.464193
16.425611,19,2.474378
6.042753,8,2.478652
4.771524,16,2.487252
5.647244,11,2.493161
14.916419,18,2.502853
15.770033,16,2.511522
9.382134,15,2.519708
20.744833,21,2.53099
39.294172,30,2.546952
7.699052,10,2.552351
11.175492,20,2.563167
7.648393,10,2.568611
29.570727,27,2.583007
7.348482,9,2.587778
8.540746,10,2.593097
77.610124,47,2.618016
4.762961,13,2.625108
9.356484,11,2.631057
8.186956,18,2.640743
6.359711,13,2.647844
13.125898,18,3.077927
10.179076,12,3.084484
35.643802,25,3.09802
11.737106,19,3.108382
45.637531,32,3.126021
14.217601,31,3.143647
28.605484,31,3.161126
8.751156,12,3.167863
2.857498,14,3.1759
20.980188,22,3.187913
41.850083,37,3.208785
24.399823,24,3.222185
15.54906,20,3.233665
25.241683,47,3.260025
6.347613,8,3.26465
78.933235,54,3.29505
8.121857,13,3.302613
99.109279,61,3.335337
11.695315,13,3.34225
10.242006,22,3.354177
8.479178,11,3.360024
23.089731,34,3.378309
6.325109,9,3.383104
9.260792,13,3.390083
6.578257,9,3.394897
7.42861,9,3.399696
17.881783,25,3.41331
7.746541,13,3.42029
8.016919,15,3.428455
21.063034,22,3.44029
8.96226,15,3.448449
5.081056,7,3.452248
9.460241,13,3.459228
56.252409,40,3.480473
6.123547,8,3.484798
8.972801,16,3.49342
19.058743,25,3.506893
6.123444,9,3.511785
22.356182,20,3.522429
11.484036,20,3.533184
13.071268,20,3.543855
15.636282,18,3.553466
16.260129,17,3.56261
48.948597,50,3.597123
15.102109,14,3.60551
21.359977,21,3.616808
9.173262,12,3.623353
10.143283,11,3.629312
10.308058,12,3.635775
22.527238,22,3.647562
8.591499,10,3.652953
4.896253,7,3.656728
14.927329,19,3.666914
5.228282,8,3.671225
17.651163,24,3.684128
12.685529,17,3.693323
42.237491,37,3.713036
9.233458,18,3.722743
27.305489,21,3.734062
5.936477,8,3.738365
16.222609,29,3.75393
8.420334,10,3.759271
16.841351,15,3.76731
13.355329,18,3.777021
10.732605,16,3.785686
14.5278,27,3.800124
20.184656,21,3.811306
6.13447,9,3.816091
46.82058,41,3.8379
19.585433,17,3.847088
10.231033,11,3.852987
10.690169,11,3.858887
8.887189,12,3.865316
21.012979,22,3.877255
23.264969,23,3.889592
8.231955,15,3.897736
12.648527,27,3.913603
24.310049,23,3.925981
28.808253,22,3.937817
10.571043,18,3.947501
5.582452,9,3.95238
7.105649,9,3.957294
17.012313,18,3.967029
12.002955,15,3.975104
13.250068,14,3.9826
28.931303,26,3.996482
10.806448,12,4.002965
10.060517,22,4.014791
56.5509,42,4.03708
20.120578,22,4.048926
17.474661,18,4.058645
14.189952,23,4.071113
6.325703,8,4.075394
14.831666,14,4.082919
5.716706,9,4.087845
6.24612,8,4.092178
8.569733,9,4.097028
43.340864,32,4.113919
8.246706,11,4.119774
21.723059,30,4.13599
12.26822,29,4.151589
17.145859,26,4.165555
9.469264,14,4.173055
5.496165,9,4.177946
11.931842,16,4.186552
12.819836,21,4.621908
7.780071,10,4.627478
171.67453,98,4.681989
43.410838,40,4.70422
33.261989,37,4.724767
10.888954,14,4.732638
