#{"t_start": 1533489307.689348, "env_id": "Hopper-v2"}
r,l,t
9.450264,11,0.027865
4.97405,7,0.032087
7.062845,10,0.039155
8.081046,11,0.047889
9.611455,13,0.058609
8.197804,13,0.069853
7.356867,12,0.081138
7.354628,13,0.093321
6.507246,10,0.101196
6.533503,11,0.107781
7.939571,12,0.114857
4.618153,10,0.123219
3.538975,16,0.136372
6.252458,14,0.148654
7.501582,16,0.160955
3.949707,20,0.176337
5.108018,22,0.193209
4.69015,15,0.205683
6.929812,15,0.219618
4.541716,16,0.23438
5.176858,21,0.253572
3.821493,14,0.266648
9.593425,20,0.285243
6.5449,18,0.301985
7.757917,15,0.315875
6.819985,17,0.332002
7.936399,23,0.353268
5.027342,14,0.366275
5.629349,18,0.383053
4.554537,19,0.401288
5.23779,18,0.418324
3.577621,17,0.434643
3.193802,15,0.448838
7.377966,23,0.470766
6.145751,14,0.48387
9.442255,11,0.493721
3.751101,15,0.507916
6.582953,18,0.525056
7.227659,24,0.547382
7.885981,20,0.565784
5.696323,20,0.584191
5.325788,16,0.599028
14.297486,27,0.623575
11.472787,26,0.647406
8.941231,20,0.666203
6.698787,16,0.680998
13.830744,17,0.696525
8.289148,23,0.718095
12.685999,27,0.742917
10.660084,24,0.765282
10.416179,23,0.786229
10.230909,26,0.810487
4.123535,14,0.823466
14.962102,15,0.837003
14.28488,16,0.851464
6.487307,20,0.870023
7.346923,16,0.885096
7.122749,14,0.898283
14.72447,25,0.921509
2.157416,14,0.935032
6.917799,16,0.949899
5.9477,16,0.964688
7.581414,24,0.986677
8.114723,17,1.002214
9.578165,24,1.024321
7.97936,10,1.033621
11.528676,27,1.058516
10.075854,11,1.068733
13.808837,15,1.082908
11.342711,20,1.101282
8.361019,23,1.12267
10.265986,15,1.136641
18.530681,30,1.165064
9.829315,12,1.175975
9.595385,21,1.195546
6.358033,27,1.220637
6.53941,22,1.241123
8.885413,10,1.250263
9.722181,25,1.273276
6.453929,20,1.291826
8.963493,14,1.30513
11.51405,15,1.319273
7.771397,23,1.340586
51.948847,32,1.369962
7.157713,21,1.389194
8.11267,21,1.408427
31.550319,37,1.442154
13.563475,14,1.455022
10.641439,11,1.464993
5.361878,7,1.471363
5.413993,14,1.484399
7.049664,24,1.506344
21.362662,31,1.534592
9.826694,14,1.547298
12.983913,15,1.56101
18.751123,30,1.58871
13.85375,25,1.612703
58.289565,36,1.645846
5.588799,16,1.660667
46.641093,29,1.687758
7.273174,18,1.704329
7.32858,16,1.719422
7.527281,13,1.731972
5.998361,9,1.740429
5.615764,14,1.753733
7.522825,23,1.775352
7.485558,10,1.784584
11.527697,17,1.80037
10.099904,24,1.822531
7.648483,11,1.832871
99.259309,77,2.63592
11.19821,12,2.6464
11.521377,12,2.655922
7.645932,16,2.667355
11.601568,19,2.681174
14.318833,15,2.692434
6.264415,8,2.697582
6.756308,8,2.702959
39.275443,33,2.728677
3.386208,17,2.742135
4.92222,17,2.757403
6.022991,18,2.773218
54.215016,32,2.798545
10.012835,18,2.814179
10.637868,14,2.826652
12.819067,13,2.837302
9.019342,13,2.845867
8.528992,19,2.85868
12.475349,13,2.86648
8.576568,22,2.880192
11.384398,23,2.898425
7.010162,14,2.91017
7.552188,9,2.917872
10.969967,14,2.929481
15.790706,13,2.940418
5.133249,15,2.953527
11.731196,16,2.96679
7.628157,18,2.981776
10.58551,11,2.991385
17.312231,15,3.003645
19.995503,29,3.028691
8.120614,18,3.042256
9.664514,18,3.053992
8.082535,24,3.069413
5.62232,15,3.080076
10.279461,13,3.087854
20.192534,20,3.101807
9.326028,15,3.112054
7.919104,11,3.119505
5.453288,22,3.135088
10.136579,14,3.144076
17.636163,17,3.157977
12.453818,29,3.179094
8.649614,20,3.192344
6.658712,8,3.19712
11.937751,12,3.204448
8.33474,10,3.212854
9.615641,15,3.225314
25.465793,24,3.245052
10.323895,13,3.25615
24.725096,32,3.282126
50.939046,34,3.310601
13.673652,14,3.321995
8.040789,10,3.330556
7.338089,10,3.339049
22.826091,19,3.35498
18.235941,28,3.379238
13.401727,13,3.386983
9.305448,11,3.395455
15.131167,31,3.420001
11.408174,12,3.428668
10.086357,16,3.438615
11.202209,24,3.453635
11.933273,13,3.461266
10.238072,18,3.476673
9.508206,20,3.493333
6.478842,9,3.500838
55.621706,33,3.522928
13.33622,28,3.542279
8.763871,16,3.552626
21.079036,19,3.568888
12.029066,16,3.582659
13.862039,21,3.597126
6.704082,19,3.609813
7.301415,9,3.615246
12.712667,12,3.624007
6.201339,12,3.634717
14.852247,16,3.648636
9.066378,16,3.661462
11.915221,13,3.669898
7.997813,12,3.677632
8.018433,14,3.686082
63.044464,39,3.715605
10.510775,16,3.72953
7.739858,16,3.742773
7.670324,10,3.751351
11.208916,15,3.763751
16.657654,25,3.785039
7.093844,9,3.792187
2.083384,19,3.808956
12.548861,27,3.828353
11.726524,12,3.837561
9.389883,14,3.847704
10.260308,18,3.859432
5.665813,25,3.879968
7.677366,14,3.888985
7.7458,13,3.897575
8.543684,17,3.908983
10.062827,13,3.916649
8.70093,11,3.924077
22.036719,17,3.938731
6.26754,8,3.944784
8.487012,11,3.95441
22.747093,21,3.971939
18.709186,29,3.996312
4.255422,14,4.006338
8.239231,10,4.015051
11.977226,14,4.0265
11.768819,13,4.037664
7.303409,10,4.045611
7.000556,9,4.053442
10.149996,20,4.069746
11.006565,12,4.080259
14.105159,17,4.091732
6.943172,21,4.10679
20.572869,20,4.120572
6.018333,9,4.126382
11.383711,13,4.134831
11.944393,13,4.143141
8.887552,13,4.152193
10.65701,12,4.162487
12.244216,29,4.858449
12.557164,12,4.867742
9.278676,11,4.875762
10.24969,12,4.884476
6.495568,20,4.899958
17.509449,19,4.915319
5.529615,8,4.922014
16.148581,19,4.937869
6.322153,22,4.956901
5.855988,18,4.972081
9.527288,11,4.981873
19.154311,23,5.002058
10.616306,18,5.01676
11.098508,12,5.027387
24.405702,32,5.054104
10.053707,12,5.064815
9.420701,20,5.078989
13.795594,14,5.088574
7.964648,11,5.096665
15.231737,16,5.110628
65.292669,37,5.142797
11.504197,16,5.155817
9.870226,12,5.164173
17.390595,16,5.177022
9.547917,12,5.187619
10.859887,12,5.197952
64.552464,40,5.232494
47.186381,44,5.269204
32.374815,36,5.297337
12.278608,13,5.30743
6.427372,9,5.313922
12.467504,12,5.32404
10.524012,16,5.337543
6.830632,15,5.351011
7.136843,14,5.362776
10.883444,13,5.373964
11.51489,14,5.384002
42.819785,39,5.41684
7.775275,17,5.432523
12.545902,27,5.452701
11.289311,12,5.463264
12.182664,18,5.4754
7.746755,9,5.481519
11.7211,12,5.489981
15.662759,19,5.502203
7.30415,13,5.513898
9.944118,29,5.538113
7.302109,21,5.555728
9.630662,22,5.574353
17.93092,18,5.589325
6.575324,9,5.597256
9.102093,20,5.614039
5.761078,9,5.621064
12.199963,14,5.63352
29.234298,36,5.663424
63.110904,40,5.696749
11.581697,15,5.709943
20.212876,19,5.72562
30.424643,36,5.755646
12.97613,14,5.767663
13.87957,14,5.778666
11.851245,12,5.78587
10.856251,13,5.795021
54.504699,32,5.815405
54.519474,33,5.836432
7.557176,10,5.842409
15.369749,23,5.857594
3.953944,17,5.868515
10.577497,12,5.876313
18.754446,27,5.893797
12.842922,14,5.902941
37.051183,40,5.927848
8.580416,24,5.944013
10.838783,25,5.966145
18.916504,17,5.979091
11.58714,30,5.997541
6.92241,10,6.003449
12.530017,28,6.020794
8.273522,22,6.036721
14.228688,14,6.04851
6.383599,8,6.055578
13.469338,19,6.070394
56.102928,34,6.091065
12.450657,26,6.108964
13.023498,27,6.132872
7.495406,10,6.141121
27.57184,34,6.162726
10.448225,13,6.170472
50.068113,30,6.194745
17.929132,29,6.218841
9.116682,17,6.233662
6.746224,10,6.240341
6.073955,16,6.252247
9.879904,15,6.263342
15.846668,14,6.273689
11.599492,14,6.283504
25.044311,26,6.301169
6.439042,23,6.316912
8.673973,14,6.328745
5.37699,8,6.335424
10.331173,13,6.346851
12.747869,13,6.35761
49.036392,52,6.401973
7.265017,19,6.417917
3.761999,14,6.429948
51.542218,35,7.140837
20.522904,16,7.154431
13.294026,13,7.164947
67.675413,60,7.215163
28.402621,37,7.245214
33.229163,34,7.271706
21.774853,31,7.298959
9.990313,17,7.311146
19.70939,21,7.327479
53.928762,33,7.352402
10.601967,12,7.361842
20.182953,27,7.385252
20.230575,22,7.404331
13.399041,14,7.416271
18.683664,31,7.442504
13.557314,14,7.453225
13.008026,12,7.46116
58.455019,36,7.487193
70.372264,44,7.524687
12.558125,31,7.551805
24.89279,22,7.569752
17.386338,28,7.593252
40.925055,29,7.617715
9.101534,11,7.62727
12.572048,13,7.638708
60.574372,37,7.670956
17.992597,18,7.686446
22.060519,23,7.706168
6.926363,16,7.720172
11.56686,13,7.731198
10.46985,12,7.740143
5.333574,7,7.746262
9.517337,24,7.767206
50.065443,40,7.794062
16.969172,26,7.810693
11.057815,16,7.821356
51.130785,32,7.842159
48.940766,30,7.861336
8.838215,14,7.870306
28.390813,36,7.892787
17.116203,18,7.904656
84.324403,58,7.941447
40.392329,31,7.961121
16.813432,20,7.973694
7.402274,12,7.9815
29.051386,26,7.996774
19.231263,15,8.006332
12.537888,19,8.01826
13.849295,13,8.025864
10.117308,13,8.034469
10.236137,15,8.047576
14.800529,14,8.059359
28.851033,22,8.077328
9.783082,12,8.087061
53.729216,33,8.112144
27.029287,25,8.127765
14.376464,14,8.136088
8.877613,10,8.142714
8.160343,10,8.148629
14.27001,13,8.156326
15.136706,32,8.175974
52.665918,32,8.195988
92.512191,52,8.239953
6.843498,8,8.246826
14.260907,15,8.25944
10.707606,11,8.268465
15.07982,15,8.281632
12.739898,15,8.294101
77.263314,49,8.336019
12.238454,15,8.348382
18.446123,16,8.36327
48.104059,52,8.411878
26.421212,21,8.431254
1.547454,16,8.446086
24.907745,20,8.464712
25.942187,22,8.485231
41.148257,35,8.51805
11.562746,11,8.528209
18.341808,16,8.543303
11.734215,24,8.565673
63.002364,39,8.602215
50.865224,31,8.63102
12.607777,22,8.65164
29.38888,24,8.67403
9.218879,11,8.68435
28.64507,21,8.704222
8.603629,10,8.713439
7.615673,10,8.722426
12.718867,14,8.735215
70.70719,43,9.490754
18.015822,31,9.518121
48.381492,29,9.543404
6.537139,8,9.550408
15.797365,16,9.563766
6.608699,8,9.568579
50.488732,30,9.586381
27.22647,28,9.603231
42.426815,25,9.618233
5.838825,9,9.623723
11.172536,12,9.631617
25.707308,24,9.647398
12.042351,12,9.655334
9.798272,11,9.662507
14.745473,14,9.671896
44.997422,27,9.689584
58.090634,36,9.713088
13.820823,14,9.722287
18.824037,29,9.741241
13.047121,14,9.75034
47.917689,29,9.769416
6.325531,8,9.774721
7.049754,9,9.780728
7.01703,9,9.786522
11.293858,22,9.800848
9.213457,11,9.807993
16.493451,14,9.817008
24.789352,20,9.830111
48.871412,29,9.848805
56.560097,34,9.870877
13.951699,16,9.8815
50.8797,31,9.901838
41.613509,43,9.929884
21.1167,18,9.941692
10.967143,15,9.951743
30.444065,23,9.966724
32.719571,25,9.983034
46.18104,28,10.001614
7.817912,9,10.007482
82.498711,46,10.037176
14.688843,14,10.04672
67.507706,40,10.081263
15.198809,14,10.09339
96.842105,54,10.139642
13.344075,14,10.151734
21.237663,23,10.169904
17.22625,22,10.183393
8.814592,10,10.18997
55.41774,33,10.211628
8.231549,10,10.218228
11.537337,12,10.22622
10.990814,12,10.23414
10.295814,11,10.241533
48.758314,45,10.271145
60.267564,37,10.295667
35.491031,36,10.319259
9.442328,12,10.327034
7.733924,9,10.333086
8.296538,11,10.340401
52.415322,31,10.360815
7.718116,10,10.367455
9.375483,11,10.374712
45.28704,27,10.39256
11.697192,17,10.403623
6.691375,8,10.409176
54.288622,32,10.430072
9.3682,10,10.436763
15.687045,14,10.446053
10.889139,12,10.453872
7.636674,9,10.459962
61.163942,38,10.485064
17.773246,26,10.502276
6.903901,10,10.508816
74.652367,44,10.538134
13.311219,14,10.547229
49.400464,34,10.569401
9.544445,11,10.57668
8.139817,10,10.583249
13.109619,14,10.592582
92.858514,65,10.631744
11.912222,13,10.639501
9.525551,12,10.646633
32.945401,25,10.66161
7.535999,9,10.666991
12.656483,12,10.674348
19.132431,19,10.685594
6.243702,8,10.690491
21.720587,19,10.701916
54.23077,33,10.721654
15.045214,15,10.730593
12.981498,17,10.7408
6.538081,8,10.745557
39.479162,30,10.763298
59.329093,35,10.784069
14.571217,14,10.792537
86.657922,59,10.82776
12.000031,12,10.83498
49.692488,30,11.365497
10.398706,12,11.376546
76.738721,45,11.418013
74.514365,44,11.458144
14.67436,14,11.471019
80.589428,46,11.513681
34.819835,27,11.539385
57.30058,38,11.575637
7.475347,9,11.584379
20.870954,17,11.600819
6.915708,9,11.609553
62.11069,38,11.646214
11.198748,12,11.65784
57.446838,34,11.690307
12.729363,14,11.703753
12.099388,15,11.718218
57.108145,35,11.751724
62.958717,37,11.786707
18.000863,16,11.801939
55.375537,34,11.834393
13.702227,13,11.84685
54.390925,33,11.878389
43.153307,32,11.908334
10.673241,11,11.918755
60.947916,36,11.952399
40.360529,39,11.98934
64.13159,38,12.024476
52.782425,32,12.055487
7.593349,9,12.064491
11.155105,21,12.085471
59.069854,35,12.12015
46.144472,32,12.151542
76.630564,44,12.194559
46.817598,28,12.222253
21.657364,18,12.240299
8.031315,10,12.249842
45.512314,27,12.276089
9.025968,11,12.286558
49.536128,30,12.315327
81.391251,45,12.357232
55.687614,32,12.377745
28.984632,25,12.39398
10.976823,11,12.403054
14.301147,13,12.413948
15.124595,17,12.42881
48.415596,34,12.456971
7.201888,9,12.464744
50.224913,31,12.485416
63.733555,37,12.509428
26.698541,20,12.522726
58.170763,35,12.547742
14.000616,15,12.560165
6.481536,8,12.56689
13.858634,13,12.577552
12.080454,12,12.58722
18.972682,19,12.602896
45.338885,32,12.630139
27.270904,23,12.65022
41.002265,24,12.671081
22.537279,21,12.689202
12.602219,13,12.700455
17.95424,16,12.714418
24.473346,19,12.730889
12.651385,13,12.742037
6.728268,8,12.748982
86.434394,59,12.793853
11.237472,12,12.803832
8.469437,10,12.81281
8.88478,11,12.821694
11.095923,11,12.831526
31.479386,25,12.852788
53.626568,32,12.873094
55.654331,33,12.894425
11.45737,20,12.90754
10.630242,17,12.918703
13.705394,14,12.928762
10.890455,13,12.937112
48.27703,29,12.956142
12.106398,14,12.965306
44.717848,27,12.985111
10.289452,11,12.994786
18.63306,16,13.008755
10.548433,16,13.022834
50.574125,30,13.047952
10.21307,12,13.05557
11.676781,12,13.063486
74.595476,42,13.09526
10.180163,11,13.10366
28.277064,24,13.852044
58.330959,35,13.885343
19.305425,17,13.90162
17.936559,15,13.915914
27.961113,22,13.936938
51.836341,31,13.966529
37.919212,29,13.993819
69.871351,42,14.033219
53.746039,32,14.06367
8.986501,11,14.073938
38.001296,29,14.101261
10.892604,12,14.112956
17.917759,17,14.129534
28.644947,23,14.152364
15.733045,15,14.166775
25.329763,25,14.190398
37.339642,28,14.217278
52.562692,31,14.246689
10.366074,11,14.257199
9.975272,10,14.266794
15.353388,15,14.280762
17.209593,18,14.297619
9.273776,11,14.308203
77.287262,45,14.350801
7.767472,9,14.359629
60.604997,37,14.395409
56.799293,35,14.429056
19.871933,21,14.449093
101.794663,55,14.499921
51.570042,31,14.528844
52.003055,31,14.556702
8.159625,9,14.564681
16.629257,15,14.577422
10.673944,11,14.586822
52.849087,31,14.612939
9.312021,11,14.622197
51.336815,31,14.643961
61.271638,36,14.673167
9.570472,10,14.679119
64.236266,39,14.707176
65.694472,40,14.740922
45.676896,27,14.763607
29.607108,22,14.782498
73.684522,49,14.824897
9.869476,13,14.835769
68.942078,40,14.869959
56.083783,34,14.899154
49.413921,30,14.921884
27.619577,20,14.936137
27.372038,22,14.952033
13.61078,14,14.961828
57.805247,34,14.98893
6.398811,9,14.995017
67.00504,41,15.027177
60.142652,36,15.057406
86.248016,49,15.098625
72.756562,44,15.13508
18.864438,17,15.146979
14.116932,14,15.156671
15.131833,16,15.169727
18.463673,18,15.184658
49.199532,30,15.208333
9.055786,10,15.215014
54.072033,33,15.238453
74.900919,46,15.278304
78.107031,51,15.321937
67.021564,39,15.35353
14.865393,14,15.363516
32.388566,32,15.384379
10.451375,11,15.391557
68.63246,40,15.420169
48.925722,29,15.444522
10.906383,12,15.454222
75.978146,45,15.487458
54.326458,33,15.516434
64.70565,40,15.548894
40.104444,30,15.571486
9.34069,10,15.579677
66.972291,40,16.312158
46.586411,28,16.336523
70.442815,42,16.372105
46.232839,28,16.395854
58.859194,36,16.420388
15.205917,14,16.432908
60.439543,36,16.461222
61.621426,38,16.489244
39.493449,29,16.513637
47.539349,29,16.538023
11.529112,11,16.547907
44.897457,27,16.571129
25.243728,20,16.588615
58.649289,35,16.614694
43.03984,30,16.635775
50.267837,30,16.655952
43.604252,26,16.67351
104.722656,56,16.718067
53.944433,33,16.74619
69.369486,41,16.776222
74.245394,46,16.810548
22.985332,29,16.833106
12.0159,19,16.849488
65.600952,40,16.88383
46.830605,28,16.902979
57.173896,34,16.92588
69.742129,43,16.959344
16.219515,14,16.970963
68.643172,43,17.005835
112.831628,59,17.050211
52.436528,32,17.077493
9.884805,11,17.086912
78.105238,47,17.126131
76.144146,44,17.162636
51.339119,31,17.183975
46.379438,28,17.207396
54.487764,33,17.231212
64.077526,38,17.257693
16.260973,15,17.270414
62.55627,37,17.302023
56.705737,35,17.331793
9.537485,11,17.341338
11.581389,12,17.350728
27.795666,21,17.363709
15.843906,14,17.373148
72.471369,42,17.405056
49.228293,30,17.429056
7.436165,9,17.435905
52.332891,32,17.46214
36.912001,29,17.48204
56.949732,35,17.508886
32.238202,24,17.52927
58.716347,35,17.559429
64.163417,38,17.589956
58.921869,36,17.617129
49.941074,30,17.641751
67.570266,40,17.671486
79.82762,46,17.707922
20.445633,16,17.721023
50.789196,30,17.746349
63.392866,39,17.772967
30.576926,25,17.792701
57.272646,34,17.819423
56.250702,34,17.84208
52.056198,32,17.866521
56.825015,34,18.577274
38.81349,27,18.594115
57.629509,35,18.617049
77.388999,45,18.645329
51.178666,30,18.666217
73.306776,43,18.703673
53.749406,33,18.73184
72.804125,42,18.767234
51.739567,31,18.794169
48.657815,30,18.819478
68.492461,41,18.854409
23.680834,31,18.878869
11.375852,12,18.88656
6.231787,8,18.89282
63.817367,38,18.924954
8.555444,9,18.932732
40.382966,30,18.959451
74.154804,43,18.998429
50.000799,30,19.026185
77.711601,45,19.066777
63.225978,39,19.10049
64.006481,38,19.129793
68.942891,42,19.162699
58.527963,36,19.189325
69.430965,41,19.220309
66.247734,39,19.245146
68.89602,46,19.274997
56.34826,34,19.29602
53.820536,32,19.316933
68.803317,41,19.345914
19.706361,17,19.35876
52.693215,32,19.379791
61.794138,38,19.411938
71.77486,42,19.445512
65.503888,39,19.476195
63.035973,38,19.511961
61.80002,37,19.546129
71.059164,44,19.587603
7.43604,9,19.595904
60.019594,36,19.62922
64.250222,39,19.665461
61.42367,36,19.697281
70.141433,42,19.735864
53.780198,33,19.767403
36.06199,27,19.792732
20.394604,18,19.809975
44.755304,27,19.835237
80.458922,47,19.879896
63.308955,38,19.915656
58.210623,34,19.947083
50.319751,31,19.976671
83.002732,48,20.021296
69.011697,41,20.059413
54.792183,34,20.090877
64.383733,42,20.129326
16.709964,29,20.157029
51.988059,32,20.186479
56.493182,34,20.218117
58.315479,36,20.251552
11.822193,12,20.262807
43.905845,32,20.292303
64.363241,38,21.135973
65.231355,39,21.17311
62.805871,37,21.208237
61.205105,36,21.242568
65.636741,41,21.281728
16.802657,15,21.296054
59.972482,37,21.331678
79.197346,47,21.375976
57.814579,36,21.410267
18.533085,23,21.432419
64.436179,38,21.468477
12.929485,13,21.48098
59.721392,36,21.515461
67.195733,41,21.554103
63.559136,39,21.591265
75.01347,43,21.63207
63.340384,38,21.66819
59.545751,36,21.702037
60.240941,37,21.737206
64.806144,40,21.774817
73.188347,43,21.814694
11.021903,12,21.82603
55.864187,34,21.857866
46.312206,28,21.883923
53.943839,33,21.91458
62.494624,38,21.950041
54.381249,33,21.980681
56.786148,35,22.01363
