#{"env_id": "Hopper-v2", "t_start": 1532096927.1903265}
r,l,t
61.049083,63,0.182664
17.881283,20,0.222049
14.431102,15,0.249848
19.703165,28,0.313426
17.806933,18,0.354816
8.736391,13,0.379275
22.880953,20,0.417405
6.948429,16,0.469193
16.85862,22,0.535699
31.039482,27,0.586607
31.303981,38,0.695843
14.625563,23,0.787855
15.123057,16,0.834003
5.191593,12,0.889059
8.919925,14,0.956232
16.616624,16,1.026061
14.357105,18,1.111134
4.357716,7,1.151593
6.417013,10,1.197856
14.667126,18,1.289482
8.955635,11,1.348423
6.602371,12,1.407792
8.04969,16,1.483993
10.289854,14,1.543716
12.68842,27,1.657314
24.220694,29,1.752506
5.041801,9,1.799083
11.890968,15,1.86242
5.806144,9,1.899367
9.302227,14,1.951017
11.589116,31,2.045512
7.635531,12,2.076054
13.230532,13,2.110205
5.177903,8,2.141063
18.353198,18,2.210012
10.53406,13,2.254557
12.282646,21,2.340619
8.709697,12,2.362019
21.402801,21,2.39966
45.39077,41,2.494018
8.569044,13,2.542551
10.153849,12,2.585752
9.816222,14,2.616662
7.841939,14,2.642286
23.856371,26,2.690001
8.355131,13,2.724664
21.344984,30,2.812165
6.215632,9,2.84874
4.448832,10,2.903552
12.696201,23,2.988612
20.209171,28,3.123276
19.94153,22,3.236063
4.156533,9,3.276858
12.323019,22,3.431388
19.073752,18,3.505776
15.361785,17,3.604238
18.932804,18,3.699434
19.842354,24,3.796252
6.196941,16,3.874499
18.122193,24,3.975811
7.705611,14,4.013906
3.342597,10,4.074962
7.366531,10,4.109027
9.568295,16,4.178798
6.432239,10,4.210505
21.354831,25,4.319702
13.096822,18,4.40032
9.811988,14,4.457465
12.940736,27,4.556381
6.467366,11,4.618619
4.893196,8,4.66516
6.770275,11,4.724609
20.680289,25,4.83398
6.561505,12,4.867012
10.296877,15,4.895169
12.981782,15,4.922858
7.370544,12,4.957697
14.785207,17,5.014492
5.113639,10,5.053501
10.657001,18,5.113341
7.517134,9,5.150607
10.243598,17,5.213928
