#{"t_start": 1532096926.707612, "env_id": "Hopper-v2"}
r,l,t
6.106737,17,0.070791
9.747356,24,0.14499
8.045729,14,0.217128
28.563391,50,0.409256
11.488565,32,0.505242
18.7428,32,0.563448
9.774376,15,0.59039
5.48781,9,0.621616
38.825196,41,0.803072
10.70402,14,0.880998
19.54474,37,1.021831
76.210704,48,1.132068
13.557189,15,1.176567
23.260334,23,1.25398
7.866765,22,1.29427
9.362477,20,1.330839
9.445167,12,1.352449
3.552425,7,1.365464
12.92233,26,1.412862
9.292449,13,1.436345
9.588054,15,1.464249
12.392579,16,1.49372
8.766567,21,1.558481
10.817887,17,1.588935
44.558969,66,1.70817
9.186618,16,1.774542
14.849258,19,1.871741
8.856406,24,2.00955
88.766599,89,2.520472
20.731657,31,2.579595
7.663687,25,2.646792
11.537347,16,2.712412
14.176184,38,2.848619
9.993024,13,2.923457
12.924197,14,2.992102
9.660501,12,3.041214
6.890442,10,3.080984
11.673653,16,3.164531
8.949832,16,3.220818
12.427093,26,3.310889
9.808646,13,3.382891
20.94816,20,3.471757
18.007776,19,3.557493
12.575345,15,3.584356
6.220003,22,3.645615
35.530374,27,3.755129
24.042808,29,3.880494
8.695428,12,3.937104
13.245696,14,3.995448
7.229192,11,4.027413
7.307836,11,4.063368
8.313627,11,4.115561
11.962556,15,4.173731
13.694401,17,4.233948
13.645896,22,4.305959
11.669536,17,4.377218
52.526185,53,4.545915
44.803741,33,4.604994
11.595941,16,4.634051
13.376868,18,4.666949
10.505593,13,4.690619
7.112354,11,4.710398
8.6339,11,4.730459
5.533882,11,4.76271
10.858252,18,4.811929
9.646123,19,4.866567
18.933582,18,4.915399
5.853156,12,5.005684
6.909169,10,5.039428
9.166044,11,5.079808
14.320317,14,5.135093
8.270185,12,5.177886
7.48279,16,5.238417
13.63817,28,5.342321
6.114561,11,5.383644
5.942142,12,5.431203
20.387465,19,5.529475
13.093856,29,5.645388
7.345642,12,5.667721
13.442937,27,5.770228
4.236244,8,5.804773
19.421482,33,5.941085
5.133643,11,5.992052
6.934175,10,6.031053
11.652913,13,6.075071
9.711714,20,6.144409
8.816782,18,6.202097
6.207687,11,6.253889
12.461352,23,6.347711
8.603887,13,6.401501
7.135682,11,6.421228
17.614197,17,6.451952
11.030379,16,6.481314
14.682051,24,6.525625
33.335187,28,6.607404
9.981727,16,6.63841
11.965725,16,6.669459
6.336684,14,6.696405
7.547612,13,6.740892
9.885627,12,6.791481
15.128854,17,6.911152
12.169982,21,7.025727
11.027825,14,16.447662
4.787175,11,16.470235
9.00116,12,16.495094
13.758547,15,16.540845
140.851588,78,16.733198
153.726637,104,17.09257
11.826737,17,17.167473
33.541294,27,17.274196
13.053243,17,17.338846
12.512689,19,17.404
6.578756,13,17.428954
19.738507,29,17.495921
12.37768,28,17.603764
16.205137,21,17.683006
11.600701,23,17.791824
7.517296,11,17.835662
9.875723,27,17.950361
63.656489,60,18.074538
90.287402,57,18.196585
9.247665,13,18.246106
5.293704,13,18.287665
7.569204,10,18.334176
9.372383,15,18.401144
13.506145,19,18.479529
10.926297,19,18.547266
18.542154,19,18.618608
74.469073,58,18.846157
6.104912,30,19.014811
12.242947,14,19.108437
10.823613,15,19.193707
11.645565,30,19.340272
2.801181,19,19.444277
19.789126,41,19.642344
14.187618,17,19.695455
11.182361,14,19.754446
15.042176,19,19.839361
11.799508,17,19.893053
7.574735,13,19.934158
20.450209,41,20.099756
22.533956,30,20.237311
12.283023,15,20.282442
46.443669,58,20.502249
43.270553,41,20.666359
29.889742,35,20.807748
8.485386,12,20.829093
19.270176,36,20.957664
6.873752,10,20.985552
12.711267,14,21.041944
12.902531,17,21.10406
14.021006,22,21.186705
11.659803,15,21.241904
7.98436,14,21.289614
14.599564,22,21.369337
7.789868,11,21.416075
4.766272,23,21.497455
44.861855,52,21.655843
20.728803,22,21.758761
10.340726,12,21.851323
12.116648,27,21.990845
10.364771,39,22.159251
9.87681,14,22.216191
15.732225,33,22.336726
23.473355,42,22.545054
8.848805,17,22.663048
36.237275,47,22.890954
9.639063,17,22.960996
12.491221,17,23.072663
7.840433,10,23.10914
18.913412,21,23.147994
23.678175,45,23.230797
6.369697,22,23.289081
16.238058,17,23.322596
9.253441,13,23.347266
58.552197,43,23.432446
44.648908,31,23.492224
11.142505,21,23.584502
41.144252,30,23.671704
8.197909,12,23.693957
6.760493,14,23.729455
12.653768,18,23.811918
14.434059,17,23.872854
13.621797,18,32.831686
23.409137,22,32.910784
74.854752,46,33.079865
45.836067,41,33.290349
19.393764,19,33.364643
9.317271,12,33.405747
56.812105,49,33.641832
58.701764,36,33.804424
8.869171,11,33.853492
78.821684,48,33.995016
8.728518,23,34.058106
18.828294,19,34.136744
13.713684,30,34.26513
45.579387,40,34.425627
7.879957,12,34.469686
14.642764,23,34.609517
16.48556,17,34.678994
57.773611,56,34.903714
12.221967,17,34.976656
39.028024,42,35.190707
15.792782,35,35.35752
114.892201,66,35.768484
7.36899,13,35.794649
11.268195,17,35.828917
23.440629,32,35.903055
13.810728,17,35.971027
14.071785,15,36.024846
17.06468,30,36.161816
80.3602,56,36.37981
11.320924,24,36.442086
15.401948,34,36.511898
39.759215,29,36.605192
99.917916,54,36.739834
17.427143,21,36.810946
5.658396,9,36.85267
32.720528,36,37.014776
78.840812,47,37.222091
34.587066,52,37.423129
7.621961,24,37.514352
13.517015,16,37.574202
13.115113,15,37.631396
17.309137,18,37.70271
12.112939,29,37.813443
44.06862,54,38.017118
10.325998,19,38.08882
9.135176,13,38.138678
21.626277,25,38.235764
93.282667,54,38.502449
18.731692,34,38.63283
9.954552,16,38.689632
13.131991,23,38.841947
10.159042,27,38.929445
14.267943,16,39.010976
79.95598,44,39.196711
25.460507,33,39.30827
8.755309,24,39.437716
16.580676,17,39.573245
10.956265,13,39.597845
47.19213,49,39.757421
12.217986,16,39.817194
6.701996,9,39.849966
25.461908,22,39.931375
7.208804,10,39.960517
12.153188,18,40.025135
26.865513,45,40.151674
7.020359,10,40.181608
11.155438,16,40.242751
20.419832,20,40.317385
8.572101,17,40.377862
117.230793,65,40.663815
18.564043,19,40.76266
17.316997,33,40.960152
39.955843,30,49.910114
129.366044,91,50.334402
20.865083,38,50.523746
34.740876,37,50.648315
93.900059,53,50.762751
6.284188,11,50.803747
79.985808,49,50.947743
108.595614,61,51.081221
86.563079,51,51.214937
132.294599,72,51.443788
12.403327,17,51.518375
7.552861,10,51.564757
7.30379,12,51.603015
9.882563,15,51.667469
12.963305,26,51.768485
9.037187,13,51.829981
12.18001,28,51.943049
21.201892,20,52.028607
31.440079,45,52.249525
70.152168,43,52.497659
30.626428,37,52.6552
10.836039,12,52.704586
18.722137,35,52.884963
11.940756,14,52.958855
12.528394,30,53.107738
7.675617,10,53.144808
118.398274,62,53.341451
37.110955,42,53.420734
122.504539,63,53.634444
57.487746,39,53.789139
6.964682,10,53.829701
22.246192,37,53.980705
12.092636,14,54.03088
12.190522,27,54.217129
11.372995,13,54.262895
88.821803,63,54.546613
11.152241,25,54.642997
146.680942,74,55.072632
27.636577,22,55.189441
21.897776,31,55.308984
7.734129,13,55.333191
51.018111,36,55.456044
31.555464,27,55.564559
127.336586,71,55.809688
64.611412,38,55.906208
16.087816,18,55.955322
11.431498,24,56.000142
47.906021,33,56.066465
24.789069,33,56.134515
182.735121,115,56.64887
43.961525,49,56.84233
25.354097,33,57.079947
14.085913,39,57.22705
123.779525,91,57.643961
22.064196,34,57.715087
37.237957,42,66.928442
10.690436,15,67.015915
80.454736,68,67.252355
115.01761,65,67.381262
111.551099,71,67.550769
110.082017,62,67.763498
124.794011,70,68.093499
17.569075,28,68.212789
24.332008,23,68.287855
40.278001,29,68.404878
91.882474,64,68.679285
136.337061,69,68.945785
93.560572,52,69.14058
7.558485,10,69.17255
124.400788,69,69.513411
40.125998,41,69.682861
141.595004,85,70.119679
112.22281,66,70.352002
12.786953,17,70.416653
16.120854,28,70.538283
92.883016,52,70.824147
46.687311,33,70.929379
27.482437,24,70.97232
161.089086,115,71.388282
105.051261,56,71.485576
8.657165,11,71.55813
89.723121,64,71.872262
72.546712,44,72.002518
17.074122,22,72.053018
8.907453,12,72.087775
96.266329,54,72.348501
93.432067,97,72.68692
36.307981,43,72.800256
110.716888,57,72.991585
54.054982,37,73.092515
61.644494,37,73.235248
82.488004,50,73.343083
7.18169,25,73.440946
73.191339,45,73.557924
16.495392,21,73.636348
153.940909,98,74.022913
20.768081,20,74.129737
71.577385,58,74.386291
60.087453,41,83.420239
51.942709,37,83.574934
100.005493,57,83.873213
71.568646,45,84.096584
39.758462,50,84.380002
75.551442,43,84.568791
63.581708,40,84.710283
31.56526,38,84.843621
115.340002,62,84.953887
98.618286,53,85.073097
59.490315,35,85.143854
105.695202,58,85.35788
86.334237,58,85.598843
78.049584,45,85.759956
98.962985,54,85.982265
18.276466,25,86.070209
122.550239,63,86.321913
50.354498,30,86.465612
114.794596,65,86.73296
67.495804,42,86.897202
14.033117,15,86.937574
155.899266,113,87.145887
47.07087,52,87.331597
64.35351,64,87.611258
85.276017,49,87.785286
153.357888,83,88.096297
58.930009,36,88.192819
117.377676,76,88.362241
101.517223,55,88.496582
83.226219,47,88.666825
129.778255,72,88.933318
71.712136,57,89.320843
106.122967,57,89.548907
12.195907,16,89.580072
140.047832,95,89.885298
44.267754,31,90.02939
70.446621,41,90.207483
57.313708,48,90.438579
83.141634,47,90.610779
61.303562,53,90.854255
118.571102,63,100.11255
99.058436,54,100.24012
91.833276,51,100.472776
113.330961,62,100.712199
117.149713,64,100.848108
69.514137,79,101.080127
109.668192,59,101.317578
6.229945,11,101.377368
104.171759,66,101.702998
65.061022,42,101.848823
123.562235,64,102.176911
73.434901,42,102.372932
117.613339,61,102.53524
129.449973,68,102.809224
102.677141,57,103.023633
111.187721,58,103.253989
120.897191,66,103.513385
119.563041,62,103.768958
120.173757,63,103.924904
115.955399,60,104.032351
14.815446,37,104.099207
87.374921,49,104.189594
79.545428,48,104.276466
152.029381,96,104.625833
59.301371,34,104.842654
115.213702,59,105.106082
117.739828,84,105.389623
125.115715,66,105.648544
49.075829,34,105.785042
62.063193,41,105.938543
130.166468,66,106.215639
53.034213,31,106.291696
107.253185,57,106.462687
109.489253,63,106.681087
80.054396,45,106.911267
129.971181,67,107.200459
75.192462,43,107.304338
109.928643,76,116.766139
86.897693,48,117.019594
54.51725,32,117.133457
120.878289,67,117.410353
112.27544,60,117.656454
139.862262,140,118.22798
8.33655,13,118.279532
122.342082,64,118.532135
183.004916,105,119.019708
50.006364,29,119.151049
109.241597,60,119.413996
107.585065,57,119.711166
94.659285,55,119.999893
98.32473,57,120.219209
102.311023,60,120.330811
106.436283,60,120.485427
101.827992,58,120.653085
78.404106,50,120.766774
110.860838,58,120.975124
58.328396,34,121.110736
131.321683,68,121.424578
132.438906,72,121.726797
50.510414,30,121.835846
113.922213,61,122.067617
120.343354,63,122.360533
88.031969,48,122.554448
100.097952,57,122.74839
56.456403,59,122.855719
134.900814,67,122.978325
86.998236,49,123.068818
132.123564,68,123.297739
127.074669,68,123.52224
99.169894,54,123.621814
157.134599,100,123.948111
49.672851,34,133.504856
106.532003,57,133.798328
131.047481,89,134.062514
133.408892,69,134.236529
100.373932,55,134.395152
115.646847,60,134.505692
113.93561,60,134.617915
57.042508,34,134.682658
120.234547,68,134.809564
78.266482,53,134.910391
147.953526,70,135.080754
111.852311,60,135.192347
107.131362,57,135.360206
128.560111,64,135.662923
109.918423,58,135.918384
113.554284,63,136.166417
95.786565,64,136.360778
67.148298,39,136.505047
136.189097,72,136.805211
114.300354,60,136.969839
138.988139,97,137.238991
119.916949,66,137.553478
126.836292,83,137.762058
105.673555,61,137.943047
125.836859,64,138.14571
119.067993,66,138.399643
60.549993,40,138.520048
77.543925,45,138.655949
125.512236,64,138.846662
122.798712,65,139.053433
103.403565,56,139.227632
83.573972,53,139.451288
112.33446,59,139.813015
114.104415,63,149.708231
111.738928,70,149.989926
127.245815,66,150.182842
115.124449,61,150.360353
52.112468,31,150.434699
111.10287,60,150.652066
44.911163,32,150.782527
123.884031,64,150.971279
118.623058,66,151.141203
139.253894,85,151.376228
40.392023,30,151.497805
45.635944,33,151.629757
124.829057,65,151.847318
139.230864,88,152.228581
149.797826,88,152.519932
134.212508,72,152.806189
83.209074,71,153.057589
72.358764,44,153.220195
144.010899,73,153.494954
66.092922,40,153.577472
135.361358,69,153.819531
84.256333,48,154.015611
153.873736,84,154.422235
130.767867,67,154.658775
98.354732,54,154.917108
70.763528,40,155.107145
126.103567,70,155.345595
123.632716,63,155.510193
140.90317,76,155.720334
214.66684,117,156.285054
92.664197,52,156.42909
99.345141,56,156.578189
55.415063,33,156.740912
146.603019,71,166.321684
90.59305,53,166.723413
137.172145,79,167.122119
122.406626,63,167.407078
135.064123,67,167.782336
126.594128,69,168.038921
136.477105,91,168.386784
122.511954,64,168.670233
114.896937,63,168.931377
127.940995,64,169.174298
125.620992,65,169.438213
146.047556,80,169.971643
123.713279,64,170.212523
127.053388,65,170.363948
113.912351,61,170.523762
117.564,86,170.867323
137.488304,69,171.058551
69.575788,45,171.208061
73.239977,47,171.439084
71.621269,43,171.545481
157.798202,78,171.963337
175.929307,111,172.403578
141.749718,73,172.613139
126.659865,79,172.752643
101.858868,58,172.968056
143.301732,69,173.22045
64.389681,38,173.325517
120.657605,63,173.52658
119.134699,63,173.639269
115.702915,63,173.833821
94.694806,52,174.138969
128.364025,68,182.812086
136.705573,69,183.005836
122.34462,65,183.269838
130.982979,67,183.531712
87.531153,52,183.732468
123.037818,68,183.982136
129.989171,65,184.216348
101.608993,56,184.414475
128.56975,65,184.526054
139.808857,70,184.644192
118.486496,62,184.781725
123.133019,64,184.997216
134.0323,68,185.271391
122.560556,63,185.599719
117.347405,61,185.751422
145.356233,71,186.168861
130.689411,66,186.453584
133.435545,68,186.780937
133.594159,70,187.068942
129.114819,64,187.276571
123.730571,64,187.597782
130.689733,67,187.914507
118.57352,66,188.208412
168.343322,87,188.523518
105.916068,66,188.77906
136.743593,70,188.965019
128.299424,67,189.23381
129.322132,68,189.455178
68.328198,44,189.589045
76.151515,48,189.733349
143.569157,72,190.05197
67.844931,39,190.208482
125.224484,64,199.084827
145.4587,71,199.492603
130.225133,78,199.755876
149.593565,91,200.090819
143.643809,70,200.278268
177.224943,92,200.494551
146.966097,74,200.687382
153.395136,72,200.882828
217.855831,123,201.196284
119.805376,61,201.406229
130.237255,67,201.540847
139.256821,66,201.830154
167.33372,78,202.093678
153.25979,94,202.499662
135.664919,68,202.758474
140.581804,68,203.06499
129.040067,69,203.413697
149.678656,74,203.76212
132.503907,66,204.038697
110.687469,62,204.198217
183.807427,131,204.799848
148.89715,73,204.991424
138.704123,68,205.182148
133.033211,72,205.407544
154.113791,90,205.766705
138.789637,67,206.01202
129.096037,69,206.226646
131.675655,64,214.964354
124.187238,66,215.299624
146.87116,74,215.546955
144.402822,73,215.734095
146.097806,70,216.021976
4.201049,9,216.043578
133.043072,72,216.198983
159.600923,75,216.377223
110.431689,62,216.681554
146.677068,72,216.926347
167.280699,79,217.134938
120.087707,65,217.33647
145.722133,75,217.661827
153.653763,80,218.024566
185.904155,110,218.497199
144.796479,74,218.665154
125.933907,67,218.840912
130.490022,66,219.022822
125.441342,67,219.201932
157.884858,76,219.424846
129.028062,66,219.681253
124.343399,64,219.93036
144.267216,73,220.182743
72.591712,52,220.322981
151.554034,70,220.550557
119.24298,63,220.775238
142.344237,74,221.070461
134.73639,70,221.305708
151.143915,75,221.669484
162.397687,78,231.066236
149.458666,79,231.397596
173.991806,100,231.842449
149.268779,72,232.16807
148.668703,71,232.428317
154.397864,76,232.703594
135.269,70,232.902206
147.555335,77,233.120928
149.861763,74,233.517963
131.496288,70,233.739535
148.239616,73,233.971127
