#{"t_start": 1534119103.317939, "env_id": "Hopper-v2"}
r,l,t
54.047117,38,0.095131
4.643053,9,0.105398
6.758036,12,0.118935
5.398015,12,0.132346
19.149893,21,0.155595
4.861961,8,0.165052
5.01536,11,0.178515
6.803395,10,0.190218
9.234914,15,0.207347
3.111973,11,0.220116
10.77363,15,0.237019
4.714357,10,0.248488
4.104543,7,0.256685
6.511796,9,0.26704
24.458167,28,0.29874
4.445488,11,0.311701
12.030099,14,0.327271
4.226485,10,0.342327
14.429159,21,0.382416
3.82986,10,0.402247
7.676852,13,0.427236
7.446078,11,0.448401
5.387055,9,0.465755
6.811874,14,0.492681
4.121884,11,0.514558
6.316812,10,0.529343
3.332816,11,0.541587
17.598534,19,0.562787
24.68226,33,0.599697
14.723016,31,0.634013
9.089943,16,0.651932
8.441983,12,0.665455
4.954759,10,0.677034
10.62952,17,0.705823
5.613599,10,0.724857
18.927264,21,0.7642
9.816283,15,0.781068
3.861549,14,0.796941
48.992875,39,0.840187
17.500557,20,0.862843
46.887829,31,0.897543
9.015338,14,0.913269
9.963015,14,0.928997
12.032251,19,0.950337
10.670053,14,0.966078
9.549854,17,0.98543
7.837413,16,1.005147
7.56909,12,1.018908
8.538896,13,1.033478
8.738689,14,1.048985
8.951964,15,1.065574
3.093124,11,1.078069
20.762346,18,1.098367
18.081395,23,1.124324
13.159555,22,1.148997
2.068381,8,1.158066
7.314123,16,1.175936
8.19101,12,1.190942
3.786407,10,1.210291
7.904315,17,1.242476
14.690547,17,1.265606
6.248567,10,1.27705
6.710221,18,1.297229
12.375747,24,1.324006
64.837744,38,1.36573
15.7802,23,1.391479
6.059416,14,1.4073
8.637119,14,1.423142
15.237081,31,1.457552
15.822272,22,1.482025
12.500023,20,1.504082
23.37122,23,1.529742
4.717507,12,1.543243
25.242471,21,1.566466
7.239496,12,1.580014
6.072982,13,1.594404
3.563587,13,1.609056
6.599235,15,1.625921
58.370927,36,1.665808
7.61423,10,1.67698
7.896023,10,1.688006
22.509261,25,1.715606
4.260892,11,1.728026
15.688902,18,1.748044
