#{"t_start": 1533077519.1661336, "env_id": "Hopper-v2"}
r,l,t
12.410189,16,0.048509
10.355841,12,0.075811
121.522052,71,0.195084
2.043993,12,0.213553
6.339803,15,0.230702
4.817801,23,0.259284
5.270714,10,0.270194
10.728716,13,0.285116
6.490961,9,0.294166
5.720567,10,0.305817
28.166772,26,0.334695
11.632961,15,0.351075
5.795596,13,0.366444
6.812237,11,0.400546
2.663569,15,0.447325
13.349171,14,0.481946
19.822462,24,0.544903
10.045416,14,0.578893
13.573623,19,0.619379
17.906096,23,0.680935
6.179266,25,0.761881
5.827043,22,0.807301
9.838953,11,0.841416
11.143866,21,0.886672
10.901005,12,0.922514
8.661305,10,0.950178
68.6096,44,1.056119
9.992998,15,1.10449
21.759697,25,1.177177
23.785328,33,1.236359
14.017533,18,1.289969
6.390218,17,1.332448
9.290594,13,1.356726
33.363478,24,1.423454
144.366355,92,1.696308
29.462859,25,1.78067
8.650645,14,1.814598
9.883432,15,1.864387
23.242919,20,1.921973
5.642908,32,2.015198
9.038144,12,2.042746
9.738792,11,2.069121
11.193169,16,2.138141
33.722948,29,2.231255
9.728159,25,2.303125
11.664959,13,2.337565
36.635051,40,2.465997
35.366609,25,2.549926
7.237472,10,2.609992
21.776108,18,2.638123
65.863708,44,2.772674
7.80825,10,2.809966
63.097507,55,3.007845
9.610925,28,3.092551
5.08969,13,3.128041
15.68348,23,3.198208
6.433902,16,3.234736
25.896773,38,3.331675
11.648695,16,3.365778
8.125675,19,3.421012
14.164946,18,3.460856
11.657044,15,3.504271
7.727956,16,3.57429
5.986512,25,3.658962
6.476299,14,3.713759
8.311248,15,3.746556
8.72788,10,3.774267
10.037748,12,3.8063
8.566548,17,3.872546
6.544313,10,3.909551
30.941921,23,3.978177
35.249478,25,4.059634
8.770692,11,4.085789
8.470467,10,4.145881
12.512229,16,4.174036
12.57863,21,4.235807
9.506325,12,4.264231
15.287812,18,4.32908
9.735655,12,4.362817
20.376413,20,4.430532
10.922885,19,4.486944
12.011581,20,4.537485
6.676811,9,4.565328
11.474631,17,4.610523
7.238096,19,4.654826
41.958588,30,4.737442
16.104669,17,4.777443
8.61566,11,4.790659
18.852153,23,4.861559
29.870851,22,4.912668
