#{"t_start": 1533083515.222788, "env_id": "Hopper-v2"}
r,l,t
5.895012,9,0.058225
19.811194,19,0.094866
19.795057,21,0.144996
15.639713,20,0.17705
23.108712,23,0.21555
28.038215,31,0.2874
6.928273,12,0.308629
11.123731,23,0.345542
4.715847,9,0.356747
7.63891,12,0.377612
9.959791,13,0.398954
3.337736,18,0.432436
27.918346,22,0.473799
13.124982,19,0.530982
12.608739,13,0.562258
3.850281,22,0.605853
8.858914,27,0.678787
15.564452,21,0.741258
5.510132,10,0.767182
12.120533,14,0.804749
22.225523,27,0.866318
8.93288,14,0.912983
8.183675,16,0.948212
86.948945,57,1.091696
31.920553,28,1.167847
9.822189,16,1.202843
7.876597,20,1.258938
6.272262,27,1.317331
12.356687,24,1.379372
26.581334,27,1.456398
7.116692,9,1.482261
4.949367,11,1.505644
8.582235,17,1.543346
10.30406,13,1.575534
9.012213,15,1.626293
9.629609,11,1.656678
10.258543,15,1.689668
28.894729,33,1.774225
7.109248,9,1.798143
16.522722,19,1.839521
7.040941,9,1.858981
5.795253,13,1.898624
5.992658,8,1.912958
26.283336,25,1.96809
24.599041,28,2.045108
59.250286,40,2.129535
8.330548,25,2.189876
9.235658,12,2.220577
11.357365,13,2.268677
8.091752,13,2.298719
7.641341,13,2.330853
4.28534,22,2.387043
9.613239,12,2.412693
10.15883,22,2.471617
8.898552,12,2.502826
5.119889,9,2.52751
33.218966,25,2.584669
21.226569,19,2.641675
9.021295,12,2.67292
9.797573,14,2.706598
11.906183,17,2.742755
8.400267,28,2.818529
6.839858,9,2.841779
7.272004,10,2.854176
7.387815,13,2.919207
9.235835,18,2.958171
5.705336,9,2.985574
9.68245,15,3.020766
14.92889,19,3.069747
10.036055,11,3.099909
4.476372,18,3.138919
24.242684,36,3.232587
20.7603,19,3.268802
30.149279,25,3.330809
12.495175,17,3.384196
18.506058,18,3.423387
33.880349,26,3.459689
15.042844,17,3.512881
8.591167,12,3.543963
10.549777,13,3.560232
38.622898,28,3.594549
8.138947,17,3.631577
8.884224,12,3.646734
7.615865,10,3.675161
