#{"env_id": "Hopper-v2", "t_start": 1534204842.9629116}
r,l,t
9.189375,11,0.044936
20.77725,29,0.077191
9.486397,12,0.089661
9.154279,11,0.101141
51.249166,41,0.145747
8.490778,25,0.173729
7.141277,12,0.187205
15.957773,24,0.213937
10.411673,14,0.229399
8.934611,14,0.244931
7.60298,11,0.257161
10.898666,32,0.292632
6.904326,10,0.304048
4.949958,9,0.314518
6.814774,9,0.324807
6.783506,13,0.339448
8.078497,13,0.353942
7.01462,10,0.365142
12.971518,26,0.394009
11.987337,23,0.41973
6.428651,10,0.430958
7.594817,11,0.44331
10.177796,12,0.456614
7.144224,9,0.466693
9.79695,12,0.479926
8.512992,13,0.494536
5.62437,9,0.504627
13.06442,14,0.520232
6.424261,9,0.530369
4.87076,8,0.539606
9.43032,12,0.552969
4.958015,7,0.560754
7.729889,10,0.571732
6.817102,9,0.581903
10.767654,13,0.596305
7.473731,15,0.613235
8.888268,36,0.655287
6.750057,10,0.666392
9.054051,30,0.719439
19.437732,23,0.764093
6.617264,10,0.783539
15.857836,19,0.820291
5.359707,10,0.839845
5.327063,8,0.85534
11.820575,14,0.882243
9.028901,13,0.907623
13.812986,20,0.946351
6.453296,9,0.964026
8.964797,11,0.984876
7.690952,10,1.004461
38.700551,40,1.081358
11.122969,32,1.144083
7.176363,10,1.163132
6.887157,10,1.182393
6.76772,10,1.201821
19.59269,27,1.254312
10.299522,14,1.281161
9.592937,23,1.325229
8.715937,10,1.34469
6.142764,9,1.361941
5.45068,12,1.386292
8.689622,12,1.409398
7.094013,9,1.426887
13.383074,29,1.48299
14.104528,15,1.511652
8.749017,18,1.546916
11.603086,33,1.61217
10.906642,12,1.636572
9.921288,23,1.681155
6.00922,9,1.698189
5.696412,9,1.715329
11.670178,19,1.743229
9.191559,11,1.756118
7.590653,13,1.770761
33.882885,30,1.804492
5.296591,8,1.813846
4.23595,7,1.821812
8.304277,14,1.837169
9.028593,11,1.849507
6.216813,8,1.858705
11.890964,21,1.882447
9.024643,13,1.897267
11.980109,19,1.918667
7.428339,10,1.930004
5.120773,8,1.939204
36.894028,34,1.977398
8.441587,12,1.99094
5.487605,9,2.00118
10.027132,13,2.015554
7.610371,11,2.027961
11.746593,16,2.045676
11.712714,14,2.061491
8.096539,22,2.086203
8.458466,12,2.09958
9.626005,12,2.113236
8.820151,12,2.126366
7.020938,9,2.136549
14.003706,20,2.158905
5.442515,8,2.16793
9.047743,21,2.191443
74.704213,49,2.246008
10.605096,13,2.260396
14.665947,19,2.281574
9.33163,12,2.294551
8.213901,11,2.306366
5.572244,9,2.315838
6.375009,10,2.326267
6.807096,10,2.336725
12.291474,16,2.353872
6.285632,9,2.363676
6.706782,9,2.373799
9.178989,12,2.387077
8.74432,12,2.400371
4.498752,7,2.408149
6.894062,9,2.418184
40.260305,38,2.465744
5.830728,8,2.475297
8.663957,12,2.497476
7.202614,13,2.512783
9.941035,18,2.534042
6.396558,9,2.544104
9.677823,20,2.566021
6.946528,10,2.576848
10.267604,12,2.589773
8.595332,11,2.601569
59.028787,43,2.64707
7.226103,10,2.657771
8.090442,12,2.670475
7.460606,12,2.683388
9.04854,13,2.697419
12.103539,18,2.716644
11.123882,23,2.749272
14.231946,22,2.777251
8.569659,11,8.600444
6.765401,10,8.614794
12.719568,14,8.631052
5.244048,8,8.642504
9.114923,13,8.660339
12.982042,29,8.69579
9.434113,12,8.712467
61.952593,44,8.768913
7.972574,10,8.781192
7.089166,10,8.795528
9.178091,11,8.807722
10.530445,28,8.844967
8.311447,12,8.861358
8.993164,13,8.876246
7.205038,11,8.891816
6.378001,11,8.90703
10.986038,13,8.922469
33.657273,37,8.970731
17.38917,26,9.005828
84.911737,49,9.074666
60.008969,38,9.119815
7.791414,13,9.134544
8.868484,12,9.148169
10.180507,12,9.16173
10.575917,12,9.17541
6.506531,13,9.190267
56.008874,46,9.241342
8.224145,12,9.254718
20.06962,29,9.287151
10.492765,13,9.301922
6.422933,12,9.315684
11.057151,16,9.333573
9.02344,15,9.350633
10.698306,14,9.366346
14.085327,17,9.385325
48.852122,38,9.428983
12.996365,18,9.462287
6.992118,9,9.479894
10.225764,17,9.513052
8.119076,16,9.544703
9.244743,12,9.568162
14.600577,31,9.627729
7.226341,9,9.645059
6.420228,9,9.662539
18.516238,19,9.69843
7.684121,11,9.719445
12.665638,20,9.758407
5.525088,8,9.773566
11.192641,17,9.806682
8.135397,10,9.826044
7.63464,11,9.847216
11.980771,14,9.873774
9.268864,11,9.894764
17.199904,34,9.949493
42.027594,49,10.004184
10.67067,13,10.02053
7.737741,11,10.033512
5.868875,8,10.042482
14.472016,16,10.060149
9.636724,17,10.079746
8.782665,12,10.093083
14.732622,15,10.110046
9.875968,13,10.12462
8.009048,12,10.138219
8.219106,10,10.14956
43.79108,32,10.184933
