#{"t_start": 1532225139.2167857, "env_id": "Humanoid-v2"}
r,l,t
89.506823,19,0.103932
108.819738,22,0.174509
147.565223,32,0.291698
80.818987,17,0.356676
106.109488,23,0.430074
90.833205,19,0.510495
87.785484,19,0.573443
206.755808,44,0.718146
138.485735,29,0.815532
105.129513,22,0.854761
240.671926,50,0.99359
80.879652,17,1.038533
90.742126,19,1.102378
122.483803,27,1.199061
86.295621,18,1.261105
94.927887,20,1.327336
155.418503,35,1.461652
85.626895,18,1.544404
86.010804,18,1.605915
142.654302,32,1.722002
86.333765,18,1.763844
150.525298,30,1.841519
75.803078,16,1.876711
82.856392,18,1.906347
70.569256,15,1.941034
99.911387,23,2.005401
81.377001,17,2.033856
86.191641,19,2.074626
105.725723,22,2.145345
151.465737,32,2.266524
80.765838,17,2.310825
137.992183,31,2.4382
212.889054,44,2.59821
72.568793,16,2.641071
85.351523,18,2.703827
129.526965,29,2.752573
117.238431,25,2.828755
75.62808,16,2.855033
131.481337,30,2.930908
85.912685,18,2.992615
80.812127,17,3.0489
113.405374,24,3.121142
102.121753,24,3.21128
99.749465,21,3.279174
76.515988,16,3.323402
73.446744,16,3.382131
92.652714,20,3.449062
165.40361,36,3.574253
96.305826,21,3.666582
142.592841,30,3.782165
81.149624,17,3.84262
87.938505,19,3.90618
79.040476,17,3.950069
86.071401,18,4.011223
102.893488,21,4.089782
112.614856,25,4.148129
89.791028,20,4.189723
91.565201,19,4.248453
76.301653,16,4.274434
118.438575,25,4.34274
111.399577,25,4.423878
131.627429,28,4.47141
110.837445,23,4.540054
118.24299,25,4.623022
81.225011,17,4.667346
84.812571,18,4.713172
81.25244,17,4.742455
108.473035,24,4.822576
166.318454,33,4.935526
108.136792,24,5.028923
74.40782,16,5.071084
131.339359,28,5.119071
102.264156,22,5.156082
81.043888,17,5.183275
156.182821,33,5.24109
85.000083,19,5.280931
103.893698,24,5.346332
85.86416,18,5.374798
146.436363,30,5.467134
156.445183,32,5.554815
147.103305,30,5.62303
82.359049,17,5.651578
115.227548,26,5.698334
76.368469,16,5.748318
86.010986,18,5.83094
117.91845,25,5.905296
85.841216,18,5.966313
102.679601,22,6.041051
86.277054,18,6.102517
115.038354,24,8.868329
86.707221,18,8.932419
74.019172,16,8.989081
97.702531,20,9.071982
116.885436,24,9.160295
122.48103,25,9.231759
79.515509,17,9.297885
129.933116,28,9.395877
110.338391,23,9.490376
123.690215,26,9.583175
112.573157,27,9.678663
101.020833,21,9.748566
75.857904,16,9.807047
86.235637,18,9.870638
81.183704,17,9.932179
196.497729,40,10.070653
96.994666,20,10.139683
76.099864,16,10.171235
82.8397,17,10.231014
161.215218,33,10.332432
122.100837,25,10.428893
75.512984,16,10.483145
97.245585,20,10.542206
163.459734,34,10.672168
80.297421,17,10.724547
96.506742,21,10.793043
96.780678,20,10.87518
116.923178,24,10.966427
95.327289,21,11.012237
130.202585,26,11.067963
86.923135,18,11.12332
80.094653,17,11.174791
76.440494,16,11.225952
170.594002,35,11.354908
130.089482,28,11.446923
86.636005,18,11.493748
168.146605,34,11.621202
148.575325,30,11.739351
81.360316,17,11.784148
140.292936,29,11.849509
115.29837,24,11.919119
187.328544,39,12.070801
108.966918,23,12.144844
138.460941,30,12.252679
79.462095,17,12.321761
179.596794,37,12.455147
137.753014,28,12.548547
80.512897,17,12.619742
110.88624,23,12.695339
139.518113,29,12.804259
77.957424,17,12.85985
122.300613,25,12.94876
86.422194,19,13.021614
99.834878,22,13.100693
176.737249,38,13.230761
122.532309,27,13.329083
111.309429,23,13.42284
165.854415,37,13.505599
163.240143,37,13.631683
81.346575,17,13.691926
122.477573,26,13.768673
164.1013,34,13.888199
149.119079,33,14.005925
132.533179,27,14.101775
121.016979,26,14.195738
86.886863,18,14.257195
153.236001,33,14.330144
81.088269,17,14.35821
84.736041,18,14.389611
75.28274,16,14.428825
137.953627,28,14.526923
90.294671,21,14.580078
80.994736,17,14.609148
80.784682,17,14.637552
92.143498,20,14.688432
136.067127,29,14.784487
74.098076,16,14.837212
133.52937,30,14.931011
122.086119,25,14.97519
170.181609,35,15.038555
89.376804,19,15.116742
123.699979,29,15.200341
111.813081,24,15.272496
85.905025,18,15.302536
79.851672,17,15.331441
80.518821,17,15.359893
115.662903,26,18.611198
177.770418,37,18.750684
119.05274,28,18.8441
209.075623,44,18.95837
96.207886,20,19.026229
107.820083,23,19.095714
114.825299,24,19.184344
109.929481,24,19.247002
135.545014,28,19.374306
91.260561,19,19.437104
141.697015,31,19.522985
90.926604,19,19.5953
147.536504,30,19.653811
104.439843,24,19.759104
81.207458,17,19.830853
110.930758,23,19.938697
83.585368,19,20.01422
107.146763,22,20.111361
75.110864,17,20.185709
114.970936,26,20.279843
160.994802,33,20.401573
80.46997,17,20.445514
146.588337,32,20.564747
126.278325,27,20.657519
109.380616,23,20.729932
84.27154,18,20.79394
115.924207,24,20.884325
95.547878,20,20.950127
108.820577,22,21.020334
143.240948,30,21.121066
139.692479,30,21.184855
81.413908,17,21.212298
150.618353,32,21.279277
81.506905,17,21.327096
84.106817,19,21.360069
108.673591,23,21.411461
126.857647,26,21.491598
96.670978,20,21.553989
81.137057,17,21.615173
144.219997,30,21.716912
135.131848,30,21.818753
111.650682,24,21.909242
132.13501,27,22.004974
179.425551,37,22.144217
166.595878,34,22.250991
80.336365,17,22.309079
92.779956,20,22.375025
119.360096,29,22.480631
134.422576,32,22.591961
90.130428,19,22.622722
78.594594,17,22.678085
187.868326,39,22.827089
95.229913,20,22.906113
99.84596,21,22.973272
74.911201,16,23.012516
76.350886,16,23.070865
126.45094,27,23.165544
104.923032,23,23.252054
76.296048,16,23.296793
118.112617,25,23.380488
119.487483,26,23.474405
95.706068,20,23.539533
114.256296,25,23.613084
101.914851,22,23.697951
90.646032,19,23.767205
127.41317,26,23.844932
122.794656,30,23.95155
143.1873,34,24.01077
192.065382,43,24.133385
81.031212,17,24.17679
90.39391,19,24.240011
137.07206,28,24.354743
141.599801,30,24.408393
81.340268,17,24.436526
97.499151,20,24.470896
140.071738,30,24.604678
128.663391,28,24.652682
106.580676,22,24.689927
89.558679,19,24.738119
214.558013,41,24.887876
99.659385,21,24.963108
117.477874,26,25.049915
85.984665,18,25.117873
174.517809,36,28.331949
127.995762,27,28.428774
160.528284,34,28.525173
72.384357,16,28.55324
125.062506,29,28.605968
113.175222,23,28.655168
129.345237,27,28.750763
321.103452,69,28.957953
168.629576,35,29.086514
178.942241,41,29.163454
142.058203,30,29.23378
191.779526,43,29.391552
92.618521,19,29.476268
140.16065,29,29.583647
105.815642,23,29.668408
124.941281,26,29.761944
86.963938,18,29.808247
151.960799,30,29.913115
97.915772,20,29.991771
128.877902,26,30.053017
105.295722,22,30.131394
90.798678,19,30.19836
84.67707,18,30.244914
76.088104,16,30.272626
188.279167,38,30.411225
87.481508,20,30.480261
101.440383,21,30.566865
98.147602,22,30.606997
182.322097,38,30.675404
120.423816,25,30.720746
75.223254,16,30.754939
96.249244,20,30.809223
75.927304,16,30.86238
80.314887,17,30.917605
111.310589,24,31.007003
90.335591,19,31.070678
131.62457,28,31.167188
82.173354,18,31.216917
86.059938,18,31.249326
186.843961,40,31.37228
79.793435,17,31.437724
223.556748,44,31.608515
219.801025,47,31.769238
100.181769,21,31.854142
120.776198,27,31.949662
115.640114,24,32.035454
126.226759,26,32.117041
91.727194,20,32.220139
176.111038,37,32.352643
97.363259,21,32.415946
80.264966,17,32.475591
88.829561,19,32.547069
214.093978,45,32.708156
81.025104,17,32.768598
84.781306,18,32.830569
173.733403,36,32.946804
166.123296,34,33.046401
94.314202,20,33.112067
137.574227,30,33.228021
88.178506,19,33.296749
123.431479,26,33.384078
153.388642,32,33.480661
245.441827,48,33.637801
107.837793,24,33.724759
118.966932,25,33.812388
92.251571,19,33.876321
141.504838,29,33.941283
129.776368,28,34.045819
107.399334,24,34.115603
139.98021,29,34.206506
115.924823,25,34.278215
94.643528,20,34.332826
161.885032,32,34.450873
91.381091,19,34.516032
82.122114,18,34.586172
94.408639,20,34.648841
164.594612,36,34.784066
140.034953,30,38.066716
111.367548,23,38.160011
177.477582,37,38.331682
121.483819,25,38.412423
112.17412,23,38.514967
158.047423,33,38.64225
160.090014,35,38.764994
154.331656,31,38.87677
159.729289,32,38.985045
220.199548,46,39.149859
207.185588,45,39.310316
163.260757,34,39.368934
249.4881,56,39.580865
219.484218,45,39.736156
88.685193,21,39.804264
138.039175,29,39.870867
140.641488,29,39.957021
149.854202,34,40.082899
133.682686,29,40.162938
169.850181,36,40.255546
263.13409,56,40.380364
156.576279,34,40.49703
89.369803,20,40.552121
119.658092,25,40.661136
209.044717,43,40.813521
142.215029,31,40.899355
139.383656,28,40.995809
162.347625,33,41.092229
97.436316,21,41.158527
186.477741,38,41.273324
80.530095,18,41.332418
186.303918,40,41.497287
121.319835,25,41.587622
76.555723,16,41.626716
145.153718,30,41.758663
106.239548,22,41.83904
100.144252,21,41.914715
123.04993,28,42.010458
96.646751,20,42.076062
157.281748,33,42.193015
217.812264,44,42.347769
186.270316,43,42.499933
127.537937,26,42.642868
194.395622,40,42.745569
106.220978,23,42.801364
124.273875,28,42.896387
174.86762,38,42.965152
149.001306,30,43.085128
192.831374,41,43.157609
142.843644,32,43.287104
148.359808,32,43.378157
