#{"t_start": 1533191980.1861963, "env_id": "Humanoid-v2"}
r,l,t
109.913611,24,0.024261
86.639927,19,0.039716
122.422584,26,0.061194
158.563949,38,0.09378
81.297513,17,0.107487
75.233983,16,0.120187
113.380188,24,0.139604
82.304076,17,0.153327
99.772457,21,0.170756
134.884935,29,0.194487
153.021508,32,0.221152
140.164752,30,0.245916
104.615344,22,0.263676
87.643214,19,0.279258
120.243494,25,0.30043
85.923307,18,0.314898
178.494224,39,0.348243
83.247245,18,0.362771
89.202504,20,0.379095
76.693505,16,0.391656
191.807805,42,0.426652
74.156533,16,0.439534
109.726317,24,0.45879
85.48763,18,0.473593
83.531696,17,0.487202
107.632672,22,0.505095
131.671424,28,0.528559
80.255037,17,0.542258
121.938339,25,0.562405
80.43575,17,0.575722
94.246822,20,0.59156
142.996388,30,0.616301
124.363542,26,0.637713
147.470764,30,0.662695
93.488177,20,0.678701
90.747126,19,0.693767
136.582468,28,0.716934
205.422199,42,0.752205
90.896789,20,0.768481
78.622453,18,0.782983
155.791683,32,0.809586
164.775743,34,0.837785
86.010685,18,0.852051
170.190256,35,0.882434
86.874816,20,0.898803
151.565588,31,0.924721
85.532279,18,0.939084
81.132995,17,0.95268
108.228917,22,0.970787
115.136563,24,0.990574
100.873202,24,1.010479
76.232233,16,1.023108
150.816131,31,1.049055
147.729424,31,1.074454
75.183834,16,1.087088
96.288733,20,1.102965
81.166847,17,1.116528
108.471536,22,1.135045
76.303867,16,1.147636
81.256476,17,1.16108
76.224853,16,1.173589
84.581495,18,1.188295
108.989876,23,1.207201
82.60007,17,1.220803
117.90441,25,1.241337
81.158,17,1.254683
80.377585,17,1.268269
95.461247,21,1.285372
99.526075,21,1.302593
124.537617,27,1.324721
86.180289,18,1.339037
76.042999,16,1.351721
81.029722,17,1.365367
94.959656,20,1.381466
177.643284,36,1.411069
104.02405,22,1.429417
81.221228,17,1.44295
109.559919,22,1.460908
189.510771,42,1.497166
85.627618,18,1.511694
116.370857,24,1.532927
167.342071,36,1.565199
104.815182,22,1.583666
110.690993,23,1.602406
117.566245,26,1.623587
81.039483,17,1.637061
89.89997,19,1.652265
192.00657,39,1.684481
108.532377,23,2.387019
93.982336,19,2.402563
169.868437,35,2.4335
168.045308,34,2.46191
213.219955,48,2.504048
93.780944,20,2.520471
106.162229,22,2.538342
130.966926,29,2.5636
116.191979,25,2.583905
81.104526,17,2.597619
96.246641,20,2.61395
150.955884,31,2.640459
80.968569,17,2.654338
105.318293,22,2.672246
104.257195,21,2.689806
87.990938,19,2.705435
75.78352,16,2.718373
80.003354,17,2.73182
109.171437,22,2.749893
114.631672,25,2.771891
76.584789,16,2.784798
149.873833,32,2.811966
94.090894,21,2.82919
108.114339,23,2.848859
111.177088,23,2.867779
92.412715,19,2.883522
129.514357,29,2.908441
168.724539,38,2.941211
113.462069,24,2.960996
81.577299,17,2.974818
106.422143,22,2.992946
89.547492,20,3.009457
81.042003,17,3.022963
154.655534,32,3.051368
144.347868,32,3.079744
81.213289,17,3.09334
92.211844,20,3.109932
133.134019,28,3.134009
175.115658,37,3.165599
80.358121,17,3.179431
107.914721,22,3.197734
115.681291,24,3.217891
80.908661,17,3.2316
80.932002,17,3.245182
81.15275,17,3.258963
181.895658,42,3.295125
192.925771,39,3.32848
178.785766,42,3.364369
168.590934,35,3.394232
77.891445,17,3.408179
88.474011,20,3.424802
82.484938,17,3.43874
81.203552,17,3.452462
129.177361,26,3.474651
143.947356,32,3.501398
105.905914,22,3.51942
84.183428,18,3.533904
238.045685,49,3.576194
81.298378,17,3.589779
104.201917,22,3.608094
97.831244,20,3.624029
117.4921,24,3.644294
89.945164,19,3.659661
145.338915,31,3.685958
89.191096,18,3.700558
87.456635,18,3.715217
142.147843,30,3.741104
91.963116,19,3.756968
89.497868,20,3.773489
91.40601,20,3.789738
220.410518,46,3.82901
98.576299,21,3.846389
80.942366,17,3.860413
123.175843,26,3.88179
102.751486,21,3.899519
143.060063,31,3.92556
81.701454,18,3.94045
120.760174,25,3.961513
85.811389,18,3.976197
108.293546,23,3.995637
81.339273,17,4.009388
108.537964,23,4.028555
156.654326,31,4.054959
139.127812,29,4.079937
116.309479,24,4.798737
130.072571,28,4.821713
81.321518,17,4.835189
123.999555,27,4.857195
138.174358,29,4.880806
256.281031,50,4.924627
86.456008,18,4.939041
81.723968,17,4.953135
156.513604,32,4.980657
102.774219,21,4.998357
113.886739,24,5.018027
271.237052,53,5.064018
120.362507,26,5.085165
186.454877,39,5.118354
96.459181,21,5.135152
86.040314,18,5.149537
154.421648,31,5.175379
200.167816,39,5.208694
121.642731,27,5.23102
156.371567,33,5.258267
89.012209,19,5.27349
90.668575,20,5.2898
138.69149,30,5.314608
81.406626,17,5.327895
91.906294,19,5.343164
154.031169,32,5.370136
76.625672,16,5.382829
140.71435,29,5.406206
115.695078,24,5.426137
169.616531,34,5.454293
86.236854,18,5.468745
135.974863,28,5.492131
75.825434,16,5.504886
123.362521,27,5.527211
150.833532,33,5.554728
96.846606,20,5.571016
96.627129,20,5.587217
84.930207,19,5.602432
112.991412,24,5.622087
76.420124,16,5.634715
152.276677,31,5.660631
80.015781,17,5.67426
81.515292,17,5.687611
109.070792,25,5.708444
95.88494,20,5.724876
81.168687,17,5.738407
152.448178,32,5.765608
162.094296,33,5.793614
177.596173,36,5.82407
84.422745,18,5.838576
96.507347,20,5.855094
129.01565,28,5.878552
87.705289,18,5.893199
108.480715,23,5.912115
157.309257,33,5.94095
203.569202,41,5.977064
89.899251,19,5.992622
167.951108,33,6.020207
81.13153,17,6.200376
157.767968,35,6.287396
121.352031,25,6.313337
148.929053,32,6.341215
136.11282,29,6.364899
106.487072,24,6.384573
193.844416,43,6.426908
114.332827,24,6.446553
142.206329,30,6.47183
86.511502,18,6.486616
86.828521,18,6.501241
122.86841,25,6.522579
138.479245,28,6.546489
76.546029,16,6.559162
76.263937,16,6.571936
150.732289,33,6.600224
134.927587,30,6.625648
86.375426,18,6.640808
91.927425,19,6.656556
136.873164,29,6.680712
81.389185,17,6.694196
76.559678,16,6.706971
102.548679,22,7.413225
131.795596,27,7.436292
97.077341,20,7.452679
86.492519,18,7.467386
97.859013,20,7.483985
134.778137,28,7.506765
99.517854,22,7.524678
112.888904,23,7.543215
85.945815,18,7.557743
