#{"t_start": 1533507080.918449, "env_id": "Humanoid-v2"}
r,l,t
188.624304,38,2675.223128
105.454785,25,2675.929234
128.913021,26,2675.970771
109.367365,24,2676.009021
131.729091,31,2676.058198
104.407248,22,2676.093914
102.993893,21,2676.126754
76.217885,16,2676.152444
81.157713,17,2676.178905
79.774306,17,2676.207128
127.290682,26,2676.251949
82.714539,18,2676.282379
122.895451,28,2676.331672
204.182111,44,2676.40643
127.34706,27,2676.4526
70.640863,15,2676.478004
100.291024,21,2676.514398
226.184639,51,2676.605476
119.227555,26,2676.651068
87.501804,20,2676.685384
76.431438,16,2676.712397
76.034125,17,2676.740989
76.096679,16,2676.768589
95.129953,22,2676.805575
91.273176,20,2676.840667
79.00082,17,2676.869331
241.209802,54,2676.966226
129.722486,28,2677.010514
137.926161,28,2677.054412
76.074752,16,2677.079422
75.617966,16,2677.105923
86.192728,18,2677.136614
100.502166,22,2677.174874
93.482298,20,2677.209038
113.188971,24,2677.249634
89.298012,20,2677.284509
76.356699,16,2677.311929
77.06045,17,2677.340658
80.150138,17,2677.369513
80.910438,17,2677.398652
91.428418,19,2677.430701
81.462019,17,2677.45881
71.57486,15,2677.48443
107.103071,27,2677.531197
119.091893,32,2677.586431
78.71917,17,2677.616112
140.220248,28,2677.663528
69.602606,15,2677.689131
111.99979,24,2677.73059
127.753748,26,2677.776316
85.391179,18,2677.807693
76.145994,16,2677.835044
80.754794,17,2677.863422
92.285974,19,2677.895531
159.085136,34,2677.954213
90.128327,19,2677.986502
117.452105,26,2678.031862
78.510129,17,2678.060639
81.0808,18,2678.091113
152.612343,34,2678.149883
136.999732,29,2678.19952
74.899707,16,2678.226195
120.296107,28,2678.274094
82.246847,17,2678.302762
76.349114,17,2678.331812
83.661716,18,2678.3627
100.281553,23,2678.401467
96.572946,20,2678.435471
81.725686,18,2678.466806
127.143706,28,2678.518175
76.122342,16,2678.547748
70.959867,15,2678.574501
111.460937,23,2678.618264
96.803784,20,2678.65517
96.970389,22,2678.691891
85.143795,18,2678.719927
132.267831,29,2678.765184
80.906815,17,2678.79168
92.423287,19,2678.821753
79.678798,17,2678.848141
151.430997,33,2678.90129
125.365459,27,2678.94039
87.767718,19,2678.970067
92.264411,19,2679.000087
80.805135,17,2679.026454
75.449009,16,2679.051046
76.337263,16,2679.076201
86.373539,18,2679.105055
106.6738,23,2679.14172
86.708885,18,2679.169759
121.354442,26,2679.210954
173.607227,38,2686.441814
86.931104,20,2686.485719
80.665315,17,2686.527407
106.273765,24,2686.59055
83.499156,18,2686.636599
81.068676,17,2686.682108
85.847232,18,2686.725261
110.858339,25,2686.790063
83.792443,18,2686.836624
90.10491,20,2686.889769
137.162288,30,2686.967274
75.534828,17,2687.012161
71.66618,15,2687.051583
111.224193,24,2687.114092
89.510672,19,2687.165655
80.092397,17,2687.206278
95.846052,20,2687.259503
95.399191,20,2687.313737
68.799597,15,2687.35371
75.200838,16,2687.388257
78.208392,17,2687.425124
79.806895,17,2687.461141
89.616159,20,2687.505964
127.238492,27,2687.565689
80.558505,17,2687.603334
75.436339,16,2687.637436
111.307896,25,2687.692258
76.116497,16,2687.726707
125.205402,28,2687.790028
157.896594,33,2687.862104
73.283923,16,2687.897242
80.580653,17,2687.933493
75.742147,16,2687.967626
86.339978,18,2688.005159
79.414287,17,2688.042355
107.21245,24,2688.09424
103.590438,23,2688.144
75.792966,16,2688.178518
81.205544,17,2688.215627
75.989301,16,2688.250593
115.015002,24,2688.305073
110.888803,25,2688.362055
107.665457,25,2688.417234
105.901612,23,2688.46807
76.187152,16,2688.502803
75.88036,17,2688.539631
169.40037,39,2688.629033
76.02676,16,2688.664195
104.48978,25,2688.720862
105.173351,22,2688.770002
81.246351,17,2688.807512
137.477424,31,2688.877712
79.691768,18,2688.918106
70.123059,15,2688.951384
86.000783,18,2688.991933
103.88693,22,2689.041225
85.360959,18,2689.081703
71.408899,15,2689.11533
75.923112,16,2689.149982
81.360626,17,2689.187381
81.234657,17,2689.225499
89.189033,19,2689.267801
93.387645,20,2689.312114
81.044636,17,2689.350129
87.356656,19,2689.392085
169.719377,41,2689.48683
99.874443,22,2689.534759
85.120915,18,2689.572944
123.946305,28,2689.634794
67.626879,16,2689.671217
120.233415,26,2689.728322
159.592654,35,2689.808388
75.37838,16,2689.844254
71.48908,15,2689.877652
80.36528,17,2689.914562
99.687181,21,2689.959952
123.988074,27,2690.018352
80.372415,17,2690.054839
110.521293,24,2690.107149
86.848719,19,2690.148484
72.070089,16,2690.181997
138.755239,32,2690.251498
77.928365,17,2690.288147
78.216529,17,2690.324891
112.735953,24,2690.376613
89.215497,19,2690.416508
96.878217,21,2690.463208
77.392961,17,2690.500493
112.291015,24,2690.553794
90.104171,19,2690.593802
79.545449,17,2690.63177
80.602974,17,2690.667862
80.235281,17,2690.704162
74.393232,16,2690.739212
177.720108,39,2690.822921
76.255992,16,2690.85685
76.446911,16,2690.889701
86.012291,19,2690.931718
89.870655,19,2690.975128
75.045844,16,2691.011437
88.993561,19,2691.05588
74.716891,16,2696.596939
74.339613,16,2696.631564
119.525344,27,2696.690705
134.265064,30,2696.759331
75.129174,16,2696.795571
80.83197,17,2696.833458
190.948286,45,2696.937418
96.270525,20,2696.980714
90.15661,19,2697.020974
92.724487,19,2697.061118
88.419894,19,2697.102063
118.836315,26,2697.158413
99.552681,21,2697.20472
80.5623,17,2697.24089
77.486714,17,2697.278843
80.547461,17,2697.3164
104.39689,23,2697.368158
75.990224,16,2697.403468
75.360274,17,2697.44005
130.556261,27,2697.500016
82.836971,18,2697.539176
125.825418,28,2697.598468
85.193972,18,2697.636127
79.249409,17,2697.673519
199.144416,41,2697.7668
78.296647,17,2697.804283
80.621997,17,2697.841366
77.065324,17,2697.878063
90.671796,20,2697.921863
117.55203,27,2697.980622
90.862514,19,2698.022594
106.399274,22,2698.071023
81.401264,17,2698.107463
86.149874,18,2698.145966
80.320955,17,2698.183126
93.922896,20,2698.226063
80.003439,17,2698.262324
112.757827,26,2698.318702
98.169181,21,2698.36291
90.866454,21,2698.40926
132.627672,29,2698.472538
75.879075,16,2698.506406
102.161152,24,2698.558402
107.772974,22,2698.60753
119.278845,27,2698.66598
79.310279,17,2698.703625
109.135686,23,2698.753302
80.880652,17,2698.791238
138.488333,30,2698.856451
105.507727,22,2698.905045
83.776961,18,2698.944237
142.242029,31,2699.012106
146.045327,31,2699.079504
