#{"t_start": 1532221213.9475367, "env_id": "Humanoid-v2"}
r,l,t
85.573537,18,0.118933
139.353441,29,0.226467
162.770493,36,0.36883
115.767712,27,0.470119
109.04061,23,0.559971
112.086557,25,0.656141
132.10113,27,0.766438
104.285855,22,0.863267
103.317176,24,0.956654
94.227454,20,1.026181
94.920443,21,1.066475
79.604023,17,1.097487
85.305895,18,1.130858
101.948162,21,1.202871
85.980888,18,1.269035
110.924683,23,1.348461
126.702308,27,1.479328
104.28134,22,1.568193
89.646906,19,1.636324
89.648954,19,1.680444
132.003437,27,1.833553
115.016831,24,1.98516
88.853975,19,2.055426
104.815975,23,2.187834
97.455365,21,2.259576
80.918991,17,2.331215
99.707994,22,2.396822
97.718492,20,2.470836
111.560534,25,2.567791
109.317587,23,2.642507
126.65756,27,2.757502
152.655864,34,2.898422
106.422359,23,2.986018
90.379351,19,3.064559
127.971421,28,3.164922
85.256864,18,3.238377
80.889895,17,3.300984
101.021511,21,3.372606
85.852633,18,3.437307
81.074134,17,3.504108
90.294571,19,3.571014
124.893765,26,3.641132
84.433313,18,3.720271
102.071923,21,3.798148
85.075999,18,3.87131
172.735695,39,4.013926
145.696745,31,4.139361
114.238733,24,4.232942
109.698363,23,4.325595
140.942853,31,4.445701
148.652533,31,4.604482
140.92645,32,4.733925
153.743924,30,4.879239
115.736064,24,4.972725
110.549328,23,5.062011
75.834904,16,5.124491
76.233603,16,5.170341
95.260892,20,5.252883
167.761262,34,5.392865
113.244118,24,5.481544
132.445425,27,5.588775
145.48168,31,5.7113
107.313272,22,5.804609
92.595987,19,5.887779
108.058773,22,5.975498
83.500336,18,6.03963
81.313023,17,6.10018
95.374669,20,6.187982
109.131212,23,6.279849
80.842136,17,6.318919
76.033599,16,6.348464
125.32777,26,6.409339
98.534138,21,6.487827
181.291368,38,6.643009
123.802491,26,6.770212
161.155641,34,6.888702
104.615631,22,6.963338
115.622468,25,7.017568
149.43094,33,7.100923
148.910094,32,7.216922
107.70191,23,7.291439
81.095625,17,7.322605
76.287781,16,7.389465
93.501834,20,7.460443
85.606625,18,7.495666
142.856765,31,7.607225
79.109334,17,7.655768
81.138754,17,7.689587
157.820926,34,15.296283
92.067453,19,15.340674
90.313735,19,15.405911
90.208701,19,15.468647
116.651689,24,15.568962
89.136106,19,15.638819
76.09984,16,15.697515
85.459991,18,15.733216
146.499418,32,15.801557
149.949133,34,15.934274
107.352986,24,15.982429
119.289451,27,16.06783
85.844901,18,16.13103
118.097139,24,16.219658
98.025412,20,16.27487
136.390617,28,16.346644
103.406258,21,16.424828
101.692059,21,16.498783
94.287359,21,16.574515
81.428509,17,16.628975
103.054313,23,16.720737
80.947542,17,16.785313
130.258755,28,16.890552
138.401612,28,17.058116
100.063944,21,17.150857
137.756546,30,17.283007
112.014439,25,17.379631
