#{"t_start": 1534289080.070835, "env_id": "Humanoid-v2"}
r,l,t
116.573686,25,0.039022
100.574308,22,0.063691
112.910983,24,0.089131
81.784776,17,0.1071
86.358832,18,0.125702
87.560476,19,0.146451
90.418552,20,0.168959
108.409006,25,0.198465
98.069311,22,0.221505
87.475817,19,0.243291
117.503049,25,0.269691
85.45935,18,0.287627
78.72866,17,0.304625
85.771711,18,0.324657
143.784743,29,0.355302
80.898981,17,0.372581
92.63046,19,0.392591
135.936746,28,0.42377
76.34777,16,0.441008
83.962022,18,0.460964
84.212767,18,0.480735
124.393865,27,0.511302
147.336624,31,0.545784
97.69097,21,0.569409
80.351895,17,0.587691
82.589297,18,0.607298
139.747269,30,0.640118
90.132151,19,0.660625
146.073319,33,0.699075
132.547676,28,0.730621
86.719889,18,0.75022
73.271442,16,0.767531
111.235208,27,0.797244
113.806415,23,0.822838
85.59663,20,0.845646
91.94531,19,0.866515
76.063076,16,0.883652
209.30926,43,0.932732
81.016862,17,0.950733
98.011944,21,0.97341
90.990107,19,0.994209
154.886173,33,1.030837
88.705952,19,1.051883
90.618007,19,1.07278
86.274853,18,1.092335
131.230124,27,1.122164
151.475423,30,1.156484
81.242261,17,1.174458
80.808194,17,1.193085
126.82455,27,1.223625
109.200675,23,1.248693
81.021955,17,1.267414
101.992838,21,1.290238
109.493936,23,1.315925
79.275483,17,1.334421
93.305924,20,1.356783
186.291602,39,1.400489
85.627796,18,1.420085
80.043928,17,1.438575
115.497689,24,1.465859
116.752422,24,1.491698
95.85098,20,1.513339
76.378708,16,1.530976
81.426839,17,1.548869
84.969095,18,1.568464
95.538238,20,1.590868
164.871417,35,1.630549
114.571092,25,1.658251
80.355631,17,1.676531
125.51919,26,1.7057
109.974739,24,1.732801
119.192247,25,1.760244
71.378221,15,1.777067
86.146935,18,1.796974
115.916883,25,1.825052
84.578465,18,1.845607
207.511892,46,1.899194
96.988701,20,1.921373
93.833613,22,1.945395
76.386837,16,1.962833
79.975706,17,1.981302
100.869516,22,2.005625
104.529151,22,2.030492
119.661638,25,2.058276
91.845218,19,2.079573
107.625806,23,2.105378
78.251042,17,2.124039
110.385103,23,2.150045
107.217399,22,2.174193
139.924176,29,2.206624
98.946302,21,2.229242
135.281701,29,2.261829
93.907221,20,6.027323
116.160837,27,6.076046
142.869011,32,6.121699
132.42467,28,6.159721
79.886493,17,6.183789
117.22201,24,6.221865
158.134907,33,6.273858
91.771704,19,6.302397
90.615611,19,6.329884
126.484008,26,6.371024
80.859807,17,6.396596
