#{"t_start": 1532239792.8109474, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
44.849487,5,0.013686
54.306345,6,0.027998
35.522015,4,0.032616
26.883974,3,0.041674
45.645606,5,0.046343
35.656159,4,0.050331
73.410541,8,0.076148
73.536179,8,0.113881
35.3862,4,0.117986
63.796262,7,0.135791
35.376629,4,0.140075
44.957504,5,0.157709
73.040626,8,0.165249
45.011674,5,0.181738
36.069703,4,0.185872
54.04586,6,0.196833
44.773093,5,0.201947
44.785327,5,0.223515
63.591188,7,0.230096
81.992962,9,0.254649
44.638348,5,0.259852
44.920754,5,0.2649
63.584746,7,0.288253
54.303607,6,0.294329
53.772073,6,0.316327
73.032589,8,0.324003
91.226988,10,0.346579
45.630575,5,0.351903
54.614786,6,0.35783
53.867148,6,0.376089
35.797547,4,0.380339
73.213957,8,0.396486
44.68226,5,0.401371
45.414389,5,0.406329
54.123419,6,0.427198
101.1439,11,0.453341
63.792062,7,0.459746
35.441165,4,0.463789
54.417188,6,0.473915
54.149587,6,0.479702
45.151917,5,0.484753
54.149883,6,0.514878
73.078114,8,0.522626
35.909886,4,0.548861
54.368939,6,0.564185
54.575251,6,0.56997
82.237637,9,0.578658
53.910858,6,0.60111
63.202404,7,0.607905
54.613965,6,0.630047
45.078603,5,0.635493
26.777414,3,0.638614
45.603916,5,0.658722
35.280248,4,0.679394
44.949299,5,0.684447
53.929754,6,0.690463
35.795326,4,0.723508
54.614778,6,0.747535
44.989204,5,0.752447
35.401693,4,0.768519
72.81899,8,0.776839
54.166656,6,0.782856
72.646718,8,0.806716
45.1404,5,0.81171
54.387635,6,0.828587
45.368745,5,0.836595
53.73541,6,0.855365
91.266115,10,0.876852
35.406338,4,0.881365
101.210334,11,0.89832
54.340382,6,0.921043
72.986657,8,0.929089
45.008624,5,0.934062
44.97525,5,0.954868
35.939365,4,0.963566
91.876427,10,0.972974
45.115298,5,0.992243
53.974676,6,1.00211
54.298918,6,1.017923
44.748727,5,1.022947
35.571237,4,1.043799
72.621233,8,1.051354
45.197824,5,1.056558
54.427841,6,1.076597
72.468228,8,1.083804
35.488742,4,1.103451
45.436348,5,1.10823
63.757752,7,1.115025
35.508896,4,1.130991
35.965662,4,1.135005
36.086287,4,1.139034
35.76081,4,1.158809
100.321387,11,1.178963
54.231949,6,1.185187
44.996263,5,1.19055
44.796085,5,1.211154
45.161446,5,1.216359
35.679675,4,1.227016
91.53345,10,1.250383
63.473416,7,1.256896
72.543731,8,1.281359
45.141447,5,1.286309
36.069812,4,1.290516
54.595945,6,1.332666
54.547676,6,1.338616
82.252917,9,1.363735
26.876861,3,1.366947
26.831985,3,1.370443
35.571448,4,1.374656
91.758694,10,1.399413
63.779592,7,1.414572
45.398749,5,1.427372
54.590318,6,1.433487
54.560577,6,1.447358
45.094036,5,1.468703
82.421203,9,1.477735
53.716525,6,1.499578
44.963192,5,1.504681
45.201597,5,1.509976
45.439388,5,1.514865
73.276672,8,1.530661
82.212984,9,1.543988
63.229189,7,1.550489
45.286292,5,1.579483
100.500651,11,1.613364
64.031988,7,1.624395
35.535527,4,1.628882
64.092552,7,1.635842
45.327151,5,1.640732
35.691899,4,1.668856
54.329536,6,1.674614
53.892217,6,1.680266
45.019077,5,1.701836
35.671975,4,1.706035
44.850735,5,1.710817
36.244284,4,1.715029
137.890749,15,1.74494
63.919378,7,1.756107
72.982797,8,1.763791
63.466341,7,1.78288
63.638364,7,1.790223
54.674463,6,1.808775
44.879176,5,1.81424
45.072793,5,1.819554
101.122686,11,1.847578
72.402228,8,1.870955
73.147124,8,1.87831
54.49739,6,1.900961
45.182292,5,1.906523
82.142992,9,1.931577
44.700887,5,1.936756
35.666716,4,1.941013
36.068754,4,1.96138
128.531395,14,1.974344
54.235039,6,1.996575
101.337793,11,2.02336
54.584397,6,2.029492
91.513842,10,2.055366
54.190264,6,2.06138
73.107214,8,2.069484
73.053786,8,2.09338
45.350523,5,2.098623
100.468844,11,2.125208
54.110144,6,2.131116
35.942748,4,2.151647
146.472357,16,2.166597
63.794747,7,2.189415
100.584845,11,2.215968
72.973047,8,2.223942
35.898756,4,2.227875
35.423091,4,2.239398
44.624839,5,2.25005
54.676772,6,2.258911
73.346973,8,2.277537
35.801981,4,2.286743
64.072638,7,2.300128
63.664134,7,2.306767
73.079286,8,2.329093
53.964608,6,2.334754
82.534965,9,2.356545
72.696805,8,2.38022
72.548665,8,2.387932
35.545693,4,2.392419
54.460708,6,2.41352
35.935765,4,2.418031
54.516357,6,2.429369
36.068139,4,2.433498
72.552732,8,2.457432
54.417546,6,2.463474
72.969709,8,2.470857
73.326168,8,2.494341
45.002604,5,2.499353
53.871656,6,2.521211
82.073734,9,2.529368
81.618699,9,2.554035
35.580171,4,2.558189
54.911746,6,2.563852
44.968626,5,2.576937
44.811663,5,2.581936
35.859656,4,2.586458
63.387246,7,2.61751
44.716974,5,2.622093
63.9909,7,2.628779
91.433388,10,2.652694
45.435035,5,2.672389
81.759918,9,2.680878
63.771945,7,2.703845
35.453023,4,2.707925
35.862659,4,2.711693
35.389005,4,2.731738
54.551899,6,2.737583
44.884312,5,2.742603
63.735924,7,2.749363
64.181406,7,2.770005
35.833031,4,2.774241
63.585742,7,2.79824
73.102064,8,2.806242
63.508572,7,2.822313
35.615074,4,2.826333
63.526402,7,2.846239
63.941027,7,2.852931
110.003157,12,2.878496
36.110335,4,2.882745
45.241177,5,2.903849
35.940084,4,2.908206
119.05264,13,2.936362
54.135334,6,2.943373
45.123312,5,2.96427
64.157618,7,2.971414
45.535164,5,2.976181
26.724009,3,2.994473
100.575675,11,3.004536
73.355543,8,3.018912
54.145418,6,3.037504
110.238181,12,3.064736
54.511014,6,3.070586
54.401525,6,3.076233
82.463712,9,3.100954
54.29721,6,3.107198
54.655438,6,3.113671
63.469193,7,3.120521
53.910967,6,3.126949
44.961586,5,3.132217
73.389676,8,3.140308
36.053987,4,3.144528
53.973981,6,3.150598
44.81232,5,3.155493
100.665349,11,3.165829
35.458341,4,3.170054
63.786462,7,3.176773
44.998221,5,3.181819
35.779246,4,3.186822
91.976309,10,3.216972
54.477886,6,3.222698
82.293966,9,3.231385
54.447432,6,3.237481
45.010287,5,3.258754
35.733113,4,3.263018
109.440343,12,3.290759
36.084008,4,3.295066
82.106383,9,3.319402
35.95253,4,3.323524
35.849272,4,3.32763
54.087588,6,3.333345
35.986117,4,3.368266
63.664433,7,3.380149
54.278578,6,3.415869
63.753503,7,3.422747
54.060367,6,3.442748
44.640514,5,3.468714
72.992694,8,3.491898
45.104085,5,3.503464
54.560234,6,3.50931
35.552259,4,3.537067
73.471925,8,3.56092
45.251449,5,3.577806
35.930931,4,3.581535
35.440029,4,3.5852
63.637439,7,3.591513
82.495205,9,3.615201
35.972482,4,3.619157
35.549559,4,3.623067
63.77674,7,3.645548
54.658721,6,3.651178
54.009272,6,3.673119
54.395061,6,3.67858
35.758657,4,3.682478
63.960447,7,3.705116
63.497996,7,3.711412
54.502006,6,3.717116
35.855143,4,3.72144
63.524932,7,3.727695
35.495398,4,3.731384
45.588871,5,3.736373
63.731389,7,3.742897
54.556874,6,3.748315
54.189969,6,3.753755
54.546061,6,3.759305
54.755249,6,3.764804
72.607948,8,3.772008
35.759831,4,3.775903
72.208616,8,3.787245
45.22291,5,3.794007
45.223553,5,3.802978
54.007563,6,3.808539
44.888852,5,3.828497
72.694029,8,3.83565
35.620149,4,3.846904
44.730584,5,3.851526
82.464604,9,3.867898
54.275518,6,3.879886
35.896331,4,3.883665
82.477052,9,3.898658
54.772992,6,3.909577
35.961473,4,3.913347
54.393233,6,3.918721
91.154996,10,3.943479
63.056964,7,3.960312
63.9889,7,3.973494
35.582734,4,3.982699
45.276701,5,3.991681
73.146472,8,4.003649
54.326143,6,4.015533
63.235269,7,4.028799
45.204221,5,4.033846
100.004584,11,4.043866
44.968785,5,6.037712
54.437001,6,6.043801
35.900916,4,6.047971
72.884655,8,6.067869
64.0232,7,6.074481
63.868246,7,6.093253
35.885357,4,6.097759
63.92949,7,6.104619
128.500592,14,6.134239
35.581917,4,6.138252
63.928874,7,6.161607
100.43092,11,6.1882
54.272038,6,6.194222
45.342133,5,6.199567
44.892293,5,6.221299
82.334534,9,6.230816
44.841048,5,6.252413
63.846847,7,6.259237
82.134696,9,6.284113
54.647159,6,6.289941
26.656043,3,6.293176
63.905336,7,6.316473
100.962455,11,6.326658
82.18428,9,6.351079
63.57043,7,6.357775
63.583484,7,6.381227
54.850871,6,6.387432
45.159833,5,6.392604
73.078435,8,6.416916
63.609107,7,6.423608
45.093502,5,6.444916
35.699687,4,6.448988
35.710283,4,6.453156
45.663539,5,6.458413
63.829237,7,6.481549
36.176346,4,6.485963
45.071055,5,6.491008
73.483706,8,6.514669
44.853422,5,6.519762
73.264399,8,6.543761
45.418991,5,6.548778
92.013492,10,6.574832
35.381192,4,6.584
73.127422,8,6.591524
35.65321,4,6.611449
64.036915,7,6.617954
91.281651,10,6.630909
45.401406,5,6.636657
110.259447,12,6.649708
54.561663,6,6.655607
54.293495,6,6.662258
54.218948,6,6.675567
35.503201,4,6.679687
54.682441,6,6.692031
81.932545,9,6.709217
44.887517,5,6.71837
