#{"t_start": 1533200038.458539, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
26.861832,3,0.005787
45.410852,5,0.009338
54.446528,6,0.013511
36.076109,4,0.016458
35.734597,4,0.019882
45.134388,5,0.023652
63.877265,7,0.029237
72.789876,8,0.035471
91.455944,10,0.043527
36.090775,4,0.047305
35.982754,4,0.051139
35.620547,4,0.054965
26.808144,3,0.057899
45.209709,5,0.062516
35.873926,4,0.066474
36.153208,4,0.070264
45.387977,5,0.074958
35.892517,4,0.078988
35.558633,4,0.083066
45.216381,5,0.087788
72.805163,8,0.095061
35.676502,4,0.098989
36.004763,4,0.102944
44.902575,5,0.107665
44.931179,5,0.112586
54.270551,6,0.118196
63.520758,7,0.124768
35.895286,4,0.12861
45.089215,5,0.133503
54.340311,6,0.13921
54.162264,6,0.144944
26.841825,3,0.147803
45.091224,5,0.152375
44.621902,5,0.157259
63.772389,7,0.164019
44.827387,5,0.168786
44.988347,5,0.173687
35.365744,4,0.177526
35.338948,4,0.181635
26.834585,3,0.184573
82.046202,9,0.192504
63.692941,7,0.198897
54.290453,6,0.20436
54.700407,6,0.209972
62.970939,7,0.216616
26.830949,3,0.219759
54.529473,6,0.225226
36.079742,4,0.229284
35.330312,4,0.233468
45.350318,5,0.238108
44.731917,5,0.243166
44.799613,5,0.247918
45.209805,5,0.252817
54.479252,6,0.258687
44.655644,5,0.26364
35.969599,4,0.267668
45.211445,5,0.272254
54.572008,6,0.277959
26.890893,3,0.280961
63.879923,7,0.287397
45.300718,5,0.292248
35.747401,4,0.296428
36.196299,4,0.300396
63.473504,7,0.306517
54.819224,6,0.312281
45.313535,5,0.316809
26.840369,3,0.319793
45.347825,5,0.32443
73.090139,8,0.331595
26.844718,3,0.33483
44.857425,5,0.339388
54.682172,6,0.34488
54.290971,6,0.350653
63.288256,7,0.357303
63.490304,7,0.36406
26.848618,3,0.367146
35.482319,4,0.37099
36.125906,4,0.374927
45.367462,5,0.379418
36.302847,4,0.383653
54.405102,6,0.388963
35.604017,4,0.392975
35.323591,4,0.396944
45.265328,5,0.401814
54.59517,6,0.407524
63.692585,7,0.413946
36.071503,4,0.417887
119.615257,13,0.429551
54.158021,6,0.435509
44.537716,5,0.440117
45.235385,5,0.445022
63.595318,7,0.451628
