#{"t_start": 1533522530.4153726, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
26.842426,3,9.440434
36.054274,4,9.448858
35.296578,4,9.454578
35.330484,4,9.463057
54.419603,6,9.472425
26.858955,3,9.476428
35.424558,4,9.485851
35.406423,4,9.493437
54.522105,6,9.501631
44.968664,5,9.514205
35.964048,4,9.520771
26.79496,3,9.52581
36.168717,4,9.53137
26.736727,3,9.536529
26.961591,3,9.541544
26.798757,3,9.545892
35.320947,4,9.557213
36.181817,4,9.563344
35.600044,4,9.56926
45.613468,5,9.576196
63.946009,7,9.588283
35.349715,4,9.595658
36.0257,4,9.602779
35.321523,4,9.609528
36.227828,4,9.615958
26.67208,3,9.620996
35.068116,4,9.628051
26.804231,3,9.633286
45.179405,5,9.641899
54.468459,6,9.652033
27.002263,3,9.657203
35.694573,4,9.66408
54.612449,6,9.674036
26.812956,3,9.679359
26.844277,3,9.6845
35.549502,4,9.691075
35.648202,4,9.697603
45.418214,5,9.70594
36.149197,4,9.712713
35.225173,4,9.719594
35.507923,4,9.726208
36.136832,4,9.733178
36.067443,4,9.740212
35.762872,4,9.74698
36.152703,4,9.753953
45.514313,5,9.762307
44.65311,5,9.770598
35.154249,4,9.777548
45.390413,5,9.786008
45.509666,5,9.794835
45.297629,5,9.803396
44.858858,5,9.81165
35.723566,4,9.818758
26.91989,3,9.823981
63.957692,7,9.835989
35.505602,4,9.842808
44.904193,5,9.851038
35.441863,4,9.857646
54.835197,6,9.867535
54.583583,6,9.877944
45.200189,5,9.886258
35.139887,4,9.893067
45.294038,5,9.901484
26.830505,3,9.906732
35.980505,4,9.913615
35.325245,4,9.920312
45.053728,5,9.928876
63.768549,7,9.940583
54.593383,6,9.950275
45.450325,5,9.95923
36.153994,4,9.965932
35.790194,4,9.972686
35.893837,4,9.979473
45.259583,5,9.987895
35.248378,4,9.994753
45.413446,5,10.003016
35.878038,4,10.009997
26.862805,3,10.014994
44.59845,5,10.02346
44.949129,5,10.031693
54.78157,6,10.041598
26.866914,3,10.046703
45.224004,5,10.055182
45.228257,5,10.063742
36.257702,4,10.070279
45.140954,5,10.07858
44.848549,5,10.087168
26.834715,3,10.092237
45.338272,5,10.100642
35.264122,4,10.107507
26.985257,3,10.112827
35.555037,4,10.119688
35.779033,4,10.126536
35.461279,4,10.133423
64.24345,7,10.145413
26.866324,3,10.150705
26.854334,3,10.155652
35.807614,4,10.162487
35.642895,4,10.169244
45.195059,5,10.177544
35.985028,4,10.184339
35.972149,4,10.191199
45.245325,5,10.19956
35.301836,4,10.206432
27.010694,3,10.21169
26.843364,3,10.216982
35.97243,4,10.224019
35.465715,4,10.23083
64.127808,7,10.242554
36.126445,4,10.249433
26.896114,3,10.254405
35.926193,4,10.261263
26.670968,3,10.266794
36.084604,4,10.273507
36.004945,4,10.280111
35.431522,4,10.286993
45.014842,5,10.295504
54.516343,6,10.305939
72.90006,8,10.319334
35.572952,4,10.326497
35.991102,4,10.333456
45.101622,5,10.341918
35.017417,4,10.348586
64.063908,7,10.360441
45.656131,5,10.369182
36.260993,4,10.375838
35.701174,4,10.382535
35.428936,4,10.389351
45.172206,5,10.397801
35.954768,4,10.404539
36.13741,4,10.411277
26.642469,3,10.416513
63.985376,7,10.428136
73.142567,8,10.441563
35.776807,4,10.448346
35.672351,4,10.455034
35.890272,4,10.461797
36.122828,4,10.468667
35.701416,4,10.475333
35.737433,4,10.482464
35.999879,4,10.489331
26.68755,3,10.494545
54.639237,6,10.504308
36.021358,4,10.511217
35.842777,4,10.518324
119.799672,13,10.53999
44.883211,5,10.54854
35.224928,4,10.555305
44.79918,5,10.563637
63.829311,7,10.575387
35.323006,4,10.582311
44.909123,5,10.590902
44.72997,5,10.599255
35.833682,4,10.606485
54.123902,6,10.616523
54.774186,6,10.626438
36.083625,4,10.633286
45.139869,5,10.641822
26.83554,3,10.647015
35.539836,4,10.653772
35.926222,4,10.66085
35.321812,4,10.667723
35.407899,4,10.674508
45.229614,5,10.6831
36.192376,4,10.689806
35.787076,4,10.696633
36.120269,4,10.703672
35.648896,4,10.710471
26.83399,3,10.715928
26.772527,3,10.721071
35.501913,4,10.727549
73.28424,8,10.741091
26.756976,3,10.746358
