#{"t_start": 1532216184.2392318, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
54.257508,6,0.041948
44.894062,5,0.072199
63.195951,7,0.080075
45.413576,5,0.110205
54.394698,6,0.116978
26.851371,3,0.130538
53.96079,6,0.147264
63.403156,7,0.155655
45.505654,5,0.178472
36.126293,4,0.196478
35.41525,4,0.201809
35.74662,4,0.218663
45.516365,5,0.257046
45.015174,5,0.284605
35.7504,4,0.29042
71.85026,8,0.314843
73.218828,8,0.324979
54.623797,6,0.34624
36.183846,4,0.358344
35.925969,4,0.36603
63.710221,7,0.394151
72.93273,8,0.404321
54.4043,6,0.433945
35.498402,4,0.463943
36.190381,4,0.469485
44.845648,5,0.495696
73.197491,8,0.504722
91.729726,10,0.52922
35.943799,4,0.53435
45.121805,5,0.564799
26.809391,3,0.569576
45.097764,5,0.599954
72.08968,8,0.610157
35.595865,4,0.62794
63.937001,7,0.651221
45.394363,5,0.657437
36.058044,4,0.663702
53.950092,6,0.685818
54.633736,6,0.710021
35.540301,4,0.739039
72.904465,8,0.748733
35.360496,4,0.778404
63.884261,7,0.786325
35.314112,4,0.807307
36.08386,4,0.812102
36.2672,4,0.833508
35.804529,4,0.838941
45.008258,5,0.844978
72.535625,8,0.870701
35.086462,4,0.876163
44.835445,5,0.914759
45.293156,5,0.921079
35.925902,4,0.950454
26.788247,3,0.954617
63.625164,7,0.986976
35.313822,4,0.99262
35.610285,4,1.012294
54.282236,6,1.019903
35.446137,4,1.043893
35.851767,4,1.04867
63.444178,7,1.05692
35.486009,4,1.092971
45.521423,5,1.127105
26.88351,3,1.131208
54.560012,6,1.138602
45.354515,5,1.168631
36.034772,4,1.173464
45.098361,5,1.186786
54.504886,6,1.207062
45.03907,5,1.214464
45.150748,5,1.226547
35.503199,4,1.240495
35.678014,4,1.252681
64.063248,7,1.282861
44.715759,5,1.313821
63.623506,7,1.322458
72.831008,8,1.35569
45.473715,5,1.373718
35.703741,4,1.378578
81.886145,9,1.401423
45.586858,5,1.42021
54.786633,6,1.451578
44.923098,5,1.457838
54.047258,6,1.464809
63.99233,7,1.490001
35.989684,4,1.494973
35.683409,4,1.508263
35.681105,4,1.519982
44.905971,5,1.53304
54.950469,6,1.543082
26.815951,3,1.560235
26.644786,3,1.580494
54.306724,6,1.587737
63.675023,7,1.620981
54.161956,6,1.648903
44.809045,5,1.655628
44.427549,5,1.662277
54.754836,6,1.685569
35.498144,4,1.690798
35.554117,4,1.71963
36.164949,4,1.749396
35.881306,4,1.754473
45.024549,5,1.760912
26.822235,3,1.784039
44.828767,5,1.790108
44.926358,5,1.812945
54.453467,6,1.820961
63.89316,7,1.829731
119.934155,13,1.894776
63.108393,7,1.927896
54.492237,6,1.935029
45.014911,5,1.957044
109.87761,12,1.970244
35.269109,4,1.988179
36.101416,4,1.995611
35.602563,4,2.005992
35.645576,4,2.028071
45.200111,5,2.046226
45.281199,5,2.052171
35.367601,4,2.081531
36.135748,4,2.086748
35.313532,4,2.12443
35.827628,4,2.129782
44.736973,5,2.151532
72.563138,8,2.166525
72.747126,8,2.18111
35.637116,4,2.19475
44.967754,5,2.206288
53.93426,6,2.218409
63.378486,7,2.267458
72.641844,8,2.300841
35.721082,4,2.305875
35.467165,4,2.335129
35.91424,4,2.340021
26.834556,3,2.34457
35.52416,4,2.365342
26.82158,3,2.36958
44.868182,5,2.375768
36.086894,4,2.391845
45.493516,5,2.40354
35.967062,4,2.40863
54.143921,6,2.45343
