#{"t_start": 1533110560.979536, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
44.544644,5,0.025547
64.024955,7,0.034074
35.335433,4,0.046449
35.881191,4,0.051471
35.273829,4,0.056447
63.869442,7,0.080837
45.187859,5,0.087114
35.673839,4,0.102328
54.340491,6,0.109898
35.91421,4,0.131205
72.855209,8,0.153482
26.858755,3,0.157334
36.121459,4,0.162256
54.392568,6,0.179427
54.343763,6,0.18682
64.0456,7,0.211495
54.284245,6,0.232362
54.445973,6,0.249512
36.244449,4,0.254499
36.136854,4,0.259583
54.165412,6,0.28015
82.424491,9,0.305425
35.892215,4,0.310621
35.632827,4,0.319317
72.947562,8,0.340547
73.122944,8,0.354538
45.517119,5,0.370754
35.746033,4,0.376025
45.316375,5,0.386537
45.321123,5,0.402358
100.41737,11,0.421844
44.766392,5,0.441535
54.62762,6,0.461118
53.741247,6,0.474054
72.778641,8,0.493729
35.779453,4,0.498807
53.942626,6,0.517512
63.702598,7,0.526132
35.385825,4,0.543591
73.314718,8,0.553188
36.024097,4,0.58238
44.706803,5,0.588475
72.977699,8,0.608349
72.379925,8,0.63058
35.965308,4,0.635677
54.614524,6,0.643465
54.177259,6,0.654708
100.999029,11,0.671225
45.018675,5,0.677588
44.600163,5,0.693643
35.78428,4,0.704725
44.703614,5,0.721901
45.074775,5,0.731632
45.16038,5,0.748346
54.068145,6,0.75569
35.682004,4,0.772027
45.338437,5,0.783745
36.227483,4,0.792678
63.487814,7,0.807587
64.050757,7,0.829109
44.990937,5,0.835572
36.164013,4,0.844357
54.688847,6,0.855505
35.549351,4,0.866594
45.170575,5,0.876534
26.717645,3,0.880845
63.948688,7,0.902056
63.498532,7,0.924914
73.301369,8,0.9466
35.675933,4,0.951527
54.297882,6,0.969506
72.900453,8,0.989054
44.611469,5,0.99914
73.331754,8,1.008858
54.53237,6,1.028754
35.931798,4,1.042866
35.750803,4,1.051438
54.525522,6,1.066476
54.372173,6,1.086735
35.366106,4,1.098321
91.163041,10,1.109945
54.093296,6,1.12925
44.818738,5,1.143822
35.832862,4,1.158175
35.66971,4,1.163274
54.289488,6,1.179358
63.42537,7,1.200047
73.110997,8,1.209619
44.717645,5,1.23557
54.399075,6,1.242842
54.322202,6,1.260087
54.246077,6,1.279789
73.41164,8,1.28947
63.670796,7,1.29976
91.79285,10,1.3487
53.942384,6,1.372512
45.23823,5,1.380707
53.948214,6,1.396521
45.161414,5,1.41439
73.08072,8,1.450253
90.910944,10,1.469255
45.567258,5,1.489465
53.989702,6,1.497149
53.813916,6,1.516572
54.394598,6,1.532222
110.842945,12,1.555256
54.617999,6,1.580269
63.740027,7,1.616633
45.151928,5,1.6231
54.32794,6,1.646408
44.85725,5,1.66583
63.687687,7,1.674338
54.716722,6,1.702044
54.736513,6,1.70954
54.149,6,1.737164
44.870581,5,1.743401
45.6164,5,1.76505
63.619859,7,1.793454
63.735277,7,1.819898
73.09559,8,1.829878
63.732477,7,1.854357
54.744704,6,1.880058
35.934286,4,1.88507
72.760205,8,1.894885
63.817883,7,1.92596
44.568326,5,1.943158
72.168005,8,1.976928
54.61646,6,1.994955
35.727665,4,2.000273
44.864782,5,2.038428
54.300756,6,2.045724
73.373236,8,2.065046
35.598468,4,2.082333
26.876108,3,2.086261
35.832507,4,2.109879
72.803316,8,2.119987
45.313041,5,2.143721
44.848474,5,2.149909
36.161604,4,2.167753
64.065815,7,2.196684
44.92694,5,2.203354
35.829819,4,2.225867
63.304225,7,2.255426
35.510473,4,2.260756
44.570342,5,2.266869
45.127842,5,2.300304
54.437492,6,2.323389
54.55017,6,2.346745
53.924942,6,2.354308
63.195831,7,2.375806
91.650402,10,2.395749
35.571536,4,2.400596
35.354226,4,2.416845
35.474212,4,2.422139
36.039647,4,2.427017
35.964209,4,2.436279
54.760036,6,2.443435
72.924,8,2.461629
63.573663,7,2.469765
45.204677,5,2.500169
45.212101,5,2.506599
63.598162,7,2.524732
63.994822,7,2.549611
54.132895,6,2.556869
35.97377,4,2.57876
72.731722,8,2.588457
54.066162,6,2.615005
35.793773,4,2.61975
45.607331,5,2.642852
35.778269,4,2.647582
63.790088,7,2.680566
35.986166,4,2.6856
54.334834,6,2.703044
35.65942,4,2.708226
82.665942,9,2.735042
44.825513,5,2.751261
64.039874,7,2.769234
54.060082,6,2.776434
54.399811,6,2.802794
44.945245,5,2.809222
54.43256,6,2.829292
26.744484,3,2.833127
35.702318,4,2.838176
35.391351,4,2.843357
26.868208,3,2.862656
35.979132,4,2.867517
63.736624,7,2.888983
54.580179,6,2.912226
63.904517,7,2.92123
36.130321,4,2.935721
45.350633,5,2.942362
53.963254,6,2.96296
44.703316,5,2.968987
45.459561,5,2.978684
54.616802,6,2.989757
63.606201,7,2.998393
54.589676,6,3.005767
35.825479,4,3.017192
45.226407,5,3.032929
53.746271,6,3.046714
35.726291,4,3.051649
72.723229,8,3.067105
54.485338,6,3.080674
72.87799,8,3.096238
92.180201,10,3.119967
72.643546,8,3.138881
35.777966,4,3.144009
26.698167,3,3.157302
35.844853,4,3.162145
36.193499,4,3.176648
44.991167,5,3.182783
35.453139,4,3.196895
45.192445,5,3.203117
63.845705,7,3.224042
45.154681,5,3.230136
44.600605,5,3.236156
