#{"t_start": 1533135175.5539293, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
54.617643,6,0.018056
63.624147,7,0.025839
54.239737,6,0.032263
53.80426,6,0.038997
36.171422,4,0.04401
36.111766,4,0.048793
73.161375,8,0.05731
45.048584,5,0.063561
35.755235,4,0.068233
35.822575,4,0.072725
82.531234,9,0.083363
62.965071,7,0.091236
72.861074,8,0.100394
45.326396,5,0.105919
35.589946,4,0.110773
45.251259,5,0.115022
44.925707,5,0.119091
44.905527,5,0.123343
35.439855,4,0.127136
44.540049,5,0.131217
109.886893,12,0.142385
45.396686,5,0.146066
53.834934,6,0.150344
54.401282,6,0.154929
26.805853,3,0.157292
44.912428,5,0.161013
36.004478,4,0.164162
64.150669,7,0.168819
35.484928,4,0.171859
35.486479,4,0.174765
35.48601,4,0.177777
36.063346,4,0.18082
54.664798,6,0.184938
26.818019,3,0.187519
91.146568,10,0.194165
35.917726,4,0.197013
44.778207,5,0.200906
36.269571,4,0.204415
35.686447,4,0.207483
35.793344,4,0.211244
26.703556,3,0.21382
26.903218,3,0.21624
63.036623,7,0.221482
54.73292,6,0.225699
45.330971,5,0.229691
36.138318,4,0.232897
54.237587,6,0.237716
35.907008,4,0.240948
54.091472,6,0.245764
63.061514,7,0.25124
64.096219,7,0.257002
35.614437,4,0.260037
54.507494,6,0.26431
54.578595,6,0.268976
45.45776,5,0.272784
45.03118,5,0.276697
36.201747,4,0.280039
63.975448,7,0.285263
54.675607,6,0.289541
64.084302,7,0.29441
72.498501,8,0.300048
63.741178,7,0.304883
91.571514,10,0.31234
45.247255,5,0.316223
54.404319,6,0.320542
92.020348,10,0.32739
45.298707,5,0.33127
44.929418,5,0.335264
54.48486,6,0.339662
26.759483,3,0.34216
44.557487,5,0.345875
100.668128,11,0.353546
63.404602,7,0.358505
63.885268,7,0.363476
45.407614,5,0.367366
72.637481,8,0.373182
54.208895,6,0.377765
73.417062,8,0.383449
35.872489,4,0.386479
54.357075,6,0.390933
35.38177,4,0.39449
72.486374,8,0.400169
54.355723,6,0.404628
72.834743,8,0.410092
45.219295,5,0.413876
63.525154,7,0.418937
53.941216,6,0.423317
44.770021,5,0.427013
36.128036,4,0.43025
45.169812,5,0.43384
36.086997,4,0.437054
63.405682,7,0.44205
63.643437,7,0.447048
81.571261,9,0.453448
63.943617,7,0.458425
63.602679,7,0.46365
63.741019,7,0.468709
63.736603,7,0.473573
36.291717,4,0.476495
35.870645,4,0.479702
54.71039,6,0.484138
44.619295,5,0.488063
26.88761,3,0.490393
54.017751,6,0.494642
35.757156,4,0.49797
63.375801,7,0.502986
54.255551,6,0.507425
45.508371,5,0.510959
35.754098,4,0.514316
35.732197,4,0.517613
54.598213,6,0.521928
73.184947,8,0.527912
45.06627,5,0.531987
63.823777,7,0.53727
63.750305,7,0.542475
82.412491,9,0.549031
63.197352,7,0.554215
45.280886,5,0.558059
73.491024,8,0.564049
90.840799,10,0.571504
45.36977,5,0.575554
45.293,5,0.579342
54.359816,6,0.583828
54.685502,6,0.588709
45.290234,5,0.592769
63.211718,7,0.597871
35.224179,4,0.601293
82.225253,9,0.607784
63.674384,7,0.61296
35.776567,4,0.61605
54.492117,6,0.620756
44.873275,5,0.624675
81.179863,9,0.631237
54.580872,6,0.635864
63.950143,7,0.641178
35.818646,4,0.644561
36.002047,4,0.647763
44.839501,5,0.651477
26.697522,3,0.654343
54.272581,6,0.65901
36.16989,4,0.661983
54.466453,6,0.666638
63.559974,7,0.671706
35.48392,4,0.675108
35.891331,4,0.678169
91.684513,10,0.685598
63.718933,7,0.690693
64.264869,7,0.695971
54.640555,6,0.700608
54.228864,6,0.705143
35.660819,4,0.708559
36.122633,4,0.711802
35.617443,4,0.715208
81.838007,9,0.721668
36.076885,4,0.724795
54.20549,6,0.729432
63.625444,7,0.734787
54.796683,6,0.739182
72.958772,8,0.745213
35.735777,4,0.748503
44.848074,5,0.75282
35.655795,4,0.755687
35.815113,4,0.759204
73.24956,8,0.765111
45.339952,5,0.769135
71.662984,8,0.775022
35.715728,4,0.778014
35.753629,4,0.78144
35.681241,4,0.784707
73.080136,8,0.790685
54.582258,6,0.79532
45.330717,5,0.799401
54.037014,6,0.804001
54.026376,6,0.808346
54.323691,6,0.813055
44.858699,5,0.816987
35.369373,4,0.820526
73.581343,8,0.826184
73.274374,8,0.831966
44.73908,5,0.836151
63.194535,7,0.841387
44.925002,5,0.845065
26.914866,3,0.847555
45.126004,5,0.851315
36.303026,4,0.854429
45.291644,5,0.858329
61.856937,7,0.863518
91.674552,10,0.87093
45.02947,5,0.875004
64.211858,7,0.880356
72.91233,8,0.886161
44.915675,5,0.889991
118.874607,13,0.899107
82.309121,9,0.905528
26.819112,3,0.908236
73.242957,8,0.913926
73.185515,8,0.919854
45.271175,5,0.923654
54.315286,6,0.928525
45.232639,5,0.932416
54.350952,6,0.936949
63.361269,7,0.942286
35.511112,4,0.945413
82.312097,9,0.951972
92.165445,10,0.959327
35.665094,4,0.962718
35.696736,4,0.966061
44.802904,5,0.969905
63.472753,7,0.974885
45.028012,5,0.978862
71.569145,8,0.984512
26.719228,3,0.987306
54.556912,6,0.991923
45.225371,5,0.995714
54.820319,6,1.000741
35.998985,4,1.004063
53.976636,6,1.008776
54.071897,6,1.013229
53.739584,6,1.017543
35.755783,4,1.02054
35.75266,4,1.024195
35.978849,4,1.027346
64.058013,7,1.0325
35.867855,4,1.035756
63.689827,7,1.040641
35.92309,4,1.043897
63.877147,7,1.04904
36.054589,4,1.052282
44.758035,5,1.056431
35.842033,4,1.059701
54.390008,6,1.064405
35.557787,4,1.067358
35.716715,4,1.070817
35.461989,4,1.074117
63.491399,7,1.079186
44.929098,5,1.083325
36.020046,4,1.086235
63.770343,7,1.0916
36.007736,4,1.094882
54.136243,6,1.099345
71.918721,8,1.105208
54.598553,6,1.109676
63.611573,7,1.115074
44.987676,5,1.119169
54.608338,6,1.12378
54.707152,6,1.128292
54.213028,6,1.132577
45.157693,5,1.136251
81.771477,9,1.142913
35.785114,4,1.14608
36.129616,4,1.149259
73.090555,8,1.154996
45.323041,5,1.158838
54.21506,6,1.163412
36.280926,4,1.166958
36.163462,4,1.170109
54.21849,6,1.174692
45.146143,5,1.17849
35.69528,4,1.181946
54.350873,6,1.186546
35.403579,4,1.189555
54.280331,6,1.194232
45.071163,5,1.197894
44.857305,5,1.201721
36.193152,4,1.205084
45.305687,5,1.208933
54.259822,6,1.213734
45.474882,5,1.217669
72.655227,8,1.223557
45.543388,5,1.227278
63.447012,7,1.23251
81.816985,9,1.238755
45.133975,5,1.242842
73.670996,8,1.248583
35.650737,4,1.251938
35.988055,4,1.254978
53.698807,6,1.259584
63.826985,7,1.26504
35.589039,4,1.268017
91.799181,10,1.275246
44.358474,5,1.279113
63.410974,7,1.284284
92.132697,10,1.291625
36.023342,4,1.294935
35.561852,4,1.297853
54.171994,6,1.302712
54.518282,6,1.307374
71.992495,8,1.313471
35.887158,4,1.316636
35.409653,4,1.319985
73.449779,8,1.32589
35.580376,4,1.329003
91.454746,10,1.336671
26.829097,3,1.339188
26.791145,3,1.341822
35.544252,4,1.344877
