#{"t_start": 1532232872.6579103, "env_id": "InvertedPendulum-v2"}
r,l,t
11.0,11,0.034008
4.0,4,0.037639
9.0,9,0.046418
8.0,8,0.053561
9.0,9,0.081421
20.0,20,0.11068
15.0,15,0.135456
12.0,12,0.145454
11.0,11,0.170756
14.0,14,0.184541
14.0,14,0.201469
9.0,9,0.2093
13.0,13,0.219233
17.0,17,0.237755
16.0,16,0.274094
18.0,18,0.295085
8.0,8,0.326005
15.0,15,0.354802
5.0,5,0.359094
18.0,18,0.373736
9.0,9,0.381278
8.0,8,0.387779
14.0,14,0.400971
17.0,17,0.413943
13.0,13,0.424799
17.0,17,0.439138
17.0,17,0.47412
10.0,10,0.495801
15.0,15,0.520856
20.0,20,0.552258
12.0,12,0.578253
16.0,16,0.606911
10.0,10,0.61484
20.0,20,0.646389
13.0,13,0.672401
15.0,15,0.700754
4.0,4,0.704143
8.0,8,0.710681
11.0,11,0.73648
21.0,21,0.769434
12.0,12,0.779468
6.0,6,0.800949
10.0,10,0.809776
18.0,18,0.840657
17.0,17,0.870133
16.0,16,0.902697
13.0,13,0.925482
14.0,14,0.936933
14.0,14,0.96152
8.0,8,0.977659
7.0,7,0.98378
16.0,16,1.012292
13.0,13,1.038648
13.0,13,1.065763
15.0,15,1.07777
20.0,20,1.110561
10.0,10,1.128139
14.0,14,1.160838
16.0,16,1.182114
14.0,14,1.199051
16.0,16,1.212628
9.0,9,1.220238
17.0,17,1.234638
24.0,24,1.253273
8.0,8,1.261078
16.0,16,1.29021
19.0,19,1.320803
14.0,14,1.331937
12.0,12,1.357698
13.0,13,1.367749
21.0,21,1.39915
10.0,10,1.423835
13.0,13,1.455006
7.0,7,1.469724
19.0,19,1.484773
5.0,5,1.509786
15.0,15,1.522141
12.0,12,1.539805
9.0,9,1.57655
14.0,14,1.604674
5.0,5,1.608883
12.0,12,1.618576
25.0,25,1.670024
19.0,19,1.71409
19.0,19,1.754767
15.0,15,1.791285
6.0,6,1.79687
20.0,20,1.829689
13.0,13,1.856782
14.0,14,1.884571
21.0,21,1.924749
23.0,23,1.960225
4.0,4,1.964386
11.0,11,1.982603
4.0,4,1.987197
17.0,17,2.016474
17.0,17,2.030502
4.0,4,2.034474
18.0,18,2.063298
10.0,10,2.088429
8.0,8,2.09535
15.0,15,2.110577
26.0,26,2.133179
18.0,18,2.151092
17.0,17,2.168163
14.0,14,2.198671
13.0,13,2.224001
18.0,18,2.253592
20.0,20,2.281523
8.0,8,2.290016
13.0,13,2.30228
11.0,11,2.311197
3.0,3,2.315803
11.0,11,2.327301
14.0,14,2.341244
17.0,17,2.357604
17.0,17,2.396324
12.0,12,2.406147
18.0,18,2.437437
19.0,19,2.469105
20.0,20,2.489545
13.0,13,2.501008
5.0,5,2.505934
13.0,13,2.519655
4.0,4,2.523904
18.0,18,2.53964
12.0,12,2.565817
13.0,13,2.583565
21.0,21,2.624951
17.0,17,2.656394
16.0,16,2.687043
4.0,4,2.691475
22.0,22,2.73144
14.0,14,2.761721
8.0,8,2.774447
6.0,6,2.77996
15.0,15,2.809036
16.0,16,2.822348
24.0,24,2.880003
14.0,14,2.891983
20.0,20,2.935744
14.0,14,2.947416
13.0,13,2.974762
5.0,5,2.979536
14.0,14,3.006365
11.0,11,3.024814
15.0,15,3.050709
17.0,17,3.089358
19.0,19,3.104153
15.0,15,3.134911
7.0,7,5.228366
23.0,23,5.265656
7.0,7,5.289742
10.0,10,5.29889
15.0,15,5.327314
17.0,17,5.357652
7.0,7,5.364902
13.0,13,5.392631
16.0,16,5.422831
20.0,20,5.455575
18.0,18,5.475697
19.0,19,5.495646
5.0,5,5.515371
14.0,14,5.547437
3.0,3,5.574561
13.0,13,5.598788
14.0,14,5.619143
10.0,10,5.6479
11.0,11,5.669383
4.0,4,5.673043
22.0,22,5.700055
6.0,6,5.722161
23.0,23,5.769601
19.0,19,5.791572
18.0,18,5.826331
12.0,12,5.852123
7.0,7,5.877514
23.0,23,5.918692
15.0,15,5.948682
15.0,15,5.985517
15.0,15,6.003451
11.0,11,6.020587
10.0,10,6.043167
13.0,13,6.054018
15.0,15,6.091586
14.0,14,6.115685
14.0,14,6.142008
19.0,19,6.173438
7.0,7,6.179667
18.0,18,6.209966
16.0,16,6.239411
12.0,12,6.265925
13.0,13,6.276028
7.0,7,6.297999
17.0,17,6.327381
6.0,6,6.332474
23.0,23,6.366932
13.0,13,6.378214
12.0,12,6.410873
19.0,19,6.441982
6.0,6,6.447189
13.0,13,6.475226
22.0,22,6.508974
15.0,15,6.537105
16.0,16,6.550155
21.0,21,6.583539
24.0,24,6.636005
15.0,15,6.664695
8.0,8,6.671137
20.0,20,6.703605
9.0,9,6.71099
17.0,17,6.741213
4.0,4,6.761142
9.0,9,6.768697
4.0,4,6.772147
23.0,23,6.80611
14.0,14,6.833256
18.0,18,6.862039
20.0,20,6.908441
16.0,16,6.921926
13.0,13,6.944371
14.0,14,6.96797
4.0,4,6.971648
6.0,6,6.977277
5.0,5,6.997728
17.0,17,7.028689
28.0,28,7.068221
23.0,23,7.104601
14.0,14,7.133501
14.0,14,7.161793
18.0,18,7.175954
13.0,13,7.203338
6.0,6,7.208477
15.0,15,7.237278
16.0,16,7.261761
14.0,14,7.280043
17.0,17,7.300805
16.0,16,7.326972
15.0,15,7.354898
15.0,15,7.381878
7.0,7,7.387547
17.0,17,7.407838
6.0,6,7.425063
20.0,20,7.47874
3.0,3,7.481455
4.0,4,7.485256
12.0,12,7.511055
13.0,13,7.521405
23.0,23,7.539604
17.0,17,7.569469
5.0,5,7.578029
25.0,25,7.610161
15.0,15,7.635652
23.0,23,7.689681
17.0,17,7.702797
14.0,14,7.718364
13.0,13,7.737291
4.0,4,7.74102
17.0,17,7.771263
7.0,7,7.777436
16.0,16,7.807072
6.0,6,7.828413
16.0,16,7.840958
6.0,6,7.861914
9.0,9,7.869215
22.0,22,7.902133
19.0,19,7.930648
16.0,16,7.956869
15.0,15,7.978332
19.0,19,8.00685
14.0,14,8.033193
20.0,20,8.059353
14.0,14,8.081746
17.0,17,8.120549
14.0,14,8.16361
17.0,17,8.1929
12.0,12,8.202316
16.0,16,8.224711
12.0,12,8.246278
4.0,4,8.249908
16.0,16,8.276165
12.0,12,8.299092
15.0,15,8.318731
17.0,17,8.338934
15.0,15,8.36344
16.0,16,8.391578
18.0,18,8.421155
14.0,14,8.440003
16.0,16,8.477016
17.0,17,8.497196
19.0,19,8.522151
15.0,15,8.564048
9.0,9,8.575877
20.0,20,8.595037
14.0,14,8.621532
28.0,28,10.485209
15.0,15,10.512993
20.0,20,10.538439
17.0,17,10.565215
16.0,16,10.595344
13.0,13,10.614017
17.0,17,10.635136
20.0,20,10.666056
9.0,9,10.689059
15.0,15,10.700316
18.0,18,10.731205
18.0,18,10.757816
22.0,22,10.790625
17.0,17,10.817443
22.0,22,10.865314
12.0,12,10.874569
13.0,13,10.898295
19.0,19,10.929362
11.0,11,10.937595
23.0,23,10.970931
15.0,15,10.998445
20.0,20,11.015818
37.0,37,11.075313
19.0,19,11.106017
6.0,6,11.111084
7.0,7,11.132892
9.0,9,11.154978
7.0,7,11.160567
17.0,17,11.177159
16.0,16,11.204423
12.0,12,11.229538
5.0,5,11.248767
17.0,17,11.278
25.0,25,11.312811
22.0,22,11.345615
14.0,14,11.356504
