#{"t_start": 1533203401.3483994, "env_id": "InvertedPendulum-v2"}
r,l,t
38.0,38,0.019525
16.0,16,0.026485
24.0,24,0.036723
12.0,12,0.041978
14.0,14,0.048033
11.0,11,0.052829
7.0,7,0.055979
21.0,21,0.064976
13.0,13,0.070578
20.0,20,0.079145
15.0,15,0.085715
53.0,53,0.108139
21.0,21,0.117251
10.0,10,0.121619
10.0,10,0.126028
15.0,15,0.132489
20.0,20,0.141036
22.0,22,0.1504
8.0,8,0.153956
44.0,44,0.172608
11.0,11,0.177403
5.0,5,0.17981
7.0,7,0.182971
16.0,16,0.189891
5.0,5,0.192226
22.0,22,0.201594
18.0,18,0.209419
33.0,33,0.223474
7.0,7,0.22666
22.0,22,0.236117
6.0,6,0.238849
54.0,54,0.261638
28.0,28,0.273539
7.0,7,0.276703
22.0,22,0.286316
13.0,13,0.291968
6.0,6,0.294776
4.0,4,0.296699
15.0,15,0.303175
15.0,15,0.309684
19.0,19,0.317829
12.0,12,0.323078
24.0,24,0.333369
5.0,5,0.335809
7.0,7,0.338974
44.0,44,0.357713
10.0,10,0.362113
28.0,28,0.374073
35.0,35,0.389089
24.0,24,0.399344
6.0,6,0.402086
4.0,4,0.40397
5.0,5,0.406324
34.0,34,0.420933
6.0,6,0.423646
10.0,10,0.428069
20.0,20,0.436736
19.0,19,0.444856
3.0,3,0.446362
13.0,13,0.452028
19.0,19,0.46023
5.0,5,0.462571
17.0,17,0.469862
7.0,7,0.473074
7.0,7,0.476216
9.0,9,0.480199
14.0,14,0.486363
24.0,24,0.496756
9.0,9,0.500729
13.0,13,0.506475
26.0,26,0.517561
25.0,25,0.528294
7.0,7,0.531414
6.0,6,0.534179
44.0,44,0.552796
11.0,11,0.557572
14.0,14,0.563647
9.0,9,0.567683
11.0,11,0.572537
12.0,12,0.577775
4.0,4,0.57964
5.0,5,0.581981
9.0,9,0.585984
5.0,5,0.588321
18.0,18,0.596162
5.0,5,0.598489
7.0,7,0.60166
39.0,39,0.618172
8.0,8,0.621745
13.0,13,0.627409
9.0,9,0.631418
9.0,9,0.635396
28.0,28,0.647354
26.0,26,0.658455
47.0,47,0.678421
17.0,17,0.685695
10.0,10,0.690067
7.0,7,0.693196
9.0,9,0.697206
12.0,12,0.702425
22.0,22,0.711872
8.0,8,0.715452
25.0,25,0.726176
9.0,9,0.730156
8.0,8,0.733718
8.0,8,0.737295
24.0,24,0.74752
15.0,15,0.753981
28.0,28,0.765853
4.0,4,0.767729
9.0,9,0.771707
11.0,11,0.77655
24.0,24,0.786958
7.0,7,0.790138
25.0,25,0.800803
10.0,10,0.805267
15.0,15,0.811882
7.0,7,0.81507
8.0,8,0.818614
9.0,9,0.822593
10.0,10,0.827027
13.0,13,0.832744
6.0,6,0.835479
25.0,25,0.846167
5.0,5,0.848615
18.0,18,0.856352
