#{"t_start": 1533499885.279569, "env_id": "InvertedPendulum-v2"}
r,l,t
16.0,16,0.015682
3.0,3,0.01823
13.0,13,0.028039
15.0,15,0.038971
39.0,39,0.067177
3.0,3,0.069596
10.0,10,0.077316
6.0,6,0.082166
8.0,8,0.088164
17.0,17,0.100671
10.0,10,0.108227
5.0,5,0.112057
11.0,11,0.120503
4.0,4,0.123735
27.0,27,0.144274
3.0,3,0.146747
22.0,22,0.163196
21.0,21,0.178702
17.0,17,0.1914
15.0,15,0.202561
17.0,17,0.214893
7.0,7,0.22028
39.0,39,0.249147
7.0,7,0.254482
9.0,9,0.261284
5.0,5,0.265321
7.0,7,0.270974
33.0,33,0.29563
13.0,13,0.305258
14.0,14,0.315638
4.0,4,0.318947
17.0,17,0.331641
8.0,8,0.337912
11.0,11,0.346429
20.0,20,0.360799
4.0,4,0.364095
21.0,21,0.379708
15.0,15,0.391114
10.0,10,0.398883
7.0,7,0.404351
19.0,19,0.418982
7.0,7,0.424633
5.0,5,0.428576
4.0,4,0.431983
8.0,8,0.438456
4.0,4,0.441643
24.0,24,0.459235
6.0,6,0.463949
17.0,17,0.477064
5.0,5,0.481066
6.0,6,0.485739
5.0,5,0.489834
10.0,10,0.497355
5.0,5,0.501304
4.0,4,0.504713
13.0,13,0.514486
3.0,3,0.516925
7.0,7,0.522481
13.0,13,0.532172
11.0,11,0.540425
3.0,3,0.542996
4.0,4,0.546437
8.0,8,0.552554
14.0,14,0.562998
20.0,20,0.577592
9.0,9,0.584211
7.0,7,0.589911
4.0,4,0.59312
4.0,4,0.596554
3.0,3,0.599214
3.0,3,0.601778
5.0,5,0.605879
12.0,12,0.615204
14.0,14,0.625707
23.0,23,0.64242
13.0,13,0.651945
4.0,4,0.655225
22.0,22,0.672014
14.0,14,0.682184
10.0,10,0.689812
11.0,11,0.698133
4.0,4,0.701361
12.0,12,0.71061
11.0,11,0.719077
27.0,27,0.739055
6.0,6,0.743816
5.0,5,0.747944
12.0,12,0.756703
10.0,10,0.76389
21.0,21,0.779872
10.0,10,0.787359
20.0,20,0.802207
5.0,5,0.806287
4.0,4,0.809464
6.0,6,0.814128
10.0,10,0.82197
7.0,7,0.827365
8.0,8,0.833324
4.0,4,0.836561
8.0,8,0.842881
15.0,15,0.854401
5.0,5,0.858494
20.0,20,0.873372
5.0,5,0.87745
5.0,5,0.881427
8.0,8,0.887737
12.0,12,0.897176
11.0,11,0.905593
15.0,15,0.916888
12.0,12,0.926338
7.0,7,0.931895
9.0,9,0.939085
4.0,4,0.942441
13.0,13,0.95201
7.0,7,0.95748
7.0,7,0.963167
12.0,12,0.97239
4.0,4,0.975764
4.0,4,0.979035
5.0,5,0.983136
16.0,16,0.995321
10.0,10,1.003009
4.0,4,1.006215
17.0,17,1.019207
11.0,11,1.027596
8.0,8,1.03406
10.0,10,1.041534
23.0,23,1.058539
5.0,5,1.062665
4.0,4,1.065985
6.0,6,1.070644
11.0,11,1.079231
11.0,11,1.087957
19.0,19,1.101921
5.0,5,1.106016
6.0,6,1.110769
4.0,4,1.114117
12.0,12,1.12335
13.0,13,1.133085
14.0,14,1.143383
5.0,5,1.147308
11.0,11,1.156069
30.0,30,1.178896
4.0,4,1.182128
10.0,10,1.190013
8.0,8,1.196419
9.0,9,1.203128
30.0,30,1.225424
3.0,3,1.227984
17.0,17,1.241192
17.0,17,1.25406
4.0,4,1.257341
15.0,15,1.269004
17.0,17,1.282127
6.0,6,1.286667
9.0,9,1.293785
18.0,18,1.307462
13.0,13,1.317139
10.0,10,1.324758
15.0,15,1.336014
11.0,11,1.344698
19.0,19,1.359384
4.0,4,1.362796
11.0,11,1.371269
8.0,8,1.377243
11.0,11,1.385536
3.0,3,1.388017
4.0,4,1.391113
11.0,11,1.399138
4.0,4,1.402223
10.0,10,1.409597
5.0,5,1.413311
7.0,7,1.418363
6.0,6,1.422876
14.0,14,1.433115
21.0,21,1.448373
15.0,15,1.45954
8.0,8,1.465604
5.0,5,1.469484
15.0,15,1.480305
16.0,16,1.491996
14.0,14,1.502151
11.0,11,1.510206
12.0,12,1.51907
22.0,22,1.535139
3.0,3,1.537641
6.0,6,1.542216
3.0,3,1.544625
5.0,5,1.548433
6.0,6,1.553087
10.0,10,1.560171
12.0,12,2.281928
19.0,19,2.296681
6.0,6,2.301684
17.0,17,2.315042
11.0,11,2.323759
20.0,20,2.339068
4.0,4,2.342496
23.0,23,2.360272
7.0,7,2.36591
18.0,18,2.380005
22.0,22,2.396981
3.0,3,2.399598
23.0,23,2.417459
13.0,13,2.427661
12.0,12,2.436929
35.0,35,2.463425
12.0,12,2.472875
5.0,5,2.47693
8.0,8,2.48321
6.0,6,2.488092
19.0,19,2.502818
4.0,4,2.506125
24.0,24,2.524202
9.0,9,2.531305
22.0,22,2.54822
17.0,17,2.561298
22.0,22,2.578078
7.0,7,2.583718
18.0,18,2.597611
16.0,16,2.609969
24.0,24,2.628154
14.0,14,2.638968
11.0,11,2.647522
24.0,24,2.665747
17.0,17,2.678634
3.0,3,2.681304
30.0,30,2.704102
4.0,4,2.707399
4.0,4,2.710631
4.0,4,2.713861
5.0,5,2.717903
9.0,9,2.724831
11.0,11,2.733384
16.0,16,2.74541
9.0,9,2.752512
15.0,15,2.763947
11.0,11,2.772423
28.0,28,2.79331
7.0,7,2.798811
8.0,8,2.805064
4.0,4,2.808297
16.0,16,2.820542
11.0,11,2.829147
16.0,16,2.841234
17.0,17,2.854281
10.0,10,2.862081
13.0,13,2.872125
7.0,7,2.877707
11.0,11,2.886279
7.0,7,2.891876
25.0,25,2.91081
11.0,11,2.919158
7.0,7,2.92471
11.0,11,2.933047
4.0,4,2.936263
8.0,8,2.942597
8.0,8,2.94879
3.0,3,2.951389
20.0,20,2.966538
5.0,5,2.970615
5.0,5,2.974689
24.0,24,2.992832
7.0,7,2.99824
14.0,14,3.009027
15.0,15,3.020584
14.0,14,3.031294
13.0,13,3.041339
4.0,4,3.044551
10.0,10,3.052279
14.0,14,3.062949
16.0,16,3.075278
4.0,4,3.07851
10.0,10,3.086189
13.0,13,3.096214
4.0,4,3.099537
13.0,13,3.109822
20.0,20,3.125038
34.0,34,3.150558
5.0,5,3.154505
18.0,18,3.167989
4.0,4,3.171273
9.0,9,3.178386
34.0,34,3.204196
15.0,15,3.215782
18.0,18,3.229641
12.0,12,3.239179
13.0,13,3.249208
7.0,7,3.254945
5.0,5,3.259059
5.0,5,3.263193
6.0,6,3.268108
7.0,7,3.273766
16.0,16,3.286216
16.0,16,3.29848
23.0,23,3.31634
4.0,4,3.319679
18.0,18,3.333685
6.0,6,3.338601
15.0,15,3.350105
3.0,3,3.352773
10.0,10,3.360761
15.0,15,3.372283
22.0,22,3.388692
8.0,8,3.394952
17.0,17,3.407608
9.0,9,3.414565
13.0,13,3.424325
11.0,11,3.432787
9.0,9,3.439818
17.0,17,3.452988
14.0,14,3.463775
20.0,20,3.479048
9.0,9,3.486107
5.0,5,3.490128
15.0,15,3.501755
3.0,3,3.504247
10.0,10,3.511925
26.0,26,3.531719
25.0,25,3.55067
5.0,5,3.554701
13.0,13,3.564526
12.0,12,3.573819
11.0,11,3.58246
8.0,8,3.588661
21.0,21,3.604696
9.0,9,3.611693
16.0,16,3.623914
9.0,9,3.630802
21.0,21,3.646778
9.0,9,3.653649
6.0,6,3.658338
13.0,13,3.668285
5.0,5,3.672125
13.0,13,3.681872
14.0,14,3.692549
7.0,7,3.698015
39.0,39,3.727066
9.0,9,3.734032
28.0,28,3.755139
7.0,7,3.760701
4.0,4,3.764024
48.0,48,3.799938
23.0,23,3.81728
10.0,10,3.825093
19.0,19,3.839546
24.0,24,4.60244
46.0,46,4.637245
13.0,13,4.647236
12.0,12,4.656641
11.0,11,4.665152
22.0,22,4.682611
20.0,20,4.698396
24.0,24,4.717325
15.0,15,4.729184
28.0,28,4.750666
7.0,7,4.75631
16.0,16,4.76881
24.0,24,4.787222
22.0,22,4.804524
34.0,34,4.831138
24.0,24,4.849415
27.0,27,4.870211
12.0,12,4.879658
15.0,15,4.891376
10.0,10,4.899585
4.0,4,4.903081
24.0,24,4.921747
5.0,5,4.925716
23.0,23,4.943597
22.0,22,4.960675
7.0,7,4.966491
16.0,16,4.979318
22.0,22,4.996352
10.0,10,5.004381
8.0,8,5.010818
19.0,19,5.025714
41.0,41,5.057517
10.0,10,5.065706
28.0,28,5.087354
14.0,14,5.098473
3.0,3,5.101085
36.0,36,5.129178
33.0,33,5.155042
12.0,12,5.164604
21.0,21,5.180928
35.0,35,5.20808
5.0,5,5.21215
52.0,52,5.252405
4.0,4,5.255831
13.0,13,5.265904
4.0,4,5.269495
15.0,15,5.281301
10.0,10,5.289476
6.0,6,5.294469
10.0,10,5.302537
3.0,3,5.304981
14.0,14,5.316134
25.0,25,5.335891
27.0,27,5.356942
25.0,25,5.376722
24.0,24,5.396009
18.0,18,5.410364
40.0,40,5.441974
32.0,32,5.467167
10.0,10,5.47523
19.0,19,5.490251
22.0,22,5.507891
9.0,9,5.515352
16.0,16,5.528433
8.0,8,5.534869
22.0,22,5.552189
4.0,4,5.555537
6.0,6,5.560452
20.0,20,5.575977
7.0,7,5.581692
6.0,6,5.586561
14.0,14,5.597426
7.0,7,5.603077
10.0,10,5.610952
29.0,29,5.633169
19.0,19,5.646921
28.0,28,5.666569
27.0,27,5.681042
9.0,9,5.686382
4.0,4,5.689343
5.0,5,5.693306
7.0,7,5.69841
20.0,20,5.712572
13.0,13,5.721977
31.0,31,5.743619
12.0,12,5.752233
23.0,23,5.768411
18.0,18,5.780972
40.0,40,5.808506
6.0,6,5.812934
16.0,16,5.824054
29.0,29,5.844613
24.0,24,5.85991
5.0,5,5.863183
9.0,9,5.869656
13.0,13,5.878843
54.0,54,5.915705
40.0,40,5.943129
9.0,9,5.949723
32.0,32,5.970701
30.0,30,5.990321
21.0,21,6.004563
3.0,3,6.007083
7.0,7,6.011704
26.0,26,6.027743
47.0,47,6.059741
13.0,13,6.068799
11.0,11,6.076875
7.0,7,6.081968
10.0,10,6.089167
24.0,24,6.105962
23.0,23,6.12216
8.0,8,6.127183
24.0,24,6.782083
24.0,24,6.800347
18.0,18,6.81452
5.0,5,6.818821
14.0,14,6.829702
12.0,12,6.838941
23.0,23,6.856148
4.0,4,6.859347
26.0,26,6.87936
39.0,39,6.909397
76.0,76,6.96774
19.0,19,6.982578
31.0,31,7.006201
7.0,7,7.011813
26.0,26,7.031903
30.0,30,7.055088
65.0,65,7.104503
40.0,40,7.135417
13.0,13,7.145594
4.0,4,7.149061
23.0,23,7.167442
20.0,20,7.18294
20.0,20,7.198573
14.0,14,7.209852
7.0,7,7.215407
11.0,11,7.224278
26.0,26,7.244505
34.0,34,7.269811
3.0,3,7.272467
28.0,28,7.293738
29.0,29,7.315309
24.0,24,7.333697
11.0,11,7.342486
4.0,4,7.345889
60.0,60,7.391751
12.0,12,7.400794
7.0,7,7.406444
21.0,21,7.422243
22.0,22,7.438845
7.0,7,7.444199
13.0,13,7.454408
26.0,26,7.474094
17.0,17,7.486854
11.0,11,7.495538
13.0,13,7.505878
75.0,75,7.563138
19.0,19,7.578155
27.0,27,7.598186
56.0,56,7.640543
11.0,11,7.649149
36.0,36,7.676559
23.0,23,7.694305
24.0,24,7.712398
22.0,22,7.729105
6.0,6,7.733999
67.0,67,7.785629
24.0,24,7.804041
34.0,34,7.829991
7.0,7,7.835616
14.0,14,7.846865
22.0,22,7.863916
7.0,7,7.869694
25.0,25,7.889072
23.0,23,7.906502
55.0,55,7.947508
33.0,33,7.972255
25.0,25,7.991045
7.0,7,7.996484
67.0,67,8.039424
27.0,27,8.05443
8.0,8,8.05895
22.0,22,8.071555
37.0,37,8.097291
35.0,35,8.123805
18.0,18,8.137701
22.0,22,8.154668
23.0,23,8.172253
77.0,77,8.231843
39.0,39,8.261577
4.0,4,8.264991
13.0,13,8.275034
48.0,48,8.31193
30.0,30,9.123133
27.0,27,9.144266
35.0,35,9.171646
34.0,34,9.197745
32.0,32,9.221786
27.0,27,9.24273
15.0,15,9.254119
11.0,11,9.262956
8.0,8,9.269492
32.0,32,9.294029
32.0,32,9.318517
35.0,35,9.344743
101.0,101,9.420526
61.0,61,9.46587
26.0,26,9.486086
20.0,20,9.501633
27.0,27,9.522506
93.0,93,9.593904
43.0,43,9.627338
28.0,28,9.648394
50.0,50,9.686775
26.0,26,9.706184
39.0,39,9.73597
58.0,58,9.780624
25.0,25,9.799878
97.0,97,9.872993
30.0,30,9.896226
35.0,35,9.920067
67.0,67,9.962688
30.0,30,9.97834
81.0,81,10.030773
38.0,38,10.056855
17.0,17,10.06898
34.0,34,10.090494
38.0,38,10.11578
28.0,28,10.134516
24.0,24,10.15115
