#{"t_start": 1532237214.8708475, "env_id": "InvertedPendulum-v2"}
r,l,t
7.0,7,0.025701
7.0,7,0.033047
3.0,3,0.036788
3.0,3,0.040153
11.0,11,0.059145
8.0,8,0.073104
5.0,5,0.083506
5.0,5,0.095287
7.0,7,0.11433
14.0,14,0.136245
4.0,4,0.155874
8.0,8,0.163889
3.0,3,0.174788
5.0,5,0.192752
4.0,4,0.197031
12.0,12,0.224641
6.0,6,0.230507
5.0,5,0.251768
6.0,6,0.257785
17.0,17,0.291199
9.0,9,0.316962
4.0,4,0.321235
7.0,7,0.328674
6.0,6,0.347668
5.0,5,0.353455
3.0,3,0.357029
11.0,11,0.381163
7.0,7,0.404501
3.0,3,0.407943
9.0,9,0.417107
5.0,5,0.422097
7.0,7,0.42958
6.0,6,0.451787
4.0,4,0.456393
6.0,6,0.478194
13.0,13,0.507853
10.0,10,0.518486
6.0,6,0.536781
5.0,5,0.542756
14.0,14,0.569431
7.0,7,0.592628
6.0,6,0.598863
6.0,6,0.621559
17.0,17,0.655242
8.0,8,0.663766
5.0,5,0.686097
5.0,5,0.69187
7.0,7,0.698684
8.0,8,0.719517
11.0,11,0.743886
5.0,5,0.749016
6.0,6,0.755418
5.0,5,0.777282
4.0,4,0.781624
8.0,8,0.790464
5.0,5,0.812081
4.0,4,0.831762
13.0,13,0.86158
7.0,7,0.869764
11.0,11,0.897674
7.0,7,0.905414
6.0,6,0.928569
12.0,12,0.941421
6.0,6,0.972454
9.0,9,0.982518
15.0,15,1.014861
6.0,6,1.037455
6.0,6,1.04391
4.0,4,1.064519
7.0,7,1.072612
7.0,7,1.096193
8.0,8,1.105079
5.0,5,1.110657
8.0,8,1.135557
4.0,4,1.139964
6.0,6,1.162499
4.0,4,1.167241
3.0,3,1.170578
10.0,10,1.197039
6.0,6,1.203262
6.0,6,1.225951
10.0,10,1.235866
4.0,4,1.256933
7.0,7,1.264419
3.0,3,1.268256
9.0,9,1.293587
6.0,6,1.300029
7.0,7,1.324592
4.0,4,1.32921
7.0,7,1.353294
3.0,3,1.35711
7.0,7,1.364445
6.0,6,1.379443
6.0,6,1.386493
5.0,5,1.400888
6.0,6,1.407714
3.0,3,1.411122
3.0,3,1.414663
5.0,5,1.435786
6.0,6,1.442124
8.0,8,1.462625
9.0,9,1.485501
4.0,4,1.492935
10.0,10,1.514337
5.0,5,1.521115
4.0,4,1.526267
8.0,8,1.551407
8.0,8,1.576924
4.0,4,1.581939
5.0,5,1.587778
9.0,9,1.603319
4.0,4,1.608165
15.0,15,1.639549
8.0,8,1.664447
3.0,3,1.668302
6.0,6,1.674607
5.0,5,1.696762
4.0,4,1.701182
6.0,6,1.707399
15.0,15,1.738265
7.0,7,1.745776
4.0,4,1.76664
14.0,14,1.797141
6.0,6,1.804127
8.0,8,1.828996
5.0,5,1.834262
8.0,8,1.842761
5.0,5,1.85629
3.0,3,1.859627
3.0,3,1.863013
6.0,6,1.889229
4.0,4,1.893786
6.0,6,1.919399
6.0,6,1.926371
3.0,3,1.930331
7.0,7,1.95427
4.0,4,1.958975
14.0,14,1.990049
3.0,3,2.005749
8.0,8,2.014668
8.0,8,2.039721
20.0,20,2.076422
8.0,8,2.101765
5.0,5,2.107169
4.0,4,2.132298
4.0,4,2.136683
7.0,7,2.160147
9.0,9,2.169259
4.0,4,2.173998
8.0,8,2.19813
4.0,4,2.202728
4.0,4,2.206985
5.0,5,2.228797
10.0,10,2.250224
7.0,7,2.279856
12.0,12,2.292758
9.0,9,2.311487
4.0,4,2.316309
6.0,6,2.339455
6.0,6,2.346191
6.0,6,2.368876
6.0,6,2.37506
8.0,8,2.400231
6.0,6,2.407073
