#{"t_start": 1533462214.4018037, "env_id": "InvertedPendulum-v2"}
r,l,t
3.0,3,0.009454
5.0,5,0.014585
4.0,4,0.018793
6.0,6,0.024704
4.0,4,0.028979
5.0,5,0.034147
4.0,4,0.038446
4.0,4,0.042789
4.0,4,0.046834
6.0,6,0.053056
6.0,6,0.059127
5.0,5,0.064219
8.0,8,0.072407
4.0,4,0.076696
5.0,5,0.081819
3.0,3,0.085031
5.0,5,0.090223
4.0,4,0.094387
6.0,6,0.10059
5.0,5,0.105585
5.0,5,0.110805
4.0,4,0.115033
6.0,6,0.121242
3.0,3,0.12438
5.0,5,0.12941
4.0,4,0.133599
5.0,5,0.138878
6.0,6,0.145086
6.0,6,0.151245
4.0,4,0.155256
10.0,10,0.165262
4.0,4,0.169327
8.0,8,0.177146
3.0,3,0.180315
3.0,3,0.1835
4.0,4,0.187825
5.0,5,0.193112
4.0,4,0.197345
3.0,3,0.200557
5.0,5,0.205798
9.0,9,0.214679
8.0,8,0.222666
5.0,5,0.227944
4.0,4,0.232199
5.0,5,0.237411
4.0,4,0.241549
3.0,3,0.244871
4.0,4,0.24912
8.0,8,0.257366
4.0,4,0.261563
6.0,6,0.267779
6.0,6,0.273911
4.0,4,0.278065
4.0,4,0.282355
5.0,5,0.28775
4.0,4,0.291735
4.0,4,0.295831
4.0,4,0.30018
7.0,7,0.30735
5.0,5,0.312497
3.0,3,0.315781
6.0,6,0.321816
4.0,4,0.325989
3.0,3,0.329355
6.0,6,0.335735
5.0,5,0.340936
5.0,5,0.346323
3.0,3,0.349589
5.0,5,0.354795
3.0,3,0.358024
6.0,6,0.364126
8.0,8,0.372063
5.0,5,0.377218
4.0,4,0.381412
8.0,8,0.389342
5.0,5,0.3945
5.0,5,0.399694
9.0,9,0.408979
8.0,8,0.416784
6.0,6,0.422874
14.0,14,0.436676
3.0,3,0.439816
7.0,7,0.446851
6.0,6,0.45314
3.0,3,0.456418
3.0,3,0.45972
9.0,9,0.468572
9.0,9,0.477222
4.0,4,0.481242
8.0,8,0.489181
8.0,8,0.497254
5.0,5,0.502354
3.0,3,0.50565
4.0,4,0.509611
5.0,5,0.514747
7.0,7,0.521868
3.0,3,0.525091
4.0,4,0.52938
4.0,4,0.533581
5.0,5,0.538564
7.0,7,0.545809
5.0,5,0.550871
5.0,5,0.556049
5.0,5,0.561148
3.0,3,0.564459
10.0,10,0.574515
4.0,4,0.578722
5.0,5,0.583915
4.0,4,0.588176
11.0,11,0.599117
6.0,6,0.605134
3.0,3,0.608423
7.0,7,0.615599
5.0,5,0.620907
9.0,9,0.629776
5.0,5,0.634943
7.0,7,0.64219
4.0,4,0.64645
4.0,4,0.650722
4.0,4,0.654784
8.0,8,0.662795
9.0,9,0.671468
4.0,4,0.675661
4.0,4,0.679891
5.0,5,0.685078
8.0,8,0.69319
4.0,4,0.697479
7.0,7,0.704684
6.0,6,0.710849
5.0,5,0.715964
5.0,5,0.721056
5.0,5,0.726202
6.0,6,0.732361
3.0,3,0.735687
3.0,3,0.738954
5.0,5,0.744177
5.0,5,0.749302
5.0,5,0.754515
5.0,5,0.759698
6.0,6,0.765921
6.0,6,0.772195
4.0,4,0.776405
5.0,5,0.781557
12.0,12,0.79314
6.0,6,0.799155
4.0,4,0.803329
3.0,3,0.806571
4.0,4,0.810824
6.0,6,0.816866
5.0,5,0.822084
5.0,5,0.827234
3.0,3,0.830482
4.0,4,0.834641
6.0,6,0.840752
7.0,7,0.847661
6.0,6,0.85377
5.0,5,0.858934
7.0,7,0.866074
5.0,5,0.871351
5.0,5,0.876607
3.0,3,0.879815
6.0,6,0.885837
5.0,5,0.891056
4.0,4,0.895353
4.0,4,0.899577
7.0,7,0.906461
8.0,8,0.914478
4.0,4,0.918624
3.0,3,0.921877
5.0,5,0.927084
3.0,3,0.930373
5.0,5,0.935334
4.0,4,0.939436
6.0,6,0.945676
5.0,5,0.950811
4.0,4,0.954955
8.0,8,0.962948
4.0,4,0.967272
6.0,6,0.973305
8.0,8,0.981246
11.0,11,0.992171
4.0,4,0.996138
5.0,5,1.001244
8.0,8,1.009271
7.0,7,1.016414
8.0,8,1.024534
4.0,4,1.028793
4.0,4,1.03284
5.0,5,1.037905
5.0,5,1.043087
6.0,6,1.049212
4.0,4,1.053445
3.0,3,1.056551
8.0,8,1.064544
5.0,5,1.069688
11.0,11,1.080673
5.0,5,1.085855
4.0,4,1.090116
6.0,6,1.096305
5.0,5,1.10135
4.0,4,1.105552
5.0,5,1.110839
4.0,4,1.115069
4.0,4,1.119326
3.0,3,1.122434
5.0,5,1.127694
5.0,5,1.132988
4.0,4,1.13721
4.0,4,1.141453
4.0,4,1.145765
5.0,5,1.150913
4.0,4,1.155005
6.0,6,1.16107
8.0,8,1.169054
7.0,7,1.176064
5.0,5,1.181272
3.0,3,1.184481
4.0,4,1.188549
6.0,6,1.194626
6.0,6,1.200679
3.0,3,1.203802
4.0,4,1.20795
9.0,9,1.216888
6.0,6,1.222952
8.0,8,1.230981
6.0,6,1.236983
4.0,4,1.241219
5.0,5,1.24637
5.0,5,1.251606
7.0,7,1.258773
7.0,7,1.265676
8.0,8,1.273616
4.0,4,1.27774
5.0,5,1.282799
8.0,8,1.290696
3.0,3,1.293834
3.0,3,1.297004
5.0,5,1.30207
5.0,5,1.307111
5.0,5,1.312227
5.0,5,1.317293
4.0,4,1.321534
6.0,6,1.327581
11.0,11,1.338057
8.0,8,1.345706
5.0,5,1.350823
3.0,3,1.35393
6.0,6,1.360012
5.0,5,1.364931
4.0,4,1.369032
6.0,6,1.375149
3.0,3,1.378458
6.0,6,1.384458
9.0,9,1.393381
7.0,7,1.400441
4.0,4,1.404632
4.0,4,1.408838
4.0,4,1.41293
5.0,5,1.417957
6.0,6,1.42407
4.0,4,1.428168
7.0,7,1.435222
4.0,4,1.439139
11.0,11,1.449742
14.0,14,1.463454
5.0,5,1.468547
3.0,3,1.472012
5.0,5,1.477135
6.0,6,1.483116
7.0,7,1.490216
3.0,3,1.493353
4.0,4,1.497496
5.0,5,1.502624
8.0,8,1.510571
5.0,5,1.515701
4.0,4,1.519881
5.0,5,1.52496
5.0,5,1.530042
5.0,5,1.535066
