#{"t_start": 1534300431.774699, "env_id": "InvertedPendulum-v2"}
r,l,t
5.0,5,0.016178
7.0,7,0.023434
8.0,8,0.031742
4.0,4,0.035923
11.0,11,0.048282
24.0,24,0.072887
9.0,9,0.081873
7.0,7,0.088667
7.0,7,0.095455
10.0,10,0.105039
6.0,6,0.111112
10.0,10,0.121199
10.0,10,0.131397
8.0,8,0.136735
9.0,9,0.142974
5.0,5,0.146535
9.0,9,0.152485
6.0,6,0.156677
5.0,5,0.160025
3.0,3,0.162305
5.0,5,0.165689
6.0,6,0.169846
9.0,9,0.17607
5.0,5,0.179434
7.0,7,0.18439
8.0,8,0.189579
6.0,6,0.193658
3.0,3,0.195844
12.0,12,0.203533
5.0,5,0.207138
4.0,4,0.210206
4.0,4,0.213321
16.0,16,0.223365
8.0,8,0.228589
4.0,4,0.231732
7.0,7,0.236312
9.0,9,0.242032
4.0,4,0.244958
12.0,12,0.252569
7.0,7,0.257196
4.0,4,0.259982
6.0,6,0.264255
4.0,4,0.266942
5.0,5,0.270179
6.0,6,0.274093
6.0,6,0.278544
4.0,4,0.281428
14.0,14,0.290404
9.0,9,0.296591
7.0,7,0.30128
13.0,13,0.309341
12.0,12,0.317297
12.0,12,0.325088
15.0,15,0.334703
4.0,4,0.337703
4.0,4,0.340508
8.0,8,0.34562
4.0,4,0.348329
5.0,5,0.352184
9.0,9,0.358229
4.0,4,0.361079
14.0,14,0.369891
9.0,9,0.375684
13.0,13,0.383979
5.0,5,0.387355
4.0,4,0.390336
5.0,5,0.393792
4.0,4,0.396525
4.0,4,0.39958
7.0,7,0.404375
4.0,4,0.407636
3.0,3,0.409954
6.0,6,0.4143
6.0,6,0.418436
9.0,9,0.424594
4.0,4,0.427858
5.0,5,0.431426
5.0,5,0.435064
5.0,5,0.438644
4.0,4,0.441626
6.0,6,0.446215
6.0,6,0.450325
5.0,5,0.453838
5.0,5,0.457739
6.0,6,0.461728
10.0,10,0.468431
5.0,5,0.472081
6.0,6,0.476263
4.0,4,0.47908
4.0,4,0.482097
5.0,5,0.486029
15.0,15,0.49569
6.0,6,0.499934
12.0,12,0.507922
17.0,17,0.519153
6.0,6,0.523373
8.0,8,0.528682
4.0,4,0.531559
5.0,5,0.535141
6.0,6,0.539538
4.0,4,0.542447
5.0,5,0.546326
8.0,8,0.551688
3.0,3,0.553975
12.0,12,0.56197
4.0,4,0.565221
3.0,3,0.567855
4.0,4,0.571191
3.0,3,0.573473
3.0,3,0.575618
9.0,9,0.581638
7.0,7,0.586896
5.0,5,0.590605
5.0,5,0.594117
5.0,5,0.597469
10.0,10,0.604483
7.0,7,0.609495
7.0,7,0.614136
6.0,6,0.618221
6.0,6,0.622623
4.0,4,0.625683
4.0,4,0.628523
5.0,5,0.632373
9.0,9,0.638363
3.0,3,0.640711
5.0,5,0.64436
5.0,5,0.647964
6.0,6,0.652224
6.0,6,0.656791
6.0,6,0.660892
4.0,4,0.664227
8.0,8,0.669613
6.0,6,0.673699
6.0,6,0.677885
14.0,14,0.687108
