#{"t_start": 1532083495.3029597, "env_id": "Swimmer-v2"}
r,l,t
21.342262,1000,1.603457
3.344205,1000,3.542915
-21.066177,1000,6.851553
4.472152,1000,8.365311
31.560375,1000,11.725705
27.186708,1000,13.270812
33.779834,1000,18.390877
27.010019,1000,21.048583
24.99705,1000,26.860204
31.564868,1000,29.956699
11.847144,1000,36.115743
28.457048,1000,38.99507
27.638377,1000,44.948048
7.488753,1000,47.463211
21.683878,1000,53.22653
26.948162,1000,55.71946
24.729338,1000,61.273029
20.260095,1000,63.953693
15.384971,1000,69.654552
21.26589,1000,72.612568
16.869098,1000,78.44327
20.492034,1000,80.771027
17.563435,1000,86.751236
17.455773,1000,89.505256
17.251755,1000,95.639843
22.561923,1000,98.912465
26.75708,1000,104.902789
25.130296,1000,107.797075
21.825104,1000,112.826474
21.090938,1000,115.753466
25.351167,1000,121.333892
26.943298,1000,124.476381
22.687281,1000,130.331191
25.279431,1000,132.774968
22.298922,1000,138.497133
20.55709,1000,141.495232
26.737329,1000,147.61746
23.581658,1000,150.406689
36.495532,1000,156.815918
21.869803,1000,159.168525
33.528108,1000,164.629184
35.013162,1000,167.602848
21.654924,1000,170.312237
32.921286,1000,175.224506
20.823556,1000,177.874406
22.552508,1000,183.525787
34.556914,1000,186.458431
33.735212,1000,192.821286
27.562178,1000,196.169083
32.660616,1000,202.109441
13.299887,1000,204.316975
14.940362,1000,209.557095
27.153476,1000,212.449541
41.935131,1000,218.483781
28.166402,1000,221.055853
34.932216,1000,227.156054
37.750445,1000,229.796883
18.896465,1000,235.873312
34.691033,1000,238.694953
37.948535,1000,244.397202
19.445547,1000,247.289186
38.81463,1000,251.821235
33.952158,1000,254.47893
35.911102,1000,260.430574
24.106558,1000,263.439688
40.090329,1000,270.162335
38.169462,1000,272.789067
32.337338,1000,278.455503
26.123658,1000,281.169687
35.175444,1000,286.818188
31.485464,1000,289.72387
34.943376,1000,295.696849
22.209021,1000,298.336272
19.832197,1000,304.1793
35.601844,1000,307.375758
21.020671,1000,313.502999
34.657749,1000,316.062909
37.434124,1000,322.14887
38.177481,1000,324.61989
36.895045,1000,330.463951
37.516913,1000,333.202681
17.398346,1000,338.805094
