#{"env_id": "Swimmer-v2", "t_start": 1532083495.106854}
r,l,t
-0.624673,1000,1.714281
-13.831373,1000,3.238863
6.43014,1000,7.295415
3.720359,1000,8.851267
-1.861442,1000,13.136729
4.098213,1000,14.813617
21.687341,1000,20.177908
27.679812,1000,22.743686
28.803386,1000,28.62062
26.078405,1000,30.645159
22.897388,1000,36.348046
15.237321,1000,39.2872
22.940789,1000,45.119235
25.763526,1000,47.627649
16.174645,1000,53.141115
27.274204,1000,55.560406
24.464921,1000,61.202954
21.654505,1000,63.608991
11.94289,1000,68.985325
26.081294,1000,71.254818
25.891379,1000,77.52483
26.119317,1000,79.829942
24.738651,1000,85.583314
29.365333,1000,88.391587
24.093142,1000,94.70133
31.795119,1000,97.814142
16.879318,1000,103.873394
23.699401,1000,107.152981
32.057628,1000,112.816811
26.702109,1000,115.347337
24.521331,1000,121.138625
30.963455,1000,123.53925
22.357792,1000,129.404126
24.823592,1000,132.40496
31.31179,1000,139.361833
29.653913,1000,141.557807
30.508866,1000,147.403544
22.404863,1000,150.445881
35.880215,1000,155.353782
30.649747,1000,157.759369
30.010764,1000,163.231717
27.329879,1000,165.517502
27.276718,1000,167.621945
34.041198,1000,173.819446
35.567433,1000,176.512215
20.193062,1000,182.815158
34.732016,1000,185.484405
29.934152,1000,191.481313
36.899151,1000,193.919444
23.277992,1000,199.082514
32.284012,1000,201.834984
25.361091,1000,207.968534
36.43809,1000,210.852084
34.074523,1000,217.055104
33.182468,1000,219.765061
33.144691,1000,225.020526
32.754752,1000,227.908102
30.789615,1000,234.311757
36.048767,1000,236.727285
34.716305,1000,242.708084
25.762479,1000,245.337758
35.873799,1000,251.630265
28.136027,1000,254.076735
37.204939,1000,259.782274
21.463591,1000,262.479178
29.647703,1000,268.934571
37.966713,1000,271.216291
36.207098,1000,277.50228
37.875778,1000,279.977466
40.1772,1000,285.972128
38.718046,1000,288.888881
42.804635,1000,294.3467
38.321089,1000,296.903718
40.539625,1000,302.555986
41.242538,1000,305.191488
41.674459,1000,311.001053
