#{"t_start": 1533206828.0341902, "env_id": "Swimmer-v2"}
r,l,t
-16.088236,1000,0.453055
-39.658896,1000,0.901517
-18.451443,1000,1.852318
-11.949353,1000,2.304787
-11.025681,1000,3.227539
-12.736951,1000,3.685159
-21.726647,1000,4.644497
-4.206746,1000,5.103456
-19.029772,1000,6.065495
-5.026596,1000,6.524776
9.467359,1000,7.501819
-5.456282,1000,7.961491
15.968398,1000,8.917909
-0.595892,1000,9.376036
-0.369285,1000,10.324073
52.508713,1000,10.788973
53.493677,1000,11.693677
56.393136,1000,12.155646
55.877546,1000,13.072913
49.042377,1000,13.536618
22.751848,1000,14.435128
54.440088,1000,14.894778
37.722585,1000,15.781216
43.234829,1000,16.24473
48.529493,1000,17.113634
31.508985,1000,17.586737
31.187923,1000,18.453472
32.682893,1000,18.922689
33.381064,1000,19.79511
31.577155,1000,20.267201
29.377601,1000,21.149653
24.019957,1000,21.644052
44.738749,1000,22.531634
24.321293,1000,23.012196
21.262997,1000,23.884939
31.637003,1000,24.348848
27.532955,1000,25.229495
24.904936,1000,25.696892
26.667546,1000,26.571486
36.188657,1000,27.037535
33.812101,1000,27.911582
27.829548,1000,28.377389
35.79327,1000,28.842245
38.347624,1000,29.712854
35.900825,1000,30.178097
37.813706,1000,31.061191
24.034108,1000,31.526826
30.845763,1000,32.460563
32.104166,1000,32.933892
32.785499,1000,33.866791
30.989541,1000,34.331234
30.911434,1000,35.269539
33.787924,1000,35.733336
38.893043,1000,36.688289
32.260793,1000,37.213584
30.471233,1000,38.179294
33.529494,1000,38.649645
26.61581,1000,39.631901
34.5293,1000,40.097551
37.499378,1000,41.085521
33.807176,1000,41.551755
36.306572,1000,42.429826
37.733766,1000,42.895743
30.933764,1000,43.773501
31.421198,1000,44.240126
37.438306,1000,45.118435
36.759108,1000,45.587797
30.735726,1000,46.468914
30.926896,1000,46.937916
36.752253,1000,47.815853
35.77827,1000,48.288573
35.617791,1000,49.167099
37.124586,1000,49.64543
39.780738,1000,50.529266
39.72182,1000,51.007792
39.498206,1000,51.882162
40.24827,1000,52.369142
35.469408,1000,53.269666
38.738015,1000,53.756279
36.826917,1000,54.658879
39.069672,1000,55.152126
35.581851,1000,56.076116
32.932324,1000,56.560056
39.97314,1000,57.437741
35.805974,1000,57.919257
36.26281,1000,58.392187
36.552589,1000,59.324243
34.798841,1000,59.797647
37.106337,1000,60.726578
29.99808,1000,61.203957
37.234763,1000,62.090363
35.899043,1000,62.571269
32.131563,1000,63.471674
26.415107,1000,63.95437
29.869658,1000,64.845321
37.602176,1000,65.342141
31.026506,1000,66.237738
35.361485,1000,66.725552
32.476004,1000,67.622988
36.582106,1000,68.116007
36.304085,1000,69.014666
33.585609,1000,69.51609
36.862338,1000,70.474762
37.582485,1000,70.955202
37.151706,1000,71.881426
34.231193,1000,72.356821
36.760218,1000,73.296528
37.072787,1000,73.771034
35.167084,1000,74.746788
35.450044,1000,75.252024
32.043077,1000,76.168401
31.446559,1000,76.643036
34.342687,1000,77.522133
29.703455,1000,77.99645
29.720945,1000,78.87559
41.995279,1000,79.351017
34.399548,1000,80.233515
34.998263,1000,80.708184
39.588188,1000,81.597165
30.037315,1000,82.068991
34.48583,1000,82.960791
37.521173,1000,83.431912
31.327771,1000,84.323102
42.017692,1000,84.796804
39.52756,1000,85.688636
34.632931,1000,86.159027
37.365307,1000,87.042033
35.430041,1000,87.511585
38.02173,1000,87.997388
36.564669,1000,88.898971
37.884248,1000,89.402528
34.904628,1000,90.280404
37.69689,1000,90.75922
37.727329,1000,91.63819
37.738202,1000,92.112179
37.091665,1000,92.992856
34.876738,1000,93.463776
38.477475,1000,94.350468
32.225979,1000,94.820355
34.836784,1000,95.71718
38.233812,1000,96.187008
39.06358,1000,97.076434
34.378457,1000,97.546003
38.596098,1000,98.427598
32.505167,1000,98.901843
38.241727,1000,99.833691
36.393317,1000,100.309038
44.020397,1000,101.259403
32.324032,1000,101.735529
38.495825,1000,102.731483
38.301384,1000,103.20528
38.055742,1000,104.191381
39.298999,1000,104.665211
35.954707,1000,105.625073
35.153664,1000,106.095893
39.410833,1000,107.056848
37.889322,1000,107.528276
36.158133,1000,108.507094
36.27485,1000,108.993058
38.181575,1000,109.932162
36.987723,1000,110.404622
37.659182,1000,111.353084
38.098469,1000,111.824638
37.723369,1000,112.816212
38.358116,1000,113.321398
36.636838,1000,114.34108
41.737856,1000,114.834144
39.131838,1000,115.774734
39.860673,1000,116.27098
37.524447,1000,117.235234
40.7464,1000,117.710804
42.698264,1000,118.184352
37.400274,1000,119.198425
40.438427,1000,119.673843
38.4369,1000,120.618356
36.316519,1000,121.093921
39.88028,1000,122.004364
42.062679,1000,122.47942
39.249853,1000,123.432428
42.731915,1000,123.92925
37.194302,1000,124.901411
39.070378,1000,125.377354
40.10148,1000,126.363566
40.319876,1000,126.838207
38.515524,1000,127.811069
38.79553,1000,128.286746
39.482663,1000,129.266392
39.195069,1000,129.736495
41.087131,1000,130.714604
41.406043,1000,131.182948
40.042978,1000,132.116689
43.543985,1000,132.592072
40.656425,1000,133.495814
39.131207,1000,133.971109
40.25591,1000,134.872174
42.981261,1000,135.346351
41.944303,1000,136.335696
42.776061,1000,136.801317
42.784163,1000,137.748059
44.007704,1000,138.214395
42.741083,1000,139.12163
39.453559,1000,139.586828
42.106782,1000,140.568573
42.357351,1000,141.04348
41.110929,1000,142.003283
46.079637,1000,142.478921
43.545956,1000,143.506849
41.104749,1000,143.982295
42.128737,1000,144.935428
44.000152,1000,145.412029
39.647129,1000,146.434184
45.522967,1000,146.900198
42.061332,1000,147.842505
44.344609,1000,148.306952
44.746909,1000,148.792403
41.086017,1000,149.741962
40.741193,1000,150.235104
43.484617,1000,151.2029
42.059311,1000,151.685412
43.3834,1000,152.631604
41.376483,1000,153.121226
40.487724,1000,154.110544
47.551229,1000,154.60202
37.237865,1000,155.583521
43.233566,1000,156.080688
42.219211,1000,156.990965
44.028221,1000,157.493879
43.98694,1000,158.463839
50.560816,1000,158.985985
38.918495,1000,159.968658
40.031982,1000,160.458861
43.215001,1000,161.340909
41.736332,1000,161.815004
44.205212,1000,162.718971
43.819826,1000,163.194087
40.838833,1000,164.096617
42.642202,1000,164.625901
42.535387,1000,165.512868
43.421108,1000,166.040299
43.267925,1000,166.942538
43.90817,1000,167.426279
42.581848,1000,168.339752
45.79786,1000,168.823371
46.623923,1000,169.796681
44.035646,1000,170.328753
43.739981,1000,171.242135
40.661254,1000,171.745196
44.03861,1000,172.685562
44.810807,1000,173.188611
39.494615,1000,174.080063
41.63589,1000,174.572674
45.312819,1000,175.451561
43.143185,1000,175.935455
43.135994,1000,176.814088
43.931134,1000,177.292109
41.395551,1000,177.769883
42.435487,1000,178.652515
44.571606,1000,179.137608
42.372753,1000,180.014757
42.13605,1000,180.495974
49.830215,1000,181.372564
43.507055,1000,181.843415
43.984963,1000,182.719841
43.217496,1000,183.194282
42.385761,1000,184.071939
41.939302,1000,184.545974
44.461665,1000,185.430992
43.288207,1000,185.901668
43.213376,1000,186.778921
42.997573,1000,187.250466
44.824786,1000,188.128556
42.813941,1000,188.600545
41.994879,1000,189.485669
41.769911,1000,189.958636
42.871118,1000,190.838549
46.678102,1000,191.310913
40.772513,1000,192.188986
44.530953,1000,192.66138
47.767569,1000,193.544656
45.601195,1000,194.018833
40.470209,1000,194.898561
45.027832,1000,195.369313
43.517311,1000,196.256028
41.693288,1000,196.727211
42.91014,1000,197.605349
42.026203,1000,198.076745
46.28653,1000,198.954797
44.493334,1000,199.428479
45.944083,1000,200.307828
46.163836,1000,200.780492
44.715961,1000,201.657912
42.654707,1000,202.12991
39.802122,1000,203.009094
50.729509,1000,203.476846
42.594926,1000,204.354594
43.081134,1000,204.826285
43.509449,1000,205.705888
31.358318,1000,206.17509
44.302066,1000,206.6603
41.859124,1000,207.538353
45.637593,1000,208.016064
43.204746,1000,208.94116
44.534035,1000,209.455679
45.3165,1000,210.365512
41.664628,1000,210.843152
47.67946,1000,211.751709
42.781437,1000,212.2363
45.483687,1000,213.17855
47.027723,1000,213.662444
41.713523,1000,214.611906
43.423892,1000,215.10024
48.256276,1000,216.012007
44.414002,1000,216.498915
45.812061,1000,217.468027
46.480568,1000,217.941468
45.730662,1000,218.881055
46.919268,1000,219.354588
46.031577,1000,220.270823
47.373257,1000,220.739897
44.780501,1000,221.664067
46.206192,1000,222.132219
46.886883,1000,223.068302
42.494092,1000,223.537459
47.376498,1000,224.43804
46.652637,1000,224.93224
48.529432,1000,225.893723
44.797059,1000,226.372049
47.359696,1000,227.318826
43.599304,1000,227.793731
43.238671,1000,228.685065
44.911348,1000,229.156818
44.20199,1000,230.030555
45.177701,1000,230.515872
44.652595,1000,231.391638
45.88248,1000,231.858954
46.915853,1000,232.732845
44.102089,1000,233.205578
44.777704,1000,234.078406
46.079749,1000,234.550894
42.631044,1000,235.427295
47.805388,1000,235.897676
43.907035,1000,236.373707
47.94561,1000,237.245258
48.413334,1000,237.716833
47.809117,1000,238.58763
43.043749,1000,239.065319
43.841061,1000,239.955496
49.264291,1000,240.428281
46.029529,1000,241.329676
49.190014,1000,241.800598
45.866414,1000,242.734449
48.389358,1000,243.209852
46.587439,1000,244.109092
45.854705,1000,244.578922
49.835817,1000,245.536061
48.835715,1000,246.003461
45.467885,1000,246.900453
46.630917,1000,247.372679
48.210284,1000,248.333571
48.095767,1000,248.801931
45.292626,1000,249.747471
46.388576,1000,250.224502
43.541462,1000,251.201764
47.13356,1000,251.715149
51.143138,1000,252.635848
49.444381,1000,253.118063
47.509739,1000,254.040272
46.824523,1000,254.530382
45.362735,1000,255.450076
46.322595,1000,255.951505
46.620702,1000,256.862354
48.112363,1000,257.357597
49.346314,1000,258.322077
45.759921,1000,258.807532
45.192942,1000,259.771029
43.065997,1000,260.262836
48.293148,1000,261.227079
48.174064,1000,261.718218
45.516702,1000,262.633302
48.303123,1000,263.117037
45.764903,1000,264.174623
51.159074,1000,264.65347
45.321241,1000,265.624609
43.312291,1000,266.14702
44.94306,1000,266.622269
50.226728,1000,267.535456
48.235215,1000,268.006734
46.08482,1000,268.943798
48.245124,1000,269.414329
45.36133,1000,270.291381
46.34416,1000,270.762241
48.269301,1000,271.639182
46.555684,1000,272.113913
48.340746,1000,272.992477
49.280196,1000,273.464328
46.736767,1000,274.36662
41.030102,1000,274.842657
45.709818,1000,275.749231
47.554151,1000,276.221509
47.835689,1000,277.134971
45.2957,1000,277.614403
47.862264,1000,278.559156
48.21209,1000,279.030995
49.867848,1000,279.947663
52.477081,1000,280.418965
48.196937,1000,281.363248
48.295462,1000,281.855541
50.269999,1000,282.768689
46.299484,1000,283.256221
46.8519,1000,284.136813
47.769836,1000,284.608929
48.98056,1000,285.49744
51.721508,1000,285.967907
47.827627,1000,286.846223
50.252361,1000,287.317686
46.976299,1000,288.198436
44.395174,1000,288.668228
50.978203,1000,289.547655
50.422055,1000,290.017883
46.714511,1000,290.904055
50.821185,1000,291.37613
45.589013,1000,292.329112
49.171339,1000,292.804517
48.766217,1000,293.762084
47.898407,1000,294.240754
48.641304,1000,295.17875
48.019521,1000,295.660831
46.994667,1000,296.134137
49.346996,1000,297.070664
47.909567,1000,297.548222
46.111627,1000,298.462054
51.762699,1000,298.93924
47.693897,1000,299.860688
49.332045,1000,300.340019
49.676561,1000,301.256412
47.648092,1000,301.723254
50.370118,1000,302.644673
51.289786,1000,303.118805
49.251172,1000,304.010704
43.75625,1000,304.484765
52.264119,1000,305.373531
48.120894,1000,305.848816
48.560624,1000,306.744203
48.580466,1000,307.221179
51.726335,1000,308.116729
49.645649,1000,308.592038
50.500663,1000,309.496804
49.732989,1000,309.971106
48.407113,1000,310.86683
49.702341,1000,311.353113
48.050745,1000,312.234494
45.079168,1000,312.701439
46.461787,1000,313.57519
47.156748,1000,314.054828
49.930544,1000,314.927615
44.844832,1000,315.394955
50.356509,1000,316.2806
49.303947,1000,316.758987
46.830689,1000,317.641005
48.832708,1000,318.109797
48.75321,1000,318.993867
45.461374,1000,319.465979
46.37249,1000,320.358299
47.972987,1000,320.828018
48.777581,1000,321.70333
46.115973,1000,322.175981
48.826441,1000,323.054429
44.797882,1000,323.529208
47.383809,1000,324.408768
46.140415,1000,324.88916
49.081219,1000,325.361234
45.345271,1000,326.256639
48.204803,1000,326.727038
44.310174,1000,327.604563
49.040197,1000,328.084024
45.231613,1000,328.981867
48.401126,1000,329.453287
46.304726,1000,330.333119
45.85438,1000,330.804348
44.58825,1000,331.681821
48.271106,1000,332.156849
45.662,1000,333.052671
47.94226,1000,333.523892
46.727625,1000,334.420269
49.320117,1000,334.890094
47.587607,1000,335.782678
49.373545,1000,336.253612
49.676254,1000,337.182606
48.229345,1000,337.658989
46.808795,1000,338.609114
48.525257,1000,339.083722
49.199001,1000,339.998932
47.788223,1000,340.475565
48.806803,1000,341.413105
49.980347,1000,341.888825
48.686492,1000,342.838786
49.690639,1000,343.314033
47.873653,1000,344.225046
49.196333,1000,344.701282
49.061229,1000,345.609927
48.01061,1000,346.10232
49.230182,1000,346.995468
47.754154,1000,347.476665
48.801046,1000,348.421487
47.9382,1000,348.902729
47.578426,1000,349.844002
48.048245,1000,350.335991
49.546423,1000,351.284713
30.490953,1000,351.773486
48.728802,1000,352.699617
45.645035,1000,353.229585
49.918853,1000,353.706619
51.209753,1000,354.666784
51.721363,1000,355.144515
49.728525,1000,356.165675
51.045341,1000,356.642156
47.213621,1000,357.644308
47.739654,1000,358.122243
48.963729,1000,359.094061
51.533596,1000,359.564533
49.380082,1000,360.543566
50.081137,1000,361.011297
51.269006,1000,361.986487
30.325349,1000,362.452137
51.758401,1000,363.402433
51.390611,1000,363.877385
46.806869,1000,364.841293
49.30172,1000,365.316
44.2124,1000,366.277103
32.324949,1000,366.743692
48.743053,1000,367.726128
52.995391,1000,368.193617
50.873232,1000,369.111287
49.343517,1000,369.578425
51.380151,1000,370.467757
46.477535,1000,370.934227
51.076011,1000,371.818668
50.899958,1000,372.299648
49.551094,1000,373.176968
46.660164,1000,373.647
50.756116,1000,374.524562
34.996163,1000,375.000587
50.095973,1000,375.873354
37.686307,1000,376.347878
47.394845,1000,377.219256
52.923511,1000,377.695528
49.631846,1000,378.5632
39.254067,1000,379.035106
51.325866,1000,379.902804
48.240699,1000,380.370076
50.978375,1000,381.263158
49.559535,1000,381.729834
52.273234,1000,382.600723
52.354534,1000,383.069214
49.421229,1000,383.539601
48.437079,1000,384.411317
52.806273,1000,384.88402
47.776397,1000,385.832042
52.63344,1000,386.306289
50.764064,1000,387.230785
50.259905,1000,387.705326
47.958439,1000,388.648796
50.550247,1000,389.124101
48.727206,1000,390.009101
47.634091,1000,390.500655
48.465026,1000,391.372795
51.535923,1000,391.840322
49.731546,1000,392.714513
49.818412,1000,393.181902
50.003812,1000,394.061027
47.869867,1000,394.527378
50.268615,1000,395.429372
52.38407,1000,395.896187
