#{"t_start": 1533506644.9925008, "env_id": "Swimmer-v2"}
r,l,t
-60.068738,1000,3.776929
-17.398835,1000,5.532712
-28.149451,1000,12.966185
-10.159748,1000,14.72692
-13.95447,1000,22.118159
-24.07214,1000,23.872289
-9.274872,1000,31.247257
-95.854278,1000,33.020999
-64.951917,1000,40.354041
-70.634053,1000,42.103571
-41.491303,1000,49.405827
-39.848685,1000,51.171405
-32.272661,1000,58.477834
-48.961826,1000,60.251589
-88.699144,1000,67.517007
-49.745211,1000,69.273168
-99.494033,1000,76.513361
-58.693488,1000,78.267986
-75.83162,1000,85.586496
-75.627716,1000,87.352821
-54.867773,1000,94.72314
-13.762227,1000,96.482484
-38.80662,1000,103.768518
-45.500527,1000,105.572585
-86.448374,1000,112.917328
-54.880776,1000,114.679304
-70.046261,1000,122.103267
-46.495691,1000,123.897794
-40.299326,1000,131.294457
-7.493447,1000,133.100169
-41.118171,1000,140.468681
-20.564078,1000,142.252789
-10.746457,1000,149.556418
-36.60887,1000,151.323323
-26.005543,1000,158.67513
-1.023428,1000,160.440085
-2.918729,1000,167.835525
-6.06044,1000,169.59556
17.634855,1000,177.009475
-4.906875,1000,178.794815
-5.034218,1000,186.182788
2.078431,1000,187.967907
6.742442,1000,189.785827
-1.025965,1000,197.145481
18.203363,1000,198.966459
-9.893416,1000,206.368643
-10.676939,1000,208.168197
-2.64039,1000,215.596631
-2.999761,1000,217.390184
-3.360108,1000,224.802546
-22.352036,1000,226.595051
-5.926149,1000,234.047803
-12.347027,1000,235.82209
-2.73114,1000,243.199974
0.179559,1000,244.971589
-2.010352,1000,252.386566
-0.9115,1000,254.203719
0.33868,1000,261.613034
5.07559,1000,263.374788
5.476977,1000,270.842608
10.504897,1000,272.623594
0.547933,1000,279.949387
8.324802,1000,281.751233
11.03605,1000,289.093985
4.158726,1000,290.86885
16.189202,1000,298.216803
11.555434,1000,300.005378
3.605064,1000,307.417521
1.680249,1000,309.219778
8.053958,1000,316.5802
13.871343,1000,318.357002
13.195768,1000,325.736743
11.701976,1000,327.536786
14.183202,1000,335.005182
23.099194,1000,336.80818
5.387661,1000,344.270258
9.72115,1000,346.059983
13.075924,1000,353.438006
-6.438305,1000,355.229485
11.463758,1000,362.60995
6.860974,1000,364.387428
10.99883,1000,371.849306
8.971975,1000,373.629562
8.339629,1000,381.08978
19.38021,1000,382.863609
4.652272,1000,384.693294
7.477787,1000,392.031473
22.532509,1000,393.848324
-6.99815,1000,401.123351
-5.928546,1000,402.949646
22.647896,1000,410.240024
7.781171,1000,412.059344
0.454141,1000,419.348025
0.68136,1000,421.148818
21.649652,1000,428.48093
-2.37858,1000,430.253273
17.130457,1000,438.065234
16.187755,1000,546.256995
