#{"t_start": 1532083516.315054, "env_id": "Swimmer-v2"}
r,l,t
-22.424989,1000,3.381895
-10.501861,1000,6.61709
-24.510679,1000,18.963285
-12.983049,1000,21.91309
18.317118,1000,35.674703
-4.044558,1000,38.987206
19.157069,1000,52.160499
-25.301887,1000,55.18655
-11.365034,1000,66.840505
23.19598,1000,70.362567
21.75281,1000,82.081091
21.509846,1000,85.592832
15.75835,1000,97.357098
24.797731,1000,100.288606
3.642342,1000,112.1062
22.140582,1000,115.39137
21.080498,1000,127.945646
24.919316,1000,130.885475
18.58463,1000,143.33608
20.912824,1000,146.448997
22.896371,1000,158.362664
21.692564,1000,161.710747
25.593505,1000,173.756445
29.336816,1000,177.162999
30.223508,1000,190.908209
27.644077,1000,194.85652
35.623231,1000,207.579909
29.073137,1000,210.773988
30.376511,1000,223.37973
39.680944,1000,226.432212
32.03393,1000,239.11647
44.61407,1000,242.612837
37.247705,1000,255.333854
31.833174,1000,258.580032
39.808693,1000,271.587149
36.673415,1000,274.691322
36.870919,1000,287.294162
41.64795,1000,290.371936
33.592269,1000,303.090291
40.878486,1000,306.14405
44.27929,1000,320.130652
47.857184,1000,323.759725
37.703802,1000,327.430133
45.255341,1000,340.154342
39.760378,1000,344.422426
43.886367,1000,357.130538
41.194959,1000,360.522366
39.289114,1000,372.908173
41.450795,1000,376.253418
41.079645,1000,389.465396
45.915311,1000,393.25252
47.975116,1000,406.972306
47.941945,1000,410.717713
45.206196,1000,423.570397
43.760907,1000,427.010422
45.476355,1000,440.390086
47.54075,1000,444.028663
43.495392,1000,456.472301
40.036094,1000,458.935612
44.19775,1000,471.364079
45.720821,1000,474.116561
44.725335,1000,486.905081
45.022877,1000,490.632811
50.954102,1000,503.819924
44.163488,1000,507.761403
40.692128,1000,521.308383
48.976942,1000,524.315933
34.003405,1000,536.66955
40.115503,1000,540.53412
46.56514,1000,552.590871
44.60794,1000,556.237516
34.248784,1000,568.721837
38.879185,1000,572.378398
44.65183,1000,585.154238
36.265682,1000,588.598238
46.063927,1000,600.458144
49.197893,1000,603.83859
51.197906,1000,615.892663
47.76226,1000,619.373709
50.372446,1000,631.609832
45.402031,1000,634.666416
48.109658,1000,646.942034
51.021983,1000,649.878927
50.581535,1000,663.109894
49.398504,1000,666.454653
59.81245,1000,670.13798
55.814057,1000,683.102483
57.164547,1000,686.573297
49.566533,1000,699.901274
49.984062,1000,703.338759
51.437748,1000,715.075094
60.733276,1000,718.131293
56.873072,1000,730.157827
