#{"env_id": "Swimmer-v2", "t_start": 1532083516.9439583}
r,l,t
2.148155,1000,3.089428
-4.261513,1000,6.18897
-1.549458,1000,19.119709
8.652928,1000,22.402353
0.683219,1000,35.47765
-0.355035,1000,38.54151
10.963321,1000,50.304609
16.728584,1000,53.694931
11.498974,1000,65.968934
28.549678,1000,69.235553
23.420508,1000,81.682263
18.569229,1000,84.97115
20.453992,1000,96.611598
23.322205,1000,99.977766
27.590735,1000,112.688107
21.986084,1000,115.701323
27.889532,1000,128.644228
21.609676,1000,131.990236
31.066224,1000,143.975023
20.551494,1000,146.999095
30.020635,1000,159.573425
32.578121,1000,162.838452
18.840401,1000,174.732198
21.533889,1000,178.018134
33.500722,1000,191.383416
24.250569,1000,195.210935
23.87077,1000,207.726486
55.9344,1000,210.938585
41.299174,1000,224.205736
26.010141,1000,227.437129
37.395687,1000,241.474738
37.526678,1000,244.779476
28.337077,1000,257.420627
39.240599,1000,260.281788
23.332993,1000,272.118729
37.176427,1000,275.130443
24.34199,1000,288.34319
22.756051,1000,292.213221
18.014895,1000,306.225762
38.243257,1000,309.5963
35.014652,1000,323.061119
5.242604,1000,327.098577
22.201162,1000,330.206833
35.663732,1000,343.10678
23.981294,1000,346.107515
5.798942,1000,358.406064
26.774995,1000,361.403851
37.463827,1000,373.634933
24.731369,1000,376.875224
35.737481,1000,390.174628
38.376824,1000,393.707457
39.411195,1000,407.235966
38.281049,1000,411.003244
21.750821,1000,423.667998
22.503477,1000,427.954297
42.216741,1000,440.250001
39.382091,1000,443.706477
38.512206,1000,456.677786
13.433957,1000,460.378134
38.20225,1000,472.936998
37.674088,1000,476.885727
26.081887,1000,490.01947
33.987235,1000,493.466805
32.692872,1000,506.71481
28.920495,1000,510.324144
30.955569,1000,522.662721
29.002895,1000,526.198579
32.210674,1000,537.94469
35.306293,1000,541.078459
35.787804,1000,553.525631
28.009652,1000,556.963902
35.897391,1000,569.090509
35.092301,1000,571.826929
42.762925,1000,583.863662
36.316381,1000,587.477951
33.497637,1000,600.839698
39.878116,1000,603.63119
29.244991,1000,615.980841
40.019188,1000,619.072037
35.971867,1000,631.628226
28.101945,1000,635.048333
38.281631,1000,647.425689
29.702787,1000,650.616331
37.66281,1000,663.000138
30.956037,1000,666.856538
42.913758,1000,670.078102
37.554046,1000,683.038298
34.811454,1000,685.919013
36.102736,1000,699.016088
38.781782,1000,702.687118
39.347598,1000,715.780092
36.317553,1000,719.292642
39.198797,1000,732.694381
37.308963,1000,735.698266
40.48043,1000,748.562078
36.281426,1000,751.841867
19.61698,1000,763.538676
36.665467,1000,766.936141
37.531828,1000,779.545835
39.009085,1000,782.974322
33.117959,1000,795.754975
38.53954,1000,798.727019
38.999286,1000,811.484114
39.243589,1000,815.098138
38.608348,1000,827.117921
37.388905,1000,830.759304
40.891965,1000,843.111383
40.925687,1000,846.793262
38.916808,1000,859.775971
36.966935,1000,863.015572
32.900847,1000,875.225176
35.188544,1000,878.380887
37.642409,1000,891.611806
38.308537,1000,895.078728
35.708284,1000,908.192849
37.038732,1000,911.408748
37.220305,1000,923.280209
37.333919,1000,926.356309
33.944509,1000,938.838731
38.553275,1000,941.62012
32.658857,1000,953.737724
39.095348,1000,956.981637
35.282052,1000,969.429816
39.73529,1000,972.419731
41.327769,1000,984.835097
39.43038,1000,988.031057
41.474913,1000,999.961295
36.090817,1000,1003.099286
39.891028,1000,1006.221686
38.508395,1000,1019.331474
38.692192,1000,1022.968954
38.967709,1000,1036.04751
40.377631,1000,1039.247625
37.580839,1000,1051.243216
36.378549,1000,1054.790763
38.525292,1000,1067.340513
35.287016,1000,1070.407517
37.118444,1000,1083.309084
40.874768,1000,1086.594928
40.646548,1000,1099.454032
35.465478,1000,1102.860881
40.143084,1000,1115.070944
37.407321,1000,1117.792233
38.781193,1000,1129.941413
41.378174,1000,1133.7261
