#{"t_start": 1535416781.6891367, "env_id": "Swimmer-v2"}
r,l,t
-11.761125,1000,0.604355
3.350534,1000,1.202383
10.29751,1000,3.666465
7.922108,1000,4.280723
7.655456,1000,6.580874
6.355549,1000,7.194933
12.051188,1000,9.288978
2.446508,1000,9.904712
6.399507,1000,12.00757
2.947526,1000,12.625161
14.35087,1000,14.728495
0.537358,1000,15.350759
19.410932,1000,17.453903
13.391043,1000,18.074713
10.821478,1000,20.181378
1.214714,1000,20.8031
22.473561,1000,22.910893
-3.389171,1000,23.532173
15.667065,1000,25.638392
6.979517,1000,26.261154
-1.836077,1000,28.393066
3.090894,1000,29.024119
-1.168967,1000,31.162408
2.365749,1000,31.794021
8.203739,1000,33.910947
15.773465,1000,34.542769
13.939705,1000,36.888454
14.468846,1000,37.509885
1.522195,1000,39.788527
15.328974,1000,40.413989
6.999988,1000,42.530905
4.379773,1000,43.155963
9.435955,1000,45.259807
9.660015,1000,45.8835
-1.690208,1000,47.998551
1.782475,1000,48.622012
8.618219,1000,50.817622
-12.031824,1000,51.443154
-5.169833,1000,53.543541
1.293838,1000,54.169306
-9.221083,1000,56.276482
6.821256,1000,56.903162
10.553827,1000,57.52918
14.960144,1000,59.626082
10.204802,1000,60.251168
14.502891,1000,62.356991
9.809854,1000,62.981598
-4.554655,1000,65.08396
15.376081,1000,65.710076
-18.320214,1000,67.818611
-7.825554,1000,68.444359
-11.425766,1000,70.549959
-22.735818,1000,71.172099
-2.108412,1000,73.276902
11.914861,1000,73.903059
15.071963,1000,76.009178
0.720266,1000,76.635484
-0.570876,1000,78.743052
11.200942,1000,79.370019
-9.198379,1000,81.474028
15.223189,1000,82.099968
16.392156,1000,84.205464
0.612247,1000,84.843579
12.431252,1000,86.974311
15.708399,1000,87.598597
14.445724,1000,89.70456
13.37885,1000,90.33271
20.78569,1000,92.439831
14.917563,1000,93.066545
22.057981,1000,95.178167
-11.432699,1000,95.805449
-0.887073,1000,98.174413
25.132034,1000,98.82142
-14.440144,1000,101.200572
20.245857,1000,101.824498
18.886221,1000,103.994683
20.532007,1000,104.619531
17.351815,1000,106.857335
13.474519,1000,107.482161
17.982157,1000,109.590136
7.790808,1000,110.211808
19.523431,1000,112.320956
24.889788,1000,112.944757
19.140769,1000,115.055035
30.681397,1000,115.679117
28.023182,1000,116.303118
25.684017,1000,118.470689
25.872315,1000,119.095841
24.928956,1000,121.238592
27.501263,1000,121.871083
22.461338,1000,123.988178
