#{"t_start": 1533158296.0558114, "env_id": "Swimmer-v2"}
r,l,t
-28.611319,1000,0.645119
-7.326793,1000,1.262217
8.653316,1000,4.185408
8.173958,1000,5.164592
4.829406,1000,7.834037
-1.546422,1000,8.634486
10.417167,1000,11.644862
7.463445,1000,12.290643
11.007412,1000,15.084137
26.008186,1000,15.862298
13.394735,1000,18.358547
5.887929,1000,19.097334
25.412149,1000,21.993789
10.947514,1000,22.661092
23.975132,1000,25.524573
8.830841,1000,26.391029
11.995958,1000,29.550752
5.380558,1000,30.349843
6.184938,1000,33.617674
0.991516,1000,34.45855
6.955583,1000,37.326025
6.084183,1000,38.154599
9.652186,1000,40.931128
-1.964653,1000,41.754998
16.75409,1000,44.087491
7.178285,1000,44.846996
19.747014,1000,47.981736
13.53865,1000,48.824853
15.355208,1000,51.943713
-0.119671,1000,52.789536
11.002532,1000,55.706968
6.712335,1000,56.559925
20.68899,1000,59.62342
12.76063,1000,60.4789
-2.863258,1000,63.548408
22.696921,1000,64.326956
13.514662,1000,67.236161
21.266062,1000,67.95611
0.012266,1000,71.016203
17.881067,1000,71.882491
20.305626,1000,75.109308
22.486816,1000,75.8478
24.932753,1000,76.615796
20.664343,1000,79.624734
24.275083,1000,80.418489
25.471002,1000,83.091375
20.181007,1000,83.954006
22.727796,1000,86.768899
17.898373,1000,87.533614
20.565913,1000,90.120582
23.241432,1000,90.918152
21.748328,1000,93.936991
12.971893,1000,94.762391
24.540225,1000,97.986411
0.124755,1000,98.896756
12.993199,1000,101.868419
25.692373,1000,102.688334
24.429347,1000,105.861554
22.892609,1000,106.515928
12.928028,1000,109.335814
18.534979,1000,110.01201
19.170973,1000,112.997982
12.395044,1000,113.665024
26.740691,1000,116.287493
27.82199,1000,117.038678
30.084725,1000,119.861696
26.059369,1000,120.566265
27.289336,1000,123.464012
25.329148,1000,124.306391
30.85892,1000,127.128663
34.414992,1000,127.858149
37.725239,1000,130.652966
36.446284,1000,131.387205
34.263777,1000,134.277195
32.811309,1000,135.027664
35.907274,1000,137.604162
33.664771,1000,138.245656
37.489164,1000,140.705228
18.840078,1000,141.428048
40.577922,1000,144.269535
34.011661,1000,145.147743
33.667067,1000,148.237019
37.690915,1000,148.876014
34.847353,1000,151.391792
28.898393,1000,152.036332
5.911335,1000,152.865994
7.95756,1000,155.981719
35.454371,1000,156.742652
5.962895,1000,159.784328
25.793677,1000,160.609453
31.411851,1000,163.257699
21.929235,1000,163.983765
27.335253,1000,167.034308
40.710236,1000,167.779651
41.5828,1000,170.851396
28.554119,1000,171.626685
37.084218,1000,174.478989
30.913082,1000,175.229374
36.554246,1000,178.33823
35.742115,1000,179.128932
35.053887,1000,181.979544
40.336677,1000,182.843952
44.42602,1000,185.735822
36.365132,1000,186.576489
44.750578,1000,189.068274
37.563694,1000,189.826396
35.179818,1000,192.876034
41.764457,1000,193.71559
38.796785,1000,196.663955
43.25599,1000,197.516331
41.909399,1000,200.791462
38.765729,1000,201.51932
40.02439,1000,204.676825
39.969644,1000,205.392938
39.731184,1000,208.312803
37.891221,1000,209.086939
40.026708,1000,211.961782
43.267673,1000,212.708251
28.76311,1000,215.554626
42.582275,1000,216.302139
39.606992,1000,218.984971
37.185517,1000,219.726699
37.634939,1000,222.827733
41.033707,1000,223.65286
46.084432,1000,226.111799
46.78643,1000,226.867075
43.573604,1000,229.576991
35.579749,1000,230.315641
39.405307,1000,231.095472
37.351882,1000,234.359627
44.289938,1000,235.166755
32.38178,1000,238.21787
43.119832,1000,239.086848
37.318338,1000,241.785229
39.292212,1000,242.536177
28.684114,1000,245.259472
40.586511,1000,246.076955
33.723369,1000,248.809794
39.634827,1000,249.622672
43.185263,1000,252.439016
40.831983,1000,253.108874
45.432937,1000,255.847204
43.969184,1000,256.528017
42.47934,1000,259.035875
40.818116,1000,259.714909
42.04979,1000,262.223764
42.041005,1000,262.952133
44.143063,1000,265.617806
37.602216,1000,266.352455
40.394956,1000,268.962172
44.103173,1000,269.633708
45.406051,1000,272.314861
44.851974,1000,272.973885
42.077786,1000,275.531068
43.038107,1000,276.364187
39.1838,1000,279.63997
44.488291,1000,280.486855
35.566106,1000,283.442748
46.987889,1000,284.108474
40.613327,1000,286.922679
41.225521,1000,287.667013
45.169701,1000,290.613044
43.253491,1000,291.259221
42.47471,1000,294.266661
43.028238,1000,295.006825
42.6204,1000,297.755681
51.011082,1000,298.494033
46.319679,1000,301.243967
45.178389,1000,301.956769
46.652138,1000,304.896372
50.875744,1000,305.799853
53.160066,1000,306.626912
52.654197,1000,309.160316
52.666434,1000,309.926105
58.567198,1000,312.83853
57.535412,1000,313.512058
57.174135,1000,316.618489
59.104564,1000,317.413871
59.426243,1000,320.304731
57.81051,1000,321.053201
55.282633,1000,324.146906
52.37427,1000,324.903359
57.768013,1000,327.610418
65.789883,1000,328.343791
60.68687,1000,331.362755
64.813452,1000,332.13421
60.939181,1000,335.060562
61.990299,1000,335.808774
60.695645,1000,338.563514
61.069666,1000,339.371293
63.151377,1000,342.205992
64.159771,1000,343.02748
56.624349,1000,345.797373
64.47212,1000,346.498877
68.549093,1000,349.289108
66.307778,1000,350.035908
65.099464,1000,353.115512
63.832869,1000,353.873495
67.293935,1000,356.493202
63.276337,1000,357.312143
66.354017,1000,360.30491
65.838091,1000,361.054287
67.764185,1000,364.142534
69.75237,1000,364.984157
71.063801,1000,367.639108
68.890469,1000,368.456123
67.098632,1000,371.199465
72.561597,1000,372.058333
67.153782,1000,374.708154
75.355171,1000,375.354881
72.031886,1000,378.189022
69.435355,1000,378.89687
68.283368,1000,381.639613
77.077902,1000,382.319102
73.453078,1000,383.039699
68.988977,1000,385.86673
69.431409,1000,386.721254
76.065639,1000,389.589295
79.21217,1000,390.329839
77.43181,1000,393.230838
73.241538,1000,393.980184
74.402425,1000,396.554701
76.021055,1000,397.260847
76.141744,1000,400.048996
86.78585,1000,400.802426
82.960847,1000,403.586555
74.187094,1000,404.317826
80.284745,1000,407.241187
88.163643,1000,408.004948
83.136808,1000,411.207788
79.122157,1000,412.019012
85.080098,1000,415.186779
77.631399,1000,416.031831
76.089091,1000,419.177652
78.653706,1000,419.951766
77.119446,1000,422.73372
87.503454,1000,423.48857
82.754955,1000,426.119617
27.561198,1000,426.943371
81.594747,1000,430.143149
78.578034,1000,430.988177
83.478038,1000,433.836458
87.053727,1000,434.546236
87.069728,1000,437.316383
