#{"env_id": "Walker2d-v2", "t_start": 1532064075.846773}
r,l,t
8.342212,24,0.064712
-0.655146,15,0.104378
0.186827,12,0.131578
-0.150977,28,0.190085
5.0497,34,0.263807
-3.976348,7,0.278643
-4.285041,18,0.320432
1.074409,15,0.358545
-1.128542,12,0.423418
2.65305,35,0.540993
-0.709971,20,0.58167
-1.579272,9,0.60077
6.789454,33,0.668165
-2.320378,12,0.693943
-3.393844,15,0.72555
-6.120157,11,0.748659
-0.350202,13,0.776859
2.654898,37,0.854057
-2.208487,9,0.872864
-3.167197,7,0.888077
-3.884829,8,0.905367
-5.226281,25,0.955442
-4.471169,10,0.976048
-12.634328,62,1.091009
-4.405351,8,1.106505
1.126687,11,1.127242
2.190334,14,1.152228
-5.455925,16,1.182689
-8.60112,17,1.215268
-1.655319,9,1.232771
0.165823,14,1.259076
-0.149283,21,1.298862
7.690242,19,1.335285
-0.739609,11,1.356679
-2.93019,10,1.376298
-3.837924,21,1.416766
-3.996255,8,1.432588
-1.072129,9,1.4502
-3.18442,7,1.462862
4.482728,27,1.513873
19.628696,36,1.581187
-2.510893,14,1.608185
-2.075028,25,1.656104
-0.681138,14,1.695625
-6.64696,25,1.774051
-2.821932,9,1.814363
-3.580435,10,1.833382
-5.608282,23,1.876027
3.211395,15,1.902899
-2.543364,11,1.923928
-1.706748,16,1.975554
-2.138044,17,2.055487
-0.435135,24,2.144258
-6.954223,20,2.20719
-4.614289,9,2.224384
-5.199281,11,2.245127
-4.838755,13,2.274214
0.050123,19,2.309645
-1.43565,9,2.326099
-5.630215,12,2.348323
-9.298388,11,2.368717
-3.278932,10,2.395281
8.883923,30,2.471258
1.746052,13,2.494896
-2.695318,19,2.529897
-2.939049,12,2.552892
-1.847073,25,2.599818
5.841992,18,2.633704
6.897456,54,2.747606
-6.13186,15,2.792965
-0.67037,30,2.847314
-0.054796,26,2.895807
4.387213,19,2.944815
-11.378645,22,2.999306
8.540189,22,3.041012
2.076108,14,3.066805
-0.256098,30,3.122518
-3.40645,11,3.143412
4.162786,27,3.234038
-7.220624,13,3.283989
8.078979,27,3.336754
-3.415658,7,3.349755
-0.576971,13,3.388498
-2.961155,10,3.432334
-0.733411,12,3.485627
-2.053609,9,3.517845
-1.216627,16,3.577132
-0.473363,9,3.630311
-0.908221,13,3.675591
-1.959433,24,3.787885
-5.184404,23,3.882915
-4.89509,19,3.944669
-4.109426,27,3.995888
1.406154,17,4.028932
-0.467302,18,4.062996
3.734512,20,4.100523
3.512111,22,4.141914
3.042276,22,4.204799
-1.88424,10,4.23292
-1.595828,14,4.282689
-4.929618,20,4.331581
-3.8024,14,4.358062
-0.842437,11,4.379067
-6.207237,28,4.430979
-2.430387,11,4.451658
-2.15242,13,4.476821
-0.510406,15,4.504905
-2.611313,12,4.535992
-3.623104,6,4.54772
2.334684,22,4.608772
-8.99355,20,4.654258
-4.934702,13,4.679139
-1.330114,11,4.700403
9.788622,44,4.784757
0.740917,10,4.804319
-3.216177,10,4.823513
-0.949047,12,10.880386
-6.813939,13,10.906455
-1.571253,13,10.934575
-4.601033,6,10.947565
1.947125,21,10.98961
2.588278,28,11.044563
-1.206664,9,11.062939
-0.209933,19,11.100873
-2.212381,19,11.14053
-2.144638,22,11.187046
5.990607,33,11.26843
0.322905,11,11.310494
-0.629414,9,11.330681
3.679869,17,11.367305
1.448926,21,11.426986
5.693733,27,11.498595
0.774755,10,11.518508
2.910184,17,11.553009
3.728786,16,11.585892
5.60666,23,11.631987
6.570436,30,11.692744
4.015191,26,11.746185
1.45456,14,11.773751
9.613086,30,11.832262
-1.156274,22,11.875726
1.115271,33,11.940274
24.029611,54,12.041348
-5.26027,30,12.097025
-0.219297,31,12.153933
-8.411509,13,12.177896
1.040095,33,12.237212
-0.851533,10,12.256256
-2.103298,12,12.279309
10.773291,44,12.361491
2.562324,14,12.387686
0.966626,16,12.417677
1.843256,17,12.449759
1.306706,14,12.476552
6.299141,19,12.512307
9.337157,26,12.56198
-0.101431,9,12.579037
-1.439575,26,12.627705
-1.392312,26,12.677197
-1.077347,10,12.696252
-1.158104,9,12.712955
1.099969,16,12.743515
2.784962,22,12.785111
1.360369,12,12.808374
4.896665,31,12.867176
-1.029308,11,12.887928
2.907253,33,12.972375
2.313161,26,13.050504
-4.648724,8,13.076044
-4.091131,9,13.112311
0.951208,31,13.219522
-1.790829,17,13.257503
-0.208084,18,13.291773
5.102733,33,13.354416
6.950664,21,13.394399
-0.558183,34,13.46924
0.931261,18,13.523198
0.490042,23,13.591675
-5.848658,23,13.678406
-3.072468,28,13.769199
-3.534307,13,13.817432
3.283484,25,13.873464
2.771936,13,13.898224
11.303744,22,13.939312
-1.514485,13,13.964035
-1.445729,19,13.999146
1.473665,15,14.026677
0.77291,12,14.048968
2.377092,17,14.081106
-1.54113,11,14.102051
-8.455303,25,14.148936
-0.884519,19,14.185368
-3.977898,11,14.20658
-4.211257,24,14.25146
-1.543255,10,14.271135
-0.635115,9,14.288297
-3.125352,9,14.305737
-5.100891,24,14.350731
-3.7465,26,14.399972
-0.184985,20,14.437628
-2.186572,12,14.460629
7.16556,34,14.525446
1.361726,13,14.551145
1.782043,15,14.580519
-4.899311,9,14.598722
-2.723105,13,14.62408
-0.887585,15,14.653224
-0.025355,17,14.685908
10.446099,24,14.73217
-0.960787,15,14.761962
-1.886371,13,14.78753
-1.14477,18,14.822884
-5.830497,24,14.869476
0.691628,15,14.898386
-1.576274,12,14.921837
-2.274648,13,14.946936
-4.421316,8,14.962696
0.555692,9,14.987708
-0.26741,10,15.027093
0.126756,15,15.079866
-2.938239,10,15.118987
3.439907,26,15.21597
9.411962,43,15.327546
-3.787138,8,15.343294
-1.867733,23,23.049105
5.909711,21,23.1065
6.296331,26,23.172987
8.254174,30,23.241288
-0.99702,14,23.272894
6.803491,20,23.325561
-2.848965,24,23.380943
-4.089023,28,23.44924
-1.821486,16,23.484405
4.410731,20,23.528138
14.817342,75,23.71886
8.906046,25,23.839617
2.361206,20,23.911284
2.379426,15,24.006242
5.032556,23,24.122199
17.900672,35,24.287138
-1.662642,29,24.396127
5.286936,44,24.547418
13.900245,31,24.608486
6.362988,34,24.676078
0.439078,11,24.698043
1.604802,17,24.731381
11.888319,45,24.859815
-96.788246,162,25.210414
0.022095,93,25.44772
10.707536,53,25.589417
3.880251,23,25.632767
-9.067153,14,25.671633
-1.900016,9,25.689215
0.827247,25,25.73771
1.361787,28,25.791617
1.202707,17,25.825112
-0.421691,16,25.856681
-1.393886,15,25.886218
-1.759137,23,25.930794
2.525644,18,25.965262
1.347163,13,25.990449
-0.482028,14,26.018584
0.207973,12,26.042425
4.501807,14,26.069818
13.030272,42,26.151674
8.525601,21,26.190826
-2.932606,9,26.20901
3.734845,42,26.287477
5.605016,27,26.339533
-1.904537,9,26.357259
8.104023,37,26.429821
-6.79805,26,26.481138
6.256761,19,26.518666
4.137678,16,26.565695
11.875515,53,26.799613
0.960588,13,26.829318
1.737635,18,26.86406
2.457378,14,26.890932
-1.344007,11,26.911789
2.590204,12,26.935312
-4.918743,18,26.969553
-0.268305,29,27.025949
-0.526164,10,27.04559
0.022411,27,27.097868
3.168855,25,27.147772
8.204905,43,27.233743
13.618183,27,27.284613
0.858674,29,27.347723
-3.036174,10,27.37549
4.109454,15,27.411752
3.872117,18,27.475156
8.52241,22,27.529582
3.266998,51,27.627572
3.275142,39,27.703325
4.292781,37,27.774372
4.556254,21,27.815022
3.277102,16,27.846248
4.656021,19,27.883252
2.298775,37,27.954285
8.568553,34,35.182713
-3.109129,10,35.229918
-0.133969,23,35.33719
-1.679185,11,35.3863
-0.866083,10,35.425835
0.726332,20,35.504325
12.443934,33,35.597826
3.210795,13,35.622679
6.121023,37,35.701258
-0.066967,33,35.763381
9.184577,24,35.808469
1.349088,11,35.829734
8.820091,39,35.903676
-15.514803,85,36.065143
1.939105,15,36.093934
1.660369,11,36.114687
9.752942,23,36.158309
26.197333,56,36.264469
2.119298,49,36.35906
14.259042,33,36.442617
13.767249,30,36.537078
19.472113,57,36.680816
2.452238,21,36.720875
5.234732,33,36.782677
-2.462971,16,36.811997
5.298317,21,36.851647
3.854268,30,36.92594
-2.057134,9,36.943173
0.960204,13,36.967248
-1.561348,9,36.984543
7.745983,55,37.087052
-6.189741,8,37.102192
2.935494,15,37.12956
-3.423157,14,37.158856
-1.184044,11,37.194691
2.61291,28,37.279429
-3.042688,26,37.327411
1.096465,15,37.35588
5.153092,60,37.49579
2.213512,44,37.60076
-0.916595,20,37.66341
24.953877,77,37.83619
1.732623,79,37.985962
2.724222,13,38.0113
8.268521,56,38.117731
-6.554519,64,38.255889
10.790082,42,38.33664
3.425787,45,38.423631
0.443674,10,38.443436
-0.787006,49,38.557071
0.443187,26,38.614841
2.635883,20,38.661211
-17.942513,98,38.896688
10.477384,39,39.038201
-2.622251,29,39.118616
14.345585,36,39.190545
4.718918,21,39.231346
25.900346,57,39.381168
7.744497,20,39.424614
19.524274,28,39.477924
10.974043,65,39.609639
8.44591,43,39.739787
26.719057,58,46.50995
17.122064,28,46.562204
1.960934,15,46.590129
2.988351,60,46.752225
-2.782687,14,46.810071
4.837136,15,46.875401
-0.811621,15,46.944474
19.785089,42,47.022492
13.622193,43,47.141187
-2.893066,13,47.166431
-26.857079,144,47.435114
25.216179,51,47.529482
3.419578,19,47.575243
-3.580908,9,47.600882
6.441977,78,47.824692
10.021296,20,47.863227
1.078902,10,47.882152
9.742195,32,47.943207
14.486574,37,48.035773
28.042217,46,48.147253
-0.170398,10,48.17423
4.861899,32,48.262938
35.332516,46,48.351958
17.635255,37,48.451321
3.796809,22,48.500562
3.603,17,48.545122
52.531955,71,48.739333
13.22936,24,48.789371
6.703604,20,48.852627
10.705034,67,49.107264
4.039142,24,49.184291
40.099886,114,49.49145
-11.887379,34,49.586705
1.075106,13,49.610996
26.259539,34,49.699249
9.231087,24,49.765312
14.953356,29,49.85272
29.745508,52,49.950974
6.421681,25,50.006928
13.765928,47,50.098796
11.978219,27,50.153513
0.819433,17,50.186571
12.46336,29,50.241943
-0.576599,12,50.265279
4.824627,25,50.31319
5.093979,35,50.38781
9.47439,24,50.478182
1.445334,17,50.533686
3.254972,23,50.578474
-3.484503,22,50.621202
3.4525,19,50.660304
10.713988,38,50.733212
-8.928636,17,50.770254
2.20972,18,50.806457
12.235217,28,50.861
11.409708,56,50.975161
1.591745,10,50.994818
-14.749761,75,51.224457
4.448346,36,51.323657
12.344296,78,57.994865
56.319547,50,58.0879
5.064142,35,58.155586
1.723662,13,58.180532
-24.101125,84,58.333939
30.31883,39,58.405259
32.755418,55,58.507223
16.7455,37,58.576297
2.117232,78,58.725836
1.725776,17,58.758173
25.834801,66,58.907842
38.008764,59,59.019687
30.045505,48,59.110115
5.457484,27,59.163739
4.277839,18,59.19935
-1.644215,10,59.218508
-13.410153,61,59.335552
-25.104588,90,59.589142
11.678186,38,59.663748
6.778883,47,59.767773
14.966049,44,59.854507
73.959106,71,59.992261
15.376148,31,60.079326
4.340096,16,60.120417
6.56028,99,60.396231
13.279413,52,60.536987
-2.151409,11,60.562656
15.63,48,60.680692
19.743809,38,60.754747
18.972726,33,60.823036
0.725507,10,60.8442
14.616752,42,60.96843
8.093915,26,61.019212
28.651327,60,61.138482
36.783336,46,61.227963
9.717642,34,61.293207
13.290688,52,61.393683
-6.351829,76,61.541357
2.954991,33,61.605279
30.895651,45,61.717606
21.636005,64,62.014906
10.660958,35,62.160048
15.492884,27,62.284365
24.931213,46,62.476415
21.073124,39,62.709339
14.82587,28,62.828872
-9.352544,139,69.809707
25.934902,54,69.915068
8.995224,22,69.957641
21.95542,66,70.083545
13.100537,97,70.329741
-0.477803,12,70.352794
32.280111,53,70.465859
-3.774608,9,70.5037
2.721317,13,70.552758
-9.870655,70,70.68857
5.557475,31,70.74827
-1.912814,11,70.768846
32.981718,48,70.858799
20.940601,49,70.952163
28.616903,57,71.061674
3.222184,35,71.129188
8.416095,18,71.164616
-2.877583,10,71.184624
12.340921,49,71.278856
51.466831,102,71.474591
23.94828,121,71.705895
12.110099,28,71.759838
10.148356,94,71.939373
-2.125509,11,71.960729
36.709419,65,72.082896
48.338554,70,72.213329
5.337254,28,72.28617
23.399087,76,72.573366
38.881211,70,72.864443
8.268743,48,73.062624
26.541978,43,73.154084
2.716427,85,73.344323
22.574532,52,73.443203
101.866207,127,73.677488
86.053436,130,73.976023
25.231729,33,74.052455
-2.207092,20,74.113564
2.214486,29,74.238051
2.474741,28,74.381837
11.842207,48,81.758092
16.428445,31,81.883413
20.118481,43,82.003946
-17.487917,88,82.270661
2.460384,32,82.333334
35.541596,88,82.551778
10.366854,29,82.609207
28.664508,42,82.695121
17.051831,128,82.960886
21.009023,41,83.076775
40.740117,114,83.352582
23.038833,56,83.46439
46.136264,66,83.593256
11.49248,61,83.716601
44.508094,95,83.954278
194.770318,182,84.47276
4.225708,66,84.606926
1.902944,91,84.782081
33.244661,86,84.991808
35.85838,64,85.226185
16.819914,37,85.296249
56.21214,100,85.515711
44.423432,69,85.662551
29.819525,45,85.74894
-18.564403,91,85.982134
1.90232,98,86.17014
192.506414,172,93.351717
15.142591,23,93.432836
1.329231,20,93.500312
305.168626,224,94.066531
3.362455,22,94.109061
24.89381,85,94.273065
-0.248383,78,94.423042
32.763423,61,94.540816
253.057964,226,94.975866
-15.249171,64,95.097641
6.62263,40,95.175358
2.304725,16,95.207248
18.217607,29,95.263976
155.813171,147,95.545679
66.808147,68,95.674435
-1.800153,11,95.697019
24.474505,31,95.755189
57.83364,59,95.866276
59.928265,121,96.093289
130.278652,145,96.36827
44.307748,60,96.480151
15.319269,29,96.53528
-52.381463,130,96.804116
41.595599,64,96.926889
1.952582,22,96.968387
7.050079,57,97.116602
139.466672,94,97.307822
21.557487,51,97.439429
-17.827313,85,104.205031
30.821907,54,104.335494
14.091647,22,104.386708
55.467556,64,104.54014
29.846117,66,104.696948
13.850906,88,104.91851
42.718183,88,105.124662
1.049934,12,105.161629
13.751485,30,105.233239
26.017976,77,105.429919
2.97532,112,105.68347
1.482002,18,105.732335
-54.35761,182,106.237683
4.18606,81,106.404208
4.491323,15,106.448457
251.552817,175,106.970756
164.225859,188,107.419915
37.572592,70,107.672752
227.204415,164,108.317944
15.017898,30,108.432386
96.68447,133,108.734923
34.620191,48,108.824286
18.169245,83,108.976375
71.741638,190,109.327759
11.650227,31,109.385532
6.114583,96,116.012958
156.079109,154,116.384384
243.157482,213,116.858523
40.640344,172,117.178841
9.285672,113,117.476149
212.778406,131,117.862522
52.834938,76,118.062915
43.689865,66,118.284178
16.517765,107,118.585001
22.310551,35,118.682819
170.090039,166,119.214898
18.166321,51,119.359816
28.908576,131,119.66519
35.51731,56,119.787581
102.426284,110,120.027176
-0.283681,62,120.147447
8.208785,222,120.686437
-26.613534,111,126.918487
56.991393,77,127.109136
17.774316,77,127.341421
47.069576,62,127.534797
84.79668,159,127.845923
14.937239,49,127.97314
19.579969,53,128.079597
29.46668,97,128.279641
4.281955,96,128.47665
41.714321,126,128.748891
69.62326,90,128.924232
274.782221,180,129.285188
-1.291694,63,129.408995
73.863483,139,129.702323
161.181534,185,130.120809
235.773245,162,130.445015
55.492822,110,130.714856
150.589829,99,130.912483
