#{"t_start": 1532064076.034593, "env_id": "Walker2d-v2"}
r,l,t
-1.340974,9,0.032825
5.801496,21,0.074839
-5.590074,26,0.12672
-11.140089,20,0.165328
-5.516634,7,0.183952
4.753428,20,0.23626
-2.417443,11,0.270893
-2.380253,15,0.326591
-11.140112,18,0.361082
-1.616664,11,0.382928
-0.009542,12,0.406852
-1.513741,9,0.424771
7.190354,23,0.469019
-1.816547,12,0.492311
-5.073812,22,0.534433
-2.478409,10,0.553781
-1.852895,10,0.573832
-0.814309,23,0.618553
-6.434987,8,0.634654
-3.818509,17,0.667074
-6.394424,9,0.684929
-3.021907,8,0.704747
-6.301181,9,0.74104
-3.503498,9,0.767612
-1.001425,12,0.791
-4.221977,7,0.804704
-2.963379,11,0.825408
-1.681541,25,0.873835
-4.944079,6,0.898478
-0.618148,22,0.964893
-2.537902,12,0.988352
-4.953994,8,1.003852
2.223075,14,1.029388
-1.109028,11,1.050447
-2.49367,11,1.071769
-5.265997,7,1.0855
-4.318434,10,1.104583
7.492058,32,1.163683
1.898233,16,1.193699
-6.99874,21,1.232554
-0.316148,10,1.251214
-3.278978,10,1.27007
-5.364628,9,1.287181
-9.229294,22,1.327598
-3.836807,23,1.369314
-5.918918,21,1.408134
-8.307214,19,1.444638
-5.064954,8,1.460344
0.702916,12,1.483458
-4.261633,11,1.504066
-5.545524,8,1.519877
-3.246938,8,1.535217
-4.262102,8,1.551139
-7.05497,11,1.571488
-0.873282,13,1.604795
-7.318432,14,1.640546
-3.655194,12,1.672516
-5.437177,13,1.69788
-5.615914,10,1.717494
-3.957772,9,1.734959
-3.151011,9,1.7528
-2.49949,8,1.768688
2.096158,14,1.82866
-10.64807,21,1.894634
-3.965453,8,1.910563
-3.678163,8,1.926808
-5.905188,17,1.964707
-3.455738,9,2.006534
-2.721453,25,2.126609
-4.75447,25,2.184594
-2.138704,9,2.202974
-4.670115,7,2.217367
-2.71474,12,2.24123
-1.516928,14,2.268084
-0.952035,12,2.291884
0.478899,19,2.328614
-5.651506,9,2.346837
-4.699497,8,2.362313
-0.060445,14,2.389493
-3.42706,7,2.403616
-4.562696,11,2.42617
-2.339857,9,2.444751
-4.994257,7,2.459524
-1.988893,10,2.479385
-0.650904,10,2.499385
-4.438545,9,2.51796
-10.424835,21,2.560655
-3.861245,7,2.575414
-4.188576,26,2.627457
-5.402045,10,2.647433
-5.370721,7,2.661353
-2.325067,16,2.691995
-3.302447,9,2.710419
-0.032809,26,2.760092
0.73797,10,2.779018
-1.79414,12,2.801447
-4.399439,8,2.817193
-7.288005,17,2.849693
-2.635124,8,2.864359
-2.349593,11,2.885718
-5.145419,7,2.899879
-2.296868,9,2.918165
-3.665158,7,2.932329
-1.835163,12,2.956222
-0.308386,12,2.978605
-5.145507,8,2.994393
-0.730431,11,3.016109
0.48575,11,3.037558
-6.127871,7,3.05117
-4.259443,11,3.072653
-3.962367,10,3.092273
-4.389092,20,3.129467
-1.709205,16,3.160998
-2.225664,26,3.210233
-2.206367,8,3.226475
-0.398165,22,3.26972
-9.448457,23,3.312744
-5.283119,19,3.348724
-3.112842,11,3.37037
-0.433967,14,3.39699
-5.274836,8,3.413035
-1.871912,13,3.446035
-3.244074,24,3.521846
