#{"t_start": 1532796520.5810978, "env_id": "Walker2d-v2"}
r,l,t
-1.633474,13,0.009408
-1.191933,31,0.026124
-2.387369,25,0.039539
1.828265,34,0.057757
-7.648878,13,0.064968
-1.689336,12,0.07153
6.488962,26,0.085287
3.822682,35,0.104014
-1.897184,16,0.112726
-3.207421,24,0.125541
-3.778694,15,0.133594
3.549977,29,0.149035
4.24093,26,0.162916
3.842847,13,0.169931
1.473205,14,0.17751
10.121752,24,0.190387
3.714045,13,0.197504
-6.673396,11,0.203503
-8.929311,12,0.209962
8.000469,25,0.223226
4.61618,21,0.23455
-4.763406,24,0.247408
-7.916821,40,0.268682
1.745004,12,0.275028
-1.061484,9,0.279867
2.902815,25,0.293212
-5.457013,30,0.309106
-5.04809,22,0.320909
-15.396028,16,0.32966
3.288215,22,0.341542
19.905373,37,0.361388
0.830668,22,0.373199
-4.186452,13,0.380299
-0.187801,20,0.391083
4.111845,19,0.401407
-3.694748,12,0.408118
-6.571805,24,0.420951
-7.009545,30,0.436987
0.099529,18,0.446897
7.69857,28,0.461954
-7.102094,23,0.474178
1.964642,31,0.49092
-8.574394,14,0.498669
-3.215529,25,0.512146
9.149114,24,0.524831
7.09573,22,0.536533
-11.056139,17,0.545673
-2.331527,17,0.555092
-7.185446,19,0.565298
-6.027165,9,0.570316
0.466932,13,0.577294
1.618334,19,0.587558
-10.964382,13,0.594694
26.637568,40,0.615963
-1.677887,14,0.623527
0.448431,16,0.632118
1.239771,18,0.641774
9.255905,25,0.655002
-4.813583,15,0.663196
-10.680712,18,0.672921
0.072615,13,0.680112
5.321724,18,0.689839
-2.042376,20,0.700607
7.489191,26,0.714574
-6.899533,14,0.722262
-0.65927,17,0.731455
1.052212,12,0.737995
-7.770484,16,0.746692
-2.807041,8,0.751076
-0.069923,14,0.75853
0.334206,20,0.769278
-4.728541,12,0.775792
-10.354112,15,0.783842
10.446331,23,0.795977
4.421481,24,0.80888
-6.337824,18,0.818496
2.273698,19,0.828781
12.042209,39,0.849725
-3.711461,14,0.85735
-7.456706,12,0.863963
-1.034216,16,0.872551
0.255438,21,0.883718
-4.939116,14,0.891411
-0.664947,11,0.897052
0.440498,14,0.904533
0.331428,15,0.91266
3.280809,18,0.922274
0.318148,12,0.928848
3.054588,22,0.940755
-1.040527,14,0.948447
5.438,27,0.962961
9.095264,18,0.972762
12.8681,26,0.986823
4.164435,20,0.997594
12.422174,33,1.015305
-2.509186,23,1.027705
-1.469056,12,1.034171
-5.426152,16,1.042832
-5.01204,10,1.04833
-4.231471,13,1.055414
-4.962903,20,1.066182
0.418609,17,1.075367
4.670207,41,1.097321
-5.839058,13,1.104388
9.369626,34,1.611535
-5.76647,21,1.62329
-4.383864,10,1.628818
-1.656789,26,1.643469
16.337781,31,1.660488
-7.639541,12,1.66729
-12.207432,16,1.676039
7.298323,25,1.689739
1.526769,15,1.698068
0.541524,16,1.706906
-5.506792,15,1.715154
-0.881292,14,1.722806
-9.144832,16,1.731714
-4.107578,15,1.740022
2.455012,12,1.746573
5.073105,25,1.760393
7.935575,19,1.770863
-4.1193,14,1.778754
9.246959,36,1.798477
6.112848,31,1.815516
-4.907174,14,1.823212
-0.122061,11,1.829248
1.227209,18,1.839097
-4.85643,14,1.846796
-0.134266,20,1.857882
-2.805163,22,1.869925
-2.247854,27,1.884759
2.566172,17,1.894095
-4.086348,25,1.907841
-3.610847,22,1.919926
-3.433112,20,1.930963
0.374838,23,1.943648
3.529488,30,1.960118
-5.228545,14,1.967775
21.555584,49,1.994403
3.636907,24,2.007771
1.254915,14,2.015496
-4.380335,24,2.028622
3.469651,12,2.035268
-1.197173,13,2.042389
-6.160612,11,2.048473
-1.706097,15,2.056574
12.995801,36,2.076233
1.449742,14,2.083924
-2.570249,14,2.091753
0.844304,14,2.099403
8.183858,32,2.11699
20.443802,35,2.136086
3.453175,18,2.146003
4.911965,15,2.154141
13.453951,40,2.175849
-1.00939,20,2.186746
3.015663,16,2.195657
-2.876467,15,2.203996
-0.845622,10,2.209704
