#{"t_start": 1533174001.0016017, "env_id": "Walker2d-v2"}
r,l,t
-4.735072,13,0.009486
-11.08694,16,0.018201
-8.729238,22,0.030428
4.838742,15,0.038832
3.422236,15,0.047153
-3.901277,24,0.060228
-1.939979,9,0.065273
-5.708644,12,0.071902
-0.278869,25,0.085449
-0.123321,11,0.091589
-0.633138,13,0.098647
2.34083,13,0.105783
-6.912762,21,0.117289
-5.583737,19,0.127576
-1.786993,32,0.144878
-3.318857,11,0.151018
-16.407671,17,0.160452
-10.370112,23,0.172949
-0.41863,10,0.178577
9.391973,18,0.188391
-5.545494,22,0.200341
-5.264518,9,0.205505
-1.902105,17,0.215008
-10.304793,21,0.226428
4.837159,15,0.234712
-2.58764,8,0.239209
0.804359,11,0.245317
4.123646,14,0.252885
-0.296042,11,0.258893
-7.003005,21,0.2704
-0.64623,10,0.275962
-2.805964,10,0.281613
-0.615774,8,0.286086
-6.931787,20,0.296935
0.457992,19,0.307345
-12.813354,15,0.315546
-7.967622,19,0.325843
0.157034,14,0.333585
-12.794724,20,0.344583
-4.253808,29,0.360233
-4.50785,12,0.366796
6.624219,26,0.380986
0.814251,28,0.396263
6.044057,18,0.406113
3.958017,15,0.414422
-13.646888,16,0.42326
-7.243962,11,0.42944
-5.709284,17,0.438864
-1.767801,9,0.443918
-0.710477,9,0.448919
-1.560408,8,0.453358
1.778356,16,0.462099
1.364024,26,0.476097
2.043688,33,0.494016
-3.454601,30,0.510391
-1.477894,15,0.518698
-9.812459,19,0.52907
1.187032,20,0.53982
4.355335,15,0.54809
-0.907095,9,0.553025
-10.66877,21,0.564503
0.539569,10,0.569969
-3.363734,22,0.581795
-4.870381,7,0.585676
-4.072972,12,0.592312
2.192299,11,0.598276
-11.684448,19,0.608653
-8.456403,23,0.621134
0.877961,14,0.628834
-14.96233,15,0.637091
-4.027081,10,0.642715
-8.740456,9,0.647923
1.52542,14,0.655767
-9.748805,20,0.66667
2.079989,14,0.674294
-11.185239,22,0.686239
-3.729592,9,0.691281
-5.208289,28,0.706613
6.683403,16,0.715436
-4.619422,27,0.730104
-2.00921,24,0.74317
-14.995161,17,0.7525
-12.778814,18,0.76246
-13.698491,18,0.772439
-3.785956,8,0.776932
-3.201052,10,0.782483
-2.327699,32,0.79968
-2.237271,12,0.806243
-10.384803,19,0.816489
-4.241331,14,0.824304
4.239452,17,0.833542
-0.564576,16,0.842456
-12.612235,21,0.853935
1.045276,10,0.859431
1.755898,14,0.867169
-12.000467,18,0.877
-8.264106,15,0.88528
-4.13159,25,0.898865
-0.02837,14,0.906611
-7.10989,17,0.915918
-7.47901,19,0.92627
5.044714,16,0.93503
-12.632214,18,0.944878
-0.907014,9,0.949854
-8.776535,22,0.961718
-0.923029,29,0.977742
0.061792,9,0.982816
1.985839,12,0.989398
-3.136773,7,0.993317
3.0984,20,1.00424
0.981042,10,1.009721
-6.685914,26,1.02399
5.429279,17,1.033351
-3.514827,12,1.040014
-10.251264,16,1.048688
-2.502357,7,1.052616
-5.29493,22,1.064728
-13.756215,16,1.07343
-5.12777,17,1.082783
-2.147711,17,1.092093
-10.195675,21,1.10358
-10.70145,21,1.114898
1.921155,12,1.12159
3.970131,13,1.67043
1.515036,16,1.680219
7.042151,20,1.691551
4.601682,21,1.703509
-1.56433,20,1.714839
1.763565,10,1.720523
-4.876394,14,1.728465
2.664868,12,1.735251
-2.795218,28,1.750921
-1.265716,8,1.755432
-1.414576,10,1.761086
1.266229,16,1.770173
0.143238,15,1.778734
2.867411,12,1.785526
0.514397,10,1.791186
-3.361751,33,1.809397
2.062038,13,1.816674
-2.806842,8,1.821246
-0.027163,11,1.827439
1.628035,11,1.833672
4.830154,17,1.843342
-9.796566,22,1.855615
1.350338,14,1.863581
5.159086,15,1.872062
1.398114,12,1.878921
-11.274613,16,1.887885
-0.001907,18,1.897937
-6.926768,25,1.911712
4.136505,15,1.920294
6.495364,29,1.936593
-3.03481,32,1.954543
-0.047854,15,1.962989
-5.396677,21,1.974766
1.526765,12,1.981527
4.88676,20,1.992666
-5.747801,24,2.006146
-0.705319,35,2.025766
1.460855,12,2.032619
10.904909,21,2.044394
1.92368,17,2.053985
16.412424,39,2.075799
-13.24394,14,2.083672
3.052932,14,2.09167
-10.563349,18,2.101872
-0.618479,23,2.114697
0.519127,10,2.120411
-11.878102,21,2.132226
1.749158,23,2.145243
4.425742,13,2.152716
3.574159,14,2.160583
-1.492271,18,2.170682
-1.998649,28,2.186456
0.141385,9,2.191522
4.036826,16,2.200618
-3.139905,14,2.208521
-5.605984,18,2.218866
3.748192,13,2.226168
0.773559,30,2.242944
-2.597592,14,2.250871
-7.808108,16,2.260127
0.208752,17,2.269707
-7.152856,23,2.28275
1.680051,15,2.291252
-6.473556,12,2.298118
-3.692671,23,2.311101
-2.530551,9,2.316345
-13.127904,18,2.326355
0.17576,19,2.337143
-2.519506,16,2.346271
-5.262526,16,2.355856
-12.409601,16,2.364976
-2.296392,10,2.370694
-6.218647,25,2.384602
-9.962964,20,2.395718
-7.229737,20,2.406809
5.189648,16,2.415828
1.062819,10,2.421475
3.410275,14,2.429369
1.70739,12,2.436147
-3.651265,31,2.453424
-9.817239,21,2.465076
-9.483292,22,2.47717
-2.284175,11,2.483476
1.094703,10,2.489101
1.889545,14,2.497121
1.474036,12,2.503901
13.245868,28,2.519569
0.013158,16,2.528679
8.56565,19,2.53944
-2.386197,14,2.547346
1.147276,15,2.555813
-5.187793,22,2.568107
-4.478846,8,2.572701
0.798447,10,2.578346
-1.460534,13,2.585649
-14.389445,22,2.598086
5.1557,15,2.606597
16.030195,35,2.626538
-2.083263,11,2.63285
-0.702095,13,2.640278
-13.977155,16,2.6493
-1.710435,27,2.664424
3.989522,14,2.672301
-4.367115,13,2.679644
2.329508,16,2.688637
-0.08461,11,2.694877
-3.090135,28,2.710537
-1.775605,24,2.724102
4.144367,18,2.734282
0.478898,14,2.742057
1.176782,18,2.752258
5.430053,27,2.767313
-12.762087,21,2.779133
1.908086,11,2.785367
3.016911,12,2.792125
5.389705,28,2.807808
-1.144107,9,2.812889
-6.446798,10,2.818608
3.678616,27,3.340737
-0.413153,10,3.347326
-4.608215,22,3.361192
14.1464,27,3.378302
0.323125,11,3.385505
0.41072,11,3.392545
8.764555,25,3.406983
3.807349,16,3.415938
1.061516,11,3.422112
2.319144,12,3.428831
4.622298,21,3.440454
6.928834,26,3.45492
-5.31888,10,3.460473
6.557841,22,3.472846
1.726402,11,3.479031
-13.82509,19,3.489583
-2.346119,11,3.495977
5.396753,23,3.508747
-8.633697,21,3.520496
6.847694,20,3.531673
2.90863,15,3.539966
-2.166489,11,3.546237
-3.97617,8,3.550815
1.977357,15,3.559246
-2.705923,10,3.565076
4.090824,13,3.572285
-1.986825,10,3.577967
1.816879,11,3.58419
-3.204578,24,3.597536
12.842844,21,3.609278
-11.910076,24,3.622642
1.345177,17,3.632153
2.076255,15,3.640537
0.325949,19,3.65113
-2.657664,27,3.666079
-5.029864,22,3.678326
6.712125,49,3.705305
4.468181,18,3.715547
-10.42048,19,3.726043
