#{"t_start": 1533446736.7368867, "env_id": "Walker2d-v2"}
r,l,t
0.760121,13,8.324443
-5.241143,13,8.353184
-15.040424,26,8.411463
-12.235459,14,8.444928
-7.964962,17,8.48836
-10.385193,12,8.518034
-7.181213,18,8.563842
-7.006845,14,8.59995
-11.976868,16,8.64107
-5.595043,10,8.666241
-12.073163,13,8.698959
-8.196509,13,8.732241
-9.477598,17,8.774151
-0.401696,27,8.842155
-8.569483,17,8.884834
-13.02037,19,8.933302
-3.376355,20,8.984611
-1.448534,9,9.00665
-5.424597,21,9.05981
-7.001185,17,9.102375
-6.071088,10,9.127501
-8.483229,15,9.165328
-8.175252,13,9.198405
-6.16179,21,9.250952
-9.168877,16,9.291512
-5.618433,20,9.342124
-9.33496,16,9.382625
-4.588788,9,9.405968
-2.752712,10,9.431293
-9.927108,13,9.463863
-4.964737,20,9.514318
-4.615199,11,9.541777
-11.097065,15,9.579364
0.282665,9,9.602649
-4.190004,15,9.641658
-9.109952,16,9.681808
-4.09557,9,9.704352
-8.097131,16,9.744887
-4.722557,14,9.781051
-7.028747,12,9.811382
-3.259297,19,9.859585
-10.576224,15,9.897781
-9.600473,14,9.933488
-10.016716,14,9.969111
-3.714659,15,10.007821
-7.743263,16,10.049039
-5.147394,10,10.075722
-6.931518,13,10.110045
-8.140243,15,10.148043
-2.980224,8,10.168452
-6.631103,11,10.196593
-2.415492,9,10.220076
-12.411811,15,10.258674
-10.008632,13,10.29171
-8.737986,17,10.334584
-10.282544,15,10.373423
-7.949579,16,10.415231
-3.554876,12,10.446569
-10.136171,15,10.484802
-5.986645,12,10.515392
-6.794739,11,10.543432
-3.198287,8,10.564396
-4.44506,18,10.610407
-5.175018,10,10.635205
-4.111704,12,10.664884
-11.010347,16,10.700097
-5.329263,11,10.724956
-8.366089,18,10.765488
-10.173936,16,10.800302
-11.501016,13,10.828558
-4.168836,11,10.85287
-2.631112,10,10.875762
-11.693683,15,10.909415
-3.10182,14,10.939114
-9.00705,15,10.972776
-3.154606,8,10.990799
-12.100927,16,11.026111
-6.463183,12,11.052628
-5.310944,19,11.095944
-8.947805,15,11.130524
-4.623636,19,11.174728
-9.377976,14,11.206875
-10.547807,13,11.236411
-2.195549,11,11.261059
-1.063209,10,11.283846
-2.48156,9,11.303651
-3.431912,11,11.328392
-7.29784,16,11.364092
-1.149213,8,11.382114
0.156631,11,11.405878
-11.060707,13,11.436859
-2.90612,12,11.463328
-0.473473,10,11.485386
-11.25663,16,11.52178
-2.38831,10,11.542548
-2.09199,15,11.576181
-0.986828,9,11.596012
-5.45783,18,11.636147
0.77752,11,11.662202
-10.743424,14,11.694511
-9.821474,15,11.727805
-10.482601,15,11.761384
-4.057941,20,11.806834
-1.954266,20,11.852867
-8.918098,15,11.887132
-10.588162,17,11.926421
-7.468077,15,11.959464
-5.535654,18,12.000605
-9.498121,16,12.038401
-3.073863,7,12.053924
-4.994486,12,12.081989
-9.108536,13,12.111147
-5.870872,16,12.149062
-2.198587,8,12.167128
-10.334509,15,12.198789
-2.756395,16,12.23298
-0.832371,10,12.255831
-5.072902,13,12.285038
-1.634688,9,12.305627
-3.332591,7,12.321522
-2.299262,10,12.344925
-6.598895,18,12.384942
-5.04726,12,12.412054
-7.106936,17,12.448842
-5.835554,20,12.494563
-10.407057,19,12.538682
-7.445513,17,12.576761
-8.736782,15,12.610693
-12.481365,17,12.650384
-9.874609,15,12.685396
-10.489422,14,12.719285
-0.647133,9,12.739739
-5.867156,10,12.764761
-8.21526,14,12.798423
1.278157,13,12.831439
-5.821369,17,12.871989
-1.944787,10,12.896359
-10.278315,15,12.935163
-7.652909,17,12.977197
-9.314547,15,13.014328
-8.053064,16,13.053509
-9.101413,17,13.095946
-4.754888,9,13.11773
-8.520565,15,13.154408
-7.777536,15,13.190675
-2.884964,15,19.276267
-2.196525,12,19.306239
-1.221875,8,19.32664
-3.894911,8,19.347109
-6.79501,9,19.37002
-3.832975,7,19.388228
-1.26284,21,19.440677
-5.146885,18,19.486238
-7.816365,18,19.532015
-5.292151,12,19.561777
-6.492364,19,19.60982
-1.623239,10,19.634571
-9.653268,15,19.67192
-5.14024,9,19.694893
-6.171803,19,19.742341
-9.850108,16,19.781886
-10.115833,15,19.818646
-0.078228,10,19.842589
-0.118781,9,19.86518
-3.570961,8,19.88477
-1.074705,11,19.908623
-0.579642,10,19.930152
-8.829319,14,19.962193
-5.342167,16,19.998014
-10.858708,17,20.036632
-8.946411,17,20.075121
-9.403718,17,20.11095
-9.880339,15,20.145561
-9.176384,15,20.178058
-6.228886,10,20.199685
-3.647075,11,20.224964
-2.669278,8,20.243659
-2.514102,11,20.269119
-1.678681,9,20.289219
-1.731123,11,20.31458
-8.279051,14,20.347878
-10.71826,15,20.38133
-1.603337,11,20.407238
-3.302337,11,20.43262
2.323913,14,20.465448
-10.286172,16,20.501767
-1.968645,10,20.524452
-8.763224,18,20.563977
-8.022225,15,20.596602
-7.549098,16,20.632664
-4.59595,10,20.655577
-9.234314,18,20.697146
-10.923578,15,20.731659
-7.809129,14,20.762793
-5.221003,9,20.781476
-4.035537,9,20.801844
-8.588767,15,20.83512
-9.321256,16,20.872914
-2.404945,9,20.892313
-12.499759,15,20.926719
-3.367652,11,20.954008
-5.590472,10,20.976719
-6.592643,14,21.008425
-0.775893,14,21.039558
-3.13276,10,21.062313
-8.773453,19,21.108352
-8.886217,16,21.144262
-10.405095,17,21.182143
-6.192211,17,21.219738
-7.691067,18,21.258831
-4.700499,18,21.299944
-3.705943,12,21.32532
-12.346552,15,21.358701
-2.405665,10,21.380703
-5.710723,21,21.429111
-11.030347,15,21.462662
2.308533,11,21.487041
1.486239,23,21.53781
-10.957239,15,21.570851
-11.261244,13,21.599874
-9.850144,15,21.633104
-1.893165,7,21.648015
-1.472695,8,21.666561
-8.353656,16,21.702034
0.563714,13,21.731652
-0.053594,10,21.752906
-7.551675,18,21.792662
-14.981239,15,21.827977
-10.320604,18,21.867339
-7.872157,15,21.902241
-8.649409,19,21.946623
-5.734988,7,21.962781
-1.538424,10,21.986027
-1.169969,13,22.014992
-5.07693,11,22.039586
-3.110213,16,22.074767
-0.245409,10,22.097713
-10.344379,15,22.130647
-3.226781,19,22.173068
-1.918698,9,22.192994
-7.84778,16,22.2297
-1.201135,9,22.250002
-10.66865,15,22.283614
-4.850505,9,22.303468
-4.505621,21,22.34685
-6.150959,9,22.368133
-0.24232,11,22.392583
-3.015321,8,22.410701
-6.937431,17,22.446313
-5.694663,15,22.477239
-2.687881,11,22.500151
-9.841597,16,22.53274
-1.017859,9,22.551491
-6.316957,17,22.585976
-1.986472,8,22.602497
-9.752639,12,22.628794
-3.101049,11,22.652467
3.60062,19,22.694691
-6.350833,19,22.736702
-4.298143,8,22.754676
-4.882919,15,22.7877
-5.285934,17,22.825269
-5.927592,17,22.863061
-9.114259,16,22.898391
-1.880788,8,22.916159
-2.776712,11,22.940843
-2.704901,12,22.967092
-1.819035,11,22.991967
-9.716933,14,23.023592
-8.662705,15,23.056792
-2.12803,12,23.083135
-7.253005,19,23.12517
-10.543002,15,23.157788
-2.061611,8,23.175078
-7.289791,15,23.208567
-4.906914,18,23.248424
1.127159,11,23.275084
-2.377394,12,23.300873
-5.409081,16,23.334185
-12.02473,15,23.361792
-2.577639,14,23.387506
-10.545002,14,23.41333
-8.556296,13,23.437192
-8.832397,16,23.467538
-4.106998,12,23.492303
-4.428974,14,23.520852
-4.821203,11,23.543904
-10.33843,15,23.575652
-7.26246,16,23.609801
-10.803787,17,23.645825
-4.155348,14,23.676032
-8.530199,16,23.710226
-1.612882,11,23.733584
-6.902319,18,23.774464
-2.873694,18,23.814839
-7.749003,18,29.891259
-2.476236,17,29.929833
-8.633851,17,29.968391
-3.611826,16,30.00498
0.177474,20,30.052747
-1.804361,18,30.096732
3.59122,21,30.14822
-1.703537,10,30.172421
1.814762,14,30.206657
-8.844051,18,30.25047
-8.774886,12,30.280146
2.41368,13,30.312708
-10.517944,14,30.346302
-9.199489,15,30.382549
-1.781403,7,30.39961
-3.442775,18,30.443305
-4.505163,19,30.489509
-11.24759,16,30.527608
0.164895,15,30.563456
-1.503117,9,30.585205
-2.78187,8,30.603728
-3.923678,19,30.650052
-2.206989,10,30.674493
-2.907091,17,30.715551
-10.306365,19,30.761504
-10.502878,16,30.799768
-0.562014,13,30.831187
-5.008518,17,30.873514
3.882031,21,30.924145
-0.256706,11,30.950213
-6.653741,16,30.98946
-0.844472,9,31.011713
1.694529,12,31.040798
-7.752474,16,31.079879
0.752541,15,31.1169
0.152669,11,31.143126
-3.370825,9,31.165867
-6.880627,15,31.203284
-9.499543,15,31.238936
-6.514219,17,31.280278
-4.219452,24,31.337148
-1.940476,9,31.359264
-6.137665,17,31.40092
-6.072281,12,31.430341
-3.421918,13,31.461698
-7.950364,20,31.510377
-0.672823,9,31.532368
-8.066514,16,31.570656
-3.71534,7,31.587505
0.747279,11,31.614412
-8.736017,17,31.655494
-6.594088,16,31.693542
1.403093,18,31.736349
-8.035228,17,31.777495
-1.701415,9,31.799666
0.825098,19,31.846163
-5.631158,20,31.894952
-8.385398,17,31.936847
1.478672,15,31.973936
6.485679,31,32.050257
0.722766,17,32.092196
-9.676257,18,32.136079
-1.540591,12,32.165002
0.394258,11,32.191778
-5.468715,11,32.218411
-6.67968,21,32.269423
-1.907242,11,32.295898
3.688502,19,32.34148
-5.755918,25,32.402465
-3.516391,15,32.439333
-8.476696,17,32.481387
-8.488286,15,32.517463
0.493474,13,32.549329
-2.217798,8,32.56825
1.771106,15,32.604401
-5.313759,20,32.653188
-6.228901,13,32.684947
9.34685,26,32.748232
-8.997923,16,32.786928
-6.55576,17,32.828704
-3.534351,9,32.851155
-6.594006,18,32.894398
-6.516451,23,32.94962
-2.792002,7,32.966708
-0.630483,9,32.987922
-4.050485,24,33.045729
0.328472,14,33.079349
-1.731585,16,33.118019
-9.410854,16,33.156272
-0.790226,8,33.176265
-3.275673,19,33.222896
-3.977176,20,33.27089
-6.168753,16,33.310214
-4.011228,9,33.332524
-3.848976,9,33.354631
-8.900937,19,33.400288
-6.879565,17,33.441244
-7.444907,18,33.484325
-5.518507,16,33.523657
-5.977772,19,33.56988
5.213144,21,33.620886
-1.06942,18,33.664287
-0.045445,18,33.709198
-0.772348,10,33.734234
-5.229378,10,33.758718
-5.353422,18,33.802718
1.288618,11,33.830138
-4.187526,8,33.850101
-3.842579,9,33.872176
-1.983953,8,33.891461
-0.112922,9,33.914405
0.436051,13,33.945968
-1.743474,21,33.997378
-4.056678,14,34.032169
5.601833,16,34.071831
-3.233164,11,34.098342
-1.951648,9,34.119997
-1.214614,9,34.141851
-4.163074,9,34.164434
-4.034136,20,34.2131
-8.609682,21,34.26468
-3.522266,11,34.290893
-2.378041,11,34.317499
0.011623,16,34.35699
0.983402,13,34.389027
-4.504588,19,34.436538
-2.600099,8,34.456866
-8.390158,18,34.503782
-7.648095,21,34.557919
-7.217157,20,34.608889
-1.949902,8,34.629181
-3.946306,12,34.658901
-8.692353,17,34.702216
-7.38054,12,34.73287
-6.4288,18,34.777453
-2.888577,20,34.827558
-14.336561,15,34.864574
-9.853291,15,41.006886
-4.288414,11,41.032014
-1.210511,9,41.052965
-7.661763,15,41.08796
-8.699549,17,41.126841
6.701049,24,41.185642
-6.848092,19,41.231958
-7.375536,17,41.27398
-1.499131,20,41.32337
3.40742,24,41.382794
-1.653896,9,41.405055
-13.484772,15,41.441993
-3.734489,22,41.495266
-6.065822,16,41.533924
-6.314356,15,41.569659
0.784647,11,41.595962
-4.542881,18,41.640081
-2.843123,9,41.662819
-6.380666,17,41.705642
-6.578048,17,41.747996
3.407422,20,41.797807
-5.156284,10,41.822086
3.998314,26,41.883573
-0.195862,10,41.907543
-2.527523,8,41.927104
-2.120417,15,41.96338
-0.240517,10,41.987821
-3.421599,9,42.009682
0.98962,14,42.042792
-9.494766,18,42.085683
-3.749546,9,42.107422
0.355071,11,42.131533
0.5513,13,42.1612
0.913861,22,42.210005
-1.03047,10,42.233328
-0.220783,14,42.26531
-0.477471,10,42.288033
0.572052,25,42.345306
-1.632167,9,42.366167
-0.581275,13,42.396229
-0.638045,10,42.419254
2.418696,21,42.467687
1.032844,12,42.494005
-2.567216,41,42.584494
-5.54005,20,42.630616
-2.957101,19,42.671992
-1.758697,16,42.707532
-4.897503,23,42.75881
-9.381968,19,42.800611
1.644052,21,42.846856
-3.066971,9,42.86699
-1.633356,13,42.895556
-0.547791,9,42.915502
2.419366,12,42.943127
-8.221901,18,42.984649
-8.076808,17,43.023619
-1.44974,8,43.041297
1.036425,27,43.102813
-11.610971,16,43.138986
0.255005,10,43.162095
-4.570393,16,43.198462
1.78477,14,43.230505
-3.163728,15,43.264423
-0.672986,9,43.28506
-11.145019,20,43.330604
-3.467219,9,43.351261
-1.556373,13,43.381106
-0.359906,9,43.401438
-2.835147,8,43.419872
-7.328217,20,43.465485
-2.983477,8,43.484856
-7.377188,19,43.527981
1.882003,12,43.555329
-2.738282,19,43.599179
0.625591,11,43.623714
4.771697,18,43.663212
-0.840312,18,43.703236
-1.157532,21,43.749531
-0.303693,15,43.782631
-2.826981,10,43.803812
0.289992,9,43.824153
2.604528,14,43.854688
1.560385,14,43.885392
0.356552,20,43.933219
-0.325529,9,43.952462
-2.522388,7,43.968266
0.254948,10,43.990067
1.436003,12,44.015754
-2.33205,21,44.061448
-0.057359,10,44.08392
-0.05385,15,44.117308
-10.189748,15,44.149667
-7.660237,16,44.185009
0.56632,15,44.217708
1.03797,11,44.242218
-5.991804,19,44.283331
-11.426959,18,44.322426
-2.14555,17,44.360381
1.658713,21,44.404968
-3.502622,8,44.423857
-7.888708,18,44.463617
-7.452645,20,44.506963
-8.419305,18,44.549557
-2.617213,7,44.564342
-7.441951,17,44.600856
2.873185,18,44.640929
3.406717,16,44.676352
-2.554863,9,44.695313
-6.297957,9,44.715062
-9.048929,16,44.750156
0.937743,14,44.780297
-5.441287,21,44.81865
-3.412582,21,44.864594
0.190652,12,44.890927
-3.492257,19,44.932714
-1.249383,8,44.949986
-3.547896,18,44.990374
-1.742796,13,45.018784
0.476622,13,45.047927
-0.787427,11,45.072325
-0.511588,8,45.08985
-1.884977,19,45.131858
-2.918448,8,45.149704
-4.086331,12,45.175884
-0.579057,10,45.197205
-0.321051,16,45.2323
-3.334785,23,45.282053
0.629108,10,45.304489
-1.107226,11,45.329161
-3.043544,18,45.36875
20.834792,63,45.510886
-0.807531,9,45.531885
5.108962,18,45.573859
-6.595052,15,45.608906
-0.264083,11,45.635477
5.217856,14,51.741667
-2.039066,10,51.764621
1.503298,13,51.795557
1.585293,13,51.827271
-2.5006,9,51.848271
-0.522269,20,51.89637
-1.826473,10,51.921121
7.42618,16,51.95976
-4.4878,15,51.995079
2.155423,18,52.038854
0.41123,11,52.063837
-0.546831,12,52.093227
1.48187,12,52.122107
-2.910718,7,52.136705
0.558163,14,52.168797
-0.314536,13,52.19864
2.355192,19,52.241163
-2.477728,9,52.261592
11.151794,23,52.315296
-4.531499,19,52.359369
-4.608732,14,52.390729
-1.461652,8,52.408052
8.184769,22,52.457639
0.232576,9,52.478001
0.249751,10,52.499979
4.665905,18,52.541715
1.894111,19,52.583634
0.594638,12,52.609024
0.206832,12,52.636424
0.491555,10,52.658982
2.351791,15,52.693278
1.495004,13,52.722256
0.069312,11,52.74706
-2.508198,9,52.767891
1.277178,11,52.793519
-0.529689,9,52.813817
3.895734,24,52.867954
3.4313,20,52.912586
6.097195,29,52.977573
-1.138571,8,52.995243
2.748625,13,53.024463
-2.504403,8,53.041906
0.697397,11,53.065938
0.222746,10,53.088434
2.42824,12,53.115007
5.12719,20,53.15918
