#{"env_id": "Walker2d-v2", "t_start": 1531963930.9381454}
r,l,t
-5.312948,22,0.029807
-6.07826,11,0.04097
-2.114189,20,0.061305
-2.773302,8,0.069713
-4.993139,20,0.089554
-6.777274,17,0.106642
-3.656412,9,0.115936
-10.159548,22,0.13771
-0.609389,10,0.14785
0.675279,20,0.167888
-5.114961,20,0.187411
-4.70746,9,0.196553
1.686213,24,0.220197
-8.167164,18,0.238083
0.980278,19,0.256982
-1.11728,8,0.265152
-3.848659,20,0.28501
-2.462657,25,0.309554
1.159234,22,0.331607
-1.762268,10,0.341835
-4.870515,15,0.357001
-2.52285,24,0.380607
-5.099968,15,0.3955
-1.469046,10,0.405609
11.664354,26,0.431596
0.299877,13,0.444418
5.479112,19,0.463526
-3.823996,22,0.485375
-6.388883,11,0.496741
-2.704007,11,0.507825
-8.134553,18,0.525938
-4.142828,9,0.535246
-3.786234,8,0.543297
-4.617469,8,0.551419
1.446972,11,0.562369
0.922474,12,0.574517
-6.880745,11,0.585593
0.589642,13,0.598522
-3.262961,12,0.610508
-5.664781,19,0.629391
12.967488,26,0.655121
0.047416,10,0.665068
3.830347,20,0.684957
0.864061,10,0.694921
0.653368,16,0.710832
-0.376255,19,0.729586
-0.955733,12,0.741564
9.361211,18,0.759531
-1.799966,15,0.7747
-6.575379,8,0.783044
4.937879,17,0.799943
-0.724803,16,0.81591
0.786597,13,0.828945
-2.568846,9,0.838222
-0.903562,11,0.849431
-5.647942,15,0.864386
-3.000405,21,0.885351
-7.118962,20,0.90519
0.911339,23,0.927891
-3.865477,10,0.937746
-4.396805,14,0.952099
-4.640322,15,0.967181
-0.220126,11,0.978278
-1.761496,9,0.987152
-4.544858,7,0.994401
-6.576255,28,1.02266
-3.150165,9,1.031878
-3.228634,8,1.040012
75.300716,57,1.095983
-2.784195,9,1.105278
-4.693428,12,1.117446
-2.312724,9,1.126397
-9.328748,13,1.139256
-1.17466,9,1.148412
5.267487,26,1.174121
-3.047201,9,1.183322
1.845868,28,1.21111
0.963395,22,1.232982
-3.076453,11,1.244212
1.009891,11,1.25862
-7.20444,18,1.2775
-3.915528,23,1.301066
-4.251477,10,1.311461
-4.27494,17,1.328391
-3.00582,7,1.335458
-0.31449,24,1.359273
0.500465,9,1.368299
-5.791524,11,1.379498
-2.093943,11,1.390638
-4.722895,7,1.397874
-1.208329,10,1.408036
-2.74077,14,1.422081
-8.197074,19,1.440793
-4.129593,8,1.448973
-2.963817,9,1.457993
10.791766,34,1.491274
-2.654177,9,1.500239
0.416303,19,1.519019
-1.51815,11,1.530289
-3.611629,25,1.554757
-4.271353,7,1.561869
-4.688691,8,1.569877
-4.682204,8,1.577937
-3.123704,8,1.586045
-1.455314,14,1.600239
-3.461603,20,1.619946
0.000153,9,1.628907
-8.681854,14,1.642821
15.563882,31,1.673804
-0.09841,8,1.681835
-3.166356,19,1.700657
-7.797647,18,1.718098
-0.184583,10,1.72806
3.141791,18,1.746065
1.300697,16,1.762257
-2.77357,12,1.77478
-2.092502,10,1.784864
-1.678097,13,1.798105
-5.263866,15,1.813033
-2.139699,10,1.82325
-0.871306,13,1.836249
-5.289756,9,1.845451
-0.826821,10,1.855427
-3.060311,7,1.862624
-1.923228,9,1.872553
5.142145,18,1.891804
-3.319639,12,1.907137
-9.235371,10,1.918275
-4.79483,15,1.933781
-1.002865,13,1.947459
-2.809056,8,1.956519
-0.949244,13,1.970701
-4.737621,11,1.982019
-2.402918,11,1.994022
-2.838224,12,2.006363
-5.389967,15,2.02155
7.459373,31,2.052186
2.892744,17,2.069151
5.487234,18,4.332225
-3.076736,12,4.344324
-4.327703,6,4.350555
4.383721,23,4.373507
-0.645964,30,4.403422
-3.004348,7,4.410641
-5.025003,15,4.425542
-3.058652,7,4.432876
-5.74477,14,4.446807
-9.457556,19,4.465844
-4.577366,13,4.479058
1.565605,25,4.504119
-6.446938,13,4.517271
-3.353484,17,4.534404
0.767398,12,4.546206
-4.117232,9,4.555469
-8.291266,10,4.565412
0.896897,13,4.578526
8.317123,25,4.603546
-1.481494,10,4.613607
-0.680375,10,4.6237
0.968311,12,4.635775
1.863588,20,4.655458
-5.491112,24,4.679378
-3.773446,7,4.68653
0.089138,9,4.695633
-3.963749,12,4.707369
-1.977774,16,4.72334
0.631727,10,4.733296
2.451386,16,4.749424
5.468282,25,4.774382
-0.229706,12,4.78648
2.963529,32,4.818047
4.280348,18,4.836007
-3.073439,9,4.845116
-2.779277,13,4.858583
9.066161,29,4.887165
1.824212,18,4.905361
-3.617592,11,4.916323
-2.788753,12,4.928363
-5.028211,17,4.945523
-5.262687,11,4.956588
-9.770211,21,4.977457
-2.83645,8,4.985761
0.895338,16,5.002041
-2.318739,8,5.0102
0.678872,12,5.022324
-3.88524,11,5.033527
3.008991,15,5.048713
-2.004066,9,5.057988
-4.381394,11,5.069189
1.296061,14,5.0832
-3.522602,14,5.097465
2.626296,35,5.132168
-4.398667,8,5.140376
0.527861,11,5.151341
4.923366,16,5.167304
2.42295,17,5.184276
-3.401721,16,5.200284
-1.111617,20,5.220489
2.856924,21,5.241482
-1.448844,14,5.255556
-7.47928,20,5.275474
-9.068201,15,5.290569
-2.599901,13,5.303804
-2.453518,9,5.313069
-0.251136,12,5.325121
-2.618795,18,5.342941
-0.638858,15,5.357882
-4.316558,8,5.36602
6.343785,27,5.392957
-3.875418,29,5.421772
1.502181,11,5.432793
1.186608,15,5.447856
-1.154581,12,5.459991
-3.002063,10,5.470171
-2.872395,11,5.481205
-0.075145,11,5.492229
0.725365,11,5.5033
-2.933073,9,5.512623
3.122349,21,5.533539
4.347545,19,5.552444
7.785824,31,5.583203
9.256369,33,5.615915
3.251291,18,5.633864
-3.915695,15,5.648927
