#{"env_id": "Walker2d-v2", "t_start": 1534282892.8547792}
r,l,t
-2.995031,23,0.035577
5.466541,38,0.078874
0.177811,18,0.099753
-2.742951,31,0.134985
-0.830769,19,0.156757
-3.066182,13,0.172032
-4.765688,16,0.190327
4.57176,16,0.208997
5.832026,25,0.237624
-3.62095,8,0.246843
-1.107059,8,0.256299
3.472775,16,0.2818
2.73606,28,0.335954
-3.275957,9,0.354022
2.28981,27,0.406012
-0.740319,16,0.437326
-4.723382,8,0.453315
-7.828284,22,0.495568
0.688559,17,0.528661
-4.504613,26,0.578842
-1.076007,9,0.59627
-0.363845,10,0.615988
-7.842541,21,0.656649
3.480941,14,0.684015
-5.238679,11,0.705887
-3.590954,10,0.72557
-4.258477,21,0.765824
-4.100938,8,0.781672
3.843149,16,0.812671
5.26459,16,0.843459
-0.739243,13,0.86878
-7.387154,28,0.922634
0.249682,21,0.963761
-0.64696,10,0.983538
-1.948366,9,1.00121
-2.447611,10,1.021209
-4.124584,13,1.046602
-7.787141,21,1.087393
-4.693761,8,1.103028
-2.464505,11,1.124364
2.902456,18,1.159515
-6.071322,11,1.18133
-2.273939,9,1.199143
3.609046,29,1.245595
-9.708925,18,1.265521
-10.168111,19,1.286643
-1.170205,22,1.311034
5.263097,15,1.327763
1.142572,20,1.349976
-7.582489,12,1.36365
-7.898919,10,1.375151
2.005544,10,1.386425
-7.728753,19,1.40748
-6.633495,21,1.430696
-5.249073,12,1.444214
-0.132672,12,1.457802
-3.929357,15,1.474557
-7.953816,22,1.498779
-3.877209,26,1.527282
-3.443081,7,1.535341
2.110393,21,1.558743
3.121095,22,1.582776
6.110527,21,1.606232
3.551042,17,1.625315
-7.861195,13,1.640117
1.347005,20,1.662324
-3.241696,20,1.685019
-5.082139,18,1.705248
-9.005969,13,1.719886
-0.05185,14,1.735468
-5.753452,16,1.753325
-5.588904,8,1.762502
-4.305758,10,1.773953
0.199752,10,1.784964
-5.297245,14,1.800538
-0.953838,12,1.813632
-3.034728,10,1.825126
-3.291487,9,1.835385
-3.201075,12,1.848888
3.522949,14,1.864513
0.61754,19,1.885776
1.42859,16,1.903604
0.869617,22,1.927901
-2.233008,9,1.938198
6.830765,17,1.957004
2.731595,20,1.979698
-7.204884,18,1.999563
-1.937138,28,2.030567
-4.967134,10,2.042058
-3.714357,14,2.057692
-0.268916,9,2.067942
1.532482,13,2.082506
0.816098,27,2.112407
-0.82476,20,2.134689
-4.801689,10,2.146206
-2.720152,9,2.156476
1.567036,16,2.174492
-6.999399,15,2.191279
-0.200968,11,2.203382
-8.790744,14,2.218767
-6.105701,21,2.242321
-4.57289,26,2.271184
5.322297,15,2.287919
-2.009526,8,2.296875
0.090588,20,2.319199
-2.561167,24,2.345632
-1.04079,11,2.358274
-6.283076,13,2.3728
-0.759027,11,2.38537
-4.121703,28,2.416105
-1.66865,8,2.424695
-0.633181,18,2.444081
-8.616683,18,2.463888
0.0151,11,2.476274
-1.550539,10,2.487872
2.469604,27,2.517636
-2.982393,14,2.533636
-5.896434,17,2.55232
-6.084925,22,2.575849
1.381514,12,2.588786
-3.402968,11,2.600663
-7.695668,10,2.612045
-1.376957,9,2.622068
-3.288045,18,2.641633
-4.399643,13,2.656168
-6.4429,22,2.680153
1.789561,17,2.698913
-6.188453,10,2.709946
1.814905,10,7.533896
-0.469868,26,7.566301
-3.770656,15,7.586058
1.529252,15,7.605859
-5.725134,23,7.63664
-2.924291,9,7.646775
-5.329616,20,7.669381
-3.476299,11,7.681856
-1.357206,15,7.698366
-3.911849,8,7.707168
2.476675,18,7.727019
-5.547957,14,7.742522
-0.890789,29,7.77458
-0.55171,13,7.789235
6.627159,21,7.812909
-0.871744,29,7.844812
-1.718828,10,7.855921
0.793134,16,7.873957
0.985443,26,7.902527
-8.245554,17,7.921474
4.785921,16,7.93943
-6.390666,18,7.959442
-2.330842,25,7.987344
-1.017157,14,8.002945
-1.374283,15,8.019524
0.647206,14,8.035355
-7.657156,17,8.05471
1.512813,29,8.086921
-3.88729,20,8.108958
-0.653932,12,8.122452
3.039961,26,8.151324
-2.467194,15,8.168159
-2.073894,10,8.179389
-1.309324,25,8.207291
