#{"t_start": 1534282892.887492, "env_id": "Walker2d-v2"}
r,l,t
13.081601,64,0.136037
-4.308554,10,0.155333
-2.991724,19,0.189806
-6.248612,13,0.214726
-4.189193,8,0.227511
-3.693845,10,0.243008
123.584519,84,0.338397
-9.243244,15,0.355484
-4.828687,13,0.370364
-3.812907,8,0.379784
-0.395612,15,0.397259
-2.777969,10,0.40891
-5.167141,17,0.428351
8.818902,23,0.454465
-6.139099,11,0.467339
-1.243518,12,0.481221
-2.149553,9,0.491691
-6.262751,10,0.5034
-4.602765,8,0.51287
-3.007159,11,0.525726
-4.407512,9,0.536347
-7.189596,18,0.556837
-4.461963,8,0.56613
-4.340465,10,0.57782
-3.483918,11,0.590547
-2.981709,12,0.604419
-11.556612,18,0.624987
1.449144,20,0.64801
-0.870817,28,0.679608
-0.211044,18,0.700161
1.801479,18,0.72207
-3.095958,7,0.730137
-8.817227,14,0.745926
3.799769,24,0.773579
-5.344506,18,0.794218
-10.691357,10,0.805732
-4.490407,8,0.815201
-2.125404,20,0.837809
-2.433387,8,0.846911
-3.325324,9,0.857228
-2.005482,14,0.87333
9.689273,33,0.910928
-4.476026,10,0.922276
-1.405265,15,0.939605
6.22488,21,0.963405
-2.533309,22,0.988409
-3.915717,11,1.000834
-2.432271,10,1.012386
-2.759268,11,1.024731
-1.921481,11,1.037602
-2.264474,8,1.046877
-4.005739,12,1.060929
-5.668095,10,1.072535
-3.798794,8,1.081856
-3.48796,10,1.093449
-4.423284,9,1.103907
-6.29428,9,1.114347
-3.149098,15,1.131706
-5.823396,21,1.155618
-6.981332,18,1.176125
0.022888,27,1.206796
-11.425571,22,1.243558
-0.590554,11,1.265407
-1.922254,17,1.298734
-8.882429,20,1.33756
2.929496,18,1.372103
-0.079881,9,1.389591
-2.636162,12,1.413512
-6.515508,21,1.454679
-2.958477,9,1.472442
-3.088791,18,1.50815
3.045123,29,1.564284
4.01583,36,1.606995
9.130585,27,1.637692
-4.738813,9,1.648131
3.507571,15,1.665139
-2.090892,11,1.677682
-4.486777,7,1.685703
3.675734,36,1.726382
-5.985749,11,1.739012
-2.289347,10,1.750529
-2.37541,8,1.759793
-4.561733,20,1.782533
-0.872329,15,1.800028
-0.311445,10,1.811769
-6.120037,9,1.822029
0.114554,25,1.850566
-11.492241,20,1.873139
-1.014435,21,1.896652
0.160873,12,1.910217
0.991582,11,1.92292
-6.934993,12,1.936531
1.142971,29,1.969728
-7.609686,16,1.988226
-4.861233,8,1.997554
-1.074209,10,2.009233
-6.765991,29,2.042308
-1.323686,10,2.053762
-6.872987,17,2.073204
-2.402496,17,2.092931
-0.241042,11,2.105493
-2.984451,19,2.127474
4.120514,19,2.149281
-1.664593,13,2.16427
-0.226953,10,2.175782
-0.91823,22,2.200925
-2.040781,9,2.211354
-1.02595,9,2.221881
-12.805075,17,2.24302
-3.338522,10,2.262577
-4.032242,8,2.278583
-3.483296,12,2.301987
4.735518,18,2.336705
-4.354921,16,2.36778
-0.786379,22,2.408451
-0.286157,12,2.431664
-4.208092,13,2.457246
5.286775,23,2.502554
0.579918,27,2.554208
-5.62776,26,2.603447
-5.978291,8,2.619061
-4.925197,23,2.666008
-3.038854,30,2.722054
-3.87708,9,2.738966
-2.504757,10,2.758697
-0.370802,32,2.82165
41.851031,78,7.813284
-0.299965,12,7.830321
-3.330013,10,7.845262
-4.467272,9,7.856028
1.579375,12,7.873272
-2.041107,11,7.889253
-4.03177,29,7.927158
0.07398,12,7.942697
-7.408734,20,7.968982
-4.311319,11,7.982174
1.317791,22,8.007916
-3.629726,22,8.033561
-11.937235,24,8.06144
-2.219971,13,8.077034
-5.02449,24,8.104985
-11.021357,17,8.124777
-9.493892,19,8.147098
-8.734921,17,8.167141
-5.171076,25,8.196476
-2.329393,8,8.205836
-3.774198,6,8.213142
-3.549225,8,8.222426
-1.668576,9,8.233112
-2.892079,8,8.242492
-1.801141,10,8.25417
-3.958416,11,8.267222
15.347727,28,8.300102
-2.177087,15,8.317737
-1.615018,12,8.331668
-7.284375,19,8.353601
-2.119297,21,8.378218
-2.240565,8,8.387628
-2.577544,11,8.400538
-3.708488,11,8.413414
1.334729,19,8.435796
-2.802469,21,8.4602
8.551134,40,8.506314
-7.509043,23,8.533218
-7.636799,30,8.567981
-9.519184,17,8.587966
-0.233421,11,8.60094
3.41023,44,8.651726
-1.841168,9,8.662375
-2.246704,23,8.689005
-3.350507,14,8.705664
-5.011917,14,8.722022
-3.37085,10,8.734068
-8.318808,14,8.750485
-4.148262,10,8.762484
220.498179,123,8.904471
-2.444331,12,8.918538
-0.845564,28,8.951
-1.167412,9,8.961735
-1.294273,9,8.97246
-2.150909,8,8.982062
-1.690668,11,8.995038
-8.883208,25,9.023755
10.21794,37,9.066766
-2.213121,9,9.077265
-1.885104,10,9.088815
-0.9736,10,9.100708
-3.307843,10,9.112329
-1.826106,12,9.12664
-4.505204,27,9.158341
-6.078301,8,9.167728
-7.137883,18,9.188675
-1.929439,10,9.200524
0.034836,11,9.213209
-4.064909,8,9.222641
-1.006445,10,9.234317
-0.768944,10,9.24627
-4.775911,9,9.25693
-0.354878,9,9.267706
-13.714849,25,9.296943
-1.37568,8,9.306168
-3.495084,18,9.327314
8.70893,26,9.357435
-3.673721,11,9.370427
-2.898031,10,9.382232
-4.954435,23,9.412083
-10.803095,20,9.451227
-6.466206,17,9.484791
-5.348032,12,9.509098
-5.942,16,9.54059
3.566594,32,9.598856
-1.320122,17,9.631978
-4.10504,18,9.668684
-9.550909,30,9.728419
-4.381055,9,9.746463
-5.380641,10,9.76721
2.330462,12,9.790611
0.151094,15,9.81969
50.459433,60,9.934018
8.234571,31,9.993581
-8.506227,17,10.025934
-4.958061,10,10.044741
7.688634,37,10.116608
-8.953296,28,10.171083
-3.070857,11,10.192439
-9.530573,22,10.235013
-0.687523,16,10.256166
-1.717449,23,10.282553
-9.75702,19,10.304751
-0.612702,28,10.337066
-0.330543,32,10.374228
-2.525816,10,10.386243
-9.83493,29,10.419774
-1.249945,30,10.454949
-0.49853,23,15.845438
-1.439085,11,15.864357
-6.846531,19,15.892544
1.81592,16,15.918364
-6.96854,22,15.95435
-4.558443,20,15.98515
-0.811154,12,16.003704
58.180414,70,16.112661
-0.878732,20,16.141789
-6.365509,9,16.158179
-10.884257,21,16.189357
-5.825607,11,16.206811
-3.97129,18,16.234882
28.798962,64,16.337038
-4.758764,11,16.350964
3.742912,37,16.393461
-4.614302,7,16.401531
-3.656953,8,16.411119
-2.069109,21,16.435608
3.893984,50,16.493372
1.822677,51,16.551775
-4.041355,8,16.561285
1.507226,18,16.58201
-5.313317,14,16.59878
-6.590418,25,16.632211
-1.95446,10,16.644233
-4.841858,24,16.678017
-6.648836,10,16.690544
3.402336,27,16.727299
-5.407834,18,16.751617
-4.72894,8,16.764202
-8.314137,15,16.784719
0.132656,13,16.801097
-3.842602,22,16.831297
-3.267079,8,16.840943
-2.23797,8,16.853105
-0.917565,10,16.865582
-7.141016,12,16.881919
-2.586842,12,16.897026
-4.593193,10,16.908451
0.201837,24,16.936562
-0.385885,12,16.950333
-3.591343,26,16.980728
39.491108,64,17.054555
0.136939,13,17.06971
-2.815638,12,17.083872
-2.638033,10,17.095743
3.236936,42,17.144194
53.822794,71,17.225693
-2.242011,11,17.238553
-5.237923,10,17.250473
-1.348102,15,17.267669
-3.179051,9,17.278412
75.312778,87,17.379698
-5.447969,19,17.400973
-6.792634,17,17.420122
-8.239325,15,17.437026
0.01267,12,17.451349
-7.881965,18,17.476769
-6.192934,20,17.504595
-0.780363,11,17.519805
-0.712183,10,17.533873
-9.809043,13,17.553846
-2.126492,10,17.568554
-5.54296,9,17.579703
2.667067,13,17.59729
-5.79253,21,17.627065
-8.735666,11,17.640983
-1.974383,15,17.66099
-5.720126,18,17.685671
-6.740462,10,17.697191
5.610838,22,17.727627
-10.510932,17,17.751026
5.336386,17,17.775237
-8.689678,17,17.797667
4.621978,27,17.833925
-0.608307,14,17.852501
-1.390963,18,17.878727
-3.066317,10,17.892012
-1.401766,11,17.906366
63.039645,87,18.023862
0.22025,12,18.045705
-5.706678,18,18.070338
8.943698,44,18.134096
-1.9183,12,18.148492
-0.817851,10,18.159894
-1.446894,36,18.200082
1.732675,39,18.244102
-6.55561,12,18.258023
55.641528,63,18.328714
-3.016545,12,18.342643
-2.996872,9,18.352821
38.178716,65,18.42537
-2.799171,11,18.438217
-0.774012,19,18.459578
-7.385781,11,18.472055
-1.248715,12,18.485629
-1.800632,9,23.792034
2.742946,23,23.837718
-1.443642,11,23.85995
-0.884266,11,23.882172
-11.576082,16,23.914557
8.283621,31,23.956532
-4.203651,16,23.978279
-9.800239,19,24.003386
9.341842,32,24.046481
14.166801,68,24.137128
-5.635786,13,24.155486
0.421889,11,24.168458
-3.061383,9,24.178663
-4.220533,14,24.197788
89.89496,131,24.369726
-0.357135,22,24.401197
-1.210107,14,24.420287
-3.996036,8,24.430256
-4.163378,11,24.446244
-9.365992,22,24.474756
-5.563421,22,24.505113
40.217494,53,24.575227
-2.138637,10,24.588448
-4.579572,16,24.609994
-1.371346,11,24.625955
-4.628692,13,24.644172
-3.205842,11,24.657275
2.554942,24,24.690745
-2.129141,12,24.706356
-0.683468,15,24.725446
18.225124,35,24.772964
-0.224151,11,24.786973
-2.324714,9,24.800547
56.307106,91,24.905881
-1.160103,17,24.929898
8.242082,28,24.968455
-2.681165,12,24.98537
-1.350337,10,24.999735
2.322668,16,25.020934
-6.696893,16,25.045046
-3.291136,13,25.063267
4.017193,29,25.09828
-3.499266,10,25.10989
-8.954886,13,25.125199
-3.244508,26,25.155004
3.95047,34,25.19329
-2.776159,20,25.215796
1.471343,29,25.248605
7.544132,36,25.289175
-1.938296,8,25.298491
-2.897709,12,25.312503
11.743104,27,25.342976
33.13111,49,25.39785
-7.360667,12,25.41164
4.665054,16,25.430187
-2.064754,12,25.443985
-1.160987,8,25.453251
-2.023044,12,25.467175
-1.9355,15,25.484886
-2.046203,14,25.501096
4.240795,26,25.530542
-2.443279,9,25.540819
-2.7679,12,25.554247
-5.645461,9,25.564391
-1.537233,14,25.580315
2.760101,18,25.604003
-3.152687,10,25.61854
-12.484,17,25.64383
-5.570327,8,25.653368
1.001724,23,25.685678
-5.367847,8,25.697523
-8.263453,17,25.720637
2.188215,37,25.771627
1.240246,18,25.795431
-4.793337,15,25.815749
