#{"t_start": 1533054689.1470346, "env_id": "Walker2d-v2"}
r,l,t
0.941469,15,0.016224
-5.294317,12,0.02552
-1.247574,11,0.035928
-7.575403,11,0.044963
-13.588954,17,0.057808
-1.241031,16,0.070927
-9.944575,17,0.08512
-1.036123,12,0.093742
-4.271972,11,0.103802
-8.730692,15,0.116127
-5.440816,14,0.125911
-2.32335,14,0.135698
-2.620837,21,0.151636
1.491185,16,0.165802
-2.692273,12,0.175593
-10.812861,13,0.186581
-4.956982,17,0.200473
-4.528181,14,0.211298
-4.738925,12,0.220858
-6.306007,13,0.23195
0.028815,20,0.249629
-6.918222,15,0.262118
-8.095547,12,0.272626
-2.293204,11,0.281548
-10.765478,15,0.294066
1.326519,12,0.305023
-1.335968,15,0.316286
-5.703098,14,0.328348
-5.432266,16,0.341737
-8.174904,12,0.351519
-6.408665,21,0.367376
-9.916993,16,0.380387
-5.880008,10,0.388255
-0.725567,22,0.404563
-10.834678,13,0.416176
-0.785289,10,0.423423
-10.787737,18,0.437676
0.703244,21,0.454957
-11.363091,12,0.46342
-2.91066,17,0.477142
-6.627117,16,0.491064
-9.475444,12,0.501089
-5.811604,16,0.51448
-3.401263,18,0.528789
4.185101,25,0.549657
-5.563792,12,0.560668
-2.424305,17,0.575263
-1.957989,19,0.590312
-2.15792,15,0.603336
-1.727869,9,0.611191
-9.894842,14,0.621757
3.223337,20,0.638998
-0.112835,11,0.647902
-6.934771,13,0.65832
-1.141207,12,0.668469
-0.014049,12,0.678398
-4.868705,14,0.690423
-8.61965,13,0.701622
-7.260025,19,0.716358
-1.388017,15,0.727887
-3.276872,11,0.737114
-1.272817,11,0.74554
0.494379,19,0.761252
-5.912438,14,0.773176
1.417501,10,0.781247
-6.539771,22,0.798619
-0.873644,15,0.809433
-9.137519,16,0.822158
-1.928948,14,0.833884
1.456222,14,0.84573
-6.582548,15,0.858703
-5.479002,18,0.871846
-1.31609,9,0.878732
-1.438624,27,0.900652
-9.764556,17,0.913326
-2.781343,16,0.927232
7.391719,35,0.95566
-0.333132,17,0.970069
-3.067516,13,0.980471
-9.563758,15,0.992052
-2.108702,13,1.003406
-5.344123,14,1.013271
-7.827112,16,1.024642
-8.885686,17,1.038124
-8.819265,17,1.051766
-6.51103,15,1.063345
-0.663299,16,1.077454
-7.63187,14,1.089229
-7.571543,17,1.104739
-4.340403,18,1.118506
-1.615093,12,1.128074
-0.058181,13,1.139868
-7.426136,12,1.148532
-8.411028,14,1.158875
0.648806,11,1.167774
-1.315432,13,1.178329
-3.058831,20,1.193918
-4.163806,17,1.207717
-9.17103,15,1.219424
-2.889632,17,1.230991
-2.250904,15,1.241513
-11.154106,18,1.254382
-5.365578,16,1.266992
-3.865189,10,1.274763
-3.200778,17,1.289195
0.937797,23,1.307965
-6.701886,15,1.319202
-5.578165,15,1.331062
-4.680013,17,1.345215
-10.375499,16,1.357019
-6.692237,15,1.367604
-0.333176,13,1.378179
-5.061306,10,1.38619
-0.023926,17,1.398964
-9.826762,14,1.41012
4.490623,17,1.42458
-6.661965,18,1.437867
-4.610346,15,1.450106
-6.067036,11,1.458578
-9.561586,17,1.471929
-1.706277,9,1.479778
-4.446299,18,1.49322
-3.671337,12,1.503285
-5.320464,17,1.516835
-9.409085,16,1.528771
-3.557203,12,1.538251
-5.339088,13,1.548843
-4.629236,19,1.563467
10.398862,27,1.584844
0.27832,20,1.601796
-2.814239,19,1.614965
-1.207667,15,1.625613
-2.0037,12,1.633939
-5.566869,16,2.327804
5.492998,23,2.350609
-7.92523,13,2.363842
-0.100268,12,2.375927
-4.289023,17,2.393013
0.517876,16,2.408973
-5.194016,12,2.421223
-5.97403,15,2.436348
-5.826262,14,2.450248
-4.794898,10,2.460563
-6.167139,16,2.476452
-1.636744,12,2.488357
-0.93462,16,2.504596
3.294737,19,2.523432
-9.304413,14,2.537578
-5.802416,20,2.557713
-3.63117,12,2.569904
-1.943973,9,2.578779
-2.541776,9,2.587925
-2.20331,15,2.603423
-2.03609,12,2.615993
1.405219,25,2.642294
-5.644825,13,2.656041
0.591537,20,2.676467
-4.235265,8,2.684723
-0.531718,11,2.695688
-4.273969,12,2.707961
-9.732203,15,2.722936
3.507602,22,2.745069
-8.02852,18,2.763144
-1.8175,11,2.774131
-5.929033,14,2.78808
-2.680768,18,2.806375
-2.488529,17,2.823404
-3.535717,8,2.831652
5.394417,18,2.849995
-1.334994,11,2.861279
-5.449441,15,2.876346
-5.66817,12,2.88848
-5.244915,14,2.902661
-6.680642,11,2.913898
-1.120758,19,2.933086
-6.764206,14,2.94712
-0.44109,14,2.961071
0.364973,21,2.981935
-8.616798,14,2.996004
0.209843,10,3.006193
2.692594,17,3.023242
1.267413,18,3.04141
0.342133,12,3.053738
-1.935512,18,3.071584
-2.016976,13,3.084825
2.591209,22,3.106892
1.529364,21,3.127771
-8.536915,15,3.142806
-4.123483,21,3.163581
-1.128469,11,3.174712
-1.469772,18,3.192868
-0.952049,13,3.206165
-2.482789,17,3.223202
-6.405076,14,3.23728
-2.219914,11,3.248392
-7.106616,11,3.259312
0.027393,15,3.274383
-8.991603,16,3.29064
2.105112,10,3.300746
-7.107086,12,3.312829
-1.99455,13,3.326051
8.791793,21,3.34689
-7.831666,17,3.36401
-0.902997,21,3.384888
-0.904324,20,3.404687
-3.031154,18,3.422294
-3.284914,16,3.43824
-1.666164,12,3.449884
-2.2855,15,3.462697
-4.208397,20,3.478791
-7.892957,16,3.493198
-2.651462,13,3.503716
2.824688,21,3.521387
-8.415277,16,3.534772
0.691151,12,3.544426
5.322625,22,3.560652
-1.445746,18,3.574354
